/usr/bin/java -Xmx64G -XX:MaxDirectMemorySize=64G -classpath /root/YCSB/conf:/root/YCSB/core/target/core-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/rocksdb-binding-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/dependency/HdrHistogram-2.1.4.jar:/root/YCSB/rocksdb/target/dependency/animal-sniffer-annotations-1.19.jar:/root/YCSB/rocksdb/target/dependency/annotations-4.1.1.4.jar:/root/YCSB/rocksdb/target/dependency/checker-compat-qual-2.5.5.jar:/root/YCSB/rocksdb/target/dependency/error_prone_annotations-2.4.0.jar:/root/YCSB/rocksdb/target/dependency/failureaccess-1.0.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-api-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-context-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-core-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-netty-shaded-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-lite-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-stub-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/gson-2.8.6.jar:/root/YCSB/rocksdb/target/dependency/guava-30.0-android.jar:/root/YCSB/rocksdb/target/dependency/htrace-core4-4.1.0-incubating.jar:/root/YCSB/rocksdb/target/dependency/j2objc-annotations-1.3.jar:/root/YCSB/rocksdb/target/dependency/jcip-annotations-1.0.jar:/root/YCSB/rocksdb/target/dependency/jsr305-3.0.2.jar:/root/YCSB/rocksdb/target/dependency/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar:/root/YCSB/rocksdb/target/dependency/perfmark-api-0.23.0.jar:/root/YCSB/rocksdb/target/dependency/proto-google-common-protos-2.0.1.jar:/root/YCSB/rocksdb/target/dependency/protobuf-java-3.12.0.jar:/root/YCSB/rocksdb/target/dependency/rocksdbjni-6.14.0.jar:/root/YCSB/rocksdb/target/dependency/slf4j-api-1.7.25.jar:/root/YCSB/rocksdb/target/dependency/slf4j-simple-1.7.25.jar site.ycsb.Client -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloada -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=2 -p status.interval=1000 -p target=120000 -threads 4
Command line: -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloada -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=2 -p status.interval=1000 -p target=120000 -threads 4
threadcount: 4
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
[Thread-5] INFO site.ycsb.db.rocksdb.RocksDBClient - RocksDB data dir: null
2025-05-01 05:10:18:408 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2025-05-01 05:10:19:385 1 sec: 48000 operations; 48000 current ops/sec; est completion in 8 minutes [INSERT: Count=48000, Max=459519, Min=251520, Avg=360328, 90=456959, 99=459519, 99.9=459519, 99.99=459519] 
2025-05-01 05:10:20:385 2 sec: 192000 operations; 144000 current ops/sec; est completion in 4 minutes [INSERT: Count=144000, Max=232959, Min=40992, Avg=87265.11, 90=186239, 99=229375, 99.9=232959, 99.99=232959] 
2025-05-01 05:10:21:385 3 sec: 312000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=79871, Min=36704, Avg=62332.27, 90=69503, 99=79615, 99.9=79871, 99.99=79871] 
2025-05-01 05:10:22:385 4 sec: 429000 operations; 117000 current ops/sec; est completion in 3 minutes [INSERT: Count=117000, Max=79679, Min=36960, Avg=58838.7, 90=72895, 99=79103, 99.9=79679, 99.99=79679] 
2025-05-01 05:10:23:385 5 sec: 552000 operations; 123000 current ops/sec; est completion in 3 minutes [INSERT: Count=123000, Max=77439, Min=32048, Avg=56044.94, 90=66367, 99=76607, 99.9=77439, 99.99=77439] 
2025-05-01 05:10:24:385 6 sec: 672000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=72127, Min=35488, Avg=56808.27, 90=66111, 99=71487, 99.9=72127, 99.99=72127] 
2025-05-01 05:10:25:385 7 sec: 792000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=75135, Min=31792, Avg=56817.67, 90=62815, 99=73471, 99.9=75135, 99.99=75135] 
2025-05-01 05:10:26:385 8 sec: 912000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=75967, Min=33536, Avg=54263.87, 90=64223, 99=75903, 99.9=75967, 99.99=75967] 
2025-05-01 05:10:27:385 9 sec: 1032000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=76351, Min=32992, Avg=50863.2, 90=61215, 99=70975, 99.9=76351, 99.99=76351] 
2025-05-01 05:10:28:385 10 sec: 1150000 operations; 118000 current ops/sec; est completion in 3 minutes [INSERT: Count=118000, Max=74943, Min=35904, Avg=53937.22, 90=62751, 99=74687, 99.9=74943, 99.99=74943] 
2025-05-01 05:10:29:385 11 sec: 1272000 operations; 122000 current ops/sec; est completion in 3 minutes [INSERT: Count=122000, Max=74303, Min=34688, Avg=52478.16, 90=61535, 99=74175, 99.9=74303, 99.99=74303] 
2025-05-01 05:10:30:385 12 sec: 1390000 operations; 118000 current ops/sec; est completion in 3 minutes [INSERT: Count=118000, Max=71807, Min=32896, Avg=54054.37, 90=61247, 99=69183, 99.9=71807, 99.99=71807] 
2025-05-01 05:10:31:385 13 sec: 1512000 operations; 122000 current ops/sec; est completion in 3 minutes [INSERT: Count=122000, Max=74879, Min=41376, Avg=58129.05, 90=62975, 99=73919, 99.9=74879, 99.99=74879] 
2025-05-01 05:10:32:385 14 sec: 1630000 operations; 118000 current ops/sec; est completion in 3 minutes [INSERT: Count=118000, Max=75455, Min=31984, Avg=54206.85, 90=66815, 99=74815, 99.9=75455, 99.99=75455] 
2025-05-01 05:10:33:385 15 sec: 1752000 operations; 122000 current ops/sec; est completion in 3 minutes [INSERT: Count=122000, Max=81407, Min=31808, Avg=56708.92, 90=67071, 99=81215, 99.9=81407, 99.99=81407] 
2025-05-01 05:10:34:385 16 sec: 1872000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=70143, Min=30688, Avg=52128.4, 90=63231, 99=69887, 99.9=70143, 99.99=70143] 
2025-05-01 05:10:35:385 17 sec: 1992000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=72831, Min=32640, Avg=52157.93, 90=62175, 99=71423, 99.9=72831, 99.99=72831] 
2025-05-01 05:10:36:385 18 sec: 2112000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=74623, Min=34304, Avg=54090.67, 90=62239, 99=74559, 99.9=74623, 99.99=74623] 
2025-05-01 05:10:37:385 19 sec: 2232000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=76031, Min=32992, Avg=52492.4, 90=65247, 99=73599, 99.9=76031, 99.99=76031] 
2025-05-01 05:10:38:385 20 sec: 2352000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=74879, Min=32928, Avg=52670.13, 90=65279, 99=74239, 99.9=74879, 99.99=74879] 
2025-05-01 05:10:39:385 21 sec: 2471000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=80255, Min=34944, Avg=53050.49, 90=65599, 99=80191, 99.9=80255, 99.99=80255] 
2025-05-01 05:10:40:385 22 sec: 2590000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=78655, Min=33984, Avg=47714.96, 90=58943, 99=76543, 99.9=78655, 99.99=78655] 
2025-05-01 05:10:41:385 23 sec: 2712000 operations; 122000 current ops/sec; est completion in 3 minutes [INSERT: Count=123000, Max=69759, Min=35712, Avg=45603.9, 90=56575, 99=68287, 99.9=69759, 99.99=69759] 
2025-05-01 05:10:42:385 24 sec: 2830000 operations; 118000 current ops/sec; est completion in 3 minutes [INSERT: Count=117000, Max=71487, Min=33728, Avg=46101.74, 90=55231, 99=66559, 99.9=71487, 99.99=71487] 
2025-05-01 05:10:43:385 25 sec: 2951000 operations; 121000 current ops/sec; est completion in 3 minutes [INSERT: Count=121000, Max=75455, Min=33792, Avg=48611.83, 90=60703, 99=71935, 99.9=75455, 99.99=75455] 
2025-05-01 05:10:44:385 26 sec: 3072000 operations; 121000 current ops/sec; est completion in 3 minutes [INSERT: Count=121000, Max=75199, Min=32960, Avg=52774.74, 90=62815, 99=74687, 99.9=75199, 99.99=75199] 
2025-05-01 05:10:45:385 27 sec: 3191000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=76351, Min=31424, Avg=54110.32, 90=66239, 99=74495, 99.9=76351, 99.99=76351] 
2025-05-01 05:10:46:385 28 sec: 3310000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=84927, Min=33472, Avg=55688.61, 90=70399, 99=84415, 99.9=84927, 99.99=84927] 
2025-05-01 05:10:47:385 29 sec: 3430000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=74303, Min=35392, Avg=51522, 90=62463, 99=72639, 99.9=74303, 99.99=74303] 
2025-05-01 05:10:48:385 30 sec: 3552000 operations; 122000 current ops/sec; est completion in 3 minutes [INSERT: Count=122000, Max=70271, Min=31776, Avg=49245.18, 90=59775, 99=67839, 99.9=70271, 99.99=70271] 
2025-05-01 05:10:49:385 31 sec: 3672000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=72831, Min=33056, Avg=48098.93, 90=59551, 99=71743, 99.9=72831, 99.99=72831] 
2025-05-01 05:10:50:385 32 sec: 3792000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=73727, Min=32896, Avg=49489.07, 90=60927, 99=73087, 99.9=73727, 99.99=73727] 
2025-05-01 05:10:51:385 33 sec: 3912000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=75327, Min=33376, Avg=50605.73, 90=61439, 99=74367, 99.9=75327, 99.99=75327] 
2025-05-01 05:10:52:385 34 sec: 4031000 operations; 119000 current ops/sec; est completion in 2 minutes [INSERT: Count=119000, Max=74687, Min=32320, Avg=45151.66, 90=58079, 99=74559, 99.9=74687, 99.99=74687] 
2025-05-01 05:10:53:385 35 sec: 4151000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=73343, Min=31904, Avg=45387.87, 90=58239, 99=73279, 99.9=73343, 99.99=73343] 
2025-05-01 05:10:54:385 36 sec: 4272000 operations; 121000 current ops/sec; est completion in 2 minutes [INSERT: Count=121000, Max=69631, Min=32240, Avg=46642.84, 90=56927, 99=69503, 99.9=69631, 99.99=69631] 
2025-05-01 05:10:55:385 37 sec: 4392000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=78271, Min=35360, Avg=53539.07, 90=63263, 99=78143, 99.9=78271, 99.99=78271] 
2025-05-01 05:10:56:385 38 sec: 4512000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=79423, Min=32448, Avg=53422.07, 90=63359, 99=79423, 99.9=79423, 99.99=79423] 
2025-05-01 05:10:57:385 39 sec: 4632000 operations; 120000 current ops/sec; est completion in 2 minutes [INSERT: Count=120000, Max=74495, Min=34688, Avg=49745.47, 90=59839, 99=70847, 99.9=74495, 99.99=74495] 
