"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node1.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","01 May 2025 04:26:57 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
27.414,2.689,66.886,3.011,0,25.613,2.503,68.907,2.977,0,25.397,2.470,68.823,3.309,0,27.185,2.631,66.678,3.506,0,115786440.392,213487128.770,01-05 04:26:57
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,57344,01-05 04:26:58
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,01-05 04:26:59
24.272,3.883,19.417,52.427,0,21,5,20,54,0,22.449,3.061,20.408,54.082,0,25.962,2.885,19.231,51.923,0,140900352,0,01-05 04:27:00
26.531,5.102,0,68.367,0,23.656,4.301,1.075,70.968,0,23.913,4.348,0,71.739,0,28.283,4.040,1.010,66.667,0,174715392,0,01-05 04:27:01
28.125,3.125,0,68.750,0,27.660,2.128,0,70.213,0,26.733,6.931,0,66.337,0,29.293,4.040,0,66.667,0,173016576,2605056,01-05 04:27:02
25,3.261,6.522,65.217,0,30.693,2.970,3.960,62.376,0,30,6,2,62,0,30,6,0,64,0,163419648,102400,01-05 04:27:03
27.083,5.208,0,67.708,0,28.283,5.051,0,66.667,0,28,5,1,66,0,23.913,5.435,0,70.652,0,170939392,0,01-05 04:27:04
26.733,8.911,0,64.356,0,31,5,0,64,0,29.703,6.931,0,63.366,0,28.866,4.124,1.031,65.979,0,170245632,0,01-05 04:27:05
28.713,5.941,3.960,61.386,0,28.866,4.124,4.124,62.887,0,27.835,7.216,2.062,62.887,0,32.323,3.030,2.020,62.626,0,161647616,0,01-05 04:27:06
29.167,4.167,0,66.667,0,27.551,6.122,0,66.327,0,26.804,6.186,0,67.010,0,28.125,4.167,0,67.708,0,169344000,978944,01-05 04:27:07
26.316,5.263,1.053,67.368,0,31.731,5.769,0.962,61.538,0,29.167,4.167,0,66.667,0,29.592,6.122,0,64.286,0,167841280,36864,01-05 04:27:08
29.592,6.122,2.041,62.245,0,28.421,3.158,5.263,63.158,0,27.368,6.316,0,66.316,0,31.776,7.477,3.738,57.009,0,160617472,0,01-05 04:27:09
27.551,7.143,0,65.306,0,29,8,0,63,0,27,7,1,65,0,28.125,4.167,1.042,66.667,0,167953408,0,01-05 04:27:10
25.806,5.376,0,68.817,0,33.333,6.481,0.926,59.259,0,29.293,6.061,0,64.646,0,30.612,5.102,0,64.286,0,167834624,0,01-05 04:27:11
32.653,3.061,2.041,62.245,0,30,5,6,59,0,26.882,4.301,4.301,64.516,0,31.250,3.125,0,65.625,0,160053760,0,01-05 04:27:12
27.835,6.186,0,65.979,0,21.739,8.696,1.087,68.478,0,28.723,3.191,0,68.085,0,29.167,4.167,0,66.667,0,167566848,958464,01-05 04:27:13
31.579,2.105,2.105,64.211,0,32.653,3.061,0,64.286,0,25.806,5.376,4.301,64.516,0,25.532,4.255,6.383,63.830,0,160075776,28672,01-05 04:27:14
30.303,4.040,1.010,64.646,0,32.323,2.020,1.010,64.646,0,33.654,3.846,0.962,61.538,0,28.125,4.167,2.083,65.625,0,167351296,0,01-05 04:27:15
30.526,2.105,1.053,66.316,0,28.431,6.863,0.980,63.725,0,30.612,4.082,0,65.306,0,28.125,4.167,1.042,66.667,0,168565248,0,01-05 04:27:16
29.592,5.102,2.041,63.265,0,27.957,3.226,1.075,67.742,0,29.474,2.105,4.211,64.211,0,28.125,3.125,6.250,62.500,0,160611840,0,01-05 04:27:17
32.653,1.020,1.020,65.306,0,31.633,2.041,1.020,65.306,0,31.959,2.062,1.031,64.948,0,30.108,2.151,0,67.742,0,168020992,958464,01-05 04:27:18
28.723,2.128,1.064,68.085,0,29.167,3.125,1.042,66.667,0,33.663,1.980,0.990,63.366,0,31,4,1,64,0,168098304,0,01-05 04:27:19
31.373,5.882,0.980,61.765,0,29.592,3.061,6.122,61.224,0,31.313,4.040,2.020,62.626,0,29.474,2.105,4.211,64.211,0,160509952,348160,01-05 04:27:20
30.526,3.158,0,66.316,0,30.526,2.105,0,67.368,0,29.897,3.093,1.031,65.979,0,34.615,2.885,0.962,61.538,0,168166912,53248,01-05 04:27:21
28.866,4.124,1.031,65.979,0,29.293,5.051,1.010,64.646,0,33,2,1,64,0,29.897,5.155,0,64.948,0,168113664,0,01-05 04:27:22
31.068,6.796,3.883,58.252,0,30.208,3.125,5.208,61.458,0,30.928,3.093,4.124,61.856,0,29.032,3.226,1.075,66.667,0,158980096,36864,01-05 04:27:23
31.959,3.093,0,64.948,0,32.323,2.020,1.010,64.646,0,28.125,5.208,0,66.667,0,31.250,2.083,1.042,65.625,0,166361600,917504,01-05 04:27:24
31.313,5.051,1.010,62.626,0,30.928,3.093,2.062,63.918,0,31.313,3.030,3.030,62.626,0,28,5,4,63,0,162099200,0,01-05 04:27:25
33.010,3.883,0.971,62.136,0,29.592,4.082,3.061,63.265,0,29.474,4.211,1.053,65.263,0,33.673,2.041,3.061,61.224,0,163823104,0,01-05 04:27:26
27.835,5.155,1.031,65.979,0,25,2.273,0,72.727,0,28,6,1,65,0,31.250,1.042,1.042,66.667,0,167732224,0,01-05 04:27:27
31.959,2.062,2.062,63.918,0,30.208,2.083,4.167,63.542,0,34.343,2.020,1.010,62.626,0,25.806,4.301,5.376,64.516,0,160919552,45056,01-05 04:27:28
29.167,4.167,0,66.667,0,30.303,4.040,1.010,64.646,0,32,2,1,65,0,30,5,1,64,0,167823360,921600,01-05 04:27:29
30,5,1,64,0,30.303,3.030,1.010,65.657,0,29.474,4.211,0,66.316,0,29.167,3.125,1.042,66.667,0,167610368,0,01-05 04:27:30
27.957,4.301,2.151,65.591,0,28.723,2.128,6.383,62.766,0,33.333,2.020,1.010,63.636,0,35.294,1.961,3.922,58.824,0,160734208,0,01-05 04:27:31
28.866,4.124,1.031,65.979,0,32.673,2.970,0.990,63.366,0,27.083,5.208,1.042,66.667,0,33.981,2.913,0.971,62.136,0,167539712,0,01-05 04:27:32
28.125,5.208,1.042,65.625,0,30.928,2.062,1.031,65.979,0,31,5,0,64,0,29.293,5.051,1.010,64.646,0,167331328,40960,01-05 04:27:33
31.959,2.062,2.062,63.918,0,31.579,2.105,0,66.316,0,29,6,6,59,0,25.843,2.247,4.494,67.416,0,159257600,921600,01-05 04:27:34
26.882,4.301,1.075,67.742,0,30.208,2.083,1.042,66.667,0,29,5,1,65,0,27.174,4.348,0,68.478,0,167588864,28672,01-05 04:27:35
32,3,1,64,0,30.303,4.040,1.010,64.646,0,26.087,3.261,1.087,69.565,0,26.374,2.198,1.099,70.330,0,168178176,0,01-05 04:27:36
28.723,2.128,4.255,64.894,0,30.303,3.030,5.051,61.616,0,34,3,1,62,0,32.673,3.960,2.970,60.396,0,161004032,0,01-05 04:27:37
29.474,3.158,0,67.368,0,30.612,3.061,1.020,65.306,0,33.010,4.854,0,62.136,0,31.313,3.030,1.010,64.646,0,167771648,49152,01-05 04:27:38
32,3,4,61,0,32.673,1.980,5.941,59.406,0,29.897,3.093,1.031,65.979,0,31.313,4.040,2.020,62.626,0,160712192,1081344,01-05 04:27:39
32.353,3.922,0.980,62.745,0,27.778,1.111,0,71.111,0,30.612,3.061,1.020,65.306,0,32.673,3.960,0.990,62.376,0,168076800,0,01-05 04:27:40
29.474,2.105,1.053,67.368,0,33.333,4.762,0.952,60.952,0,26.882,3.226,1.075,68.817,0,31.633,2.041,1.020,65.306,0,168408576,12288,01-05 04:27:41
29.293,5.051,5.051,60.606,0,31.579,1.053,4.211,63.158,0,35.052,1.031,0,63.918,0,28.421,2.105,5.263,64.211,0,159576064,0,01-05 04:27:42
29.787,4.255,0,65.957,0,31.068,5.825,0.971,62.136,0,31.313,4.040,1.010,63.636,0,28.125,4.167,1.042,66.667,0,166726144,45056,01-05 04:27:43
33.333,4.762,0.952,60.952,0,32.323,4.040,0,63.636,0,28.421,3.158,1.053,67.368,0,31.579,2.105,0,66.316,0,166833152,0,01-05 04:27:44
33.673,3.061,1.020,62.245,0,27.957,3.226,4.301,64.516,0,33.333,2.020,3.030,61.616,0,32.323,3.030,6.061,58.586,0,159240192,860160,01-05 04:27:45
31.250,3.125,0,65.625,0,26.882,3.226,1.075,68.817,0,26.087,3.261,1.087,69.565,0,30.303,4.040,1.010,64.646,0,167908864,0,01-05 04:27:46
28.261,1.087,1.087,69.565,0,29.293,5.051,1.010,64.646,0,28.421,4.211,0,67.368,0,30.526,2.105,0,67.368,0,167924736,12288,01-05 04:27:47
30.928,4.124,1.031,63.918,0,30.693,3.960,5.941,59.406,0,31.313,3.030,3.030,62.626,0,29.293,4.040,5.051,61.616,0,160075776,36864,01-05 04:27:48
30.108,2.151,0,67.742,0,31.633,2.041,1.020,65.306,0,30.928,3.093,0,65.979,0,32,4,0,64,0,167688704,0,01-05 04:27:49
33.663,3.960,0.990,61.386,0,30.612,2.041,6.122,61.224,0,28.421,4.211,3.158,64.211,0,27.835,4.124,5.155,62.887,0,160501248,958464,01-05 04:27:50
30.392,5.882,0.980,62.745,0,30.928,3.093,1.031,64.948,0,30.526,2.105,0,67.368,0,28.421,3.158,1.053,67.368,0,167933952,319488,01-05 04:27:51
29.474,3.158,1.053,66.316,0,25.532,6.383,1.064,67.021,0,29.474,3.158,1.053,66.316,0,31.633,3.061,0,65.306,0,167277568,0,01-05 04:27:52
31.373,4.902,2.941,60.784,0,28.125,5.208,4.167,62.500,0,29.592,5.102,4.082,61.224,0,29.897,4.124,3.093,62.887,0,159157248,65536,01-05 04:27:53
30.693,4.950,0.990,63.366,0,28.125,4.167,1.042,66.667,0,32.323,3.030,0,64.646,0,31.633,2.041,1.020,65.306,0,166956544,0,01-05 04:27:54
