"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node2.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","01 May 2025 04:12:53 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
25.566,2.504,68.716,3.213,0,26.159,2.591,68.037,3.213,0,24.322,2.388,69.984,3.305,0,26.796,2.545,67.410,3.249,0,106886534.721,183716376.752,01-05 04:12:53
0,0,100,0,0,2.020,0,97.980,0,0,2,1,97,0,0,0,0,100,0,0,12288,4096,01-05 04:12:54
19.802,3.960,76.238,0,0,22,2,76,0,0,21.212,2.020,76.768,0,0,19.388,4.082,76.531,0,0,0,0,01-05 04:12:55
56.842,8.421,30.526,4.211,0,47.959,10.204,41.837,0,0,65.306,2.041,32.653,0,0,51.515,5.051,42.424,1.010,0,1792512,136814592,01-05 04:12:56
55.102,6.122,38.776,0,0,39,8,53,0,0,44.554,5.941,49.505,0,0,38.384,4.040,57.576,0,0,0,2420736,01-05 04:12:57
54.902,4.902,39.216,0.980,0,39.394,3.030,56.566,1.010,0,37.755,2.041,60.204,0,0,44.444,4.040,49.495,2.020,0,1793024,136425472,01-05 04:12:58
48.980,7.143,39.796,4.082,0,40,8,52,0,0,45.455,3.030,50.505,1.010,0,49,6,45,0,0,1793024,136429568,01-05 04:12:59
47.525,6.931,44.554,0.990,0,50,5.102,44.898,0,0,49,5,46,0,0,51.485,4.950,43.564,0,0,0,14884864,01-05 04:13:00
52,7,40,1,0,68,6,23,3,0,72.277,7.921,16.832,2.970,0,57.426,6.931,34.653,0.990,0,169502720,257961984,01-05 04:13:01
53.125,6.250,40.625,0,0,58.824,6.863,30.392,3.922,0,60.606,6.061,29.293,4.040,0,52.083,6.250,35.417,6.250,0,101264384,545673216,01-05 04:13:02
39.394,5.051,54.545,1.010,0,49.495,6.061,42.424,2.020,0,41.414,4.040,52.525,2.020,0,48,4,48,0,0,1792000,136425472,01-05 04:13:03
42,7,51,0,0,47.475,4.040,48.485,0,0,43,5,52,0,0,47,3,50,0,0,0,0,01-05 04:13:04
39.806,3.883,56.311,0,0,44.444,3.030,52.525,0,0,42.424,5.051,50.505,2.020,0,38.614,2.970,57.426,0.990,0,1793024,136433664,01-05 04:13:05
48.485,9.091,39.394,3.030,0,50,7,41,2,0,56.566,8.081,32.323,3.030,0,51.485,4.950,43.564,0,0,81457152,204636160,01-05 04:13:06
58.763,7.216,32.990,1.031,0,65.347,2.970,29.703,1.980,0,59.406,8.911,26.733,4.950,0,63,6,27,4,0,141225984,276361216,01-05 04:13:07
67.347,8.163,23.469,1.020,0,67.347,6.122,26.531,0,0,59.596,5.051,33.333,2.020,0,52.041,5.102,42.857,0,0,164584960,136437760,01-05 04:13:08
57,9,26,8,0,56,7,29,8,0,45.361,8.247,44.330,2.062,0,57,8,29,6,0,81535488,750473216,01-05 04:13:09
