"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node1.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","01 May 2025 03:43:21 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
27.629,2.776,67.256,2.340,0,27.269,2.610,67.602,2.519,0,27.387,2.648,67.158,2.807,0,28.348,2.753,66.106,2.793,0,108646973.876,168159402.838,01-05 03:43:21
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,262144,4096,01-05 03:43:22
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,01-05 03:43:23
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,3399680,01-05 03:43:24
39.394,4.040,56.566,0,0,36,8,56,0,0,40.594,5.941,53.465,0,0,41.414,5.051,53.535,0,0,0,1863680,01-05 03:43:25
54.639,9.278,36.082,0,0,50,7.143,42.857,0,0,35.714,8.163,53.061,3.061,0,48.958,6.250,44.792,0,0,1792000,136691712,01-05 03:43:26
60.606,6.061,33.333,0,0,42.424,5.051,52.525,0,0,41.837,3.061,55.102,0,0,42.157,4.902,52.941,0,0,0,0,01-05 03:43:27
36.364,8.081,53.535,2.020,0,47.475,4.040,48.485,0,0,49,8,40,3,0,47.475,8.081,44.444,0,0,1793024,136429568,01-05 03:43:28
52,8,37,3,0,49.020,7.843,43.137,0,0,46.465,8.081,45.455,0,0,42,8,49,1,0,1793024,136523776,01-05 03:43:29
43.434,7.071,48.485,1.010,0,63.918,4.124,29.897,2.062,0,48.454,6.186,45.361,0,0,60,8,32,0,0,52108800,137355264,01-05 03:43:30
62.887,6.186,30.928,0,0,62.376,6.931,26.733,3.960,0,56.566,5.051,38.384,0,0,77.778,9.091,10.101,3.030,0,159320576,204599296,01-05 03:43:31
47,9,39,5,0,45.455,7.071,43.434,4.040,0,50,7,37,6,0,59,5,32,4,0,59338240,477437952,01-05 03:43:32
48.454,9.278,40.206,2.062,0,55,5,39,1,0,52,6,39,3,0,41.414,7.071,51.515,0,0,1792000,136425472,01-05 03:43:33
54.545,7.071,38.384,0,0,51.515,7.071,40.404,1.010,0,47.475,8.081,42.424,2.020,0,45.455,3.030,51.515,0,0,1793024,136593408,01-05 03:43:34
27.551,3.061,69.388,0,0,46.535,7.921,45.545,0,0,58,7,35,0,0,51,9,40,0,0,0,884736,01-05 03:43:35
61.765,6.863,27.451,3.922,0,55.102,5.102,37.755,2.041,0,61.386,5.941,30.693,1.980,0,60,6,31,3,0,135951360,204648448,01-05 03:43:36
67.347,3.061,29.592,0,0,69.697,3.030,20.202,7.071,0,35.354,5.051,56.566,3.030,0,75.758,7.071,14.141,3.030,0,160088576,341065728,01-05 03:43:37
72,7,15,6,0,57,10,33,0,0,66.667,9.091,23.232,1.010,0,67.347,7.143,22.449,3.061,0,159193600,272805888,01-05 03:43:38
51.515,6.061,34.343,8.081,0,45.918,6.122,46.939,1.020,0,46.078,7.843,42.157,3.922,0,42.857,5.102,47.959,4.082,0,13568000,545669120,01-05 03:43:39
30.303,5.051,59.596,5.051,0,61.386,5.941,30.693,1.980,0,38,5,57,0,0,48,6,45,1,0,1792512,136450048,01-05 03:43:40
48.980,8.163,39.796,3.061,0,53.061,5.102,41.837,0,0,66.667,6.061,25.253,2.020,0,38,4,57,1,0,66772992,137367552,01-05 03:43:41
64.286,6.122,29.592,0,0,55,6,39,0,0,82.828,7.071,1.010,9.091,0,57.143,4.082,38.776,0,0,164597760,204603392,01-05 03:43:42
57.843,6.863,31.373,3.922,0,62,5,33,0,0,70.297,3.960,22.772,2.970,0,71,8,18,3,0,164278272,272850944,01-05 03:43:43
63.265,4.082,21.429,11.224,0,58.586,7.071,28.283,6.061,0,62.500,8.333,25,4.167,0,62.887,7.216,16.495,13.402,0,152612864,818425856,01-05 03:43:44
54.545,6.061,36.364,3.030,0,35,5,50,10,0,46.602,2.913,49.515,0.971,0,48.485,5.051,43.434,3.030,0,47768064,340996096,01-05 03:43:45
54.545,2.020,43.434,0,0,32.353,7.843,59.804,0,0,41,4,55,0,0,49.020,5.882,45.098,0,0,3719168,1015808,01-05 03:43:46
59.184,3.061,34.694,3.061,0,53.125,1.042,45.833,0,0,69.388,4.082,23.469,3.061,0,53.535,2.020,40.404,4.040,0,151710720,272850944,01-05 03:43:47
68.317,5.941,20.792,4.950,0,58.586,4.040,35.354,2.020,0,54.082,5.102,39.796,1.020,0,73,4,21,2,0,164280832,272842752,01-05 03:43:48
64,7,28,1,0,64.948,5.155,28.866,1.031,0,65.306,5.102,26.531,3.061,0,59.596,6.061,32.323,2.020,0,153808384,273580032,01-05 03:43:49
54.545,7.071,30.303,8.081,0,58,6,25,11,0,53,6,36,5,0,70,7,18,5,0,176155648,817491968,01-05 03:43:50
59,8,29,4,0,70.297,1.980,24.752,2.970,0,61.386,7.921,25.743,4.950,0,52.475,6.931,37.624,2.970,0,166973952,409264128,01-05 03:43:51
56.863,6.863,35.294,0.980,0,66.327,5.102,20.408,8.163,0,59,4,31,6,0,65.347,5.941,24.752,3.960,0,172047872,387530240,01-05 03:43:52
54.082,5.102,31.633,9.184,0,69.903,7.767,19.417,2.913,0,59.596,4.040,32.323,4.040,0,68,4,26,2,0,164085248,431026688,01-05 03:43:53
