"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node2.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","01 May 2025 04:00:26 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
27.636,2.737,66.903,2.724,0,28.300,2.835,66.161,2.703,0,26.151,2.605,68.475,2.768,0,28.916,2.776,65.638,2.671,0,117293695.755,204849253.679,01-05 04:00:26
0,1.010,98.990,0,0,0,0,100,0,0,0,0,100,0,0,1.010,1.010,97.980,0,0,0,1589248,01-05 04:00:27
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,01-05 04:00:28
11.881,1.980,62.376,23.762,0,12,1,62,25,0,12.745,1.961,61.765,23.529,0,10.204,2.041,64.286,23.469,0,62607360,0,01-05 04:00:29
15.625,1.042,50,33.333,0,15.464,1.031,53.608,29.897,0,15.625,1.042,52.083,31.250,0,14.141,4.040,52.525,29.293,0,79875072,65536,01-05 04:00:30
21.649,2.062,48.454,27.835,0,24.510,1.961,46.078,27.451,0,26.263,2.020,40.404,31.313,0,21.569,1.961,55.882,20.588,0,73112064,0,01-05 04:00:31
30.928,2.062,27.835,39.175,0,20.388,2.913,52.427,24.272,0,23,1,49,27,0,7,1,83,9,0,65835520,475136,01-05 04:00:32
31.313,2.020,31.313,35.354,0,21.649,2.062,51.546,24.742,0,21.429,2.041,48.980,27.551,0,13.725,0.980,78.431,6.863,0,61935616,0,01-05 04:00:33
9.901,0.990,80.198,8.911,0,21.569,2.941,50.980,24.510,0,19.388,2.041,52.041,26.531,0,25.490,0.980,45.098,28.431,0,59388416,0,01-05 04:00:34
22.917,2.083,44.792,30.208,0,18.947,1.053,57.895,22.105,0,10.891,0.990,75.248,12.871,0,18.367,1.020,57.143,23.469,0,57561088,0,01-05 04:00:35
5.102,1.020,87.755,6.122,0,22.449,1.020,53.061,23.469,0,28.713,2.970,38.614,29.703,0,18.367,1.020,57.143,23.469,0,54810624,40960,01-05 04:00:36
0,0,100,0,0,16.495,1.031,59.794,22.680,0,16.667,2.941,60.784,19.608,0,31.683,4.950,25.743,37.624,0,53878784,16384,01-05 04:00:37
9.901,0.990,82.178,6.931,0,26.471,2.941,45.098,25.490,0,23,0,55,22,0,25.773,3.093,45.361,25.773,0,53279744,32768,01-05 04:00:38
