
/usr/bin/java -Xmx64G -XX:MaxDirectMemorySize=64G -classpath /root/YCSB/conf:/root/YCSB/core/target/core-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/rocksdb-binding-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/dependency/HdrHistogram-2.1.4.jar:/root/YCSB/rocksdb/target/dependency/animal-sniffer-annotations-1.19.jar:/root/YCSB/rocksdb/target/dependency/annotations-4.1.1.4.jar:/root/YCSB/rocksdb/target/dependency/checker-compat-qual-2.5.5.jar:/root/YCSB/rocksdb/target/dependency/error_prone_annotations-2.4.0.jar:/root/YCSB/rocksdb/target/dependency/failureaccess-1.0.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-api-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-context-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-core-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-netty-shaded-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-lite-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-stub-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/gson-2.8.6.jar:/root/YCSB/rocksdb/target/dependency/guava-30.0-android.jar:/root/YCSB/rocksdb/target/dependency/htrace-core4-4.1.0-incubating.jar:/root/YCSB/rocksdb/target/dependency/j2objc-annotations-1.3.jar:/root/YCSB/rocksdb/target/dependency/jcip-annotations-1.0.jar:/root/YCSB/rocksdb/target/dependency/jsr305-3.0.2.jar:/root/YCSB/rocksdb/target/dependency/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar:/root/YCSB/rocksdb/target/dependency/perfmark-api-0.23.0.jar:/root/YCSB/rocksdb/target/dependency/proto-google-common-protos-2.0.1.jar:/root/YCSB/rocksdb/target/dependency/protobuf-java-3.12.0.jar:/root/YCSB/rocksdb/target/dependency/rocksdbjni-6.14.0.jar:/root/YCSB/rocksdb/target/dependency/slf4j-api-1.7.25.jar:/root/YCSB/rocksdb/target/dependency/slf4j-simple-1.7.25.jar site.ycsb.Client -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadd -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=2 -p status.interval=1000 -p target=80000 -threads 4
Command line: -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadd -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=2 -p status.interval=1000 -p target=80000 -threads 4
threadcount: 4
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
[Thread-2] INFO site.ycsb.db.rocksdb.RocksDBClient - RocksDB data dir: null
2025-05-01 03:43:23:902 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2025-05-01 03:43:24:879 1 sec: 22000 operations; 22000 current ops/sec; est completion in 18 minutes [INSERT: Count=23000, Max=456959, Min=320256, Avg=405042.09, 90=453119, 99=456959, 99.9=456959, 99.99=456959] 
2025-05-01 03:43:25:879 2 sec: 125000 operations; 103000 current ops/sec; est completion in 6 minutes [INSERT: Count=102000, Max=391935, Min=38144, Avg=132587.61, 90=278783, 99=351999, 99.9=391935, 99.99=391935] 
2025-05-01 03:43:26:879 3 sec: 208000 operations; 83000 current ops/sec; est completion in 5 minutes [INSERT: Count=83000, Max=81535, Min=39520, Avg=58395.37, 90=72319, 99=81535, 99.9=81535, 99.99=81535] 
2025-05-01 03:43:27:879 4 sec: 286000 operations; 78000 current ops/sec; est completion in 5 minutes [INSERT: Count=78000, Max=95999, Min=36384, Avg=59726.77, 90=74879, 99=95999, 99.9=95999, 99.99=95999] 
2025-05-01 03:43:28:879 5 sec: 365000 operations; 79000 current ops/sec; est completion in 5 minutes [INSERT: Count=79000, Max=136831, Min=39072, Avg=68350.58, 90=86463, 99=136831, 99.9=136831, 99.99=136831] 
2025-05-01 03:43:29:879 6 sec: 448000 operations; 83000 current ops/sec; est completion in 5 minutes [INSERT: Count=83000, Max=102399, Min=32752, Avg=63781.69, 90=77375, 99=102399, 99.9=102399, 99.99=102399] 
2025-05-01 03:43:30:879 7 sec: 526000 operations; 78000 current ops/sec; est completion in 5 minutes [INSERT: Count=78000, Max=103935, Min=35040, Avg=64454.36, 90=85823, 99=103935, 99.9=103935, 99.99=103935] 
2025-05-01 03:43:31:879 8 sec: 608000 operations; 82000 current ops/sec; est completion in 5 minutes [INSERT: Count=82000, Max=128895, Min=35232, Avg=68498.73, 90=84863, 99=128895, 99.9=128895, 99.99=128895] 
2025-05-01 03:43:32:879 9 sec: 686000 operations; 78000 current ops/sec; est completion in 5 minutes [INSERT: Count=78000, Max=79231, Min=31568, Avg=57409.74, 90=70591, 99=79231, 99.9=79231, 99.99=79231] 
2025-05-01 03:43:33:879 10 sec: 762000 operations; 76000 current ops/sec; est completion in 5 minutes [INSERT: Count=76000, Max=94847, Min=38944, Avg=65103.79, 90=80703, 99=94847, 99.9=94847, 99.99=94847] 
2025-05-01 03:43:34:879 11 sec: 845000 operations; 83000 current ops/sec; est completion in 5 minutes [INSERT: Count=83000, Max=89279, Min=34304, Avg=60479.81, 90=75199, 99=89279, 99.9=89279, 99.99=89279] 
2025-05-01 03:43:35:879 12 sec: 927000 operations; 82000 current ops/sec; est completion in 5 minutes [INSERT: Count=82000, Max=100415, Min=35872, Avg=61598.05, 90=83647, 99=100415, 99.9=100415, 99.99=100415] 
2025-05-01 03:43:36:879 13 sec: 1007000 operations; 80000 current ops/sec; est completion in 5 minutes [INSERT: Count=80000, Max=126015, Min=35872, Avg=49429.4, 90=70015, 99=126015, 99.9=126015, 99.99=126015] 
2025-05-01 03:43:37:879 14 sec: 1081000 operations; 74000 current ops/sec; est completion in 5 minutes [INSERT: Count=74000, Max=103615, Min=37216, Avg=63046.92, 90=83775, 99=103615, 99.9=103615, 99.99=103615] 
2025-05-01 03:43:38:879 15 sec: 1166000 operations; 85000 current ops/sec; est completion in 5 minutes [INSERT: Count=85000, Max=125823, Min=37792, Avg=72934.02, 90=104767, 99=125823, 99.9=125823, 99.99=125823] 
2025-05-01 03:43:39:879 16 sec: 1246000 operations; 80000 current ops/sec; est completion in 5 minutes [INSERT: Count=80000, Max=114687, Min=29856, Avg=58730.7, 90=88191, 99=114687, 99.9=114687, 99.99=114687] 
2025-05-01 03:43:40:879 17 sec: 1325000 operations; 79000 current ops/sec; est completion in 5 minutes [INSERT: Count=79000, Max=92351, Min=33504, Avg=56446.99, 90=77311, 99=92351, 99.9=92351, 99.99=92351] 
2025-05-01 03:43:41:879 18 sec: 1406000 operations; 81000 current ops/sec; est completion in 5 minutes [INSERT: Count=81000, Max=95743, Min=35680, Avg=63926.72, 90=89151, 99=95743, 99.9=95743, 99.99=95743] 
2025-05-01 03:43:42:879 19 sec: 1485000 operations; 79000 current ops/sec; est completion in 5 minutes [INSERT: Count=79000, Max=143359, Min=40704, Avg=73857.22, 90=110143, 99=143359, 99.9=143359, 99.99=143359] 
2025-05-01 03:43:43:879 20 sec: 1566000 operations; 81000 current ops/sec; est completion in 5 minutes [INSERT: Count=81000, Max=118655, Min=34496, Avg=64424.89, 90=88447, 99=118655, 99.9=118655, 99.99=118655] 
2025-05-01 03:43:44:879 21 sec: 1647000 operations; 81000 current ops/sec; est completion in 4 minutes [INSERT: Count=81000, Max=80575, Min=32832, Avg=49879.7, 90=63071, 99=80575, 99.9=80575, 99.99=80575] 
2025-05-01 03:43:45:879 22 sec: 1725000 operations; 78000 current ops/sec; est completion in 4 minutes [INSERT: Count=78000, Max=67775, Min=34720, Avg=45559.79, 90=60543, 99=67775, 99.9=67775, 99.99=67775] 
2025-05-01 03:43:46:879 23 sec: 1806000 operations; 81000 current ops/sec; est completion in 4 minutes [INSERT: Count=81000, Max=94079, Min=31264, Avg=49767.41, 90=65855, 99=94079, 99.9=94079, 99.99=94079] 
