/usr/bin/java -Xmx64G -XX:MaxDirectMemorySize=64G -classpath /root/YCSB/conf:/root/YCSB/core/target/core-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/rocksdb-binding-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/dependency/HdrHistogram-2.1.4.jar:/root/YCSB/rocksdb/target/dependency/animal-sniffer-annotations-1.19.jar:/root/YCSB/rocksdb/target/dependency/annotations-4.1.1.4.jar:/root/YCSB/rocksdb/target/dependency/checker-compat-qual-2.5.5.jar:/root/YCSB/rocksdb/target/dependency/error_prone_annotations-2.4.0.jar:/root/YCSB/rocksdb/target/dependency/failureaccess-1.0.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-api-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-context-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-core-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-netty-shaded-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-lite-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-stub-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/gson-2.8.6.jar:/root/YCSB/rocksdb/target/dependency/guava-30.0-android.jar:/root/YCSB/rocksdb/target/dependency/htrace-core4-4.1.0-incubating.jar:/root/YCSB/rocksdb/target/dependency/j2objc-annotations-1.3.jar:/root/YCSB/rocksdb/target/dependency/jcip-annotations-1.0.jar:/root/YCSB/rocksdb/target/dependency/jsr305-3.0.2.jar:/root/YCSB/rocksdb/target/dependency/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar:/root/YCSB/rocksdb/target/dependency/perfmark-api-0.23.0.jar:/root/YCSB/rocksdb/target/dependency/proto-google-common-protos-2.0.1.jar:/root/YCSB/rocksdb/target/dependency/protobuf-java-3.12.0.jar:/root/YCSB/rocksdb/target/dependency/rocksdbjni-6.14.0.jar:/root/YCSB/rocksdb/target/dependency/slf4j-api-1.7.25.jar:/root/YCSB/rocksdb/target/dependency/slf4j-simple-1.7.25.jar site.ycsb.Client -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadd -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=2 -p status.interval=1000 -p target=120000 -threads 4
Command line: -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadd -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=2 -p status.interval=1000 -p target=120000 -threads 4
threadcount: 4
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
[Thread-5] INFO site.ycsb.db.rocksdb.RocksDBClient - RocksDB data dir: null
2025-05-01 03:54:06:831 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2025-05-01 03:54:07:809 1 sec: 40000 operations; 40000 current ops/sec; est completion in 10 minutes [INSERT: Count=40000, Max=451839, Min=298752, Avg=379545.6, 90=446719, 99=451839, 99.9=451839, 99.99=451839] 
2025-05-01 03:54:08:808 2 sec: 184000 operations; 144000 current ops/sec; est completion in 4 minutes [INSERT: Count=144000, Max=268287, Min=37888, Avg=100119.56, 90=226431, 99=267007, 99.9=268287, 99.99=268287] 
2025-05-01 03:54:09:808 3 sec: 306000 operations; 122000 current ops/sec; est completion in 4 minutes [INSERT: Count=122000, Max=78399, Min=40992, Avg=61437.77, 90=68159, 99=77183, 99.9=78399, 99.99=78399] 
2025-05-01 03:54:10:808 4 sec: 425000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=77183, Min=32416, Avg=55603.97, 90=63743, 99=73151, 99.9=77183, 99.99=77183] 
2025-05-01 03:54:11:808 5 sec: 548000 operations; 123000 current ops/sec; est completion in 3 minutes [INSERT: Count=123000, Max=78015, Min=31744, Avg=58664.52, 90=70079, 99=77695, 99.9=78015, 99.99=78015] 
2025-05-01 03:54:12:808 6 sec: 670000 operations; 122000 current ops/sec; est completion in 3 minutes [INSERT: Count=122000, Max=73855, Min=33312, Avg=51821.25, 90=62431, 99=70399, 99.9=73855, 99.99=73855] 
2025-05-01 03:54:13:808 7 sec: 788000 operations; 118000 current ops/sec; est completion in 3 minutes [INSERT: Count=118000, Max=74559, Min=35744, Avg=55950.64, 90=63583, 99=74111, 99.9=74559, 99.99=74559] 
2025-05-01 03:54:14:808 8 sec: 909000 operations; 121000 current ops/sec; est completion in 3 minutes [INSERT: Count=121000, Max=75583, Min=32640, Avg=50911.93, 90=60511, 99=75519, 99.9=75583, 99.99=75583] 
2025-05-01 03:54:15:809 9 sec: 1029000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=73215, Min=31664, Avg=51759.67, 90=61183, 99=73215, 99.9=73215, 99.99=73215] 
2025-05-01 03:54:16:808 10 sec: 1149000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=74239, Min=32272, Avg=52093.67, 90=60831, 99=73791, 99.9=74239, 99.99=74239] 
2025-05-01 03:54:17:808 11 sec: 1270000 operations; 121000 current ops/sec; est completion in 3 minutes [INSERT: Count=121000, Max=77055, Min=32928, Avg=53496.33, 90=62399, 99=77055, 99.9=77055, 99.99=77055] 
2025-05-01 03:54:18:808 12 sec: 1387000 operations; 117000 current ops/sec; est completion in 3 minutes [INSERT: Count=117000, Max=71423, Min=35456, Avg=57496.21, 90=63839, 99=71167, 99.9=71423, 99.99=71423] 
2025-05-01 03:54:19:808 13 sec: 1506000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=76927, Min=32704, Avg=57770.02, 90=65087, 99=75903, 99.9=76927, 99.99=76927] 
2025-05-01 03:54:20:808 14 sec: 1626000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=73151, Min=31440, Avg=56768.07, 90=64671, 99=72895, 99.9=73151, 99.99=73151] 
