"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node2.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","01 May 2025 03:33:28 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
24.560,2.426,70.493,2.521,0,24.803,2.483,70.087,2.627,0,22.624,2.238,72.522,2.616,0,25.037,2.399,70.066,2.498,0,103513179.677,189952559.560,01-05 03:33:28
0,0,100,0,0,2.970,0,97.030,0,0,0,0,100,0,0,0,0,100,0,0,0,4096,01-05 03:33:29
33.673,7.143,47.959,11.224,0,36.634,5.941,45.545,11.881,0,37.755,4.082,46.939,11.224,0,36.735,5.102,46.939,11.224,0,127027200,24576,01-05 03:33:30
80,10,0,10,0,79.798,10.101,0,10.101,0,79.167,10.417,0,10.417,0,78.788,10.101,0,11.111,0,271658496,0,01-05 03:33:31
80.612,10.204,0,9.184,0,79,12,0,9,0,77.083,12.500,1.042,9.375,0,79.412,9.804,0.980,9.804,0,259408384,2035712,01-05 03:33:32
80.612,12.245,0,7.143,0,81.818,11.111,0,7.071,0,78.947,13.684,0,7.368,0,80.612,12.245,0,7.143,0,270955520,0,01-05 03:33:33
79.167,13.542,0,7.292,0,80,13,0,7,0,80.808,11.111,0,8.081,0,86.598,7.216,0,6.186,0,254758400,0,01-05 03:33:34
80,13,0,7,0,76.768,15.152,1.010,7.071,0,80.612,12.245,1.020,6.122,0,79.208,13.861,0,6.931,0,263176192,1454080,01-05 03:33:35
79.381,13.402,0,7.216,0,78.947,13.684,0,7.368,0,80,14,0,6,0,82.653,11.224,0,6.122,0,245741568,0,01-05 03:33:36
79.412,14.706,0,5.882,0,81.373,12.745,0,5.882,0,84.158,9.901,0,5.941,0,82,12,0,6,0,256986624,49152,01-05 03:33:37
82.653,10.204,2.041,5.102,0,80.412,12.371,0,7.216,0,80,13,1,6,0,82.105,10.526,0,7.368,0,246107648,12288,01-05 03:33:38
80.612,14.286,0,5.102,0,84,10,0,6,0,83.505,11.340,0,5.155,0,81.633,13.265,0,5.102,0,245516288,0,01-05 03:33:39
82.474,11.340,0,6.186,0,78.351,16.495,0,5.155,0,81.633,13.265,0,5.102,0,83.673,10.204,0,6.122,0,249027584,0,01-05 03:33:40
82.828,10.101,1.010,6.061,0,80.208,12.500,0,7.292,0,81.633,10.204,0,8.163,0,80.808,12.121,0,7.071,0,229157376,4096,01-05 03:33:41
81.818,14.141,0,4.040,0,82.178,13.861,0,3.960,0,80.808,13.131,1.010,5.051,0,80.392,14.706,0,4.902,0,246623744,36864,01-05 03:33:42
81.818,11.111,0,7.071,0,78.571,14.286,0,7.143,0,84.848,10.101,0,5.051,0,84.375,7.292,1.042,7.292,0,227165184,0,01-05 03:33:43
84.536,10.309,0,5.155,0,84.314,10.784,0,4.902,0,81.633,13.265,0,5.102,0,84.694,10.204,0,5.102,0,237885952,16384,01-05 03:33:44
79.208,14.851,0,5.941,0,82.692,9.615,0.962,6.731,0,83.505,10.309,0,6.186,0,84.314,9.804,0,5.882,0,221306368,2252800,01-05 03:33:45
81.633,14.286,0,4.082,0,86.139,8.911,0,4.950,0,84,12,0,4,0,84.848,11.111,0,4.040,0,236746240,155648,01-05 03:33:46
77.320,16.495,0,6.186,0,84.536,10.309,0,5.155,0,83.838,10.101,0,6.061,0,81.818,12.121,0,6.061,0,220889088,0,01-05 03:33:47
87.879,7.071,0,5.051,0,84.848,11.111,0,4.040,0,83.838,11.111,0,5.051,0,81.818,13.131,0,5.051,0,230621184,45056,01-05 03:33:48
85.714,9.184,0,5.102,0,86.735,8.163,0,5.102,0,83.505,11.340,0,5.155,0,81.818,13.131,0,5.051,0,233701888,28672,01-05 03:33:49
82.828,11.111,1.010,5.051,0,85,8,0,7,0,84.694,9.184,0,6.122,0,85,8,1,6,0,220774912,0,01-05 03:33:50
83.168,12.871,0,3.960,0,88,8,0,4,0,82.178,12.871,0.990,3.960,0,85.714,10.204,0,4.082,0,225574912,0,01-05 03:33:51
84.158,10.891,0,4.950,0,82,14,0,4,0,87,9,0,4,0,83.505,11.340,1.031,4.124,0,215612416,0,01-05 03:33:52
89,9,0,2,0,92.929,6.061,0,1.010,0,88,10,0,2,0,86.869,10.101,0,3.030,0,192115712,53248,01-05 03:33:53
81.818,11.111,0,7.071,0,85.437,7.767,0,6.796,0,82.828,8.081,0,9.091,0,85.149,8.911,0,5.941,0,224517632,136400896,01-05 03:33:54
83.838,11.111,0,5.051,0,78.788,15.152,0,6.061,0,84.694,10.204,0,5.102,0,81.443,12.371,0,6.186,0,236300800,2359296,01-05 03:33:55
