
/usr/bin/java -Xmx64G -XX:MaxDirectMemorySize=64G -classpath /root/YCSB/conf:/root/YCSB/core/target/core-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/rocksdb-binding-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/dependency/HdrHistogram-2.1.4.jar:/root/YCSB/rocksdb/target/dependency/animal-sniffer-annotations-1.19.jar:/root/YCSB/rocksdb/target/dependency/annotations-4.1.1.4.jar:/root/YCSB/rocksdb/target/dependency/checker-compat-qual-2.5.5.jar:/root/YCSB/rocksdb/target/dependency/error_prone_annotations-2.4.0.jar:/root/YCSB/rocksdb/target/dependency/failureaccess-1.0.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-api-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-context-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-core-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-netty-shaded-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-lite-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-stub-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/gson-2.8.6.jar:/root/YCSB/rocksdb/target/dependency/guava-30.0-android.jar:/root/YCSB/rocksdb/target/dependency/htrace-core4-4.1.0-incubating.jar:/root/YCSB/rocksdb/target/dependency/j2objc-annotations-1.3.jar:/root/YCSB/rocksdb/target/dependency/jcip-annotations-1.0.jar:/root/YCSB/rocksdb/target/dependency/jsr305-3.0.2.jar:/root/YCSB/rocksdb/target/dependency/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar:/root/YCSB/rocksdb/target/dependency/perfmark-api-0.23.0.jar:/root/YCSB/rocksdb/target/dependency/proto-google-common-protos-2.0.1.jar:/root/YCSB/rocksdb/target/dependency/protobuf-java-3.12.0.jar:/root/YCSB/rocksdb/target/dependency/rocksdbjni-6.14.0.jar:/root/YCSB/rocksdb/target/dependency/slf4j-api-1.7.25.jar:/root/YCSB/rocksdb/target/dependency/slf4j-simple-1.7.25.jar site.ycsb.Client -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadf -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=2 -p status.interval=1000 -p target=80000 -threads 4
Command line: -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadf -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=2 -p status.interval=1000 -p target=80000 -threads 4
threadcount: 4
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
[Thread-5] INFO site.ycsb.db.rocksdb.RocksDBClient - RocksDB data dir: null
2025-05-01 03:19:06:227 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2025-05-01 03:19:07:204 1 sec: 21000 operations; 20979.02 current ops/sec; est completion in 19 minutes [INSERT: Count=21000, Max=448255, Min=310016, Avg=396976.76, 90=440063, 99=448255, 99.9=448255, 99.99=448255] 
2025-05-01 03:19:08:204 2 sec: 123000 operations; 102000 current ops/sec; est completion in 6 minutes [INSERT: Count=102000, Max=378623, Min=41248, Avg=125866.2, 90=272895, 99=360703, 99.9=378623, 99.99=378623] 
2025-05-01 03:19:09:204 3 sec: 203000 operations; 80000 current ops/sec; est completion in 6 minutes [INSERT: Count=80000, Max=80319, Min=37344, Avg=57371.2, 90=69439, 99=80319, 99.9=80319, 99.99=80319] 
2025-05-01 03:19:10:204 4 sec: 282000 operations; 79000 current ops/sec; est completion in 5 minutes [INSERT: Count=79000, Max=87871, Min=36576, Avg=57375.8, 90=73279, 99=87871, 99.9=87871, 99.99=87871] 
2025-05-01 03:19:11:204 5 sec: 363000 operations; 81000 current ops/sec; est completion in 5 minutes [INSERT: Count=81500, Max=97791, Min=32960, Avg=62168.93, 90=85695, 99=97791, 99.9=97791, 99.99=97791] 
2025-05-01 03:19:12:204 6 sec: 446000 operations; 83000 current ops/sec; est completion in 5 minutes [INSERT: Count=82500, Max=82111, Min=33216, Avg=53374.06, 90=68351, 99=82111, 99.9=82111, 99.99=82111] 
2025-05-01 03:19:13:204 7 sec: 524000 operations; 78000 current ops/sec; est completion in 5 minutes [INSERT: Count=78000, Max=107967, Min=34944, Avg=53111.18, 90=73663, 99=107967, 99.9=107967, 99.99=107967] 
2025-05-01 03:19:14:204 8 sec: 604000 operations; 80000 current ops/sec; est completion in 5 minutes [INSERT: Count=80000, Max=118015, Min=33728, Avg=56105.4, 90=78527, 99=118015, 99.9=118015, 99.99=118015] 
2025-05-01 03:19:15:204 9 sec: 684000 operations; 80000 current ops/sec; est completion in 5 minutes [INSERT: Count=80000, Max=86655, Min=31056, Avg=48277.8, 90=64575, 99=86655, 99.9=86655, 99.99=86655] 
2025-05-01 03:19:16:204 10 sec: 762000 operations; 78000 current ops/sec; est completion in 5 minutes [INSERT: Count=78000, Max=90111, Min=34592, Avg=55997.13, 90=75647, 99=90111, 99.9=90111, 99.99=90111] 
2025-05-01 03:19:17:204 11 sec: 843000 operations; 81000 current ops/sec; est completion in 5 minutes [INSERT: Count=81000, Max=104511, Min=32560, Avg=47250.27, 90=67199, 99=104511, 99.9=104511, 99.99=104511] 
2025-05-01 03:19:18:204 12 sec: 926000 operations; 83000 current ops/sec; est completion in 5 minutes [INSERT: Count=83000, Max=87103, Min=33280, Avg=50492.92, 90=65663, 99=87103, 99.9=87103, 99.99=87103] 
2025-05-01 03:19:19:204 13 sec: 1005000 operations; 79000 current ops/sec; est completion in 5 minutes [INSERT: Count=79000, Max=78719, Min=30352, Avg=44808.61, 90=59679, 99=78719, 99.9=78719, 99.99=78719] 
2025-05-01 03:19:20:204 14 sec: 1083000 operations; 78000 current ops/sec; est completion in 5 minutes [INSERT: Count=78000, Max=81215, Min=35168, Avg=48763.9, 90=67071, 99=81215, 99.9=81215, 99.99=81215] 
2025-05-01 03:19:21:204 15 sec: 1165000 operations; 82000 current ops/sec; est completion in 5 minutes [INSERT: Count=82000, Max=92543, Min=35264, Avg=48776.59, 90=67263, 99=92543, 99.9=92543, 99.99=92543] 
