"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node2.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","01 May 2025 02:40:07 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
0.032,0.543,99.424,0.001,0,0.002,0.269,99.729,0,0,0.010,0.060,99.930,0,0,0.003,0.048,99.947,0.001,0,242302.061,33553.651,01-05 02:40:07
0,0,100,0,0,3,0,97,0,0,2.941,0.980,96.078,0,0,0,0,100,0,0,1060864,0,01-05 02:40:08
23,2,75,0,0,21.782,2.970,75.248,0,0,21,2,77,0,0,19,3,78,0,0,94208,3428352,01-05 02:40:09
45.545,6.931,47.525,0,0,65.657,7.071,26.263,1.010,0,55,5,40,0,0,48.980,5.102,44.898,1.020,0,1964544,136822784,01-05 02:40:10
39.394,5.051,55.556,0,0,37.624,7.921,54.455,0,0,38,7,55,0,0,37.624,3.960,58.416,0,0,4096,643072,01-05 02:40:11
40.404,6.061,52.525,1.010,0,45,5,49,1,0,41.414,3.030,52.525,3.030,0,42.424,4.040,52.525,1.010,0,1817600,136499200,01-05 02:40:12
38.614,5.941,54.455,0.990,0,36.364,4.040,59.596,0,0,36.364,5.051,58.586,0,0,44.898,2.041,51.020,2.041,0,1796608,136445952,01-05 02:40:13
35.354,4.040,60.606,0,0,41.414,3.030,55.556,0,0,43,4,53,0,0,45,4,51,0,0,4096,20487680,01-05 02:40:14
55.556,3.030,39.394,2.020,0,64.646,5.051,28.283,2.020,0,66.667,2.941,26.471,3.922,0,46,6,47,1,0,169514496,252371456,01-05 02:40:15
59.596,3.030,28.283,9.091,0,58,6,31,5,0,54,4,37,5,0,41,9,44,6,0,101285888,545677312,01-05 02:40:16
35,4,60,1,0,41.176,1.961,55.882,0.980,0,40.404,2.020,56.566,1.010,0,38.384,4.040,53.535,4.040,0,1792000,136437760,01-05 02:40:17
31.633,0,68.367,0,0,16,3,81,0,0,47.525,0.990,51.485,0,0,49,2,49,0,0,0,32768,01-05 02:40:18
31,3,66,0,0,40.404,1.010,57.576,1.010,0,46.465,1.010,51.515,1.010,0,21.429,4.082,72.449,2.041,0,1842176,136458240,01-05 02:40:19
55.556,1.010,43.434,0,0,44.330,3.093,52.577,0,0,65.657,5.051,25.253,4.040,0,36.364,4.040,55.556,4.040,0,88555520,204656640,01-05 02:40:20
60.784,3.922,30.392,4.902,0,54.455,7.921,36.634,0.990,0,72,4,19,5,0,67.677,6.061,24.242,2.020,0,162191360,272850944,01-05 02:40:21
69.388,6.122,20.408,4.082,0,56,6,37,1,0,58.763,7.216,34.021,0,0,56,5,39,0,0,156198400,136404992,01-05 02:40:22
60.606,2.020,36.364,1.010,0,39.583,6.250,46.875,7.292,0,45.455,6.061,35.354,13.131,0,57,3,37,3,0,62784512,750280704,01-05 02:40:23
37.255,3.922,58.824,0,0,50.495,7.921,38.614,2.970,0,30.693,4.950,62.376,1.980,0,45.918,6.122,47.959,0,0,1793024,136437760,01-05 02:40:24
48.980,3.061,47.959,0,0,54.455,6.931,37.624,0.990,0,52,5,40,3,0,33.673,3.061,61.224,2.041,0,12282368,125287936,01-05 02:40:25
66.337,4.950,25.743,2.970,0,60.606,3.030,36.364,0,0,57.426,3.960,37.624,0.990,0,63.636,4.040,30.303,2.020,0,162482176,156111360,01-05 02:40:26
69,5,22,4,0,72,3,23,2,0,60.606,7.071,27.273,5.051,0,55.556,5.051,39.394,0,0,166390272,272850944,01-05 02:40:27
78.218,4.950,10.891,5.941,0,56.436,8.911,29.703,4.950,0,65.657,6.061,18.182,10.101,0,62.745,5.882,27.451,3.922,0,150572544,750149632,01-05 02:40:28
63.636,4.040,31.313,1.010,0,73.737,4.040,19.192,3.030,0,69.307,6.931,19.802,3.960,0,50.505,4.040,43.434,2.020,0,168471552,204746752,01-05 02:40:29
62,6,27,5,0,40.206,4.124,49.485,6.186,0,42,6,47,5,0,48.515,6.931,40.594,3.960,0,75886592,545525760,01-05 02:40:30
54.455,3.960,39.604,1.980,0,67.327,4.950,23.762,3.960,0,42,2,55,1,0,47.525,3.960,46.535,1.980,0,100322816,204677120,01-05 02:40:31
55.102,7.143,36.735,1.020,0,70.408,5.102,21.429,3.061,0,62.887,3.093,32.990,1.031,0,68.687,6.061,23.232,2.020,0,168470528,272883712,01-05 02:40:32
55.670,4.124,40.206,0,0,52.941,6.863,35.294,4.902,0,64.356,5.941,27.723,1.980,0,70,5,22,3,0,156197888,204607488,01-05 02:40:33
61,5,31,3,0,69.388,5.102,22.449,3.061,0,56,8,29,7,0,56.436,7.921,21.782,13.861,0,166589952,750125056,01-05 02:40:34
75.758,3.030,12.121,9.091,0,60.396,2.970,34.653,1.980,0,69,4,25,2,0,59.596,8.081,27.273,5.051,0,165992448,409280512,01-05 02:40:35
48.454,8.247,41.237,2.062,0,73.196,8.247,10.309,8.247,0,71.287,7.921,15.842,4.950,0,62.376,8.911,27.723,0.990,0,157430272,545644544,01-05 02:40:36
58,7,31,4,0,63.366,5.941,23.762,6.931,0,57.143,3.061,39.796,0,0,69.608,5.882,17.647,6.863,0,173530112,345198592,01-05 02:40:37
73.196,3.093,21.649,2.062,0,55.556,5.051,34.343,5.051,0,64.646,6.061,21.212,8.081,0,42.424,4.040,53.535,0,0,153811968,272891904,01-05 02:40:38
61,5,32,2,0,54.839,5.376,33.333,6.452,0,59,7,31,3,0,67.647,7.843,20.588,3.922,0,153803776,341041152,01-05 02:40:39
45.361,4.124,49.485,1.031,0,71.429,8.163,13.265,7.143,0,57,5,36,2,0,62,4,31,3,0,163141120,273178624,01-05 02:40:40
61.224,5.102,22.449,11.224,0,46,2,45,7,0,42.718,4.854,46.602,5.825,0,64.948,6.186,22.680,6.186,0,163084800,750084096,01-05 02:40:41
73,6,16,5,0,59.184,7.143,26.531,7.143,0,44,2,51,3,0,57,8,26,9,0,153735680,613830656,01-05 02:40:42
55.556,5.051,33.333,6.061,0,66.337,6.931,20.792,5.941,0,66.667,7.071,22.222,4.040,0,62.245,2.041,31.633,4.082,0,167189504,477372416,01-05 02:40:43
70,4,24,2,0,63,7,29,1,0,64.646,5.051,28.283,2.020,0,52.941,6.863,39.216,0.980,0,171573248,136503296,01-05 02:40:44
60,5,34,1,0,61.224,4.082,29.592,5.102,0,54.082,4.082,37.755,4.082,0,66.667,4.040,24.242,5.051,0,153788928,341045248,01-05 02:40:45
49.495,7.071,43.434,0,0,62.626,3.030,33.333,1.010,0,75.248,7.921,9.901,6.931,0,61,5,33,1,0,149597696,273649664,01-05 02:40:46
68.932,7.767,18.447,4.854,0,51,5,41,3,0,60.606,6.061,32.323,1.010,0,59.406,5.941,31.683,2.970,0,165393920,272875520,01-05 02:40:47
46,9,28,17,0,65.657,5.051,20.202,9.091,0,59.596,3.030,29.293,8.081,0,59.375,7.292,28.125,5.208,0,164562944,954679296,01-05 02:40:48
77.320,5.155,12.371,5.155,0,53.535,6.061,33.333,7.071,0,60,9,27,4,0,58,6,34,2,0,167207936,477396992,01-05 02:40:49
67.677,6.061,21.212,5.051,0,63.265,6.122,27.551,3.061,0,63,8,26,3,0,70.408,7.143,21.429,1.020,0,154455040,272920576,01-05 02:40:50
66.667,7.071,25.253,1.010,0,46,4,49,1,0,79,6,9,6,0,55.556,6.061,28.283,10.101,0,163689984,492367360,01-05 02:40:51
62.626,3.030,31.313,3.030,0,50,6.122,41.837,2.041,0,72,6,15,7,0,56.122,4.082,38.776,1.020,0,165014016,394629632,01-05 02:40:52
77.551,6.122,14.286,2.041,0,47,4,45,4,0,59.596,8.081,27.273,5.051,0,51.485,6.931,39.604,1.980,0,172652544,272850944,01-05 02:40:53
48.485,4.040,46.465,1.010,0,54.082,3.061,42.857,0,0,77.778,6.061,12.121,4.040,0,60,6,26,8,0,146531840,272850944,01-05 02:40:54
45.361,8.247,45.361,1.031,0,81.373,7.843,7.843,2.941,0,58.416,7.921,31.683,1.980,0,67.347,4.082,23.469,5.102,0,153799168,325435392,01-05 02:40:55
51.515,1.010,46.465,1.010,0,62.626,6.061,29.293,2.020,0,56,7,34,3,0,57.732,5.155,36.082,1.031,0,172963840,152010752,01-05 02:40:56
54.082,9.184,25.510,11.224,0,55.882,9.804,20.588,13.725,0,57.732,2.062,32.990,7.216,0,68.687,4.040,18.182,9.091,0,153123328,1162723328,01-05 02:40:57
58.586,5.051,27.273,9.091,0,47,8,41,4,0,70.297,3.960,20.792,4.950,0,69.697,6.061,20.202,4.040,0,163340800,477569024,01-05 02:40:58
54.545,3.030,42.424,0,0,64,3,30,3,0,65.347,2.970,28.713,2.970,0,53.535,7.071,37.374,2.020,0,167733248,136413184,01-05 02:40:59
75,4,13,8,0,40.625,2.083,44.792,12.500,0,48.485,2.020,46.465,3.030,0,56.436,2.970,34.653,5.941,0,152108032,545677312,01-05 02:41:00
70.707,4.040,18.182,7.071,0,37.624,5.941,48.515,7.921,0,53.535,4.040,36.364,6.061,0,70.297,3.960,20.792,4.950,0,162563584,477433856,01-05 02:41:01
56,3,37,4,0,48.515,4.950,44.554,1.980,0,50,4.082,38.776,7.143,0,83,6,2,9,0,173042688,477483008,01-05 02:41:02
55.446,2.970,41.584,0,0,55.556,4.040,37.374,3.030,0,50.495,2.970,45.545,0.990,0,67.708,3.125,20.833,8.333,0,175462400,301477376,01-05 02:41:03
