"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node2.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","01 May 2025 03:07:51 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
8.976,1.053,89.303,0.668,0,10.148,1.149,87.815,0.888,0,8.955,0.930,89.158,0.957,0,11.769,1.143,86.040,1.048,0,60790337.118,145005452.894,01-05 03:07:51
2.041,0,97.959,0,0,4.040,0,95.960,0,0,2,0,98,0,0,0,0,100,0,0,192512,4096,01-05 03:07:52
34.314,2.941,48.039,14.706,0,32,5,48,15,0,32,5,49,14,0,32.323,4.040,49.495,14.141,0,109016064,0,01-05 03:07:53
79.798,7.071,0,13.131,0,75.248,10.891,0,13.861,0,75.758,11.111,0,13.131,0,76.289,10.309,0,13.402,0,247670784,20480,01-05 03:07:54
80,8,0,12,0,77.895,9.474,0,12.632,0,77.083,9.375,0,13.542,0,79.208,7.921,0,12.871,0,240722944,1720320,01-05 03:07:55
75.758,12.121,0,12.121,0,77.320,11.340,0,11.340,0,77.228,11.881,0,10.891,0,80.198,8.911,0,10.891,0,235767296,86016,01-05 03:07:56
77.660,10.638,0,11.702,0,76.238,11.881,0,11.881,0,76.768,11.111,0,12.121,0,77,11,0,12,0,229148672,0,01-05 03:07:57
81.188,7.921,0,10.891,0,80.208,8.333,0,11.458,0,81.250,6.250,0,12.500,0,78.431,9.804,0,11.765,0,226093056,0,01-05 03:07:58
77.778,12.121,0,10.101,0,78.788,10.101,0,11.111,0,77.228,11.881,0.990,9.901,0,76.344,12.903,0,10.753,0,228781056,0,01-05 03:07:59
77,13,0,10,0,78.351,11.340,0,10.309,0,78.495,10.753,0,10.753,0,81.188,7.921,0,10.891,0,228294144,0,01-05 03:08:00
81.633,8.163,0,10.204,0,77.778,12.121,0,10.101,0,77.660,11.702,0,10.638,0,81.633,8.163,0,10.204,0,226303488,32768,01-05 03:08:01
79.592,9.184,1.020,10.204,0,77.320,10.309,0,12.371,0,80.808,9.091,0,10.101,0,78.125,11.458,0,10.417,0,211390976,0,01-05 03:08:02
79.798,10.101,0,10.101,0,78.218,11.881,0.990,8.911,0,75.510,14.286,0,10.204,0,78.351,11.340,0,10.309,0,220912128,4096,01-05 03:08:03
76,15,0,9,0,79.167,11.458,0,9.375,0,78.571,12.245,0,9.184,0,80.412,10.309,0,9.278,0,218067968,0,01-05 03:08:04
80.412,10.309,0,9.278,0,82.292,8.333,0,9.375,0,83.158,7.368,0,9.474,0,83.673,6.122,1.020,9.184,0,216804352,0,01-05 03:08:05
77.551,12.245,0,10.204,0,80.808,9.091,0,10.101,0,76.042,13.542,0,10.417,0,79.592,10.204,0,10.204,0,212415488,0,01-05 03:08:06
81.633,9.184,0,9.184,0,81.818,8.081,0,10.101,0,80,10.526,0,9.474,0,79.798,11.111,0,9.091,0,210945024,49152,01-05 03:08:07
81.250,10.417,0,8.333,0,83.838,7.071,0,9.091,0,75.258,15.464,0,9.278,0,81.633,9.184,0,9.184,0,215403520,0,01-05 03:08:08
79.412,11.765,0,8.824,0,80.583,10.680,0,8.738,0,81.188,9.901,0,8.911,0,81,10,0,9,0,212409856,0,01-05 03:08:09
76.768,15.152,0,8.081,0,81,10,1,8,0,78.571,14.286,0,7.143,0,84.694,7.143,0,8.163,0,206634496,3133440,01-05 03:08:10
83,9,1,7,0,87.879,5.051,0,7.071,0,80.198,10.891,0,8.911,0,80.808,10.101,0,9.091,0,178759680,115712000,01-05 03:08:11
79.798,10.101,0,10.101,0,77.551,13.265,0,9.184,0,81.188,8.911,0.990,8.911,0,83.333,8.824,0,7.843,0,263574528,88956928,01-05 03:08:12
79.208,9.901,0,10.891,0,79.798,8.081,0,12.121,0,80,10.526,0,9.474,0,78.351,10.309,0,11.340,0,280128000,136417280,01-05 03:08:13
76,10,0,14,0,76.042,9.375,0,14.583,0,78.846,8.654,0,12.500,0,76.238,9.901,0.990,12.871,0,293985280,136417280,01-05 03:08:14
67.347,10.204,1.020,21.429,0,69.072,12.371,0,18.557,0,68.317,10.891,0,20.792,0,68,7,0,25,0,281522176,545628160,01-05 03:08:15
76.289,8.247,0,15.464,0,80.208,6.250,1.042,12.500,0,81.250,5.208,0,13.542,0,77,9,0,14,0,309496320,136622080,01-05 03:08:16
77.228,6.931,0,15.842,0,72.549,9.804,0,17.647,0,76.531,5.102,1.020,17.347,0,73.786,10.680,0.971,14.563,0,300484096,409239552,01-05 03:08:17
82.178,5.941,0,11.881,0,80.208,8.333,0,11.458,0,78.351,8.247,0,13.402,0,75.758,11.111,0,13.131,0,315967488,136421376,01-05 03:08:18
67.708,5.208,1.042,26.042,0,71.287,6.931,0,21.782,0,76,7,0,17,0,69.072,5.155,1.031,24.742,0,299552256,477442048,01-05 03:08:19
75.258,7.216,0,17.526,0,75.510,7.143,0,17.347,0,74.257,10.891,0.990,13.861,0,74.257,7.921,0,17.822,0,311339520,376872448,01-05 03:08:20
77.551,8.163,0,14.286,0,76.531,8.163,0,15.306,0,77.778,9.091,0,13.131,0,83.495,3.883,0,12.621,0,308356096,168808960,01-05 03:08:21
77.778,8.081,1.010,13.131,0,72.727,11.111,1.010,15.152,0,77.778,8.081,0,14.141,0,77.551,9.184,0,13.265,0,309472768,136445952,01-05 03:08:22
72.277,8.911,0,18.812,0,73.737,7.071,0,19.192,0,72.449,6.122,0,21.429,0,74.510,5.882,0.980,18.627,0,287894016,401542656,01-05 03:08:23
69.072,11.340,0,19.588,0,71.717,9.091,0,19.192,0,70.213,6.383,0,23.404,0,67.010,9.278,0,23.711,0,289738240,523431936,01-05 03:08:24
74.227,9.278,0,16.495,0,71.875,11.458,0,16.667,0,71.429,9.184,1.020,18.367,0,70.408,11.224,1.020,17.347,0,309279232,305832448,01-05 03:08:25
65.625,5.208,1.042,28.125,0,65.347,8.911,0,25.743,0,65.306,6.122,0,28.571,0,64.583,6.250,0,29.167,0,209084416,272769024,01-05 03:08:26
81,7,0,12,0,77,10,0,13,0,77.551,10.204,0,12.245,0,77.083,9.375,0,13.542,0,220698624,122880,01-05 03:08:27
81.633,7.143,0,11.224,0,81.633,7.143,0,11.224,0,83.673,5.102,0,11.224,0,77.083,12.500,0,10.417,0,214706176,16384,01-05 03:08:28
82.653,6.122,0,11.224,0,80.412,8.247,0,11.340,0,81.443,8.247,0,10.309,0,78.571,10.204,0,11.224,0,214743040,0,01-05 03:08:29
81.443,8.247,0,10.309,0,79.787,8.511,1.064,10.638,0,83.333,5.882,0,10.784,0,78.788,11.111,0,10.101,0,219782656,0,01-05 03:08:30
78.571,11.224,0,10.204,0,78.788,11.111,0,10.101,0,83.333,6.250,0,10.417,0,79.798,10.101,0,10.101,0,214137856,0,01-05 03:08:31
83.505,6.186,1.031,9.278,0,78.788,12.121,0,9.091,0,82.353,7.843,0.980,8.824,0,84.536,6.186,0,9.278,0,209647104,69632,01-05 03:08:32
80.808,10.101,0,9.091,0,83.168,6.931,0,9.901,0,86.735,4.082,0,9.184,0,88,6,0,6,0,170465792,136609792,01-05 03:08:33
79,6,0,15,0,76.238,8.911,0,14.851,0,78.947,6.316,0,14.737,0,76.238,8.911,0.990,13.861,0,219550720,40960,01-05 03:08:34
80.808,8.081,0,11.111,0,79.381,9.278,0,11.340,0,81.633,6.122,0,12.245,0,78.351,9.278,0,12.371,0,226327552,0,01-05 03:08:35
78.125,10.417,0,11.458,0,82.178,6.931,0,10.891,0,82.828,6.061,0,11.111,0,78.788,10.101,0,11.111,0,221956096,0,01-05 03:08:36
79.592,8.163,0,12.245,0,80.412,7.216,0,12.371,0,80.208,8.333,0,11.458,0,78.125,10.417,0,11.458,0,215101440,0,01-05 03:08:37
81.553,8.738,0,9.709,0,82.828,7.071,0,10.101,0,80.412,8.247,0,11.340,0,84.615,3.297,0,12.088,0,211942912,0,01-05 03:08:38
80.851,8.511,0,10.638,0,81.818,7.071,0,11.111,0,80.198,8.911,0,10.891,0,77.778,12.121,0,10.101,0,217816064,57344,01-05 03:08:39
80.208,8.333,0,11.458,0,85.149,4.950,0,9.901,0,80.612,9.184,0,10.204,0,79.381,9.278,0,11.340,0,218152448,8192,01-05 03:08:40
79.798,8.081,1.010,11.111,0,79.798,9.091,0,11.111,0,78.788,10.101,0,11.111,0,81.633,6.122,1.020,11.224,0,211077120,0,01-05 03:08:41
82.474,7.216,0,10.309,0,83.505,6.186,0,10.309,0,84.158,5.941,0,9.901,0,81,8,0,11,0,208236544,0,01-05 03:08:42
80,10,0,10,0,80,9.474,0,10.526,0,79.208,9.901,0.990,9.901,0,83.838,6.061,0,10.101,0,213995520,0,01-05 03:08:43
82.653,7.143,0,10.204,0,81.731,7.692,0.962,9.615,0,81.818,8.081,0,10.101,0,82.653,8.163,0,9.184,0,213773312,4096,01-05 03:08:44
85,5,0,10,0,80.808,9.091,0,10.101,0,83.673,6.122,0,10.204,0,82,8,0,10,0,212002816,3866624,01-05 03:08:45
82.292,6.250,0,11.458,0,84.211,4.211,0,11.579,0,83.505,5.155,0,11.340,0,82.828,6.061,0,11.111,0,201006592,20480,01-05 03:08:46
86.735,4.082,0,9.184,0,77.778,12.121,0,10.101,0,81.443,9.278,0,9.278,0,83.505,7.216,0,9.278,0,210647040,0,01-05 03:08:47
81,10,0,9,0,84.375,6.250,0,9.375,0,82.292,8.333,0,9.375,0,83.158,7.368,0,9.474,0,207663104,0,01-05 03:08:48
81.633,8.163,1.020,9.184,0,82.474,9.278,0,8.247,0,82.653,7.143,1.020,9.184,0,83.168,7.921,0,8.911,0,199076352,0,01-05 03:08:49
