/usr/bin/java -Xmx64G -XX:MaxDirectMemorySize=64G -classpath /root/YCSB/conf:/root/YCSB/core/target/core-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/rocksdb-binding-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/dependency/HdrHistogram-2.1.4.jar:/root/YCSB/rocksdb/target/dependency/animal-sniffer-annotations-1.19.jar:/root/YCSB/rocksdb/target/dependency/annotations-4.1.1.4.jar:/root/YCSB/rocksdb/target/dependency/checker-compat-qual-2.5.5.jar:/root/YCSB/rocksdb/target/dependency/error_prone_annotations-2.4.0.jar:/root/YCSB/rocksdb/target/dependency/failureaccess-1.0.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-api-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-context-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-core-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-netty-shaded-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-lite-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-stub-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/gson-2.8.6.jar:/root/YCSB/rocksdb/target/dependency/guava-30.0-android.jar:/root/YCSB/rocksdb/target/dependency/htrace-core4-4.1.0-incubating.jar:/root/YCSB/rocksdb/target/dependency/j2objc-annotations-1.3.jar:/root/YCSB/rocksdb/target/dependency/jcip-annotations-1.0.jar:/root/YCSB/rocksdb/target/dependency/jsr305-3.0.2.jar:/root/YCSB/rocksdb/target/dependency/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar:/root/YCSB/rocksdb/target/dependency/perfmark-api-0.23.0.jar:/root/YCSB/rocksdb/target/dependency/proto-google-common-protos-2.0.1.jar:/root/YCSB/rocksdb/target/dependency/protobuf-java-3.12.0.jar:/root/YCSB/rocksdb/target/dependency/rocksdbjni-6.14.0.jar:/root/YCSB/rocksdb/target/dependency/slf4j-api-1.7.25.jar:/root/YCSB/rocksdb/target/dependency/slf4j-simple-1.7.25.jar site.ycsb.Client -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadg -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=2 -p status.interval=1000 -p target=120000 -threads 4
Command line: -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadg -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=2 -p status.interval=1000 -p target=120000 -threads 4
threadcount: 4
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
[Thread-5] INFO site.ycsb.db.rocksdb.RocksDBClient - RocksDB data dir: null
2025-05-01 03:01:51:556 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2025-05-01 03:01:52:533 1 sec: 33000 operations; 33000 current ops/sec; est completion in 12 minutes [INSERT: Count=33000, Max=524799, Min=334848, Avg=455870.06, 90=524031, 99=524799, 99.9=524799, 99.99=524799] 
2025-05-01 03:01:53:533 2 sec: 192000 operations; 159000 current ops/sec; est completion in 4 minutes [INSERT: Count=159000, Max=353279, Min=36864, Avg=120919.04, 90=279551, 99=347135, 99.9=353279, 99.99=353279] 
2025-05-01 03:01:54:533 3 sec: 311000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=76607, Min=35712, Avg=54954.76, 90=66751, 99=74943, 99.9=76607, 99.99=76607] 
2025-05-01 03:01:55:533 4 sec: 428000 operations; 117000 current ops/sec; est completion in 3 minutes [INSERT: Count=117000, Max=76095, Min=34400, Avg=50778.12, 90=63711, 99=74879, 99.9=76095, 99.99=76095] 
2025-05-01 03:01:56:533 5 sec: 552000 operations; 124000 current ops/sec; est completion in 3 minutes [INSERT: Count=124000, Max=75583, Min=32080, Avg=51108.45, 90=61951, 99=75327, 99.9=75583, 99.99=75583] 
2025-05-01 03:01:57:533 6 sec: 672000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=72511, Min=31376, Avg=52702.47, 90=62559, 99=72447, 99.9=72511, 99.99=72511] 
2025-05-01 03:01:58:533 7 sec: 792000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=72447, Min=32288, Avg=49689.13, 90=59839, 99=71807, 99.9=72447, 99.99=72447] 
2025-05-01 03:01:59:533 8 sec: 912000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=73471, Min=34432, Avg=53888, 90=60543, 99=72383, 99.9=73471, 99.99=73471] 
2025-05-01 03:02:00:533 9 sec: 1031000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=72063, Min=32896, Avg=52101.78, 90=64319, 99=71679, 99.9=72063, 99.99=72063] 
2025-05-01 03:02:01:533 10 sec: 1151000 operations; 120000 current ops/sec; est completion in 3 minutes [INSERT: Count=120000, Max=73919, Min=32304, Avg=49613.13, 90=60479, 99=73535, 99.9=73919, 99.99=73919] 
2025-05-01 03:02:02:533 11 sec: 1270000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=74815, Min=33248, Avg=48222.79, 90=61119, 99=74367, 99.9=74815, 99.99=74815] 
2025-05-01 03:02:03:533 12 sec: 1389000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=70207, Min=32736, Avg=52386.89, 90=61407, 99=69631, 99.9=70207, 99.99=70207] 
2025-05-01 03:02:04:533 13 sec: 1510000 operations; 121000 current ops/sec; est completion in 3 minutes [INSERT: Count=121000, Max=77119, Min=37152, Avg=58737.85, 90=63871, 99=77055, 99.9=77119, 99.99=77119] 
2025-05-01 03:02:05:533 14 sec: 1629000 operations; 119000 current ops/sec; est completion in 3 minutes [INSERT: Count=119000, Max=76799, Min=35520, Avg=57930.89, 90=67327, 99=75263, 99.9=76799, 99.99=76799] 
