"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node2.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","30 Apr 2025 07:52:09 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
0.047,0.883,99.070,0,0,0.004,0.703,99.293,0,0,0.088,0.096,99.814,0.002,0,0.031,0.102,99.867,0,0,475760.822,64711.923,30-04 07:52:09
0,0,100,0,0,1.010,2.020,96.970,0,0,0.990,0,99.010,0,0,0,0,100,0,0,1163264,3514368,30-04 07:52:10
0,0,100,0,0,1,2,97,0,0,0,0,100,0,0,0,0,100,0,0,4096,487424,30-04 07:52:11
54.167,9.375,36.458,0,0,57.732,6.186,36.082,0,0,57.732,7.216,35.052,0,0,55.556,9.091,35.354,0,0,94208,0,30-04 07:52:12
60,6,33,1,0,52.941,9.804,34.314,2.941,0,59.596,8.081,30.303,2.020,0,55.882,5.882,38.235,0,0,3003392,204967936,30-04 07:52:13
44,5,51,0,0,47.475,4.040,48.485,0,0,51.020,5.102,43.878,0,0,44,8,48,0,0,0,98304,30-04 07:52:14
56.122,5.102,38.776,0,0,53.535,5.051,37.374,4.040,0,51.515,3.030,42.424,3.030,0,47.475,4.040,48.485,0,0,2717696,204664832,30-04 07:52:15
47,4,47,2,0,55.556,3.030,40.404,1.010,0,55.446,5.941,35.644,2.970,0,48.515,5.941,44.554,0.990,0,1797632,204074496,30-04 07:52:16
47.959,4.082,47.959,0,0,41,4,55,0,0,46.465,4.040,49.495,0,0,39.796,3.061,57.143,0,0,897024,549376,30-04 07:52:17
