/usr/bin/java -Xmx64G -XX:MaxDirectMemorySize=64G -classpath /root/YCSB/conf:/root/YCSB/core/target/core-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/rocksdb-binding-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/dependency/HdrHistogram-2.1.4.jar:/root/YCSB/rocksdb/target/dependency/animal-sniffer-annotations-1.19.jar:/root/YCSB/rocksdb/target/dependency/annotations-4.1.1.4.jar:/root/YCSB/rocksdb/target/dependency/checker-compat-qual-2.5.5.jar:/root/YCSB/rocksdb/target/dependency/error_prone_annotations-2.4.0.jar:/root/YCSB/rocksdb/target/dependency/failureaccess-1.0.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-api-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-context-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-core-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-netty-shaded-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-lite-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-stub-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/gson-2.8.6.jar:/root/YCSB/rocksdb/target/dependency/guava-30.0-android.jar:/root/YCSB/rocksdb/target/dependency/htrace-core4-4.1.0-incubating.jar:/root/YCSB/rocksdb/target/dependency/j2objc-annotations-1.3.jar:/root/YCSB/rocksdb/target/dependency/jcip-annotations-1.0.jar:/root/YCSB/rocksdb/target/dependency/jsr305-3.0.2.jar:/root/YCSB/rocksdb/target/dependency/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar:/root/YCSB/rocksdb/target/dependency/perfmark-api-0.23.0.jar:/root/YCSB/rocksdb/target/dependency/proto-google-common-protos-2.0.1.jar:/root/YCSB/rocksdb/target/dependency/protobuf-java-3.12.0.jar:/root/YCSB/rocksdb/target/dependency/rocksdbjni-6.14.0.jar:/root/YCSB/rocksdb/target/dependency/slf4j-api-1.7.25.jar:/root/YCSB/rocksdb/target/dependency/slf4j-simple-1.7.25.jar site.ycsb.Client -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloada -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=3 -p status.interval=1000 -p target=120000 -threads 4
Command line: -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloada -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=3 -p status.interval=1000 -p target=120000 -threads 4
threadcount: 4
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
[Thread-5] INFO site.ycsb.db.rocksdb.RocksDBClient - RocksDB data dir: null
2025-04-30 08:06:50:102 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2025-04-30 08:06:51:079 1 sec: 39000 operations; 39000 current ops/sec; est completion in 12 minutes [INSERT: Count=40107, Max=471295, Min=256256, Avg=385141.22, 90=462335, 99=471295, 99.9=471295, 99.99=471295] 
2025-04-30 08:06:52:079 2 sec: 183000 operations; 144000 current ops/sec; est completion in 5 minutes [INSERT: Count=142893, Max=285695, Min=46752, Avg=106306.82, 90=193535, 99=276479, 99.9=285695, 99.99=285695] 
2025-04-30 08:06:53:079 3 sec: 302000 operations; 119000 current ops/sec; est completion in 4 minutes [INSERT: Count=119000, Max=94719, Min=52032, Avg=76274.42, 90=91903, 99=94335, 99.9=94719, 99.99=94719] 
2025-04-30 08:06:54:079 4 sec: 421000 operations; 119000 current ops/sec; est completion in 4 minutes [INSERT: Count=119000, Max=111743, Min=49312, Avg=79882.62, 90=95743, 99=111551, 99.9=111743, 99.99=111743] 
2025-04-30 08:06:55:079 5 sec: 543000 operations; 122000 current ops/sec; est completion in 4 minutes [INSERT: Count=122000, Max=108415, Min=45344, Avg=79220.98, 90=101183, 99=106623, 99.9=108415, 99.99=108415] 
2025-04-30 08:06:56:079 6 sec: 663000 operations; 120000 current ops/sec; est completion in 4 minutes [INSERT: Count=120000, Max=110847, Min=45376, Avg=78482.93, 90=95295, 99=106687, 99.9=110847, 99.99=110847] 
2025-04-30 08:06:57:079 7 sec: 782000 operations; 119000 current ops/sec; est completion in 4 minutes [INSERT: Count=119000, Max=101823, Min=49312, Avg=78210.29, 90=93631, 99=100415, 99.9=101823, 99.99=101823] 
2025-04-30 08:06:58:079 8 sec: 903000 operations; 121000 current ops/sec; est completion in 4 minutes [INSERT: Count=121000, Max=111935, Min=47648, Avg=74892.56, 90=99583, 99=111551, 99.9=111935, 99.99=111935] 
2025-04-30 08:06:59:079 9 sec: 1026000 operations; 123000 current ops/sec; est completion in 4 minutes [INSERT: Count=123000, Max=100671, Min=44128, Avg=68711.93, 90=91199, 99=95103, 99.9=100671, 99.99=100671] 
2025-04-30 08:07:00:079 10 sec: 1146000 operations; 120000 current ops/sec; est completion in 4 minutes [INSERT: Count=120000, Max=99199, Min=50944, Avg=63704.67, 90=86591, 99=92991, 99.9=99199, 99.99=99199] 
2025-04-30 08:07:01:079 11 sec: 1266000 operations; 120000 current ops/sec; est completion in 4 minutes [INSERT: Count=120000, Max=94911, Min=44480, Avg=60080.67, 90=78079, 99=94847, 99.9=94911, 99.99=94911] 
2025-04-30 08:07:02:079 12 sec: 1386000 operations; 120000 current ops/sec; est completion in 4 minutes [INSERT: Count=120000, Max=106559, Min=46528, Avg=68726, 90=87743, 99=103935, 99.9=106559, 99.99=106559] 
2025-04-30 08:07:03:079 13 sec: 1505000 operations; 119000 current ops/sec; est completion in 4 minutes [INSERT: Count=119000, Max=99519, Min=44224, Avg=67449.82, 90=88639, 99=99455, 99.9=99519, 99.99=99519] 
2025-04-30 08:07:04:079 14 sec: 1624000 operations; 119000 current ops/sec; est completion in 4 minutes [INSERT: Count=119000, Max=88831, Min=49568, Avg=60564.84, 90=77567, 99=85439, 99.9=88831, 99.99=88831] 
