"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node1.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","30 Apr 2025 09:33:03 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
11.858,1.206,86.069,0.867,0,12.796,1.295,84.828,1.081,0,14.856,1.392,82.240,1.512,0,12.377,1.250,84.873,1.500,0,52179361.563,140207986.758,30-04 09:33:03
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,2.941,0.980,96.078,0,0,0,4096,30-04 09:33:04
0,1,99,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,30-04 09:33:05
9.091,0,68.687,22.222,0,6.316,0,70.526,23.158,0,9.804,1.961,66.667,21.569,0,6.186,2.062,69.072,22.680,0,58042368,45056,30-04 09:33:06
26,6,1,67,0,23.469,6.122,2.041,68.367,0,26.263,6.061,0,67.677,0,27.083,4.167,0,68.750,0,176439808,4096,30-04 09:33:07
44.330,9.278,0,46.392,0,45,9,1,45,0,46.875,6.250,0,46.875,0,43.269,11.538,0.962,44.231,0,222704640,0,30-04 09:33:08
29.787,4.255,2.128,63.830,0,31.250,5.208,0,63.542,0,28.723,4.255,4.255,62.766,0,34.951,4.854,4.854,55.340,0,156275712,921600,30-04 09:33:09
48.485,8.081,1.010,42.424,0,49.462,5.376,0,45.161,0,46.465,11.111,0,42.424,0,47.423,9.278,0,43.299,0,209728512,0,30-04 09:33:10
32.990,4.124,0,62.887,0,32.673,5.941,0,61.386,0,30.303,6.061,1.010,62.626,0,30.208,4.167,0,65.625,0,163597824,0,30-04 09:33:11
45.361,10.309,0,44.330,0,46.237,8.602,0,45.161,0,48.421,7.368,0,44.211,0,49.495,7.071,1.010,42.424,0,199365632,45056,30-04 09:33:12
30.208,5.208,0,64.583,0,33.333,4.902,0.980,60.784,0,34.314,4.902,0,60.784,0,32.292,4.167,0,63.542,0,165198336,0,30-04 09:33:13
51,7,1,41,0,45.361,10.309,0,44.330,0,46.875,9.375,0,43.750,0,47.475,9.091,0,43.434,0,207169536,1007616,30-04 09:33:14
28.571,8.163,5.102,58.163,0,30.208,6.250,3.125,60.417,0,30.208,7.292,0,62.500,0,29.032,5.376,2.151,63.441,0,155599872,0,30-04 09:33:15
52.525,5.051,0,42.424,0,47.525,9.901,0,42.574,0,42.857,12.245,1.020,43.878,0,47.475,9.091,0,43.434,0,205453312,0,30-04 09:33:16
35.238,6.667,0,58.095,0,31.183,4.301,0,64.516,0,32.653,5.102,0,62.245,0,32.292,4.167,0,63.542,0,163465728,0,30-04 09:33:17
47.872,7.447,1.064,43.617,0,47.917,7.292,2.083,42.708,0,46.809,7.447,0,45.745,0,45.556,5.556,4.444,44.444,0,195589120,0,30-04 09:33:18
31.915,4.255,0,63.830,0,35.052,3.093,1.031,60.825,0,36.634,4.950,0,58.416,0,32.990,6.186,0,60.825,0,164026368,53248,30-04 09:33:19
45.652,7.609,0,46.739,0,48.958,6.250,0,44.792,0,44.681,8.511,0,46.809,0,45.918,9.184,1.020,43.878,0,195691008,1073152,30-04 09:33:20
38.776,3.061,1.020,57.143,0,34.021,5.155,4.124,56.701,0,38.235,5.882,2.941,52.941,0,37,4,4,55,0,157943808,0,30-04 09:33:21
51.485,6.931,0,41.584,0,47.917,7.292,0,44.792,0,51.485,5.941,0,42.574,0,51.485,5.941,0,42.574,0,199348224,1703936,30-04 09:33:22
38,2,6,54,0,31.959,6.186,3.093,58.763,0,37.234,2.128,0,60.638,0,37,4,4,55,0,159429120,0,30-04 09:33:23
52.083,4.167,0,43.750,0,51,6,0,43,0,47.917,6.250,1.042,44.792,0,49.485,5.155,1.031,44.330,0,200562688,86016,30-04 09:33:24
33.673,5.102,1.020,60.204,0,37,3,1,59,0,32.967,2.198,0,64.835,0,36.082,3.093,0,60.825,0,164725760,991232,30-04 09:33:25
45.833,9.375,0,44.792,0,47.778,4.444,0,47.778,0,49.020,7.843,0.980,42.157,0,46.316,6.316,1.053,46.316,0,190779392,0,30-04 09:33:26
38.235,3.922,0.980,56.863,0,33.684,3.158,1.053,62.105,0,39.806,2.913,0.971,56.311,0,34.409,3.226,0,62.366,0,166285312,0,30-04 09:33:27
46.535,6.931,0,46.535,0,46.316,5.263,0,48.421,0,43.011,6.452,0,50.538,0,43.750,8.333,0,47.917,0,193715200,0,30-04 09:33:28
38.144,5.155,1.031,55.670,0,36.735,4.082,6.122,53.061,0,39.175,4.124,2.062,54.639,0,38.614,4.950,3.960,52.475,0,165038592,90112,30-04 09:33:29
50.505,5.051,0,44.444,0,50,3.125,0,46.875,0,43.299,8.247,1.031,47.423,0,44.086,7.527,0,48.387,0,192524800,0,30-04 09:33:30
41,5,0,54,0,38.144,5.155,0,56.701,0,41.667,2.083,0,56.250,0,42.157,2.941,0.980,53.922,0,170503680,950272,30-04 09:33:31
43.956,6.593,2.198,47.253,0,47.959,4.082,4.082,43.878,0,49.020,7.843,1.961,41.176,0,45.263,6.316,4.211,44.211,0,185122304,0,30-04 09:33:32
39,6,1,54,0,38,6,1,55,0,33.333,6.452,1.075,59.140,0,38.542,3.125,0,58.333,0,172184064,0,30-04 09:33:33
44.898,6.122,3.061,45.918,0,44.681,4.255,3.191,47.872,0,43.750,6.250,2.083,47.917,0,41.758,6.593,1.099,50.549,0,182413312,36864,30-04 09:33:34
41,4,1,54,0,40.816,4.082,0,55.102,0,41.414,5.051,0,53.535,0,40.625,3.125,0,56.250,0,175128576,0,30-04 09:33:35
43.617,6.383,0,50,0,44.211,5.263,1.053,49.474,0,43.011,5.376,1.075,50.538,0,47.059,5.882,0.980,46.078,0,188448768,925696,30-04 09:33:36
40.404,6.061,1.010,52.525,0,41.748,5.825,1.942,50.485,0,40.594,4.950,5.941,48.515,0,42.157,4.902,3.922,49.020,0,167824896,16384,30-04 09:33:37
50,4.082,0,45.918,0,46.875,6.250,1.042,45.833,0,50.980,3.922,0,45.098,0,46,8,0,46,0,190016000,0,30-04 09:33:38
39.394,6.061,1.010,53.535,0,41.414,4.040,0,54.545,0,36.842,5.263,1.053,56.842,0,36.559,4.301,1.075,58.065,0,170670592,36864,30-04 09:33:39
50.485,5.825,0.971,42.718,0,46.535,7.921,2.970,42.574,0,45.745,5.319,4.255,44.681,0,47.475,7.071,5.051,40.404,0,183456256,0,30-04 09:33:40
36.842,6.316,0,56.842,0,38.144,5.155,0,56.701,0,40,6,0,54,0,37.624,7.921,0.990,53.465,0,169042944,1073152,30-04 09:33:41
46.535,5.941,0.990,46.535,0,45.918,5.102,1.020,47.959,0,47.475,5.051,1.010,46.465,0,46.809,3.191,0,50,0,188088320,28672,30-04 09:33:42
44.660,4.854,1.942,48.544,0,39.785,4.301,0,55.914,0,40.816,5.102,0,54.082,0,41.176,5.882,0.980,51.961,0,166137856,0,30-04 09:33:43
46.465,7.071,0,46.465,0,45.361,5.155,1.031,48.454,0,49.485,2.062,1.031,47.423,0,47.917,4.167,0,47.917,0,190079488,49152,30-04 09:33:44
39.175,3.093,6.186,51.546,0,42.708,3.125,0,54.167,0,40.625,2.083,4.167,53.125,0,41,4,3,52,0,166091264,0,30-04 09:33:45
44.086,6.452,0,49.462,0,49,4,1,46,0,44.898,8.163,0,46.939,0,50,3,0,47,0,187685888,0,30-04 09:33:46
38.043,4.348,1.087,56.522,0,40,4.211,0,55.789,0,42.857,3.061,0,54.082,0,38.947,3.158,1.053,56.842,0,172444672,970752,30-04 09:33:47
45.833,5.208,0,48.958,0,48.515,2.970,0.990,47.525,0,47.423,5.155,2.062,45.361,0,45.652,4.348,0,50,0,180564480,0,30-04 09:33:48
42.574,3.960,0.990,52.475,0,41.489,3.191,0,55.319,0,43.137,3.922,0.980,51.961,0,40,7,1,52,0,173615616,53248,30-04 09:33:49
44.681,5.319,0,50,0,48.515,4.950,0.990,45.545,0,46.465,7.071,0,46.465,0,46.392,5.155,1.031,47.423,0,189050880,0,30-04 09:33:50
