"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node2.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","30 Apr 2025 09:19:46 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
10.071,1.015,88.241,0.673,0,9.640,0.983,88.615,0.762,0,10.108,0.971,88.123,0.797,0,10.654,1.026,87.447,0.873,0,37613926.173,82757508.112,30-04 09:19:46
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,28672,4096,30-04 09:19:47
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,4341760,30-04 09:19:48
54.455,8.911,36.634,0,0,51.515,7.071,41.414,0,0,48,9,43,0,0,55.556,6.061,38.384,0,0,0,0,30-04 09:19:49
58,8,34,0,0,59.794,7.216,31.959,1.031,0,53.535,8.081,35.354,3.030,0,53.922,6.863,39.216,0,0,2688512,204988416,30-04 09:19:50
47.475,6.061,46.465,0,0,49,4,47,0,0,43,5,52,0,0,46.939,5.102,47.959,0,0,0,0,30-04 09:19:51
52.041,5.102,38.776,4.082,0,49.495,4.040,45.455,1.010,0,52.525,5.051,42.424,0,0,54.455,1.980,42.574,0.990,0,2689024,204619776,30-04 09:19:52
54.545,8.081,37.374,0,0,61,8,28,3,0,45.361,5.155,49.485,0,0,42.574,3.960,53.465,0,0,896512,97922560,30-04 09:19:53
42.708,5.208,50,2.083,0,37.755,4.082,57.143,1.020,0,52.475,2.970,44.554,0,0,52,6,41,1,0,1793024,106725888,30-04 09:19:54
58.416,7.921,31.683,1.980,0,50,6,41,3,0,55.670,6.186,38.144,0,0,68,5,24,3,0,69774848,204644352,30-04 09:19:55
67.327,10.891,19.802,1.980,0,65.657,5.051,29.293,0,0,70.408,8.163,18.367,3.061,0,72.165,5.155,22.680,0,0,159320576,204623872,30-04 09:19:56
