/usr/bin/java -Xmx64G -XX:MaxDirectMemorySize=64G -classpath /root/YCSB/conf:/root/YCSB/core/target/core-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/rocksdb-binding-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/dependency/HdrHistogram-2.1.4.jar:/root/YCSB/rocksdb/target/dependency/animal-sniffer-annotations-1.19.jar:/root/YCSB/rocksdb/target/dependency/annotations-4.1.1.4.jar:/root/YCSB/rocksdb/target/dependency/checker-compat-qual-2.5.5.jar:/root/YCSB/rocksdb/target/dependency/error_prone_annotations-2.4.0.jar:/root/YCSB/rocksdb/target/dependency/failureaccess-1.0.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-api-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-context-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-core-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-netty-shaded-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-lite-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-stub-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/gson-2.8.6.jar:/root/YCSB/rocksdb/target/dependency/guava-30.0-android.jar:/root/YCSB/rocksdb/target/dependency/htrace-core4-4.1.0-incubating.jar:/root/YCSB/rocksdb/target/dependency/j2objc-annotations-1.3.jar:/root/YCSB/rocksdb/target/dependency/jcip-annotations-1.0.jar:/root/YCSB/rocksdb/target/dependency/jsr305-3.0.2.jar:/root/YCSB/rocksdb/target/dependency/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar:/root/YCSB/rocksdb/target/dependency/perfmark-api-0.23.0.jar:/root/YCSB/rocksdb/target/dependency/proto-google-common-protos-2.0.1.jar:/root/YCSB/rocksdb/target/dependency/protobuf-java-3.12.0.jar:/root/YCSB/rocksdb/target/dependency/rocksdbjni-6.14.0.jar:/root/YCSB/rocksdb/target/dependency/slf4j-api-1.7.25.jar:/root/YCSB/rocksdb/target/dependency/slf4j-simple-1.7.25.jar site.ycsb.Client -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadb -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=3 -p status.interval=1000 -p target=120000 -threads 4
Command line: -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadb -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=3 -p status.interval=1000 -p target=120000 -threads 4
threadcount: 4
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
[Thread-5] INFO site.ycsb.db.rocksdb.RocksDBClient - RocksDB data dir: null
2025-04-30 09:27:21:917 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2025-04-30 09:27:22:894 1 sec: 36000 operations; 36000 current ops/sec; est completion in 13 minutes [INSERT: Count=36000, Max=501247, Min=331776, Avg=425543.11, 90=496127, 99=501247, 99.9=501247, 99.99=501247] 
2025-04-30 09:27:23:894 2 sec: 183000 operations; 147000 current ops/sec; est completion in 5 minutes [INSERT: Count=147000, Max=305663, Min=47872, Avg=123107.48, 90=227711, 99=299263, 99.9=305663, 99.99=305663] 
2025-04-30 09:27:24:894 3 sec: 304000 operations; 121000 current ops/sec; est completion in 4 minutes [INSERT: Count=121000, Max=99711, Min=54688, Avg=84353.19, 90=96319, 99=99263, 99.9=99711, 99.99=99711] 
2025-04-30 09:27:25:894 4 sec: 423000 operations; 119000 current ops/sec; est completion in 4 minutes [INSERT: Count=119000, Max=107135, Min=55456, Avg=84487.66, 90=99711, 99=106879, 99.9=107135, 99.99=107135] 
2025-04-30 09:27:26:894 5 sec: 544000 operations; 121000 current ops/sec; est completion in 4 minutes [INSERT: Count=121000, Max=106303, Min=54464, Avg=81916.69, 90=99199, 99=102911, 99.9=106303, 99.99=106303] 
2025-04-30 09:27:27:894 6 sec: 666000 operations; 122000 current ops/sec; est completion in 4 minutes [INSERT: Count=122000, Max=103807, Min=47936, Avg=79633.57, 90=91647, 99=103487, 99.9=103807, 99.99=103807] 
2025-04-30 09:27:28:894 7 sec: 783000 operations; 117000 current ops/sec; est completion in 4 minutes [INSERT: Count=117000, Max=104575, Min=49408, Avg=74708.65, 90=90815, 99=104383, 99.9=104575, 99.99=104575] 
2025-04-30 09:27:29:894 8 sec: 908000 operations; 125000 current ops/sec; est completion in 4 minutes [INSERT: Count=125000, Max=108287, Min=51200, Avg=73223.3, 90=94719, 99=107775, 99.9=108287, 99.99=108287] 
2025-04-30 09:27:30:894 9 sec: 1025000 operations; 117000 current ops/sec; est completion in 4 minutes [INSERT: Count=117000, Max=103103, Min=47264, Avg=70315.62, 90=92095, 99=99519, 99.9=103103, 99.99=103103] 
2025-04-30 09:27:31:894 10 sec: 1143000 operations; 118000 current ops/sec; est completion in 4 minutes [INSERT: Count=118000, Max=111551, Min=51232, Avg=71871.19, 90=91199, 99=110271, 99.9=111551, 99.99=111551] 
2025-04-30 09:27:32:894 11 sec: 1264000 operations; 121000 current ops/sec; est completion in 4 minutes [INSERT: Count=121000, Max=96127, Min=47072, Avg=69505.45, 90=90303, 99=95039, 99.9=96127, 99.99=96127] 
2025-04-30 09:27:33:894 12 sec: 1387000 operations; 123000 current ops/sec; est completion in 4 minutes [INSERT: Count=123000, Max=107007, Min=44928, Avg=67425.82, 90=86399, 99=106879, 99.9=107007, 99.99=107007] 
2025-04-30 09:27:34:894 13 sec: 1506000 operations; 119000 current ops/sec; est completion in 4 minutes [INSERT: Count=119000, Max=97791, Min=49440, Avg=66533.38, 90=80703, 99=96959, 99.9=97791, 99.99=97791] 
2025-04-30 09:27:35:894 14 sec: 1625000 operations; 119000 current ops/sec; est completion in 4 minutes [INSERT: Count=119000, Max=86847, Min=51296, Avg=64864.27, 90=78271, 99=85951, 99.9=86847, 99.99=86847] 
