"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node3.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","30 Apr 2025 09:40:10 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
13.416,1.413,82.375,2.796,0,13.671,1.391,81.587,3.351,0,13.373,1.329,82.327,2.972,0,13.126,1.315,82.402,3.156,0,56171932.577,133537237.066,30-04 09:40:10
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,3,2,95,0,0,0,4096,30-04 09:40:11
27.273,3.030,69.697,0,0,28.283,2.020,69.697,0,0,28.283,3.030,68.687,0,0,25,5,70,0,0,0,4214784,30-04 09:40:12
70.707,12.121,13.131,4.040,0,70.707,8.081,20.202,1.010,0,62.136,11.650,26.214,0,0,70.833,6.250,22.917,0,0,896512,86330880,30-04 09:40:13
54,9,37,0,0,50,7,41,2,0,44.792,5.208,48.958,1.042,0,56.566,7.071,36.364,0,0,1792512,118645248,30-04 09:40:14
51.020,6.122,36.735,6.122,0,54.545,6.061,39.394,0,0,54.545,4.040,41.414,0,0,51.961,5.882,41.176,0.980,0,2689024,204623872,30-04 09:40:15
57,3,40,0,0,43.564,5.941,50.495,0,0,45.545,4.950,49.505,0,0,43.434,4.040,52.525,0,0,0,0,30-04 09:40:16
50,9,38,3,0,49,6,44,1,0,50,5.102,39.796,5.102,0,52.475,2.970,44.554,0,0,2690560,205545472,30-04 09:40:17
51.020,5.102,41.837,2.041,0,51.515,7.071,37.374,4.040,0,56.701,5.155,38.144,0,0,53.922,4.902,39.216,1.961,0,26055680,204578816,30-04 09:40:18
69.072,9.278,18.557,3.093,0,72.727,4.040,21.212,2.020,0,67.327,5.941,25.743,0.990,0,67.347,4.082,28.571,0,0,161114112,136503296,30-04 09:40:19
67,3,25,5,0,57,6,25,12,0,58.586,5.051,28.283,8.081,0,58,8,21,13,0,89007616,886550528,30-04 09:40:20
49.495,4.040,46.465,0,0,49.495,4.040,46.465,0,0,46.465,2.020,51.515,0,0,44.444,4.040,51.515,0,0,0,0,30-04 09:40:21
46.465,5.051,45.455,3.030,0,43.878,2.041,53.061,1.020,0,46.535,3.960,48.515,0.990,0,52,5,41,2,0,2690560,204632064,30-04 09:40:22
47.475,3.030,48.485,1.010,0,51,4,42,3,0,55.556,5.051,37.374,2.020,0,44.444,3.030,52.525,0,0,2688512,205688832,30-04 09:40:23
44.898,4.082,51.020,0,0,42.574,3.960,53.465,0,0,45,3,52,0,0,50,2,48,0,0,0,49152,30-04 09:40:24
65,5,25,5,0,50,5,45,0,0,60.396,4.950,31.683,2.970,0,65.657,4.040,28.283,2.020,0,99120640,273195008,30-04 09:40:25
68.367,4.082,27.551,0,0,56.122,4.082,39.796,0,0,73.469,4.082,17.347,5.102,0,65.657,7.071,25.253,2.020,0,156197888,136437760,30-04 09:40:26
76.289,7.216,14.433,2.062,0,54.082,5.102,36.735,4.082,0,70.588,7.843,18.627,2.941,0,58.163,3.061,33.673,5.102,0,152600064,341037056,30-04 09:40:27
51.546,5.155,36.082,7.216,0,47.475,7.071,39.394,6.061,0,64.646,7.071,14.141,14.141,0,52.041,5.102,25.510,17.347,0,57534464,1296101376,30-04 09:40:28
41,3,55,1,0,49.505,3.960,46.535,0,0,48,3,48,1,0,37,2,61,0,0,14463488,372736,30-04 09:40:29
46,4,46,4,0,52,3,41,4,0,47.959,2.041,50,0,0,42.574,2.970,53.465,0.990,0,2688000,204832768,30-04 09:40:30
47,4,49,0,0,50.505,2.020,47.475,0,0,44.444,2.020,53.535,0,0,46.535,7.921,44.554,0.990,0,0,27713024,30-04 09:40:31
60.204,6.122,33.673,0,0,64.646,6.061,27.273,2.020,0,57.576,4.040,35.354,3.030,0,75,7,14,4,0,163081728,313364992,30-04 09:40:32
65,6,26,3,0,74.227,3.093,20.619,2.062,0,62.887,4.124,27.835,5.155,0,73,8,14,5,0,165189120,341962752,30-04 09:40:33
54.545,3.030,38.384,4.040,0,64.646,6.061,28.283,1.010,0,63.366,5.941,26.733,3.960,0,78.571,9.184,7.143,5.102,0,152973312,428916224,30-04 09:40:34
70,9,13,8,0,55.556,5.051,23.232,16.162,0,66.667,7.071,18.182,8.081,0,67.327,5.941,17.822,8.911,0,148329984,1071301120,30-04 09:40:35
56.566,4.040,34.343,5.051,0,77.551,8.163,3.061,11.224,0,62.376,4.950,27.723,4.950,0,54.455,5.941,31.683,7.921,0,118275072,799698432,30-04 09:40:36
39.394,4.040,56.566,0,0,53,4,42,1,0,43.878,2.041,53.061,1.020,0,43.434,2.020,51.515,3.030,0,1793024,86839808,30-04 09:40:37
56.436,5.941,35.644,1.980,0,42,4,52,2,0,70.707,6.061,19.192,4.040,0,60.606,4.040,32.323,3.030,0,80259072,273829888,30-04 09:40:38
69.388,5.102,24.490,1.020,0,66.337,1.980,31.683,0,0,79.798,7.071,7.071,6.061,0,55.670,9.278,35.052,0,0,156197376,136450048,30-04 09:40:39
58.416,5.941,34.653,0.990,0,67.708,4.167,20.833,7.292,0,64.646,5.051,27.273,3.030,0,74.490,6.122,13.265,6.122,0,152599040,341041152,30-04 09:40:40
71.134,5.155,15.464,8.247,0,68.317,7.921,19.802,3.960,0,65.347,6.931,20.792,6.931,0,75.510,5.102,13.265,6.122,0,159291904,841903104,30-04 09:40:41
71.429,5.102,16.327,7.143,0,68,6,23,3,0,54.639,5.155,30.928,9.278,0,53.061,6.122,24.490,16.327,0,154429440,881938944,30-04 09:40:42
81.633,8.163,5.102,5.102,0,62,4,30,4,0,63.366,5.941,26.733,3.960,0,65,4,27,4,0,145504768,664154624,30-04 09:40:43
60.606,5.051,31.313,3.030,0,69.072,8.247,13.402,9.278,0,72.727,8.081,12.121,7.071,0,70.707,7.071,21.212,1.010,0,157256192,557972992,30-04 09:40:44
59,4,30,7,0,66.667,4.902,23.529,4.902,0,71.429,2.041,19.388,7.143,0,56.566,4.040,32.323,7.071,0,164581888,619876352,30-04 09:40:45
77,5,12,6,0,62.887,5.155,26.804,5.155,0,57.843,7.843,24.510,9.804,0,74,3,22,1,0,155399168,527196672,30-04 09:40:46
72.727,3.030,21.212,3.030,0,58.586,6.061,35.354,0,0,74,3,21,2,0,66.667,4.040,27.273,2.020,0,159288320,136396800,30-04 09:40:47
63.918,4.124,29.897,2.062,0,80.198,5.941,6.931,6.931,0,57.732,2.062,37.113,3.093,0,64.646,6.061,27.273,2.020,0,147548672,409317376,30-04 09:40:48
64,4,23,9,0,62,8,18,12,0,75,5,9,11,0,60.606,8.081,17.172,14.141,0,160836096,1311493120,30-04 09:40:49
62.245,4.082,29.592,4.082,0,64.646,2.020,30.303,3.030,0,47.959,3.061,40.816,8.163,0,80,5,8,7,0,158961152,394470400,30-04 09:40:50
73.737,8.081,15.152,3.030,0,61.224,6.122,26.531,6.122,0,68.687,5.051,23.232,3.030,0,63,5,28,4,0,153389568,750096384,30-04 09:40:51
69,7,18,6,0,57.143,5.102,35.714,2.041,0,60.204,3.061,34.694,2.041,0,72,8,16,4,0,167789056,545517568,30-04 09:40:52
69,5,24,2,0,74.227,5.155,15.464,5.155,0,66.667,5.051,21.212,7.071,0,59,5,32,4,0,145918976,341106688,30-04 09:40:53
71.429,4.082,23.469,1.020,0,56.701,3.093,34.021,6.186,0,71.287,7.921,13.861,6.931,0,67.677,5.051,26.263,1.010,0,156084736,410230784,30-04 09:40:54
73.469,3.061,17.347,6.122,0,56.566,4.040,38.384,1.010,0,68.687,2.020,28.283,1.010,0,64.356,5.941,28.713,0.990,0,164271616,136527872,30-04 09:40:55
68.317,5.941,17.822,7.921,0,63.265,7.143,18.367,11.224,0,60.396,11.881,14.851,12.871,0,68.317,6.931,15.842,8.911,0,154605056,1435618816,30-04 09:40:56
50,6,40,4,0,87.129,3.960,3.960,4.950,0,62,7,24,7,0,64.948,4.124,29.897,1.031,0,159489024,609960448,30-04 09:40:57
72.727,6.061,11.111,10.101,0,69.792,2.083,25,3.125,0,66.667,5.208,27.083,1.042,0,62,4,31,3,0,151592448,531369472,30-04 09:40:58
63.265,5.102,29.592,2.041,0,73.267,4.950,13.861,7.921,0,59.406,5.941,27.723,6.931,0,68,5,23,4,0,150484992,560923136,30-04 09:40:59
65.979,3.093,25.773,5.155,0,76,5,17,2,0,69.608,7.843,19.608,2.941,0,67.347,6.122,20.408,6.122,0,163606528,545550336,30-04 09:41:00
68.687,7.071,19.192,5.051,0,72.727,4.040,21.212,2.020,0,58.763,6.186,26.804,8.247,0,74.510,7.843,14.706,2.941,0,150743040,341245952,30-04 09:41:01
72.727,5.051,21.212,1.010,0,65.306,4.082,30.612,0,0,66,5,28,1,0,78.351,3.093,17.526,1.031,0,154104832,136429568,30-04 09:41:02
74.747,4.040,16.162,5.051,0,50.980,5.882,39.216,3.922,0,72.727,7.071,18.182,2.020,0,65.657,5.051,27.273,2.020,0,152601600,409272320,30-04 09:41:03
68,8,12,12,0,69.697,6.061,18.182,6.061,0,65.625,9.375,19.792,5.208,0,71.717,6.061,20.202,2.020,0,157424128,812113408,30-04 09:41:04
62.626,6.061,20.202,11.111,0,65.979,6.186,18.557,9.278,0,59,8,28,5,0,62.626,3.030,26.263,8.081,0,148243456,1096933888,30-04 09:41:05
63.265,4.082,26.531,6.122,0,61,6,30,3,0,72.165,7.216,12.371,8.247,0,70.707,9.091,14.141,6.061,0,144167424,729108480,30-04 09:41:06
71.717,3.030,22.222,3.030,0,67.677,7.071,22.222,3.030,0,63.366,7.921,20.792,7.921,0,76.768,6.061,12.121,5.051,0,171525632,695131648,30-04 09:41:07
68.317,5.941,19.802,5.941,0,56,4,38,2,0,63.918,4.124,26.804,5.155,0,75,8,11,6,0,166747648,621658624,30-04 09:41:08
60.417,3.125,35.417,1.042,0,66.667,5.051,25.253,3.030,0,72.727,6.061,19.192,2.020,0,73.196,6.186,9.278,11.340,0,152840192,341217280,30-04 09:41:09
58.586,6.061,26.263,9.091,0,70.833,4.167,22.917,2.083,0,74,6,16,4,0,55.556,5.051,36.364,3.030,0,164048896,547487744,30-04 09:41:10
66.667,5.051,21.212,7.071,0,54.369,3.883,39.806,1.942,0,60,4,35,1,0,74.257,6.931,11.881,6.931,0,151041536,409333760,30-04 09:41:11
59.794,5.155,34.021,1.031,0,71.429,8.163,17.347,3.061,0,69,6,23,2,0,73.469,6.122,13.265,7.143,0,148708352,341016576,30-04 09:41:12
53.608,4.124,40.206,2.062,0,66,2,30,2,0,66,5,26,3,0,74.747,4.040,19.192,2.020,0,147061248,136822784,30-04 09:41:13
69.697,5.051,25.253,0,0,72.449,8.163,17.347,2.041,0,68.687,9.091,17.172,5.051,0,68.687,5.051,25.253,1.010,0,171475456,341057536,30-04 09:41:14
67,9,20,4,0,62.245,10.204,13.265,14.286,0,71,6,13,10,0,58.586,6.061,22.222,13.131,0,138045440,1397263872,30-04 09:41:15
72.165,8.247,12.371,7.216,0,67.677,6.061,17.172,9.091,0,61.616,6.061,27.273,5.051,0,74,5,11,10,0,150643712,1262764544,30-04 09:41:16
74,4,17,5,0,59.596,6.061,30.303,4.040,0,73.737,6.061,16.162,4.040,0,59.794,5.155,31.959,3.093,0,139050496,329657856,30-04 09:41:17
60.825,6.186,29.897,3.093,0,70,6,20,4,0,69,4,25,2,0,65,9,11,15,0,168540672,557040128,30-04 09:41:18
62,5,27,6,0,61.224,8.163,18.367,12.245,0,74.257,3.960,19.802,1.980,0,72.277,7.921,15.842,3.960,0,162504192,750141440,30-04 09:41:19
61.616,5.051,27.273,6.061,0,69.697,10.101,15.152,5.051,0,62.376,4.950,29.703,2.970,0,77,4,15,4,0,164468224,614875136,30-04 09:41:20
74.747,5.051,15.152,5.051,0,67.347,2.041,28.571,2.041,0,56.436,4.950,35.644,2.970,0,61,3,32,4,0,155335168,341102592,30-04 09:41:21
68.041,3.093,21.649,7.216,0,63.918,6.186,25.773,4.124,0,57.143,3.061,31.633,8.163,0,73.267,5.941,10.891,9.901,0,173808640,886460416,30-04 09:41:22
54.082,4.082,40.816,1.020,0,74,4,17,5,0,62.626,6.061,30.303,1.010,0,69.388,4.082,25.510,1.020,0,168336384,136499200,30-04 09:41:23
74,4,15,7,0,57.426,5.941,32.673,3.960,0,64,5,30,1,0,74,3,21,2,0,150490112,409268224,30-04 09:41:24
77.320,5.155,16.495,1.031,0,57,6,36,1,0,70,6,22,2,0,73.267,5.941,19.802,0.990,0,160381952,204644352,30-04 09:41:25
56.566,4.040,37.374,2.020,0,74,5,20,1,0,69.388,4.082,24.490,2.041,0,59,3,35,3,0,154682880,272826368,30-04 09:41:26
60,5,30,5,0,58.163,5.102,34.694,2.041,0,65.657,5.051,28.283,1.010,0,76.531,6.122,11.224,6.122,0,148023808,457723392,30-04 09:41:27
68.687,8.081,9.091,14.141,0,55.556,11.111,12.121,21.212,0,65.657,9.091,15.152,10.101,0,67.327,6.931,16.832,8.911,0,168529408,2100801536,30-04 09:41:28
66,6,24,4,0,60.396,4.950,32.673,1.980,0,70,7,19,4,0,70,6,13,11,0,155757056,373268992,30-04 09:41:29
70.408,7.143,18.367,4.082,0,73.196,8.247,10.309,8.247,0,71.287,7.921,14.851,5.941,0,70.103,7.216,14.433,8.247,0,159818240,647032320,30-04 09:41:30
64.583,8.333,17.708,9.375,0,58.586,5.051,31.313,5.051,0,58.416,6.931,29.703,4.950,0,62,5,28,5,0,159102464,648761856,30-04 09:41:31
67,8,17,8,0,62.626,7.071,24.242,6.061,0,62,4,33,1,0,74.747,4.040,15.152,6.061,0,140673536,409350144,30-04 09:41:32
55.102,7.143,33.673,4.082,0,79.592,6.122,8.163,6.122,0,71.717,5.051,21.212,2.020,0,65,8,24,3,0,154032640,545562624,30-04 09:41:33
64.286,9.184,22.449,4.082,0,63.636,4.040,31.313,1.010,0,72.165,7.216,15.464,5.155,0,65.306,6.122,18.367,10.204,0,152501760,750141440,30-04 09:41:34
78.431,9.804,4.902,6.863,0,63,6,30,1,0,66.667,8.081,22.222,3.030,0,71,7,19,3,0,164676096,438832128,30-04 09:41:35
71.134,7.216,12.371,9.278,0,62.376,7.921,28.713,0.990,0,69.307,3.960,23.762,2.970,0,55.556,4.040,34.343,6.061,0,141967360,652370944,30-04 09:41:36
68.627,8.824,21.569,0.980,0,70.707,6.061,20.202,3.030,0,58.333,5.208,34.375,2.083,0,71.717,7.071,15.152,6.061,0,157149696,341131264,30-04 09:41:37
75.510,7.143,16.327,1.020,0,69.388,7.143,20.408,3.061,0,70,6,23,1,0,67,8,24,1,0,152005632,136433664,30-04 09:41:38
62.626,5.051,27.273,5.051,0,63.636,6.061,29.293,1.010,0,61.856,7.216,29.897,1.031,0,79.208,7.921,8.911,3.960,0,153713152,341065728,30-04 09:41:39
75.248,6.931,7.921,9.901,0,62.626,6.061,31.313,0,0,62,7,31,0,0,69.307,5.941,21.782,2.970,0,147495936,409198592,30-04 09:41:40
66.327,5.102,25.510,3.061,0,59.596,5.051,34.343,1.010,0,66,4,28,2,0,69.697,5.051,24.242,1.010,0,143488000,136486912,30-04 09:41:41
65.306,5.102,25.510,4.082,0,61.616,9.091,28.283,1.010,0,64.356,9.901,17.822,7.921,0,67.010,5.155,24.742,3.093,0,157788672,341118976,30-04 09:41:42
72,7,9,12,0,65.049,6.796,14.563,13.592,0,68.041,7.216,18.557,6.186,0,67,8,18,7,0,159996416,1643036160,30-04 09:41:43
70.408,7.143,13.265,9.184,0,58.586,6.061,25.253,10.101,0,65,6,23,6,0,62.376,5.941,13.861,17.822,0,148817408,1425011200,30-04 09:41:44
60.204,4.082,30.612,5.102,0,60.606,6.061,29.293,4.040,0,64.286,7.143,25.510,3.061,0,76.768,6.061,9.091,8.081,0,162862080,352017920,30-04 09:41:45
64.286,6.122,25.510,4.082,0,78.788,6.061,12.121,3.030,0,65,7,22,6,0,56.122,4.082,34.694,5.102,0,160639488,602915328,30-04 09:41:46
60,6,27,7,0,79,6,8,7,0,69,10,14,7,0,64.286,4.082,28.571,3.061,0,150504960,750235648,30-04 09:41:47
67,5,26,2,0,71.429,3.061,20.408,5.102,0,67,7,25,1,0,73,6,16,5,0,171215360,556112896,30-04 09:41:48
89,7,3,1,0,84.848,9.091,4.040,2.020,0,88.776,7.143,3.061,1.020,0,86.735,8.163,3.061,2.041,0,336648704,463741952,30-04 09:41:49
81.188,7.921,3.960,6.931,0,89,4,6,1,0,87.129,6.931,1.980,3.960,0,84.694,9.184,1.020,5.102,0,280068096,706379264,30-04 09:41:50
75.510,4.082,9.184,11.224,0,73.958,5.208,12.500,8.333,0,71.875,5.208,9.375,13.542,0,67.327,5.941,17.822,8.911,0,209285120,1552704000,30-04 09:41:51
76.768,6.061,13.131,4.040,0,59.184,3.061,29.592,8.163,0,73,5,20,2,0,67.677,5.051,23.232,4.040,0,164736000,341143552,30-04 09:41:52
77.778,6.061,14.141,2.020,0,68,9,20,3,0,73,6,19,2,0,66.667,8.081,23.232,2.020,0,147518464,341041152,30-04 09:41:53
