/usr/bin/java -Xmx64G -XX:MaxDirectMemorySize=64G -classpath /root/YCSB/conf:/root/YCSB/core/target/core-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/rocksdb-binding-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/dependency/HdrHistogram-2.1.4.jar:/root/YCSB/rocksdb/target/dependency/animal-sniffer-annotations-1.19.jar:/root/YCSB/rocksdb/target/dependency/annotations-4.1.1.4.jar:/root/YCSB/rocksdb/target/dependency/checker-compat-qual-2.5.5.jar:/root/YCSB/rocksdb/target/dependency/error_prone_annotations-2.4.0.jar:/root/YCSB/rocksdb/target/dependency/failureaccess-1.0.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-api-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-context-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-core-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-netty-shaded-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-lite-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-stub-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/gson-2.8.6.jar:/root/YCSB/rocksdb/target/dependency/guava-30.0-android.jar:/root/YCSB/rocksdb/target/dependency/htrace-core4-4.1.0-incubating.jar:/root/YCSB/rocksdb/target/dependency/j2objc-annotations-1.3.jar:/root/YCSB/rocksdb/target/dependency/jcip-annotations-1.0.jar:/root/YCSB/rocksdb/target/dependency/jsr305-3.0.2.jar:/root/YCSB/rocksdb/target/dependency/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar:/root/YCSB/rocksdb/target/dependency/perfmark-api-0.23.0.jar:/root/YCSB/rocksdb/target/dependency/proto-google-common-protos-2.0.1.jar:/root/YCSB/rocksdb/target/dependency/protobuf-java-3.12.0.jar:/root/YCSB/rocksdb/target/dependency/rocksdbjni-6.14.0.jar:/root/YCSB/rocksdb/target/dependency/slf4j-api-1.7.25.jar:/root/YCSB/rocksdb/target/dependency/slf4j-simple-1.7.25.jar site.ycsb.Client -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadc -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=3 -p status.interval=1000 -p target=120000 -threads 4
Command line: -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadc -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=3 -p status.interval=1000 -p target=120000 -threads 4
threadcount: 4
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
[Thread-5] INFO site.ycsb.db.rocksdb.RocksDBClient - RocksDB data dir: null
2025-04-30 09:50:27:137 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2025-04-30 09:50:28:114 1 sec: 24000 operations; 24000 current ops/sec; est completion in 20 minutes [INSERT: Count=24000, Max=523775, Min=448512, Avg=483264, 90=519167, 99=523775, 99.9=523775, 99.99=523775] 
2025-04-30 09:50:29:114 2 sec: 184000 operations; 160000 current ops/sec; est completion in 5 minutes [INSERT: Count=160000, Max=392959, Min=51104, Avg=142658.3, 90=317439, 99=392703, 99.9=392959, 99.99=392959] 
2025-04-30 09:50:30:114 3 sec: 306000 operations; 122000 current ops/sec; est completion in 4 minutes [INSERT: Count=122000, Max=102911, Min=52704, Avg=73104.92, 90=90495, 99=102463, 99.9=102911, 99.99=102911] 
2025-04-30 09:50:31:114 4 sec: 426000 operations; 120000 current ops/sec; est completion in 4 minutes [INSERT: Count=120000, Max=108927, Min=48256, Avg=76204.27, 90=93695, 99=105855, 99.9=108927, 99.99=108927] 
2025-04-30 09:50:32:114 5 sec: 546000 operations; 120000 current ops/sec; est completion in 4 minutes [INSERT: Count=120000, Max=113279, Min=47136, Avg=71506.53, 90=95295, 99=112959, 99.9=113279, 99.99=113279] 
2025-04-30 09:50:33:114 6 sec: 668000 operations; 122000 current ops/sec; est completion in 4 minutes [INSERT: Count=122000, Max=101247, Min=46976, Avg=66742.3, 90=83903, 99=94975, 99.9=101247, 99.99=101247] 
2025-04-30 09:50:34:114 7 sec: 783000 operations; 115000 current ops/sec; est completion in 4 minutes [INSERT: Count=115000, Max=102207, Min=49056, Avg=70582.26, 90=91455, 99=100927, 99.9=102207, 99.99=102207] 
2025-04-30 09:50:35:114 8 sec: 906000 operations; 123000 current ops/sec; est completion in 4 minutes [INSERT: Count=123000, Max=110655, Min=46144, Avg=66477.14, 90=91199, 99=110335, 99.9=110655, 99.99=110655] 
2025-04-30 09:50:36:114 9 sec: 1027000 operations; 121000 current ops/sec; est completion in 4 minutes [INSERT: Count=121000, Max=97023, Min=44608, Avg=62529.72, 90=81343, 99=96831, 99.9=97023, 99.99=97023] 
2025-04-30 09:50:37:114 10 sec: 1147000 operations; 120000 current ops/sec; est completion in 4 minutes [INSERT: Count=120000, Max=104639, Min=45536, Avg=63802.4, 90=83263, 99=103807, 99.9=104639, 99.99=104639] 
2025-04-30 09:50:38:114 11 sec: 1266000 operations; 119000 current ops/sec; est completion in 4 minutes [INSERT: Count=119000, Max=87295, Min=46080, Avg=65942.86, 90=83967, 99=87231, 99.9=87295, 99.99=87295] 
2025-04-30 09:50:39:114 12 sec: 1388000 operations; 122000 current ops/sec; est completion in 4 minutes [INSERT: Count=122000, Max=104895, Min=47232, Avg=63239.21, 90=85439, 99=100479, 99.9=104895, 99.99=104895] 
2025-04-30 09:50:40:114 13 sec: 1507000 operations; 119000 current ops/sec; est completion in 4 minutes [INSERT: Count=119000, Max=99711, Min=44768, Avg=61653.38, 90=81151, 99=99455, 99.9=99711, 99.99=99711] 
2025-04-30 09:50:41:114 14 sec: 1626000 operations; 119000 current ops/sec; est completion in 4 minutes [INSERT: Count=119000, Max=97919, Min=49952, Avg=61612.5, 90=81599, 99=94911, 99.9=97919, 99.99=97919] 
