"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node2.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","30 Apr 2025 22:12:12 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
8.528,0.842,88.783,1.847,0,8.891,0.834,88.254,2.021,0,8.946,0.843,88.132,2.079,0,8.735,0.837,88.323,2.105,0,35771296.100,93403953.485,30-04 22:12:12
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,4096,30-04 22:12:13
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,30-04 22:12:14
35.294,6.863,47.059,10.784,0,33.981,7.767,46.602,11.650,0,33.673,7.143,46.939,12.245,0,34.375,4.167,48.958,12.500,0,133826048,0,30-04 22:12:15
80.808,12.121,0,7.071,0,81.633,12.245,0,6.122,0,82.828,11.111,0,6.061,0,78.846,14.423,0.962,5.769,0,282324992,2834432,30-04 22:12:16
85.417,8.333,0,6.250,0,82.653,11.224,0,6.122,0,82,12,0,6,0,80.808,13.131,0,6.061,0,280107008,0,30-04 22:12:17
79.592,15.306,0,5.102,0,78.788,15.152,0,6.061,0,84.848,9.091,0,6.061,0,84.158,9.901,0,5.941,0,273845248,0,30-04 22:12:18
81,15,0,4,0,84.848,11.111,0,4.040,0,85.263,11.579,0,3.158,0,81.818,14.141,0,4.040,0,261612032,0,30-04 22:12:19
84.158,10.891,0,4.950,0,83.838,12.121,0,4.040,0,81,15,0,4,0,78.788,17.172,0,4.040,0,268100096,0,30-04 22:12:20
84.694,11.224,0,4.082,0,84.848,11.111,0,4.040,0,86.275,8.824,0,4.902,0,85.417,10.417,0,4.167,0,266327040,45056,30-04 22:12:21
80.198,15.842,0,3.960,0,82,14,0,4,0,81.818,14.141,0,4.040,0,84.158,11.881,0,3.960,0,261479424,1298432,30-04 22:12:22
84.158,11.881,0,3.960,0,81.188,13.861,0,4.950,0,83.673,12.245,0,4.082,0,85.859,10.101,0,4.040,0,249910784,0,30-04 22:12:23
83.838,12.121,0,4.040,0,84.694,10.204,0,5.102,0,82.353,11.765,0.980,4.902,0,80.392,14.706,0,4.902,0,257258496,0,30-04 22:12:24
82.828,13.131,0,4.040,0,82.653,13.265,0,4.082,0,80.612,15.306,0,4.082,0,82.178,14.851,0,2.970,0,256174080,0,30-04 22:12:25
86.598,10.309,0,3.093,0,82.828,13.131,0,4.040,0,83.673,13.265,0,3.061,0,81.818,14.141,0,4.040,0,255509504,40960,30-04 22:12:26
81.553,12.621,0.971,4.854,0,83,13,0,4,0,81.818,13.131,0,5.051,0,80,15,0,5,0,244099584,28672,30-04 22:12:27
81.188,14.851,0,3.960,0,82,14,0,4,0,81.818,14.141,0,4.040,0,82.828,13.131,0,4.040,0,249691136,1343488,30-04 22:12:28
83.838,12.121,0,4.040,0,81.818,14.141,0,4.040,0,82,14,0,4,0,84.848,10.101,1.010,4.040,0,249298432,0,30-04 22:12:29
84.158,11.881,0,3.960,0,82.178,11.881,0.990,4.950,0,83,11,0,6,0,81.818,13.131,0,5.051,0,238939136,0,30-04 22:12:30
85.149,11.881,0,2.970,0,86.139,9.901,0,3.960,0,83.333,13.542,0,3.125,0,85.149,10.891,0,3.960,0,238100992,0,30-04 22:12:31
82.828,13.131,0,4.040,0,82.828,14.141,0,3.030,0,82.292,14.583,0,3.125,0,80.612,16.327,0,3.061,0,245027328,61440,30-04 22:12:32
83.838,12.121,0,4.040,0,85.859,10.101,0,4.040,0,85.149,9.901,0,4.950,0,81.731,13.462,0,4.808,0,239106048,1036288,30-04 22:12:33
83.505,12.371,0,4.124,0,80.612,15.306,0,4.082,0,85,11,0,4,0,83.673,12.245,0,4.082,0,236200448,282624,30-04 22:12:34
