"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node3.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","30 Apr 2025 22:00:05 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
7.575,0.730,89.945,1.750,0,8.002,0.778,89.344,1.876,0,8.167,0.782,88.999,2.051,0,8.685,0.814,88.352,2.149,0,31851560.846,78652453.305,30-04 22:00:05
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,4096,30-04 22:00:06
5,1,94,0,0,5,1,94,0,0,4.950,1.980,93.069,0,0,3,1,96,0,0,0,0,30-04 22:00:07
73.737,9.091,17.172,0,0,71,8,21,0,0,68,8,24,0,0,64.646,10.101,25.253,0,0,0,1499136,30-04 22:00:08
59.596,6.061,31.313,3.030,0,53.061,9.184,33.673,4.082,0,52,7,38,3,0,53,6,37,4,0,2688000,205090816,30-04 22:00:09
55.556,7.071,37.374,0,0,48,7,45,0,0,52.525,8.081,38.384,1.010,0,50.495,6.931,41.584,0.990,0,896000,114494976,30-04 22:00:10
53,6,39,2,0,49.505,4.950,44.554,0.990,0,48.485,9.091,41.414,1.010,0,51.546,4.124,43.299,1.031,0,1793024,90132992,30-04 22:00:11
56.566,5.051,38.384,0,0,52.577,5.155,39.175,3.093,0,54,4,41,1,0,54.545,6.061,39.394,0,0,2690560,204627968,30-04 22:00:12
45.455,4.040,50.505,0,0,51.485,3.960,44.554,0,0,53,8,39,0,0,46.535,6.931,46.535,0,0,0,0,30-04 22:00:13
58.763,6.186,31.959,3.093,0,63.636,5.051,30.303,1.010,0,74.490,5.102,11.224,9.184,0,54.545,6.061,36.364,3.030,0,136857600,272842752,30-04 22:00:14
64.646,7.071,23.232,5.051,0,65.657,5.051,26.263,3.030,0,70,6,15,9,0,68.041,4.124,24.742,3.093,0,130293760,442322432,30-04 22:00:15
39.394,6.061,45.455,9.091,0,48,3,44,5,0,43,4,42,11,0,43.564,5.941,43.564,6.931,0,9029120,512508416,30-04 22:00:16
53.535,4.040,38.384,4.040,0,42.424,6.061,51.515,0,0,55.102,2.041,40.816,2.041,0,50,3.061,42.857,4.082,0,2690048,204623872,30-04 22:00:17
53.608,4.124,42.268,0,0,49,3,48,0,0,44.444,6.061,49.495,0,0,42.424,4.040,53.535,0,0,0,0,30-04 22:00:18
50.515,5.155,39.175,5.155,0,57,4,39,0,0,46.535,5.941,46.535,0.990,0,42.157,5.882,50.980,0.980,0,2688000,204640256,30-04 22:00:19
47.475,7.071,44.444,1.010,0,53.465,7.921,35.644,2.970,0,60.606,6.061,32.323,1.010,0,51.515,7.071,38.384,3.030,0,29944832,204644352,30-04 22:00:20
64.706,8.824,25.490,0.980,0,76,6,14,4,0,68.041,5.155,25.773,1.031,0,61.386,7.921,30.693,0,0,157202944,136429568,30-04 22:00:21
64.286,9.184,24.490,2.041,0,77.320,7.216,14.433,1.031,0,69.307,6.931,23.762,0,0,69.388,7.143,21.429,2.041,0,154696192,341032960,30-04 22:00:22
61,6,31,2,0,73.267,6.931,15.842,3.960,0,60.396,6.931,27.723,4.950,0,70,9,18,3,0,120616960,446361088,30-04 22:00:23
44,7,36,13,0,45,5,37,13,0,50,6,38,6,0,52,7,32,9,0,15360512,917570048,30-04 22:00:24
41.584,3.960,51.485,2.970,0,51.515,5.051,41.414,2.020,0,55,3,41,1,0,57.843,6.863,30.392,4.902,0,2688512,204640256,30-04 22:00:25
44.444,3.030,52.525,0,0,38,4,58,0,0,45.545,2.970,51.485,0,0,47.959,1.020,51.020,0,0,0,16384,30-04 22:00:26
67.708,7.292,20.833,4.167,0,55.670,7.216,34.021,3.093,0,64.646,4.040,31.313,0,0,66.327,8.163,23.469,2.041,0,111683072,272875520,30-04 22:00:27
82,6,10,2,0,63.265,10.204,24.490,2.041,0,65.657,9.091,24.242,1.010,0,73.469,3.061,22.449,1.020,0,155724800,204644352,30-04 22:00:28
70.408,6.122,21.429,2.041,0,69.697,6.061,21.212,3.030,0,69.072,4.124,25.773,1.031,0,67,6,21,6,0,157277696,341037056,30-04 22:00:29
60.606,12.121,13.131,14.141,0,69,5,22,4,0,60.784,7.843,17.647,13.725,0,67.677,8.081,12.121,12.121,0,133996032,1295294464,30-04 22:00:30
70,6,20,4,0,68.687,3.030,27.273,1.010,0,70.408,4.082,23.469,2.041,0,68.687,4.040,24.242,3.030,0,175524864,136818688,30-04 22:00:31
55.102,6.122,19.388,19.388,0,54.082,6.122,37.755,2.041,0,52.475,5.941,30.693,10.891,0,47.475,7.071,35.354,10.101,0,15436288,818262016,30-04 22:00:32
53.465,7.921,35.644,2.970,0,67.677,6.061,25.253,1.010,0,52.525,5.051,36.364,6.061,0,42.424,3.030,51.515,3.030,0,28153856,190012928,30-04 22:00:33
63.918,6.186,27.835,2.062,0,63.725,4.902,30.392,0.980,0,65.625,5.208,28.125,1.042,0,73.469,4.082,21.429,1.020,0,154795520,153092608,30-04 22:00:34
63.265,4.082,27.551,5.102,0,71.287,5.941,14.851,7.921,0,63,6,26,5,0,65.657,8.081,24.242,2.020,0,154705408,341061632,30-04 22:00:35
66.667,8.333,25,0,0,70,7,19,4,0,67.347,4.082,26.531,2.041,0,70.297,7.921,20.792,0.990,0,151135232,344637440,30-04 22:00:36
71.569,7.843,8.824,11.765,0,65,9,12,14,0,68.627,7.843,14.706,8.824,0,60.606,4.040,19.192,16.162,0,162081792,1350671872,30-04 22:00:37
72,4,20,4,0,68,6,22,4,0,74,4,19,3,0,66.327,6.122,14.286,13.265,0,157190144,556974080,30-04 22:00:38
