"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node2.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","30 Apr 2025 21:39:24 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
6.762,0.677,91.352,1.209,0,7.168,0.671,90.830,1.331,0,7.235,0.678,90.705,1.382,0,6.843,0.661,91.067,1.429,0,26265222.621,63960609.511,30-04 21:39:24
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,3756032,30-04 21:39:25
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,1503232,30-04 21:39:26
22.549,4.902,72.549,0,0,22.222,4.040,73.737,0,0,21.212,3.030,75.758,0,0,21.429,4.082,74.490,0,0,0,0,30-04 21:39:27
73.469,5.102,21.429,0,0,77,8,15,0,0,67,5,28,0,0,66.019,8.738,25.243,0,0,0,0,30-04 21:39:28
51.485,7.921,39.604,0.990,0,55.102,6.122,35.714,3.061,0,47.475,7.071,45.455,0,0,43.878,8.163,44.898,3.061,0,2688512,204976128,30-04 21:39:29
55.556,8.081,32.323,4.040,0,62.626,6.061,31.313,0,0,51.020,5.102,42.857,1.020,0,49.495,8.081,42.424,0,0,2689024,204615680,30-04 21:39:30
54,6,40,0,0,47.475,7.071,45.455,0,0,49.505,5.941,44.554,0,0,56.436,4.950,38.614,0,0,0,77824,30-04 21:39:31
48,4,47,1,0,45.098,5.882,47.059,1.961,0,53,6,37,4,0,40.816,3.061,55.102,1.020,0,2690048,204636160,30-04 21:39:32
48.485,6.061,45.455,0,0,57,6,36,1,0,52.577,4.124,42.268,1.031,0,54.455,7.921,36.634,0.990,0,17671680,129581056,30-04 21:39:33
54.082,8.163,37.755,0,0,65.657,4.040,29.293,1.010,0,60.204,6.122,32.653,1.020,0,79.208,7.921,7.921,4.950,0,161112576,211488768,30-04 21:39:34
52.475,9.901,25.743,11.881,0,55.446,6.931,27.723,9.901,0,67.347,6.122,19.388,7.143,0,64.286,10.204,16.327,9.184,0,89263616,801721856,30-04 21:39:35
49.485,4.124,46.392,0,0,55,4,41,0,0,41.837,6.122,45.918,6.122,0,45.455,3.030,51.515,0,0,8132096,84845056,30-04 21:39:36
42,6,50,2,0,50,7,42,1,0,53.535,5.051,41.414,0,0,58,3,33,6,0,2690560,204623872,30-04 21:39:37
57.576,5.051,37.374,0,0,50.505,5.051,39.394,5.051,0,53,3,44,0,0,48.515,6.931,44.554,0,0,2318848,204611584,30-04 21:39:38
46.392,5.155,48.454,0,0,45,5,50,0,0,51.485,4.950,43.564,0,0,48,8,44,0,0,370176,40960,30-04 21:39:39
52,6,40,2,0,59.794,5.155,34.021,1.031,0,54.455,5.941,37.624,1.980,0,59,9,28,4,0,84450304,272850944,30-04 21:39:40
68,8,23,1,0,68,7,22,3,0,65.657,5.051,28.283,1.010,0,69.307,3.960,25.743,0.990,0,158294016,136433664,30-04 21:39:41
59.184,7.143,33.673,0,0,68,7,22,3,0,62.887,5.155,26.804,5.155,0,76.531,3.061,15.306,5.102,0,158889472,341041152,30-04 21:39:42
53.465,9.901,29.703,6.931,0,62.626,3.030,22.222,12.121,0,60,6,19,15,0,54.082,4.082,29.592,12.245,0,63821824,1159032832,30-04 21:39:43
51.515,6.061,36.364,6.061,0,59,3,38,0,0,41.176,4.902,50.980,2.941,0,38.614,4.950,55.446,0.990,0,14462976,136699904,30-04 21:39:44
41.414,4.040,51.515,3.030,0,47,5,45,3,0,47.959,5.102,41.837,5.102,0,47,4,47,2,0,2688512,204636160,30-04 21:39:45
52,4,44,0,0,45,2,53,0,0,38.384,3.030,58.586,0,0,52.475,3.960,43.564,0,0,0,0,30-04 21:39:46
55.446,3.960,38.614,1.980,0,56.122,4.082,38.776,1.020,0,58.416,5.941,31.683,3.960,0,73.737,5.051,13.131,8.081,0,156801536,341102592,30-04 21:39:47
61,7,31,1,0,63.366,4.950,28.713,2.970,0,70.707,4.040,23.232,2.020,0,74.747,6.061,16.162,3.030,0,159901184,341049344,30-04 21:39:48
73.469,4.082,17.347,5.102,0,61,9,24,6,0,61,5,33,1,0,58.586,5.051,35.354,1.010,0,149876736,348303360,30-04 21:39:49
59.375,4.167,20.833,15.625,0,63,9,7,21,0,62,8,16,14,0,61.856,6.186,22.680,9.278,0,136620032,1394028032,30-04 21:39:50
52.525,5.051,42.424,0,0,55.102,5.102,39.796,0,0,41,6,52,1,0,47.959,6.122,43.878,2.041,0,0,98800128,30-04 21:39:51
47.525,3.960,44.554,3.960,0,44.444,2.020,50.505,3.030,0,54,3,43,0,0,44.554,3.960,48.515,2.970,0,10128896,136540160,30-04 21:39:52
57.576,5.051,31.313,6.061,0,60,3,37,0,0,51.020,5.102,42.857,1.020,0,63,4,32,1,0,76054528,204660736,30-04 21:39:53
67,4,29,0,0,60.204,3.061,36.735,0,0,59.184,4.082,32.653,4.082,0,74,6,16,4,0,145718784,204627968,30-04 21:39:54
59.596,6.061,31.313,3.030,0,58.416,5.941,34.653,0.990,0,79.798,7.071,11.111,2.020,0,74.747,4.040,16.162,5.051,0,154694656,341028864,30-04 21:39:55
61.224,7.143,29.592,2.041,0,72.277,6.931,17.822,2.970,0,74.747,6.061,14.141,5.051,0,60.204,9.184,17.347,13.265,0,165595136,696880128,30-04 21:39:56
