"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node3.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","30 Apr 2025 21:52:45 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
7.255,0.694,90.884,1.167,0,7.698,0.744,90.260,1.298,0,7.865,0.748,89.913,1.474,0,8.392,0.781,89.255,1.572,0,30564665.207,79958464.707,30-04 21:52:45
0,0,100,0,0,0,0,100,0,0,3,2,95,0,0,0,0,100,0,0,0,4096,30-04 21:52:46
10.680,2.913,63.107,23.301,0,10.101,1.010,63.636,25.253,0,10,2,66,22,0,8.081,3.030,64.646,24.242,0,62973952,0,30-04 21:52:47
17.526,3.093,30.928,48.454,0,16.842,4.211,25.263,53.684,0,21.359,3.883,27.184,47.573,0,23.301,1.942,26.214,48.544,0,128975872,0,30-04 21:52:48
20.202,4.040,24.242,51.515,0,17.347,4.082,28.571,50,0,16.129,4.301,21.505,58.065,0,20.833,2.083,23.958,53.125,0,134327808,1503232,30-04 21:52:49
45.714,5.714,10.476,38.095,0,41.414,7.071,13.131,38.384,0,40.625,7.292,10.417,41.667,0,40,6.316,11.579,42.105,0,191589376,0,30-04 21:52:50
26,3,27,44,0,25.510,5.102,21.429,47.959,0,30.612,5.102,4.082,60.204,0,22.680,5.155,26.804,45.361,0,128238080,925696,30-04 21:52:51
22.340,5.319,15.957,56.383,0,25.773,4.124,16.495,53.608,0,26.316,5.263,7.368,61.053,0,17.347,2.041,44.898,35.714,0,128931328,0,30-04 21:52:52
44.660,8.738,9.709,36.893,0,44.330,7.216,7.216,41.237,0,44.898,9.184,3.061,42.857,0,42.268,6.186,14.433,37.113,0,186678784,0,30-04 21:52:53
27.723,2.970,20.792,48.515,0,23.711,4.124,22.680,49.485,0,21.212,2.020,36.364,40.404,0,26.733,4.950,19.802,48.515,0,123990016,65536,30-04 21:52:54
