"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node2.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","30 Apr 2025 21:27:52 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
6.645,0.655,92.122,0.577,0,7.057,0.650,91.604,0.689,0,7.135,0.659,91.448,0.757,0,6.725,0.640,91.850,0.785,0,25229656.983,65756054.345,30-04 21:27:52
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,4096,30-04 21:27:53
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,30-04 21:27:54
16.327,2.041,40.816,40.816,0,17,3,38,42,0,12.121,4.040,47.475,36.364,0,16.327,2.041,39.796,41.837,0,104956416,0,30-04 21:27:55
19.588,5.155,16.495,58.763,0,19.388,4.082,22.449,54.082,0,17.347,4.082,28.571,50,0,22.330,5.825,17.476,54.369,0,140756480,0,30-04 21:27:56
15.306,6.122,31.633,46.939,0,22,4,21,53,0,19.149,3.191,21.277,56.383,0,21.649,4.124,17.526,56.701,0,136181760,77824,30-04 21:27:57
17.172,7.071,26.263,49.495,0,19.149,4.255,18.085,58.511,0,19.388,5.102,23.469,52.041,0,22.549,3.922,22.549,50.980,0,135214592,929792,30-04 21:27:58
22.222,4.040,21.212,52.525,0,18.627,4.902,33.333,43.137,0,26,4,12,58,0,24.752,3.960,16.832,54.455,0,138097152,0,30-04 21:27:59
21,6,18,55,0,13.402,3.093,45.361,38.144,0,22.772,4.950,15.842,56.436,0,24.242,3.030,18.182,54.545,0,133208064,0,30-04 21:28:00
19.388,6.122,24.490,50,0,14.433,3.093,41.237,41.237,0,18.947,5.263,21.053,54.737,0,20.430,1.075,19.355,59.140,0,129735680,0,30-04 21:28:01
21.053,5.263,15.789,57.895,0,21.875,6.250,12.500,59.375,0,22.330,5.825,26.214,45.631,0,14.286,4.082,41.837,39.796,0,130987008,28672,30-04 21:28:02
18.367,5.102,28.571,47.959,0,18.750,2.083,29.167,50,0,21.649,4.124,13.402,60.825,0,20.792,3.960,35.644,39.604,0,127730688,880640,30-04 21:28:03
21.649,6.186,9.278,62.887,0,14.851,3.960,48.515,32.673,0,20.202,6.061,22.222,51.515,0,20.202,4.040,28.283,47.475,0,126827520,0,30-04 21:28:04
20.833,3.125,20.833,55.208,0,20.619,6.186,14.433,58.763,0,12.500,2.083,55.208,30.208,0,19.792,4.167,21.875,54.167,0,126841856,0,30-04 21:28:05
18.750,3.125,34.375,43.750,0,17.708,5.208,29.167,47.917,0,23.232,3.030,23.232,50.505,0,20.408,5.102,24.490,50,0,123649024,0,30-04 21:28:06
