"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node3.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","30 Apr 2025 16:01:22 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
27.264,2.579,68.014,2.142,0,28.459,2.723,66.305,2.513,0,29.609,2.759,64.726,2.906,0,30.366,2.781,63.610,3.242,0,97896953.511,231412598.179,30-04 16:01:22
0,0,100,0,0,0,0,100,0,0,1.980,0.990,97.030,0,0,0.990,0,99.010,0,0,0,2297856,30-04 16:01:23
3,0,97,0,0,3,1,96,0,0,0.990,1.980,97.030,0,0,1.020,0,98.980,0,0,0,1351680,30-04 16:01:24
66.667,9.375,23.958,0,0,72,7,21,0,0,71.134,8.247,20.619,0,0,75,4,21,0,0,0,0,30-04 16:01:25
47.475,6.061,45.455,1.010,0,54.082,5.102,39.796,1.020,0,53,4,40,3,0,53.535,6.061,39.394,1.010,0,2688000,205017088,30-04 16:01:26
53.061,6.122,36.735,4.082,0,50,4,46,0,0,51.485,5.941,42.574,0,0,47.959,5.102,46.939,0,0,896000,119426560,30-04 16:01:27
42.857,3.061,51.020,3.061,0,50.505,3.030,45.455,1.010,0,41.837,2.041,56.122,0,0,41.837,2.041,55.102,1.020,0,1792512,86209024,30-04 16:01:28
63,3,32,2,0,49.485,5.155,43.299,2.062,0,37,7,52,4,0,48.039,5.882,45.098,0.980,0,2689536,204636160,30-04 16:01:29
49.020,6.863,44.118,0,0,34.694,2.041,63.265,0,0,51.515,4.040,44.444,0,0,50,3,47,0,0,0,0,30-04 16:01:30
68.317,9.901,13.861,7.921,0,57.143,2.041,39.796,1.020,0,66.337,5.941,26.733,0.990,0,60,8,30,2,0,136857600,272838656,30-04 16:01:31
76.531,11.224,3.061,9.184,0,58.416,8.911,31.683,0.990,0,64.646,4.040,27.273,4.040,0,56.436,8.911,30.693,3.960,0,130292736,485915648,30-04 16:01:32
52.525,4.040,36.364,7.071,0,43.434,6.061,46.465,4.040,0,40,3,52,5,0,41.837,4.082,42.857,11.224,0,9028096,468923392,30-04 16:01:33
49,5,43,3,0,55.446,5.941,34.653,3.960,0,50.485,5.825,43.689,0,0,44.898,4.082,46.939,4.082,0,2689536,204627968,30-04 16:01:34
37.755,5.102,57.143,0,0,55,3,42,0,0,50.505,2.020,47.475,0,0,52.525,3.030,44.444,0,0,0,0,30-04 16:01:35
40,3,53,4,0,61.224,3.061,35.714,0,0,37.374,3.030,58.586,1.010,0,44.792,0,53.125,2.083,0,2689536,204636160,30-04 16:01:36
61.224,5.102,28.571,5.102,0,49.495,4.040,45.455,1.010,0,51.485,4.950,42.574,0.990,0,49.020,5.882,44.118,0.980,0,21561344,204652544,30-04 16:01:37
76.768,7.071,11.111,5.051,0,65.979,6.186,27.835,0,0,63.636,7.071,29.293,0,0,68.687,5.051,25.253,1.010,0,163492352,136425472,30-04 16:01:38
77.551,5.102,15.306,2.041,0,65.347,4.950,25.743,3.960,0,74.257,8.911,12.871,3.960,0,60.825,8.247,28.866,2.062,0,154695680,341032960,30-04 16:01:39
