"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node1.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","30 Apr 2025 15:50:40 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
29.880,2.943,65.314,1.863,0,30.462,2.928,64.224,2.386,0,31.176,2.922,63.680,2.222,0,31.644,2.971,62.389,2.996,0,109290264.505,262257906.153,30-04 15:50:40
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,122880,4096,30-04 15:50:41
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,30-04 15:50:42
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,73728,30-04 15:50:43
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,30-04 15:50:44
15,2,56,27,0,15.152,0,58.586,26.263,0,15.842,1.980,55.446,26.733,0,9.184,2.041,65.306,23.469,0,67753472,0,30-04 15:50:45
12.245,2.041,64.286,21.429,0,15.686,0.980,61.765,21.569,0,11,2,70,17,0,10.204,2.041,67.347,20.408,0,52352512,921600,30-04 15:50:46
18,0,62,20,0,22.772,1.980,56.436,18.812,0,12,1,77,10,0,20,2,57,21,0,47781888,0,30-04 15:50:47
8.081,1.010,84.848,6.061,0,22.680,2.062,52.577,22.680,0,15.306,2.041,65.306,17.347,0,21,1,61,17,0,41911808,0,30-04 15:50:48
14.286,0,70.408,15.306,0,5,0,91,4,0,21,1,59,19,0,21.212,2.020,55.556,21.212,0,38726656,0,30-04 15:50:49
19.192,2.020,59.596,19.192,0,16.667,2.941,66.667,13.725,0,18.182,0,76.768,5.051,0,22.772,2.970,55.446,18.812,0,38010368,0,30-04 15:50:50
16.832,1.980,66.337,14.851,0,14.851,0.990,70.297,13.861,0,17.822,2.970,58.416,20.792,0,10.784,0,82.353,6.863,0,38340608,36864,30-04 15:50:51
13.402,1.031,69.072,16.495,0,10.101,1.010,76.768,12.121,0,18.557,1.031,59.794,20.619,0,2,1,95,2,0,33869824,12288,30-04 15:50:52
18,2,63,17,0,16.327,1.020,69.388,13.265,0,26,1,57,16,0,9.375,0,82.292,8.333,0,36594688,0,30-04 15:50:53
12.371,1.031,72.165,14.433,0,25.253,1.010,49.495,24.242,0,3,0,95,2,0,11.224,1.020,74.490,13.265,0,34808832,0,30-04 15:50:54
14,1,71,14,0,25.962,2.885,49.038,22.115,0,2,0,96,2,0,16.505,0.971,69.903,12.621,0,34918912,0,30-04 15:50:55
13.265,2.041,73.469,11.224,0,24,1,56,19,0,13.592,0.971,79.612,5.825,0,20.388,0.971,66.019,12.621,0,32886272,36864,30-04 15:50:56
15.152,1.010,68.687,15.152,0,20,1,61,18,0,16.327,1.020,69.388,13.265,0,6.061,0,88.889,5.051,0,33313792,0,30-04 15:50:57
14.141,0,73.737,12.121,0,11,3,75,11,0,27,2,47,24,0,0,0,100,0,0,32146432,0,30-04 15:50:58
16.327,1.020,72.449,10.204,0,22.340,2.128,52.128,23.404,0,10.101,2.020,79.798,8.081,0,9.184,1.020,83.673,6.122,0,31131648,0,30-04 15:50:59
19.588,2.062,58.763,19.588,0,11.224,2.041,76.531,10.204,0,18.182,1.010,62.626,18.182,0,3,0,96,1,0,32376320,0,30-04 15:51:00
11,2,76,11,0,8.421,0,80,11.579,0,23.762,2.970,51.485,21.782,0,0,1,99,0,0,29817344,45056,30-04 15:51:01
21.429,2.041,59.184,17.347,0,5,2,90,3,0,20.408,2.041,60.204,17.347,0,14.141,0,77.778,8.081,0,30371840,0,30-04 15:51:02
6.061,1.010,87.879,5.051,0,17.708,0,64.583,17.708,0,12.632,0,78.947,8.421,0,16.327,2.041,65.306,16.327,0,31131136,1896448,30-04 15:51:03
0,0,100,0,0,16,2,70,12,0,15.152,2.020,69.697,13.131,0,25.743,1.980,53.465,18.812,0,29244416,0,30-04 15:51:04
8,0,88,4,0,16.162,1.010,74.747,8.081,0,26.471,0.980,56.863,15.686,0,21.053,0,63.158,15.789,0,28874752,0,30-04 15:51:05
11.765,2.941,75.490,9.804,0,17,1,66,16,0,2,0,98,0,0,15.306,1.020,67.347,16.327,0,27469824,28672,30-04 15:51:06
