"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node3.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","30 Apr 2025 15:37:55 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
31.398,2.985,63.944,1.673,0,33.196,3.201,61.422,2.182,0,34.426,3.183,60.042,2.349,0,35.581,3.240,58.559,2.620,0,104358290.001,217035595.703,30-04 15:37:55
1,0,99,0,0,0,0,100,0,0,0,0,100,0,0,0,0.990,99.010,0,0,0,4096,30-04 15:37:56
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,1363968,30-04 15:37:57
3.030,2.020,94.949,0,0,4,1,95,0,0,5,1,94,0,0,5,1,94,0,0,0,0,30-04 15:37:58
69.307,5.941,24.752,0,0,73,7,20,0,0,65,7,28,0,0,72,9,19,0,0,0,106496,30-04 15:37:59
52,4,41,3,0,47.475,7.071,44.444,1.010,0,54,8,35,3,0,52.475,8.911,38.614,0,0,2688512,204914688,30-04 15:38:00
50.505,7.071,41.414,1.010,0,51.485,3.960,44.554,0,0,44.444,6.061,49.495,0,0,50,6.863,39.216,3.922,0,896512,136462336,30-04 15:38:01
50.515,5.155,44.330,0,0,53,5,41,1,0,48.485,6.061,45.455,0,0,51.515,4.040,44.444,0,0,1792000,68231168,30-04 15:38:02
52.041,7.143,36.735,4.082,0,59,8,30,3,0,52.475,6.931,40.594,0,0,51,8,41,0,0,2690048,204627968,30-04 15:38:03
52.525,5.051,42.424,0,0,56.122,4.082,39.796,0,0,50,7.143,42.857,0,0,47,6,47,0,0,0,0,30-04 15:38:04
63.366,9.901,24.752,1.980,0,70,10,18,2,0,67.327,5.941,24.752,1.980,0,70.707,4.040,23.232,2.020,0,136857600,272842752,30-04 15:38:05
71.717,9.091,14.141,5.051,0,64.356,7.921,26.733,0.990,0,64.286,5.102,30.612,0,0,70.588,7.843,13.725,7.843,0,130292736,333818880,30-04 15:38:06
34.694,3.061,47.959,14.286,0,44.330,6.186,45.361,4.124,0,53.608,3.093,37.113,6.186,0,50,2.083,39.583,8.333,0,9028096,620971008,30-04 15:38:07
