
/usr/bin/java -Xmx64G -XX:MaxDirectMemorySize=64G -classpath /root/YCSB/conf:/root/YCSB/core/target/core-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/rocksdb-binding-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/dependency/HdrHistogram-2.1.4.jar:/root/YCSB/rocksdb/target/dependency/animal-sniffer-annotations-1.19.jar:/root/YCSB/rocksdb/target/dependency/annotations-4.1.1.4.jar:/root/YCSB/rocksdb/target/dependency/checker-compat-qual-2.5.5.jar:/root/YCSB/rocksdb/target/dependency/error_prone_annotations-2.4.0.jar:/root/YCSB/rocksdb/target/dependency/failureaccess-1.0.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-api-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-context-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-core-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-netty-shaded-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-lite-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-stub-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/gson-2.8.6.jar:/root/YCSB/rocksdb/target/dependency/guava-30.0-android.jar:/root/YCSB/rocksdb/target/dependency/htrace-core4-4.1.0-incubating.jar:/root/YCSB/rocksdb/target/dependency/j2objc-annotations-1.3.jar:/root/YCSB/rocksdb/target/dependency/jcip-annotations-1.0.jar:/root/YCSB/rocksdb/target/dependency/jsr305-3.0.2.jar:/root/YCSB/rocksdb/target/dependency/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar:/root/YCSB/rocksdb/target/dependency/perfmark-api-0.23.0.jar:/root/YCSB/rocksdb/target/dependency/proto-google-common-protos-2.0.1.jar:/root/YCSB/rocksdb/target/dependency/protobuf-java-3.12.0.jar:/root/YCSB/rocksdb/target/dependency/rocksdbjni-6.14.0.jar:/root/YCSB/rocksdb/target/dependency/slf4j-api-1.7.25.jar:/root/YCSB/rocksdb/target/dependency/slf4j-simple-1.7.25.jar site.ycsb.Client -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadd -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=3 -p status.interval=1000 -p target=100000 -threads 4
Command line: -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadd -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=3 -p status.interval=1000 -p target=100000 -threads 4
threadcount: 4
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
[Thread-2] INFO site.ycsb.db.rocksdb.RocksDBClient - RocksDB data dir: null
2025-04-30 15:37:57:249 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2025-04-30 15:37:58:226 1 sec: 8000 operations; 7992.01 current ops/sec; est completion in 52 minutes [INSERT: Count=8000, Max=544255, Min=503808, Avg=519632, 90=544255, 99=544255, 99.9=544255, 99.99=544255] 
2025-04-30 15:37:59:226 2 sec: 156000 operations; 148148.15 current ops/sec; est completion in 5 minutes [INSERT: Count=148000, Max=577023, Min=55104, Avg=268199.68, 90=494847, 99=573439, 99.9=577023, 99.99=577023] 
2025-04-30 15:38:00:226 3 sec: 254000 operations; 98000 current ops/sec; est completion in 4 minutes [INSERT: Count=98000, Max=158335, Min=50144, Avg=76251.27, 90=102527, 99=158335, 99.9=158335, 99.99=158335] 
2025-04-30 15:38:01:226 4 sec: 352000 operations; 98000 current ops/sec; est completion in 4 minutes [INSERT: Count=98000, Max=141311, Min=52544, Avg=76816, 90=98367, 99=141311, 99.9=141311, 99.99=141311] 
2025-04-30 15:38:02:226 5 sec: 456000 operations; 104000 current ops/sec; est completion in 4 minutes [INSERT: Count=104000, Max=136575, Min=53248, Avg=80720.92, 90=108479, 99=119423, 99.9=136575, 99.99=136575] 
2025-04-30 15:38:03:226 6 sec: 552000 operations; 96000 current ops/sec; est completion in 4 minutes [INSERT: Count=96000, Max=170111, Min=46336, Avg=86815, 90=119423, 99=170111, 99.9=170111, 99.99=170111] 
2025-04-30 15:38:04:226 7 sec: 652000 operations; 100000 current ops/sec; est completion in 4 minutes [INSERT: Count=100000, Max=119871, Min=52864, Avg=80324.16, 90=97919, 99=119487, 99.9=119871, 99.99=119871] 
2025-04-30 15:38:05:226 8 sec: 756000 operations; 104000 current ops/sec; est completion in 4 minutes [INSERT: Count=104000, Max=172927, Min=47936, Avg=85292.62, 90=105919, 99=144511, 99.9=172927, 99.99=172927] 
2025-04-30 15:38:06:226 9 sec: 854000 operations; 98000 current ops/sec; est completion in 4 minutes [INSERT: Count=98000, Max=212607, Min=49856, Avg=92181.22, 90=146431, 99=212607, 99.9=212607, 99.99=212607] 
2025-04-30 15:38:07:226 10 sec: 952000 operations; 98000 current ops/sec; est completion in 4 minutes [INSERT: Count=98000, Max=125247, Min=52128, Avg=73950.2, 90=103359, 99=125247, 99.9=125247, 99.99=125247] 
2025-04-30 15:38:08:226 11 sec: 1056000 operations; 104000 current ops/sec; est completion in 4 minutes [INSERT: Count=104000, Max=185087, Min=45824, Avg=71954.15, 90=107071, 99=180991, 99.9=185087, 99.99=185087] 
2025-04-30 15:38:09:226 12 sec: 1154000 operations; 98000 current ops/sec; est completion in 4 minutes [INSERT: Count=99000, Max=130751, Min=45856, Avg=64445.58, 90=91327, 99=130751, 99.9=130751, 99.99=130751] 
2025-04-30 15:38:10:226 13 sec: 1254000 operations; 100000 current ops/sec; est completion in 4 minutes [INSERT: Count=99000, Max=143103, Min=47520, Avg=63610.67, 90=85503, 99=143103, 99.9=143103, 99.99=143103] 
2025-04-30 15:38:11:226 14 sec: 1354000 operations; 100000 current ops/sec; est completion in 4 minutes [INSERT: Count=100000, Max=117375, Min=48544, Avg=69164.96, 90=92671, 99=111743, 99.9=117375, 99.99=117375] 
