"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node1.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","30 Apr 2025 15:13:10 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
30.296,3.140,65.062,1.502,0,30.273,2.920,64.353,2.454,0,31.335,2.934,63.491,2.240,0,30.094,2.866,64.612,2.428,0,95934720.318,190718015.747,30-04 15:13:10
0,0,100,0,0,0,0,100,0,0,0.990,0,99.010,0,0,0,0,100,0,0,184320,4096,30-04 15:13:11
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,30-04 15:13:12
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,114688,1425408,30-04 15:13:13
44.792,7.292,47.917,0,0,45.455,7.071,47.475,0,0,46.465,6.061,47.475,0,0,46,6,48,0,0,0,98304,30-04 15:13:14
56.122,7.143,35.714,1.020,0,53.535,8.081,35.354,3.030,0,69.697,6.061,23.232,1.010,0,60,8,30,2,0,2688000,205021184,30-04 15:13:15
46.939,5.102,47.959,0,0,60.784,6.863,32.353,0,0,50.495,6.931,42.574,0,0,55.102,6.122,38.776,0,0,0,0,30-04 15:13:16
59,7,31,3,0,58.586,6.061,35.354,0,0,66,5,27,2,0,48.980,9.184,39.796,2.041,0,2688512,204627968,30-04 15:13:17
56.436,7.921,35.644,0,0,57.732,6.186,36.082,0,0,59.596,9.091,31.313,0,0,52.525,8.081,39.394,0,0,0,1073152,30-04 15:13:18
54.082,8.163,33.673,4.082,0,54.902,3.922,40.196,0.980,0,54,6,39,1,0,39.216,6.863,53.922,0,0,2690560,204644352,30-04 15:13:19
54.167,5.208,40.625,0,0,49.495,6.061,40.404,4.040,0,54,5,40,1,0,61.856,9.278,26.804,2.062,0,44618752,204677120,30-04 15:13:20
59.794,9.278,30.928,0,0,73.196,7.216,16.495,3.093,0,76,6,15,3,0,64.948,6.186,28.866,0,0,157223936,136392704,30-04 15:13:21
61.616,4.040,28.283,6.061,0,50.505,10.101,15.152,24.242,0,61.224,6.122,29.592,3.061,0,60.204,7.143,28.571,4.082,0,74336768,886562816,30-04 15:13:22
