"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node2.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","30 Apr 2025 15:28:09 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
28.436,2.839,66.789,1.935,0,32.100,2.914,62.292,2.693,0,30.371,2.786,64.191,2.652,0,27.663,2.634,67.223,2.479,0,100483089.367,251075417.357,30-04 15:28:09
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0.990,99.010,0,0,139264,4096,30-04 15:28:10
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,30-04 15:28:11
42.268,8.247,30.928,18.557,0,45.833,4.167,31.250,18.750,0,49.020,3.922,30.392,16.667,0,42.708,7.292,32.292,17.708,0,175726592,0,30-04 15:28:12
79.592,12.245,0,8.163,0,80.412,10.309,0,9.278,0,82,10,0,8,0,79.798,11.111,0,9.091,0,250146816,8486912,30-04 15:28:13
83.673,9.184,0,7.143,0,79,14,0,7,0,79.798,14.141,0,6.061,0,84.158,8.911,0,6.931,0,254384640,155648,30-04 15:28:14
81.373,14.706,0,3.922,0,84,12,0,4,0,82.178,12.871,0,4.950,0,82.653,13.265,0,4.082,0,262910464,839680,30-04 15:28:15
81.818,16.162,0,2.020,0,81.818,16.162,0,2.020,0,82,15,0,3,0,86.869,10.101,0,3.030,0,270091776,0,30-04 15:28:16
82,15,0,3,0,82.828,14.141,0,3.030,0,81.633,16.327,0,2.041,0,83.168,14.851,0,1.980,0,265862144,0,30-04 15:28:17
85.714,10.204,0,4.082,0,83.505,12.371,0,4.124,0,82.653,13.265,0,4.082,0,84.848,11.111,0,4.040,0,248448000,0,30-04 15:28:18
85.149,11.881,0,2.970,0,82,15,0,3,0,81.818,15.152,0,3.030,0,79.592,17.347,0,3.061,0,259813888,1425408,30-04 15:28:19
83.168,13.861,0,2.970,0,83.673,13.265,0,3.061,0,84,13,0,3,0,83.168,13.861,0,2.970,0,250715136,1122304,30-04 15:28:20
85.714,12.245,0,2.041,0,84,12,0,4,0,86.598,10.309,0,3.093,0,81.633,15.306,0,3.061,0,245728256,0,30-04 15:28:21
82.653,14.286,0,3.061,0,83.838,14.141,0,2.020,0,84,13,0,3,0,82.178,13.861,0.990,2.970,0,251328512,0,30-04 15:28:22
85.149,11.881,0,2.970,0,84,12,0,4,0,86.869,10.101,0,3.030,0,83.673,13.265,0,3.061,0,242043392,0,30-04 15:28:23
76.238,19.802,0.990,2.970,0,86.869,10.101,0,3.030,0,81.818,15.152,0,3.030,0,81.818,15.152,0,3.030,0,246197760,57344,30-04 15:28:24
86,11,0,3,0,84,13,0,3,0,85.859,11.111,0,3.030,0,84.158,12.871,0,2.970,0,246176256,32768,30-04 15:28:25
85.714,11.224,0,3.061,0,87,10,0,3,0,79.412,15.686,0.980,3.922,0,87,9,0,4,0,227519488,1257472,30-04 15:28:26
88,9,0,3,0,86.139,10.891,0,2.970,0,83,15,0,2,0,86,12,0,2,0,239459328,0,30-04 15:28:27
85.149,12.871,0,1.980,0,84.848,13.131,0,2.020,0,87.129,10.891,0,1.980,0,86,11,0,3,0,239621632,0,30-04 15:28:28
85.294,10.784,0,3.922,0,84.314,11.765,0,3.922,0,85.859,10.101,0,4.040,0,83.168,13.861,0,2.970,0,224808448,53248,30-04 15:28:29
84.848,13.131,0,2.020,0,83.838,13.131,1.010,2.020,0,84.848,12.121,0,3.030,0,83.838,13.131,0,3.030,0,235298304,0,30-04 15:28:30
89.216,7.843,0,2.941,0,81.818,15.152,0,3.030,0,87.255,9.804,0,2.941,0,86,11,0,3,0,231477248,1175552,30-04 15:28:31
87,10,0,3,0,84.536,12.371,0,3.093,0,88,9,0,3,0,80.208,16.667,0,3.125,0,220569088,12288,30-04 15:28:32
88,10,0,2,0,88,9,0,3,0,83.168,13.861,0,2.970,0,82,15,0,3,0,228659200,0,30-04 15:28:33
83.838,12.121,0,4.040,0,85,12,0,3,0,84.694,12.245,0,3.061,0,84.314,12.745,0,2.941,0,227745792,0,30-04 15:28:34
87,10,0,3,0,85.149,10.891,0,3.960,0,85,11,0,4,0,85.149,11.881,0,2.970,0,216058880,49152,30-04 15:28:35
87,10,0,3,0,89,9,0,2,0,87.629,10.309,0,2.062,0,88.889,8.081,0,3.030,0,226191360,0,30-04 15:28:36
87.755,10.204,0,2.041,0,88.119,7.921,0.990,2.970,0,86,11,0,3,0,85.859,12.121,0,2.020,0,227870208,1110016,30-04 15:28:37
86.869,10.101,0,3.030,0,87,10,0,3,0,88.350,8.738,0,2.913,0,86.139,10.891,0,2.970,0,217525760,12288,30-04 15:28:38
85.149,10.891,0.990,2.970,0,84,14,0,2,0,86.869,10.101,0,3.030,0,87.129,9.901,0,2.970,0,221672960,0,30-04 15:28:39
84.848,13.131,0,2.020,0,87,11,0,2,0,84.848,13.131,0,2.020,0,89,9,0,2,0,220131328,57344,30-04 15:28:40
85.149,12.871,0,1.980,0,85.859,11.111,0,3.030,0,84,13,0,3,0,88,9,1,2,0,208604672,81920,30-04 15:28:41
94,5,0,1,0,86.735,12.245,0,1.020,0,94.845,4.124,0,1.031,0,85.149,12.871,0,1.980,0,188035584,1343488,30-04 15:28:42
87.755,8.163,0,4.082,0,85.149,9.901,0,4.950,0,83.168,12.871,0,3.960,0,86.735,9.184,0,4.082,0,290992128,272830464,30-04 15:28:43
91,7,0,2,0,89,10,0,1,0,88.889,10.101,0,1.010,0,90.816,8.163,0,1.020,0,290456064,68214784,30-04 15:28:44
