"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node3.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","30 Apr 2025 14:48:15 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
0.059,0.634,99.306,0,0,0.022,0.836,99.142,0,0,0.061,0.081,99.857,0.002,0,0.034,0.071,99.896,0,0,315835.855,70777.582,30-04 14:48:15
0,0,100,0,0,3,4,93,0,0,0.990,0,99.010,0,0,0,0,100,0,0,929792,0,30-04 14:48:16
9.184,1.020,89.796,0,0,10.891,3.960,85.149,0,0,10,1,89,0,0,6.931,3.960,89.109,0,0,98304,487424,30-04 14:48:17
63.366,11.881,24.752,0,0,70.526,9.474,20,0,0,66.667,10.101,23.232,0,0,64.286,10.204,25.510,0,0,0,0,30-04 14:48:18
60,6,33,1,0,50.505,6.061,43.434,0,0,52.041,9.184,35.714,3.061,0,60.606,5.051,33.333,1.010,0,3003904,205123584,30-04 14:48:19
56.701,6.186,37.113,0,0,61.224,5.102,32.653,1.020,0,43.564,9.901,46.535,0,0,62.245,7.143,27.551,3.061,0,921088,149917696,30-04 14:48:20
52,8,39,1,0,52.475,6.931,39.604,0.990,0,55.102,8.163,36.735,0,0,52.525,5.051,42.424,0,0,1792512,54751232,30-04 14:48:21
58.586,9.091,31.313,1.010,0,57.895,5.263,35.789,1.053,0,58.824,6.863,33.333,0.980,0,43.564,9.901,43.564,2.970,0,2698240,204627968,30-04 14:48:22
54.639,4.124,41.237,0,0,51.485,8.911,39.604,0,0,52.041,4.082,43.878,0,0,51.515,7.071,41.414,0,0,0,909312,30-04 14:48:23
