"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node3.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","30 Apr 2025 15:01:29 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
14.331,1.546,83.086,1.038,0,19.114,2.066,76.655,2.165,0,20.132,1.778,75.810,2.280,0,18.469,1.654,77.699,2.179,0,74927047.748,265733373.265,30-04 15:01:29
0,0,100,0,0,0,0.990,99.010,0,0,0,0,100,0,0,0,1,99,0,0,0,4096,30-04 15:01:30
22,2,64,12,0,16.667,4.167,65.625,13.542,0,20.408,3.061,64.286,12.245,0,20.202,3.030,63.636,13.131,0,73923072,0,30-04 15:01:31
87.129,9.901,0,2.970,0,79.208,16.832,0,3.960,0,89.583,7.292,0,3.125,0,84,12,0,4,0,269187072,0,30-04 15:01:32
88,10,0,2,0,82.828,15.152,0,2.020,0,84.314,12.745,0.980,1.961,0,85.859,12.121,0,2.020,0,266735104,1224704,30-04 15:01:33
84.158,13.861,0,1.980,0,85,13,0,2,0,81,17,0,2,0,79.798,18.182,0,2.020,0,260029952,0,30-04 15:01:34
83,15,0,2,0,81,17,0,2,0,81.818,16.162,0,2.020,0,86,12,0,2,0,255872000,970752,30-04 15:01:35
90,8,0,2,0,86.735,11.224,0,2.041,0,85.149,12.871,0,1.980,0,84.158,12.871,0.990,1.980,0,251708416,0,30-04 15:01:36
83.333,13.725,0,2.941,0,83.838,14.141,0,2.020,0,81,16,0,3,0,84.694,13.265,0,2.041,0,239067648,0,30-04 15:01:37
86.869,11.111,0,2.020,0,87,10,0,3,0,84.848,13.131,0,2.020,0,88,10,0,2,0,242237440,0,30-04 15:01:38
85.294,12.745,0,1.961,0,84,14,0,2,0,82.828,15.152,0,2.020,0,88.889,9.091,0,2.020,0,244802048,49152,30-04 15:01:39
82,16,0,2,0,84.848,13.131,0,2.020,0,87.879,10.101,0,2.020,0,84.158,12.871,0,2.970,0,241036800,1052672,30-04 15:01:40
86,12,0,2,0,83,15,0,2,0,88,9,0,3,0,83.168,14.851,0,1.980,0,238161920,0,30-04 15:01:41
87.129,9.901,0.990,1.980,0,84.158,12.871,0.990,1.980,0,86.139,11.881,0,1.980,0,86.869,11.111,0,2.020,0,235807232,28672,30-04 15:01:42
87.879,10.101,0,2.020,0,83.673,14.286,0,2.041,0,85,13,0,2,0,86.735,11.224,0,2.041,0,226099712,0,30-04 15:01:43
83.168,13.861,0,2.970,0,86.869,10.101,0,3.030,0,86,12,0,2,0,83,15,0,2,0,225858560,147456,30-04 15:01:44
85.714,12.245,0,2.041,0,85.859,12.121,0,2.020,0,89.796,8.163,0,2.041,0,88,9,0,3,0,225964032,61440,30-04 15:01:45
83.838,14.141,0,2.020,0,85.859,12.121,0,2.020,0,84.694,12.245,1.020,2.041,0,84.848,13.131,0,2.020,0,227490816,1060864,30-04 15:01:46
84,14,0,2,0,85.149,11.881,0,2.970,0,84.848,13.131,0,2.020,0,81.443,16.495,0,2.062,0,224613888,0,30-04 15:01:47
86.869,11.111,0,2.020,0,85.859,12.121,0,2.020,0,85.859,11.111,0,3.030,0,82.653,14.286,1.020,2.041,0,224139264,12288,30-04 15:01:48
84.375,13.542,0,2.083,0,85.149,11.881,0,2.970,0,84.536,13.402,0,2.062,0,86.869,10.101,0,3.030,0,217584128,0,30-04 15:01:49
85.859,11.111,0,3.030,0,85.714,12.245,0,2.041,0,85.149,11.881,0,2.970,0,88.889,9.091,0,2.020,0,219539968,49152,30-04 15:01:50
83,15,0,2,0,85.859,12.121,0,2.020,0,83.333,14.583,0,2.083,0,83,14,0,3,0,222205952,999424,30-04 15:01:51
88.119,7.921,0.990,2.970,0,83.168,12.871,0.990,2.970,0,85.714,12.245,0,2.041,0,87.879,10.101,0,2.020,0,224835584,0,30-04 15:01:52
87,11,0,2,0,84.848,13.131,0,2.020,0,86.735,10.204,0,3.061,0,88,9,0,3,0,219573248,0,30-04 15:01:53
86.735,10.204,0,3.061,0,86,11,0,3,0,84.694,12.245,1.020,2.041,0,86.139,11.881,0,1.980,0,215846400,12288,30-04 15:01:54
89.899,7.071,0,3.030,0,85.859,10.101,0,4.040,0,84.158,11.881,0,3.960,0,85.859,9.091,1.010,4.040,0,195284480,49152,30-04 15:01:55
85.859,7.071,0,7.071,0,81.443,11.340,0,7.216,0,83.673,9.184,0,7.143,0,84.848,9.091,0,6.061,0,202395648,205656064,30-04 15:01:56
87.755,9.184,0,3.061,0,87,9,1,3,0,85.859,11.111,0,3.030,0,84.848,12.121,0,3.030,0,236067328,102400,30-04 15:01:57
83.168,13.861,0.990,1.980,0,89.109,8.911,0,1.980,0,85.149,11.881,0,2.970,0,84,14,0,2,0,234167296,0,30-04 15:01:58
84,13,0,3,0,80.808,16.162,0,3.030,0,89.796,8.163,0,2.041,0,84,14,0,2,0,227781632,0,30-04 15:01:59
84.848,13.131,0,2.020,0,84,14,0,2,0,88.660,9.278,0,2.062,0,86,11,0,3,0,225831424,28672,30-04 15:02:00
88.119,8.911,0,2.970,0,88.660,8.247,0,3.093,0,83.333,13.725,0,2.941,0,87.129,9.901,0,2.970,0,215031296,1044480,30-04 15:02:01
85.859,12.121,0,2.020,0,86.139,10.891,0,2.970,0,88.889,9.091,0,2.020,0,87.755,9.184,1.020,2.041,0,220721152,77824,30-04 15:02:02
86.869,11.111,0,2.020,0,89.899,7.071,1.010,2.020,0,85.859,10.101,1.010,3.030,0,86.869,10.101,0,3.030,0,221191680,20480,30-04 15:02:03
87,10,0,3,0,86,11,0,3,0,86.869,10.101,0,3.030,0,88.542,8.333,0,3.125,0,218708992,0,30-04 15:02:04
89.796,8.163,0,2.041,0,86.735,11.224,0,2.041,0,89,9,0,2,0,92,6,0,2,0,217297920,0,30-04 15:02:05
86,11,1,2,0,88.889,8.081,0,3.030,0,89,8,0,3,0,88,9,0,3,0,216723968,12288,30-04 15:02:06
87,10,0,3,0,88.889,9.091,0,2.020,0,86.869,11.111,0,2.020,0,88.776,9.184,0,2.041,0,205622272,921600,30-04 15:02:07
86.869,10.101,0,3.030,0,87.129,9.901,0,2.970,0,89,8,0,3,0,89.109,6.931,0.990,2.970,0,210741248,0,30-04 15:02:08
83.838,13.131,0,3.030,0,87.879,10.101,0,2.020,0,88,10,0,2,0,88,9,0,3,0,212651520,4096,30-04 15:02:09
89,9,0,2,0,88.119,7.921,0.990,2.970,0,86,10,1,3,0,86.869,11.111,0,2.020,0,213390336,0,30-04 15:02:10
87,10,0,3,0,89.583,7.292,0,3.125,0,89.899,8.081,0,2.020,0,88,9,0,3,0,212164096,0,30-04 15:02:11
88.119,8.911,0.990,1.980,0,88,10,0,2,0,87.129,9.901,0,2.970,0,89,8,0,3,0,212526080,1064960,30-04 15:02:12
87.755,9.184,0,3.061,0,91,6,0,3,0,82.178,14.851,0,2.970,0,89.691,8.247,0,2.062,0,202187264,12288,30-04 15:02:13
91,7,0,2,0,90.909,7.071,0,2.020,0,90.099,6.931,0,2.970,0,81.818,14.141,1.010,3.030,0,209363968,0,30-04 15:02:14
87,10,0,3,0,85,12,0,3,0,90,7,1,2,0,86.275,10.784,0,2.941,0,204231680,8192,30-04 15:02:15
88,10,0,2,0,89.216,7.843,0,2.941,0,88,9,0,3,0,91,7,0,2,0,207622656,0,30-04 15:02:16
89.899,6.061,1.010,3.030,0,84.694,11.224,1.020,3.061,0,86,11,0,3,0,84.848,11.111,0,4.040,0,197566976,53248,30-04 15:02:17
89.899,6.061,0,4.040,0,84.694,10.204,0,5.102,0,78,18,0,4,0,90.722,5.155,0,4.124,0,195922944,1003520,30-04 15:02:18
85.859,10.101,1.010,3.030,0,94,4,0,2,0,90.909,6.061,0,3.030,0,83.838,12.121,1.010,3.030,0,169948672,0,30-04 15:02:19
86,8,0,6,0,84.694,10.204,0,5.102,0,83,10,0,7,0,86.275,7.843,0,5.882,0,206476800,204677120,30-04 15:02:20
85.714,10.204,0,4.082,0,83.505,12.371,0,4.124,0,88.660,7.216,1.031,3.093,0,88,8,0,4,0,215739904,245760,30-04 15:02:21
89,8,0,3,0,87,10,0,3,0,85.149,11.881,0,2.970,0,87.879,9.091,0,3.030,0,219691520,0,30-04 15:02:22
88,10,0,2,0,88,10,0,2,0,86.735,10.204,0,3.061,0,90.909,7.071,0,2.020,0,218667008,1048576,30-04 15:02:23
87,11,0,2,0,87.129,8.911,0.990,2.970,0,86.869,11.111,0,2.020,0,87,10,0,3,0,214502912,0,30-04 15:02:24
90,7,0,3,0,87,10,0,3,0,89.796,7.143,0,3.061,0,87,10,1,2,0,204045312,12288,30-04 15:02:25
84.158,11.881,0.990,2.970,0,90,8,0,2,0,90.625,7.292,0,2.083,0,86.869,10.101,0,3.030,0,211403264,327680,30-04 15:02:26
86.598,11.340,0,2.062,0,88.119,8.911,0,2.970,0,86.869,9.091,1.010,3.030,0,87.879,10.101,0,2.020,0,205340160,0,30-04 15:02:27
87,11,0,2,0,89.691,8.247,0,2.062,0,88.776,9.184,0,2.041,0,85,12,0,3,0,209111040,1007616,30-04 15:02:28
90.099,6.931,0,2.970,0,91,6,0,3,0,86,11,0,3,0,87.129,10.891,0,1.980,0,207491584,0,30-04 15:02:29
88.776,9.184,0,2.041,0,89.796,7.143,1.020,2.041,0,90.816,7.143,0,2.041,0,86.869,10.101,0,3.030,0,208058368,4096,30-04 15:02:30
85,12,0,3,0,87,10,0,3,0,89.899,7.071,0,3.030,0,90.099,5.941,0.990,2.970,0,199245312,61440,30-04 15:02:31
91.579,6.316,0,2.105,0,87.129,10.891,0,1.980,0,87.755,10.204,0,2.041,0,89.583,8.333,0,2.083,0,206751232,12288,30-04 15:02:32
89.109,6.931,0.990,2.970,0,91.837,5.102,0,3.061,0,90.196,5.882,0.980,2.941,0,88,9,0,3,0,199264256,1011712,30-04 15:02:33
89.899,8.081,0,2.020,0,86,11,0,3,0,88.776,8.163,0,3.061,0,88.889,8.081,0,3.030,0,202335744,0,30-04 15:02:34
88.119,9.901,0,1.980,0,91.919,6.061,0,2.020,0,90,8,0,2,0,91,7,0,2,0,205504512,0,30-04 15:02:35
91.919,5.051,0,3.030,0,87.255,8.824,0.980,2.941,0,87.755,9.184,0,3.061,0,89.899,8.081,0,2.020,0,203639808,0,30-04 15:02:36
88.119,9.901,0,1.980,0,90.722,7.216,0,2.062,0,87.879,9.091,0,3.030,0,87.255,8.824,0.980,2.941,0,194540032,61440,30-04 15:02:37
89,8,1,2,0,90.909,6.061,0,3.030,0,83.673,14.286,0,2.041,0,89.796,8.163,0,2.041,0,202950656,0,30-04 15:02:38
87.755,9.184,0,3.061,0,88.889,8.081,0,3.030,0,88.889,7.071,1.010,3.030,0,91,6,0,3,0,195346944,1069056,30-04 15:02:39
90.099,6.931,0,2.970,0,86.139,9.901,0.990,2.970,0,88.889,9.091,0,2.020,0,87.755,9.184,0,3.061,0,199442944,0,30-04 15:02:40
88.660,8.247,0,3.093,0,89,8,0,3,0,90,6,0,4,0,86,10,1,3,0,191901696,0,30-04 15:02:41
