"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node2.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","01 May 2025 05:03:44 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
24.715,2.453,66.158,6.675,0,25.614,2.546,64.997,6.843,0,24.856,2.426,65.753,6.965,0,25.507,2.472,65.010,7.010,0,117962748.680,204366672.610,01-05 05:03:44
0,0,100,0,0,0.990,0,99.010,0,0,0,2,98,0,0,0,0,100,0,0,0,3264512,01-05 05:03:45
20.202,3.030,76.768,0,0,21.782,2.970,75.248,0,0,16.832,3.960,79.208,0,0,21,2,77,0,0,0,0,01-05 05:03:46
53.608,6.186,39.175,1.031,0,58.586,9.091,31.313,1.010,0,52.041,6.122,39.796,2.041,0,51,8,41,0,0,896000,136650752,01-05 05:03:47
53,5,42,0,0,40.404,7.071,52.525,0,0,37.624,5.941,56.436,0,0,50,6,44,0,0,896000,126976,01-05 05:03:48
58,6,34,2,0,49,7,44,0,0,48.980,5.102,43.878,2.041,0,51.020,6.122,42.857,0,0,1792512,136421376,01-05 05:03:49
56.566,8.081,34.343,1.010,0,38,7,55,0,0,51.020,5.102,43.878,0,0,53,9,35,3,0,1793024,136949760,01-05 05:03:50
60,8,32,0,0,45.455,8.081,46.465,0,0,38.384,4.040,57.576,0,0,43.878,5.102,51.020,0,0,0,0,01-05 05:03:51
61.616,10.101,27.273,1.010,0,65.657,6.061,22.222,6.061,0,53.398,6.796,35.922,3.883,0,46.939,5.102,46.939,1.020,0,161117696,272838656,01-05 05:03:52
63,6,26,5,0,50,7.292,37.500,5.208,0,42.424,11.111,42.424,4.040,0,61.224,8.163,24.490,6.122,0,109650432,545640448,01-05 05:03:53
48.454,5.155,42.268,4.124,0,43.878,4.082,51.020,1.020,0,44.444,6.061,49.495,0,0,47.423,3.093,49.485,0,0,1792000,136433664,01-05 05:03:54
46.535,4.950,48.515,0,0,41,7,52,0,0,47.959,6.122,45.918,0,0,46.465,3.030,50.505,0,0,0,0,01-05 05:03:55
39.796,1.020,59.184,0,0,45.545,4.950,45.545,3.960,0,39.394,4.040,54.545,2.020,0,34.653,4.950,59.406,0.990,0,1793024,136437760,01-05 05:03:56
42.424,6.061,49.495,2.020,0,54.545,3.030,41.414,1.010,0,56.566,6.061,34.343,3.030,0,51,5,44,0,0,81456640,204632064,01-05 05:03:57
58.163,4.082,35.714,2.041,0,58.163,4.082,36.735,1.020,0,72,5,14,9,0,56.250,5.208,36.458,2.083,0,157992960,272846848,01-05 05:03:58
65.657,8.081,24.242,2.020,0,55.882,4.902,39.216,0,0,75.248,3.960,18.812,1.980,0,40,5,55,0,0,164584960,136396800,01-05 05:03:59
44.444,4.040,40.404,11.111,0,30.303,4.040,58.586,7.071,0,45,3,47,5,0,51,9,30,10,0,64767488,750243840,01-05 05:04:00
51.020,1.020,47.959,0,0,38,4,57,1,0,35.644,3.960,55.446,4.950,0,35.294,3.922,59.804,0.980,0,1793024,136409088,01-05 05:04:01
43.434,0,56.566,0,0,48,5,43,4,0,23.232,1.010,75.758,0,0,42.574,0.990,55.446,0.990,0,12278784,136429568,01-05 05:04:02
47.475,4.040,47.475,1.010,0,68.367,5.102,22.449,4.082,0,48.515,4.950,45.545,0.990,0,60,5,33,2,0,164577280,136409088,01-05 05:04:03
63.265,5.102,30.612,1.020,0,59.596,3.030,33.333,4.040,0,42,5,53,0,0,77,6,10,7,0,158005248,272850944,01-05 05:04:04
45.361,2.062,42.268,10.309,0,66.337,6.931,18.812,7.921,0,55,9,27,9,0,54.545,3.030,36.364,6.061,0,144283136,673205760,01-05 05:04:05
