"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node2.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","01 May 2025 05:16:18 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
25.133,2.489,66.060,6.318,0,26.268,2.620,64.539,6.572,0,26.434,2.566,64.175,6.825,0,26.512,2.615,64.182,6.691,0,124720364.604,226080674.825,01-05 05:16:18
0,1,99,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,4096,01-05 05:16:19
36,6,52,6,0,34.694,6.122,54.082,5.102,0,36.735,4.082,53.061,6.122,0,35.052,6.186,53.608,5.155,0,137819136,24576,01-05 05:16:20
83,10,0,7,0,80,13,0,7,0,81.443,11.340,1.031,6.186,0,78.218,13.861,0.990,6.931,0,295968768,1912832,01-05 05:16:21
82.653,12.245,0,5.102,0,80.808,13.131,0,6.061,0,80.612,13.265,0,6.122,0,85,9,0,6,0,290203648,0,01-05 05:16:22
78.788,14.141,0,7.071,0,82.653,11.224,0,6.122,0,82,11,0,7,0,80.808,12.121,0,7.071,0,269634048,102400,01-05 05:16:23
83.673,11.224,0,5.102,0,81,15,0,4,0,79.798,15.152,0,5.051,0,81,15,0,4,0,281006592,0,01-05 05:16:24
84.848,11.111,0,4.040,0,84.314,10.784,0,4.902,0,83.505,12.371,0,4.124,0,83.168,12.871,0,3.960,0,273838080,0,01-05 05:16:25
86.735,9.184,0,4.082,0,80.412,15.464,0,4.124,0,83.838,11.111,0,5.051,0,80,14,0,6,0,263767552,458752,01-05 05:16:26
