"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node1.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","01 May 2025 04:35:17 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
27.001,2.675,64.714,5.610,0,25.309,2.490,66.603,5.597,0,25.102,2.474,66.524,5.901,0,26.791,2.614,64.514,6.081,0,115697620.754,199856289.253,01-05 04:35:17
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0.990,0,99.010,0,0,98304,4096,01-05 04:35:18
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,01-05 04:35:19
36.364,7.071,56.566,0,0,38.384,6.061,55.556,0,0,41.237,5.155,53.608,0,0,36.735,6.122,57.143,0,0,0,0,01-05 04:35:20
55.556,12.121,32.323,0,0,50.485,8.738,40.777,0,0,48.485,8.081,43.434,0,0,55.446,2.970,39.604,1.980,0,1792000,138452992,01-05 04:35:21
43,9,48,0,0,48,7,45,0,0,55.556,5.051,39.394,0,0,49.495,9.091,41.414,0,0,0,2695168,01-05 04:35:22
40.816,7.143,51.020,1.020,0,43.434,6.061,50.505,0,0,31,8,59,2,0,49,4,46,1,0,1793024,136437760,01-05 04:35:23
34,5,60,1,0,49.505,4.950,43.564,1.980,0,44.444,6.061,49.495,0,0,46,6,47,1,0,1793024,136429568,01-05 04:35:24
55,6,38,1,0,57.576,7.071,35.354,0,0,59,9,30,2,0,44.898,8.163,43.878,3.061,0,50012672,136454144,01-05 04:35:25
65.657,6.061,25.253,3.030,0,69,9,21,1,0,69.307,6.931,18.812,4.950,0,64,8,28,0,0,161416192,205529088,01-05 04:35:26
48.485,8.081,41.414,2.020,0,55.556,7.071,29.293,8.081,0,47.059,9.804,37.255,5.882,0,63.636,4.040,26.263,6.061,0,59338240,477429760,01-05 04:35:27
57.143,9.184,31.633,2.041,0,50,4.082,45.918,0,0,50.505,4.040,45.455,0,0,34.694,5.102,59.184,1.020,0,1792000,136437760,01-05 04:35:28
51.020,7.143,41.837,0,0,41.414,10.101,44.444,4.040,0,48.515,6.931,44.554,0,0,55.446,7.921,33.663,2.970,0,1792512,136441856,01-05 04:35:29
31.313,4.040,64.646,0,0,34,5,61,0,0,60,5,35,0,0,52,6,42,0,0,0,0,01-05 04:35:30
67,5,24,4,0,53,8,35,4,0,68.687,7.071,20.202,4.040,0,54,3,43,0,0,135951872,205508608,01-05 04:35:31
66.667,6.061,24.242,3.030,0,58.586,4.040,36.364,1.010,0,60.204,3.061,31.633,5.102,0,68.687,4.040,22.222,5.051,0,157994496,341049344,01-05 04:35:32
59.794,6.186,30.928,3.093,0,50.505,5.051,44.444,0,0,70.297,5.941,19.802,3.960,0,68.687,6.061,21.212,4.040,0,161288192,272822272,01-05 04:35:33
23,3,67,7,0,42,5,48,5,0,48,6,42,4,0,40,6,48,6,0,13568512,545652736,01-05 04:35:34
39.394,3.030,55.556,2.020,0,45,4,50,1,0,35.294,2.941,61.765,0,0,34,2,60,4,0,1792512,136429568,01-05 04:35:35
44,5,49,2,0,58.416,7.921,31.683,1.980,0,48.454,3.093,47.423,1.031,0,39.604,5.941,54.455,0,0,66773504,136445952,01-05 04:35:36
74.227,4.124,17.526,4.124,0,61.616,4.040,31.313,3.030,0,63,5,29,3,0,41.837,2.041,56.122,0,0,164597760,205529088,01-05 04:35:37
52.525,4.040,36.364,7.071,0,46,4,49,1,0,57.426,4.950,36.634,0.990,0,78.431,7.843,7.843,5.882,0,164277760,272834560,01-05 04:35:38
75.490,4.902,11.765,7.843,0,51.020,7.143,34.694,7.143,0,55.556,7.071,27.273,10.101,0,55,4,29,12,0,150519296,818393088,01-05 04:35:39
40.625,1.042,55.208,3.125,0,51.485,4.950,37.624,5.941,0,37.374,3.030,56.566,3.030,0,55,5,33,7,0,49862656,341000192,01-05 04:35:40
42.857,6.122,51.020,0,0,49.505,2.970,47.525,0,0,48.515,5.941,45.545,0,0,38.384,4.040,57.576,0,0,3718656,49152,01-05 04:35:41
59.406,6.931,28.713,4.950,0,50.495,4.950,42.574,1.980,0,52.041,3.061,44.898,0,0,62,5,31,2,0,149615616,273809408,01-05 04:35:42
59.184,4.082,28.571,8.163,0,45.455,4.040,50.505,0,0,70,5,22,3,0,66,5,27,2,0,155895808,272842752,01-05 04:35:43
74.747,7.071,13.131,5.051,0,61.386,8.911,27.723,1.980,0,58,6,33,3,0,61.224,3.061,35.714,0,0,164289024,272826368,01-05 04:35:44
58.824,9.804,18.627,12.745,0,57.576,5.051,33.333,4.040,0,65.657,4.040,25.253,5.051,0,58,5,31,6,0,171965440,818204672,01-05 04:35:45
56.566,3.030,33.333,7.071,0,70.408,6.122,19.388,4.082,0,53.608,5.155,38.144,3.093,0,65.347,4.950,24.752,4.950,0,166976000,409272320,01-05 04:35:46
54,13,29,4,0,70,5,18,7,0,58.824,8.824,31.373,0.980,0,66.667,3.922,25.490,3.922,0,155563520,273907712,01-05 04:35:47
71.717,7.071,14.141,7.071,0,66.337,5.941,21.782,5.941,0,60.204,5.102,32.653,2.041,0,58,9,27,6,0,159601664,501132800,01-05 04:35:48
62.887,6.186,27.835,3.093,0,62.626,4.040,32.323,1.010,0,74,5,16,5,0,52.577,3.093,44.330,0,0,163378176,180900352,01-05 04:35:49
57.143,5.102,34.694,3.061,0,70.588,3.922,22.549,2.941,0,70,7,19,4,0,53,5,39,3,0,160095232,272809984,01-05 04:35:50
67,10,21,2,0,52.041,9.184,31.633,7.143,0,62,7,26,5,0,69,8,16,7,0,151556608,886366208,01-05 04:35:51
65.347,3.960,27.723,2.970,0,68.687,6.061,22.222,3.030,0,63.265,6.122,28.571,2.041,0,61,7,31,1,0,155924992,273870848,01-05 04:35:52
49.495,8.081,36.364,6.061,0,69.307,4.950,20.792,4.950,0,67,8,18,7,0,49,3,47,1,0,170504192,477442048,01-05 04:35:53
65.306,4.082,26.531,4.082,0,53,3,39,5,0,76.238,2.970,12.871,7.921,0,49.020,2.941,45.098,2.941,0,167886848,426757632,01-05 04:35:54
67.347,4.082,25.510,3.061,0,52,3,44,1,0,48.980,4.082,43.878,3.061,0,72.727,6.061,10.101,11.111,0,153801728,391754240,01-05 04:35:55
57.576,5.051,34.343,3.030,0,40.404,6.061,53.535,0,0,65,4,30,1,0,77.551,3.061,16.327,3.061,0,160395776,136396800,01-05 04:35:56
61,4,29,6,0,53.465,5.941,36.634,3.960,0,65,6,22,7,0,59,3,37,1,0,155891712,342048768,01-05 04:35:57
68.687,3.030,27.273,1.010,0,54.639,7.216,36.082,2.062,0,61.616,7.071,27.273,4.040,0,78,5,14,3,0,160073216,272814080,01-05 04:35:58
63.265,6.122,22.449,8.163,0,58.416,8.911,19.802,12.871,0,60.204,7.143,24.490,8.163,0,65.306,7.143,17.347,10.204,0,145708544,1090953216,01-05 04:35:59
55.556,9.091,27.273,8.081,0,62,10,26,2,0,66,8,23,3,0,61,5,33,1,0,163722240,341127168,01-05 04:36:00
