"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node1.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","01 May 2025 04:47:11 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
28.437,2.806,63.275,5.481,0,26.888,2.629,64.986,5.496,0,27.206,2.651,64.276,5.867,0,28.155,2.735,63.166,5.943,0,124531219.353,227228944.659,01-05 04:47:11
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,4096,01-05 04:47:12
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,01-05 04:47:13
18.557,3.093,21.649,56.701,0,24.272,2.913,19.417,53.398,0,19.149,1.064,21.277,58.511,0,22.330,4.854,19.417,53.398,0,142684160,0,01-05 04:47:14
26.471,7.843,0,65.686,0,26.804,4.124,1.031,68.041,0,24.242,8.081,1.010,66.667,0,23.158,5.263,1.053,70.526,0,179822080,0,01-05 04:47:15
43.434,5.051,0,51.515,0,42.574,6.931,0,50.495,0,39.130,4.348,0,56.522,0,41,8,0,51,0,200076288,69632,01-05 04:47:16
33,6,5,56,0,30.928,6.186,3.093,59.794,0,32.292,4.167,2.083,61.458,0,41.284,4.587,0,54.128,0,159716352,999424,01-05 04:47:17
42.718,6.796,0.971,49.515,0,36.559,7.527,1.075,54.839,0,41.237,5.155,1.031,52.577,0,39.362,6.383,0,54.255,0,196588032,0,01-05 04:47:18
35,5,0,60,0,33.333,4.040,0,62.626,0,32.292,4.167,0,63.542,0,32.673,4.950,0.990,61.386,0,171643904,0,01-05 04:47:19
39.583,6.250,0,54.167,0,42.574,7.921,0,49.505,0,40,4.211,0,55.789,0,41.837,6.122,0,52.041,0,186721792,0,01-05 04:47:20
33.333,7.071,1.010,58.586,0,31.959,5.155,0,62.887,0,32.653,7.143,0,60.204,0,31.313,7.071,1.010,60.606,0,169801728,0,01-05 04:47:21
40.206,6.186,4.124,49.485,0,37.500,8.333,2.083,52.083,0,38.710,7.527,1.075,52.688,0,41.053,5.263,3.158,50.526,0,184620544,970752,01-05 04:47:22
31.579,5.263,0,63.158,0,33,7,0,60,0,31.633,5.102,1.020,62.245,0,32.990,5.155,1.031,60.825,0,167976960,0,01-05 04:47:23
42.268,6.186,0,51.546,0,40.816,7.143,0,52.041,0,40.206,7.216,0,52.577,0,40,5.263,0,54.737,0,192369152,0,01-05 04:47:24
33.333,6.061,2.020,58.586,0,31,7,3,59,0,34.409,2.151,3.226,60.215,0,31.959,7.216,4.124,56.701,0,160715264,0,01-05 04:47:25
44.118,6.863,0,49.020,0,42.424,6.061,0,51.515,0,42.424,6.061,1.010,50.505,0,43,5,1,51,0,189719552,0,01-05 04:47:26
36,4,0,60,0,36.634,2.970,0,60.396,0,30.208,6.250,0,63.542,0,30.208,6.250,0,63.542,0,165545984,40960,01-05 04:47:27
44.792,3.125,4.167,47.917,0,43.750,5.208,2.083,48.958,0,46.465,5.051,0,48.485,0,40.206,6.186,6.186,47.423,0,182412800,929792,01-05 04:47:28
33.684,4.211,1.053,61.053,0,33.333,4.167,1.042,61.458,0,33.684,3.158,1.053,62.105,0,38.235,3.922,0.980,56.863,0,167339520,0,01-05 04:47:29
43.564,5.941,0,50.495,0,44.444,4.040,0,51.515,0,39.362,6.383,0,54.255,0,45.455,4.040,0,50.505,0,186615808,12288,01-05 04:47:30
36.735,2.041,6.122,55.102,0,36,4,2,58,0,39.216,3.922,0.980,55.882,0,33.684,3.158,4.211,58.947,0,158871552,0,01-05 04:47:31
41.584,8.911,0,49.505,0,41.237,6.186,1.031,51.546,0,43.434,6.061,0,50.505,0,44.231,6.731,0.962,48.077,0,188170240,40960,01-05 04:47:32
32.258,4.301,1.075,62.366,0,32.990,4.124,1.031,61.856,0,36.275,3.922,0.980,58.824,0,35.354,4.040,1.010,59.596,0,165626880,913408,01-05 04:47:33
43.564,4.950,0,51.485,0,42.708,4.167,2.083,51.042,0,46.729,4.673,1.869,46.729,0,43.750,4.167,0,52.083,0,182841344,0,01-05 04:47:34
36.634,4.950,0.990,57.426,0,34.066,2.198,0,63.736,0,35.354,6.061,0,58.586,0,37.255,3.922,0.980,57.843,0,169920000,0,01-05 04:47:35
42.708,3.125,4.167,50,0,40.404,5.051,6.061,48.485,0,43.434,4.040,2.020,50.505,0,39.560,5.495,0,54.945,0,175072256,32768,01-05 04:47:36
34.694,6.122,0,59.184,0,32.990,5.155,1.031,60.825,0,36.458,2.083,1.042,60.417,0,34.343,6.061,1.010,58.586,0,166689792,32768,01-05 04:47:37
42.857,4.082,1.020,52.041,0,45,4,0,51,0,45.192,5.769,0,49.038,0,40,6.316,0,53.684,0,185724928,937984,01-05 04:47:38
37.624,4.950,1.980,55.446,0,37,4,1,58,0,32.632,5.263,6.316,55.789,0,34.021,5.155,4.124,56.701,0,158795776,0,01-05 04:47:39
40.659,4.396,0,54.945,0,44.086,2.151,0,53.763,0,41.489,4.255,0,54.255,0,40.625,6.250,1.042,52.083,0,186827776,0,01-05 04:47:40
35,7,1,57,0,38.235,3.922,0.980,56.863,0,35,6,1,58,0,33.684,4.211,0,62.105,0,170689536,0,01-05 04:47:41
41.237,5.155,2.062,51.546,0,39.785,3.226,2.151,54.839,0,43.299,3.093,4.124,49.485,0,45.361,2.062,1.031,51.546,0,177462784,1986560,01-05 04:47:42
36.735,5.102,1.020,57.143,0,38.144,4.124,1.031,56.701,0,39,4,1,56,0,34.043,6.383,0,59.574,0,173176320,933888,01-05 04:47:43
42.424,5.051,2.020,50.505,0,41.584,4.950,3.960,49.505,0,36.957,4.348,5.435,53.261,0,40.816,7.143,1.020,51.020,0,172930560,0,01-05 04:47:44
33.684,5.263,1.053,60,0,34.043,6.383,0,59.574,0,32.979,6.383,1.064,59.574,0,41.748,2.913,0.971,54.369,0,172552704,0,01-05 04:47:45
42.105,4.211,0,53.684,0,41.237,4.124,1.031,53.608,0,44,4,0,52,0,38.298,4.255,1.064,56.383,0,179114496,0,01-05 04:47:46
37.374,5.051,1.010,56.566,0,34.737,5.263,4.211,55.789,0,36.735,5.102,1.020,57.143,0,39.796,5.102,2.041,53.061,0,165081088,90112,01-05 04:47:47
41,7,0,52,0,42.574,4.950,0.990,51.485,0,36.264,5.495,0,58.242,0,42.574,2.970,0.990,53.465,0,179972608,954368,01-05 04:47:48
40.404,3.030,1.010,55.556,0,41,4,0,55,0,39.604,3.960,0.990,55.446,0,37.374,8.081,0,54.545,0,175817216,0,01-05 04:47:49
39.175,6.186,0,54.639,0,43,4,1,52,0,39.175,4.124,4.124,52.577,0,38,5,6,51,0,172108288,0,01-05 04:47:50
37.113,5.155,1.031,56.701,0,36.170,4.255,1.064,58.511,0,38.542,4.167,0,57.292,0,39.394,5.051,0,55.556,0,176172032,0,01-05 04:47:51
40.206,4.124,0,55.670,0,38.384,6.061,0,55.556,0,39.583,3.125,1.042,56.250,0,39.394,5.051,1.010,54.545,0,178753536,45056,01-05 04:47:52
35.484,4.301,4.301,55.914,0,39.796,4.082,1.020,55.102,0,36.458,5.208,5.208,53.125,0,41,3,3,53,0,168761344,1073152,01-05 04:47:53
