"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node2.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","01 May 2025 04:26:57 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
25.750,2.530,68.675,3.045,0,26.721,2.675,67.419,3.184,0,24.594,2.420,69.845,3.141,0,26.815,2.576,67.367,3.242,0,115918430.801,213647248.386,01-05 04:26:57
2,1,97,0,0,0,0,100,0,0,0,0,100,0,0,2.020,0,97.980,0,0,20480,4096,01-05 04:26:58
11.458,3.125,47.917,37.500,0,12.500,2.083,47.917,37.500,0,13.265,2.041,47.959,36.735,0,16,1,47,36,0,95711744,0,01-05 04:26:59
24.742,6.186,1.031,68.041,0,28.283,4.040,0,67.677,0,28.283,3.030,0,68.687,0,27.451,5.882,0,66.667,0,176262144,0,01-05 04:27:00
25,5.208,0,69.792,0,24.490,5.102,1.020,69.388,0,28.866,2.062,1.031,68.041,0,26.471,6.863,0.980,65.686,0,175682048,1777664,01-05 04:27:01
19.565,7.609,4.348,68.478,0,26.042,5.208,0,68.750,0,24.742,6.186,2.062,67.010,0,27.551,4.082,5.102,63.265,0,167251456,86016,01-05 04:27:02
28.431,4.902,0.980,65.686,0,30,3,1,66,0,27.835,5.155,0,67.010,0,29.293,3.030,1.010,66.667,0,174604800,0,01-05 04:27:03
29,5,0,66,0,24.742,6.186,0,69.072,0,23.958,6.250,1.042,68.750,0,24.490,7.143,0,68.367,0,173081600,0,01-05 04:27:04
27.835,6.186,0,65.979,0,29,4,5,62,0,27.835,4.124,2.062,65.979,0,28.125,3.125,4.167,64.583,0,165731840,0,01-05 04:27:05
