"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node1.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","01 May 2025 04:00:25 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
27.199,2.709,67.850,2.241,0,26.937,2.618,67.978,2.466,0,27.189,2.627,67.410,2.774,0,29.169,2.814,65.013,3.004,0,117009083.965,204394077.820,01-05 04:00:25
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,4096,01-05 04:00:26
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,01-05 04:00:27
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,01-05 04:00:28
19,2,47,32,0,17,3,52,28,0,18.182,2.020,46.465,33.333,0,20.388,1.942,47.573,30.097,0,82391552,0,01-05 04:00:29
18.182,3.030,49.495,29.293,0,10.891,2.970,71.287,14.851,0,27.273,2.020,30.303,40.404,0,19.588,1.031,47.423,31.959,0,76553216,1835008,01-05 04:00:30
29.474,1.053,38.947,30.526,0,26,2,52,20,0,28,3,39,30,0,20.202,4.040,54.545,21.212,0,68787200,917504,01-05 04:00:31
9.901,1.980,78.218,9.901,0,30.693,1.980,31.683,35.644,0,19.588,3.093,50.515,26.804,0,18.557,1.031,55.670,24.742,0,63354880,0,01-05 04:00:32
18.750,1.042,64.583,15.625,0,30.693,0,42.574,26.733,0,12.121,2.020,70.707,15.152,0,33.663,1.980,31.683,32.673,0,60781056,0,01-05 04:00:33
28.125,1.042,38.542,32.292,0,20.408,1.020,54.082,24.490,0,7,2,83,8,0,18.812,1.980,60.396,18.812,0,54669312,0,01-05 04:00:34
24.272,1.942,52.427,21.359,0,26.531,2.041,46.939,24.490,0,20.408,3.061,55.102,21.429,0,15.306,2.041,65.306,17.347,0,56525312,0,01-05 04:00:35
20.202,0,57.576,22.222,0,15.464,5.155,53.608,25.773,0,12.871,1.980,72.277,12.871,0,12.245,1.020,68.367,18.367,0,51109376,925696,01-05 04:00:36
22.772,1.980,53.465,21.782,0,21.212,1.010,54.545,23.232,0,17,1,68,14,0,15.306,2.041,65.306,17.347,0,51958272,180224,01-05 04:00:37
16.495,3.093,58.763,21.649,0,20.202,1.010,61.616,17.172,0,15.842,0.990,67.327,15.842,0,17.347,1.020,61.224,20.408,0,50075648,0,01-05 04:00:38
17.347,3.061,59.184,20.408,0,17.822,0.990,61.386,19.802,0,11,1,78,10,0,18.182,4.040,54.545,23.232,0,49351680,0,01-05 04:00:39
16,4,63,17,0,22.449,2.041,54.082,21.429,0,20.388,2.913,56.311,20.388,0,18.182,2.020,64.646,15.152,0,48694272,0,01-05 04:00:40
