"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node2.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","01 May 2025 03:43:21 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
28.718,2.815,65.782,2.686,0,28.935,2.862,65.419,2.784,0,27.014,2.661,67.556,2.770,0,29.143,2.783,65.401,2.673,0,109057790.338,168996092.926,01-05 03:43:21
1,0,99,0,0,0,0.990,99.010,0,0,1,0,99,0,0,0,0,100,0,0,77824,4096,01-05 03:43:22
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,01-05 03:43:23
20.792,3.960,75.248,0,0,18.182,4.040,77.778,0,0,20.202,3.030,76.768,0,0,22,2,76,0,0,0,122880,01-05 03:43:24
59.184,8.163,29.592,3.061,0,54.455,10.891,33.663,0.990,0,47,9,44,0,0,58.586,9.091,32.323,0,0,1792000,137293824,01-05 03:43:25
45.545,7.921,46.535,0,0,43,6,51,0,0,31.313,6.061,62.626,0,0,52,3,45,0,0,0,1118208,01-05 03:43:26
42.857,6.122,50,1.020,0,48.485,5.051,46.465,0,0,47.959,6.122,45.918,0,0,53.061,8.163,36.735,2.041,0,1793024,136425472,01-05 03:43:27
46.939,6.122,46.939,0,0,51.515,9.091,38.384,1.010,0,53.061,9.184,35.714,2.041,0,45.455,7.071,47.475,0,0,1793024,136429568,01-05 03:43:28
47.525,5.941,46.535,0,0,56.122,8.163,35.714,0,0,46.465,5.051,48.485,0,0,45,8,47,0,0,0,14581248,01-05 03:43:29
65.979,5.155,23.711,5.155,0,60,6,30,4,0,48.980,6.122,43.878,1.020,0,59,8,29,4,0,161117696,260952576,01-05 03:43:30
53.061,5.102,38.776,3.061,0,58.163,5.102,33.673,3.061,0,67.347,6.122,18.367,8.163,0,53,7,37,3,0,109649408,545681408,01-05 03:43:31
39.394,4.040,54.545,2.020,0,43.434,7.071,48.485,1.010,0,40,7,53,0,0,48.485,6.061,44.444,1.010,0,1792000,136425472,01-05 03:43:32
43.434,4.040,52.525,0,0,42.105,3.158,54.737,0,0,50,5,45,0,0,43.434,6.061,50.505,0,0,0,172032,01-05 03:43:33
36.364,7.071,56.566,0,0,41.414,3.030,55.556,0,0,42.424,3.030,54.545,0,0,44,6,47,3,0,1793024,136433664,01-05 03:43:34
48.980,4.082,45.918,1.020,0,61.616,7.071,29.293,2.020,0,57.426,5.941,33.663,2.970,0,49.485,2.062,48.454,0,0,79360512,204636160,01-05 03:43:35
56.122,7.143,29.592,7.143,0,63.636,5.051,29.293,2.020,0,54.545,4.040,40.404,1.010,0,57.426,6.931,32.673,2.970,0,145417216,272871424,01-05 03:43:36
54,7,38,1,0,67,8,24,1,0,62.626,5.051,30.303,2.020,0,57,5,35,3,0,160393216,136413184,01-05 03:43:37
51.042,9.375,36.458,3.125,0,53.061,5.102,36.735,5.102,0,48.485,10.101,30.303,11.111,0,57,7,28,8,0,83629568,750252032,01-05 03:43:38
47.475,5.051,45.455,2.020,0,39.394,4.040,56.566,0,0,46.465,6.061,45.455,2.020,0,44,2,54,0,0,1792512,136433664,01-05 03:43:39
45.631,4.854,48.544,0.971,0,41.414,6.061,52.525,0,0,40,5,53,2,0,50.980,8.824,36.275,3.922,0,14373888,136433664,01-05 03:43:40
50.515,4.124,44.330,1.031,0,67,5,24,4,0,65.347,4.950,28.713,0.990,0,54.082,6.122,38.776,1.020,0,162481664,136409088,01-05 03:43:41
83.333,7.292,5.208,4.167,0,53.535,2.020,44.444,0,0,60.606,4.040,33.333,2.020,0,59,4,33,4,0,158006272,272850944,01-05 03:43:42
67,9,17,7,0,61.386,9.901,26.733,1.980,0,53.608,7.216,30.928,8.247,0,53.535,10.101,31.313,5.051,0,142651392,650247680,01-05 03:43:43
73.267,5.941,17.822,2.970,0,55.446,7.921,35.644,0.990,0,60,6,29,5,0,58.163,5.102,34.694,2.041,0,163814912,304640512,01-05 03:43:44
51.515,3.030,37.374,8.081,0,51.546,4.124,35.052,9.278,0,48,5,44,3,0,47.525,2.970,47.525,1.980,0,94736384,548036608,01-05 03:43:45
53.535,3.030,43.434,0,0,63.725,3.922,29.412,2.941,0,40.206,6.186,51.546,2.062,0,64.948,6.186,26.804,2.062,0,100322304,204652544,01-05 03:43:46
58,3,33,6,0,64.646,7.071,26.263,2.020,0,71,6,20,3,0,56.122,6.122,36.735,1.020,0,155894272,272879616,01-05 03:43:47
79.167,5.208,10.417,5.208,0,43.878,3.061,53.061,0,0,63.366,4.950,29.703,1.980,0,59.596,3.030,37.374,0,0,164584448,204607488,01-05 03:43:48
73.469,4.082,18.367,4.082,0,54.545,6.061,26.263,13.131,0,54.639,3.093,39.175,3.093,0,52.041,7.143,36.735,4.082,0,162401792,750104576,01-05 03:43:49
60,7,28,5,0,62.136,4.854,24.272,8.738,0,59.184,6.122,32.653,2.041,0,64,4,31,1,0,170180608,409260032,01-05 03:43:50
50.505,7.071,40.404,2.020,0,70,7,18,5,0,62.245,4.082,26.531,7.143,0,61.458,6.250,26.042,6.250,0,157429760,545636352,01-05 03:43:51
54.545,6.061,35.354,4.040,0,56,4,38,2,0,57.426,1.980,39.604,0.990,0,62.376,7.921,18.812,10.891,0,169230336,341032960,01-05 03:43:52
55.670,2.062,41.237,1.031,0,74,4,18,4,0,57.576,9.091,28.283,5.051,0,53.061,1.020,45.918,0,0,163230208,272855040,01-05 03:43:53
76.699,11.650,5.825,5.825,0,59.794,7.216,30.928,2.062,0,62.245,8.163,28.571,1.020,0,57.143,8.163,32.653,2.041,0,157994496,341045248,01-05 03:43:54
67.010,6.186,21.649,5.155,0,68.687,6.061,23.232,2.020,0,54.545,3.030,39.394,3.030,0,52,3,44,1,0,161047552,272936960,01-05 03:43:55
67.327,6.931,21.782,3.960,0,49.505,6.931,39.604,3.960,0,54.545,6.061,29.293,10.101,0,60,6,32,2,0,159005696,683573248,01-05 03:43:56
67.368,11.579,12.632,8.421,0,62.245,5.102,30.612,2.041,0,63.265,6.122,23.469,7.143,0,56.566,5.051,34.343,4.040,0,149427712,613847040,01-05 03:43:57
64.646,8.081,22.222,5.051,0,57.576,6.061,30.303,6.061,0,66.337,2.970,27.723,2.970,0,54.545,6.061,33.333,6.061,0,162989568,544841216,01-05 03:43:58
55.556,3.030,37.374,4.040,0,51.020,5.102,43.878,0,0,67,8,22,3,0,68.317,7.921,21.782,1.980,0,163189760,137245184,01-05 03:43:59
49.505,6.931,42.574,0.990,0,69.608,4.902,19.608,5.882,0,52.525,6.061,36.364,5.051,0,55.556,4.040,39.394,1.010,0,155887104,272850944,01-05 03:44:00
53,5,42,0,0,64.286,3.061,29.592,3.061,0,69.697,6.061,22.222,2.020,0,59.184,5.102,30.612,5.102,0,149596160,341061632,01-05 03:44:01
67,6,23,4,0,60,4,35,1,0,52.041,7.143,38.776,2.041,0,70.707,4.040,22.222,3.030,0,161195008,272850944,01-05 03:44:02
68,6,22,4,0,54.639,7.216,34.021,4.124,0,62.626,5.051,26.263,6.061,0,48.544,10.680,21.359,19.417,0,168987136,818216960,01-05 03:44:03
67.677,3.030,22.222,7.071,0,59,6,31,4,0,76,7,11,6,0,50.505,4.040,40.404,5.051,0,152508416,478474240,01-05 03:44:04
76.531,7.143,13.265,3.061,0,58.252,4.854,33.981,2.913,0,67.347,7.143,23.469,2.041,0,61.224,3.061,32.653,3.061,0,166835200,408244224,01-05 03:44:05
67.347,6.122,21.429,5.102,0,55.102,5.102,31.633,8.163,0,67,5,24,4,0,62.887,3.093,29.897,4.124,0,169976320,479342592,01-05 03:44:06
40.404,4.040,48.485,7.071,0,52.525,4.040,42.424,1.010,0,72,4,22,2,0,69.388,5.102,17.347,8.163,0,171297280,409235456,01-05 03:44:07
65.306,7.143,23.469,4.082,0,56.436,5.941,31.683,5.941,0,59,3,37,1,0,53.465,3.960,42.574,0,0,157979136,272842752,01-05 03:44:08
48.485,4.040,42.424,5.051,0,62.245,4.082,30.612,3.061,0,61.224,6.122,30.612,2.041,0,61.616,4.040,31.313,3.030,0,167485952,272842752,01-05 03:44:09
79,4,10,7,0,47.525,2.970,48.515,0.990,0,57.843,1.961,36.275,3.922,0,44.898,3.061,46.939,5.102,0,147512832,326450688,01-05 03:44:10
59.596,0,40.404,0,0,29.293,2.020,68.687,0,0,85.149,7.921,0,6.931,0,43,1,56,0,0,162479616,151003648,01-05 03:44:11
51.923,6.731,35.577,5.769,0,63.462,8.654,10.577,17.308,0,55.556,8.081,22.222,14.141,0,56.122,6.122,22.449,15.306,0,166282752,1159102464,01-05 03:44:12
71,7,14,8,0,54.082,6.122,35.714,4.082,0,56.122,4.082,36.735,3.061,0,58.824,4.902,33.333,2.941,0,169048576,477409280,01-05 03:44:13
63,5,31,1,0,54.455,6.931,37.624,0.990,0,58,6,30,6,0,67.010,3.093,28.866,1.031,0,164783104,136511488,01-05 03:44:14
63.636,6.061,24.242,6.061,0,53.061,4.082,34.694,8.163,0,63,5,23,9,0,46,5,44,5,0,162050560,545673216,01-05 03:44:15
76.238,7.921,8.911,6.931,0,53,6,35,6,0,63.265,9.184,25.510,2.041,0,52.525,6.061,38.384,3.030,0,155567104,477556736,01-05 03:44:16
67.677,5.051,20.202,7.071,0,63,4,29,4,0,64.646,6.061,26.263,3.030,0,59.596,5.051,32.323,3.030,0,166756864,479440896,01-05 03:44:17
52,6,42,0,0,67,6,24,3,0,70,6,20,4,0,55.446,5.941,34.653,3.960,0,173361664,225242624,01-05 03:44:18
55.556,6.061,38.384,0,0,62.887,4.124,26.804,6.186,0,63,5,31,1,0,70.707,4.040,21.212,4.040,0,154785280,456897024,01-05 03:44:19
69.697,5.051,22.222,3.030,0,69,7,22,2,0,60.825,6.186,29.897,3.093,0,50.505,5.051,42.424,2.020,0,157024256,272879616,01-05 03:44:20
59.794,5.155,34.021,1.031,0,74,7,16,3,0,61.458,4.167,33.333,1.042,0,57.143,3.061,38.776,1.020,0,148496384,273055744,01-05 03:44:21
68.317,5.941,22.772,2.970,0,65.347,1.980,27.723,4.950,0,48.515,1.980,49.505,0,0,41.584,3.960,54.455,0,0,159415808,204603392,01-05 03:44:22
61.856,2.062,31.959,4.124,0,54,2,42,2,0,55,4,39,2,0,64.356,1.980,29.703,3.960,0,165266432,272830464,01-05 03:44:23
65.347,1.980,26.733,5.941,0,48.980,3.061,46.939,1.020,0,50,3.922,43.137,2.941,0,76.768,4.040,11.111,8.081,0,148631040,272850944,01-05 03:44:24
55.556,9.091,24.242,11.111,0,59.804,5.882,24.510,9.804,0,54.545,7.071,23.232,15.152,0,56.863,8.824,24.510,9.804,0,172999680,1295511552,01-05 03:44:25
62.136,7.767,26.214,3.883,0,45.918,5.102,43.878,5.102,0,59.596,3.030,34.343,3.030,0,57.426,3.960,34.653,3.960,0,160481280,369208832,01-05 03:44:26
49.495,5.051,42.424,3.030,0,55.446,6.931,31.683,5.941,0,60,6,32,2,0,76.042,9.375,7.292,7.292,0,164520448,519553536,01-05 03:44:27
66.327,5.102,27.551,1.020,0,64.646,7.071,24.242,4.040,0,68.367,4.082,17.347,10.204,0,71.134,6.186,20.619,2.062,0,225423872,477466624,01-05 03:44:28
85.567,10.309,2.062,2.062,0,89.796,5.102,3.061,2.041,0,86.869,6.061,5.051,2.020,0,85.859,8.081,4.040,2.020,0,340206592,409325568,01-05 03:44:29
64.706,10.784,13.725,10.784,0,64.356,6.931,12.871,15.842,0,74.490,7.143,12.245,6.122,0,72.449,8.163,6.122,13.265,0,257271808,954646528,01-05 03:44:30
59.596,3.030,36.364,1.010,0,52.041,6.122,37.755,4.082,0,68.687,6.061,22.222,3.030,0,66.327,4.082,26.531,3.061,0,153790976,341164032,01-05 03:44:31
66.337,3.960,26.733,2.970,0,66.327,4.082,24.490,5.102,0,61,4,33,2,0,56.566,4.040,37.374,2.020,0,162191360,272859136,01-05 03:44:32
57,3,40,0,0,67.677,6.061,24.242,2.020,0,59.406,4.950,34.653,0.990,0,62,6,29,3,0,164581888,136404992,01-05 03:44:33
59.406,6.931,27.723,5.941,0,60.204,2.041,36.735,1.020,0,54.902,5.882,38.235,0.980,0,68.317,5.941,19.802,5.941,0,154906624,341225472,01-05 03:44:34
71.875,6.250,17.708,4.167,0,70,6,21,3,0,55.556,4.040,40.404,0,0,43.689,3.883,49.515,2.913,0,156882432,272834560,01-05 03:44:35
75.248,7.921,7.921,8.911,0,62.626,5.051,27.273,5.051,0,33.663,3.960,62.376,0,0,62,3,35,0,0,161200128,272867328,01-05 03:44:36
62,3,31,4,0,54.082,3.061,36.735,6.122,0,52.475,5.941,33.663,7.921,0,57.426,4.950,33.663,3.960,0,150956032,342974464,01-05 03:44:37
58.586,6.061,32.323,3.030,0,61.386,6.931,18.812,12.871,0,72.165,8.247,10.309,9.278,0,50.515,4.124,25.773,19.588,0,178715136,1431764992,01-05 03:44:38
72.727,6.061,19.192,2.020,0,63.366,4.950,27.723,3.960,0,53.465,6.931,36.634,2.970,0,56,5,38,1,0,166048256,273063936,01-05 03:44:39
47.475,8.081,42.424,2.020,0,62,6,26,6,0,49,7,42,2,0,72,9,12,7,0,151159296,472150016,01-05 03:44:40
78.351,7.216,13.402,1.031,0,84.694,10.204,0,5.102,0,83,6,5,6,0,83.505,6.186,8.247,2.062,0,363978240,482770944,01-05 03:44:41
87,7,2,4,0,86,8,1,5,0,79.592,8.163,8.163,4.082,0,85.859,6.061,4.040,4.040,0,338870272,954777600,01-05 03:44:42
77.778,6.061,6.061,10.101,0,78.571,5.102,13.265,3.061,0,82,12,3,3,0,84.848,4.040,7.071,4.040,0,336908800,682242048,01-05 03:44:43
61.616,6.061,23.232,9.091,0,57,6,25,12,0,71.287,5.941,12.871,9.901,0,68,7,18,7,0,219037184,613851136,01-05 03:44:44
37,6,55,2,0,62,3,35,0,0,78,8,8,6,0,65,7,25,3,0,154917376,341061632,01-05 03:44:45
57.732,6.186,34.021,2.062,0,68.687,6.061,22.222,3.030,0,43.299,2.062,52.577,2.062,0,68.317,6.931,19.802,4.950,0,153804800,272871424,01-05 03:44:46
76.699,5.825,12.621,4.854,0,39.394,4.040,51.515,5.051,0,70.588,5.882,21.569,1.961,0,62.245,5.102,30.612,2.041,0,162187264,272879616,01-05 03:44:47
56.250,3.125,39.583,1.042,0,57.426,5.941,34.653,1.980,0,74,7,12,7,0,52.941,3.922,42.157,0.980,0,156192256,153632768,01-05 03:44:48
76.238,7.921,8.911,6.931,0,54,6,38,2,0,57.143,3.061,39.796,0,0,53.465,6.931,38.614,0.990,0,147518464,325922816,01-05 03:44:49
56.436,8.911,31.683,2.970,0,65.686,3.922,26.471,3.922,0,71.287,4.950,20.792,2.970,0,58.586,7.071,33.333,1.010,0,163147264,272838656,01-05 03:44:50
55.670,3.093,38.144,3.093,0,66,4,25,5,0,60.204,5.102,32.653,2.041,0,64.356,5.941,24.752,4.950,0,162185216,341032960,01-05 03:44:51
54.082,5.102,23.469,17.347,0,59.184,4.082,25.510,11.224,0,53.922,5.882,23.529,16.667,0,52.041,7.143,27.551,13.265,0,154682880,1431621632,01-05 03:44:52
64.356,7.921,23.762,3.960,0,53,4,40,3,0,68.367,6.122,22.449,3.061,0,49,6,37,8,0,175873536,409399296,01-05 03:44:53
73.267,7.921,15.842,2.970,0,75.510,6.122,12.245,6.122,0,69.307,5.941,15.842,8.911,0,66.667,5.051,27.273,1.010,0,248463872,479845888,01-05 03:44:54
84.848,8.081,4.040,3.030,0,85.149,9.901,0.990,3.960,0,87,6,6,1,0,82.353,9.804,2.941,4.902,0,360763392,543306240,01-05 03:44:55
75.248,7.921,3.960,12.871,0,74.747,7.071,13.131,5.051,0,73.469,9.184,6.122,11.224,0,80.808,7.071,10.101,2.020,0,319080448,954863616,01-05 03:44:56
81,7,3,9,0,86.139,6.931,1.980,4.950,0,78.218,6.931,7.921,6.931,0,87.879,6.061,1.010,5.051,0,358703616,670739968,01-05 03:44:57
75.258,7.216,12.371,5.155,0,80.198,4.950,4.950,9.901,0,63.725,10.784,16.667,8.824,0,83,7,4,6,0,299351552,1036612096,01-05 03:44:58
57.576,4.040,36.364,2.020,0,66.337,5.941,21.782,5.941,0,50.526,3.158,36.842,9.474,0,55.556,7.071,33.333,4.040,0,180487680,409440256,01-05 03:44:59
76.768,5.051,14.141,4.040,0,51,3,45,1,0,52.475,4.950,41.584,0.990,0,54,5,37,4,0,158009344,272842752,01-05 03:45:00
62.626,4.040,32.323,1.010,0,59.596,5.051,33.333,2.020,0,62.626,7.071,25.253,5.051,0,59.794,2.062,32.990,5.155,0,147514880,341049344,01-05 03:45:01
64.646,5.051,25.253,5.051,0,64.646,5.051,27.273,3.030,0,69,4,24,3,0,44,8,44,4,0,162173952,272855040,01-05 03:45:02
51.546,4.124,44.330,0,0,57,3,39,1,0,60.204,4.082,34.694,1.020,0,69.307,4.950,22.772,2.970,0,166678016,144793600,01-05 03:45:03
40.404,7.071,48.485,4.040,0,50,1.020,48.980,0,0,66.990,3.883,25.243,3.883,0,68.687,6.061,18.182,7.071,0,147528192,332992512,01-05 03:45:04
49.505,4.950,45.545,0,0,79,7,9,5,0,58.586,4.040,35.354,2.020,0,54.545,6.061,34.343,5.051,0,156992000,272822272,01-05 03:45:05
65.657,2.020,28.283,4.040,0,53.398,5.825,37.864,2.913,0,64.583,3.125,26.042,6.250,0,61.386,2.970,32.673,2.970,0,172636672,341028864,01-05 03:45:06
61.386,2.970,32.673,2.970,0,45.455,3.030,51.515,0,0,55.556,5.051,38.384,1.010,0,54,2,41,3,0,166661632,136413184,01-05 03:45:07
58.163,7.143,19.388,15.306,0,54.545,8.081,25.253,12.121,0,59.596,6.061,19.192,15.152,0,61.224,4.082,19.388,15.306,0,148333056,1502355456,01-05 03:45:08
70.103,5.155,22.680,2.062,0,76.238,9.901,11.881,1.980,0,65.347,5.941,19.802,8.911,0,72,8,11,9,0,249620480,613810176,01-05 03:45:09
77.778,11.111,7.071,4.040,0,86,8,2,4,0,87.755,7.143,3.061,2.041,0,80.808,11.111,4.040,4.040,0,332510208,759041536,01-05 03:45:10
85.714,6.122,2.041,6.122,0,77,7,9,7,0,82,6,6,6,0,80.612,7.143,4.082,8.163,0,378678272,775331840,01-05 03:45:11
81.818,8.081,7.071,3.030,0,87.879,8.081,1.010,3.030,0,84.848,8.081,1.010,6.061,0,82.178,8.911,2.970,5.941,0,336380416,920973824,01-05 03:45:12
82.653,8.163,5.102,4.082,0,83.333,6.863,7.843,1.961,0,79.412,6.863,6.863,6.863,0,88.235,5.882,0.980,4.902,0,317764096,662597120,01-05 03:45:13
69,6,15,10,0,64,5,25,6,0,67.677,5.051,24.242,3.030,0,60,5,35,0,0,205086208,685674496,01-05 03:45:14
56.701,4.124,39.175,0,0,74.490,7.143,12.245,6.122,0,53,7,35,5,0,55.102,5.102,36.735,3.061,0,155889664,357544448,01-05 03:45:15
61,7,28,4,0,58.416,2.970,37.624,0.990,0,72.449,6.122,17.347,4.082,0,58.416,5.941,32.673,2.970,0,153787392,273068032,01-05 03:45:16
56.122,4.082,31.633,8.163,0,65.686,4.902,28.431,0.980,0,78.218,4.950,13.861,2.970,0,54.082,5.102,39.796,1.020,0,172662272,341053440,01-05 03:45:17
