"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node1.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","01 May 2025 03:33:27 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
23.219,2.374,72.319,2.088,0,22.790,2.216,72.702,2.292,0,22.905,2.247,72.221,2.628,0,24.019,2.368,71.005,2.608,0,102754219.926,188255366.889,01-05 03:33:27
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,4096,01-05 03:33:28
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,01-05 03:33:29
56.250,6.250,20.833,16.667,0,56.701,7.216,20.619,15.464,0,59.596,7.071,19.192,14.141,0,56,9,20,15,0,200939008,417792,01-05 03:33:30
75.510,14.286,0,10.204,0,80.808,9.091,0,10.101,0,79.412,10.784,0,9.804,0,81,9,0,10,0,273268736,0,01-05 03:33:31
79.592,11.224,0,9.184,0,77.551,13.265,0,9.184,0,80.808,11.111,0,8.081,0,79.798,11.111,0,9.091,0,263336960,1925120,01-05 03:33:32
83.168,9.901,0,6.931,0,83.333,9.375,0,7.292,0,81.818,11.111,0,7.071,0,78.351,14.433,0,7.216,0,270649856,0,01-05 03:33:33
82.828,10.101,0,7.071,0,78.351,14.433,0,7.216,0,80.808,11.111,0,8.081,0,77.320,13.402,1.031,8.247,0,256176640,0,01-05 03:33:34
81.053,12.632,0,6.316,0,82.828,11.111,0,6.061,0,82,12,0,6,0,79.798,14.141,0,6.061,0,264044544,0,01-05 03:33:35
79.798,12.121,0,8.081,0,78.351,14.433,0,7.216,0,80.412,11.340,0,8.247,0,81.633,10.204,0,8.163,0,244923904,1593344,01-05 03:33:36
78,15,1,6,0,77,16,0,7,0,81,13,0,6,0,79.798,14.141,0,6.061,0,254688256,110592,01-05 03:33:37
78,15,0,7,0,84.375,8.333,1.042,6.250,0,83,9,2,6,0,81.818,11.111,0,7.071,0,240629760,0,01-05 03:33:38
83.168,10.891,0,5.941,0,79,15,0,6,0,82.474,11.340,0,6.186,0,80.208,14.583,0,5.208,0,252889088,0,01-05 03:33:39
81.818,11.111,0,7.071,0,77.451,13.725,0,8.824,0,81.188,10.891,0,7.921,0,83.333,9.804,0,6.863,0,235982336,0,01-05 03:33:40
81.188,13.861,0,4.950,0,86,10,0,4,0,82,13,0,5,0,82.653,13.265,0,4.082,0,243898880,0,01-05 03:33:41
85.714,10.204,0,4.082,0,80.198,14.851,0,4.950,0,81.818,13.131,0,5.051,0,83,12,0,5,0,246167040,32768,01-05 03:33:42
78,16,0,6,0,86.598,7.216,0,6.186,0,83.838,11.111,0,5.051,0,82.353,10.784,0,6.863,0,230523904,16384,01-05 03:33:43
78.431,16.667,0,4.902,0,84.158,10.891,0,4.950,0,80.808,13.131,1.010,5.051,0,82.353,12.745,0.980,3.922,0,242386944,0,01-05 03:33:44
76.768,16.162,1.010,6.061,0,84,7,3,6,0,86.598,7.216,1.031,5.155,0,81.188,11.881,0,6.931,0,221268480,0,01-05 03:33:45
86,9,0,5,0,82.828,12.121,0,5.051,0,80.612,14.286,0,5.102,0,80.612,14.286,0,5.102,0,239612928,2293760,01-05 03:33:46
83.168,10.891,0,5.941,0,84.314,9.804,0,5.882,0,85.294,8.824,0.980,4.902,0,85.149,8.911,0,5.941,0,222560256,45056,01-05 03:33:47
86.869,8.081,0,5.051,0,79.381,15.464,0,5.155,0,87,8,0,5,0,83.810,10.476,0.952,4.762,0,237480448,159744,01-05 03:33:48
83.673,10.204,0,6.122,0,81.818,12.121,1.010,5.051,0,82.653,11.224,0,6.122,0,85.859,8.081,0,6.061,0,222037504,28672,01-05 03:33:49
83,13,0,4,0,86,9,0,5,0,85.859,9.091,0,5.051,0,85.859,9.091,0,5.051,0,231630848,0,01-05 03:33:50
81.633,13.265,0,5.102,0,85.859,9.091,1.010,4.040,0,81.818,13.131,0,5.051,0,85.567,8.247,0,6.186,0,218812416,0,01-05 03:33:51
83,13,1,3,0,86.139,9.901,0,3.960,0,86,11,0,3,0,87.129,9.901,0,2.970,0,226120704,1327104,01-05 03:33:52
91.919,4.040,0,4.040,0,83.505,11.340,0,5.155,0,80.808,14.141,0,5.051,0,85.417,9.375,0,5.208,0,189760000,136421376,01-05 03:33:53
83.838,10.101,0,6.061,0,85.859,9.091,0,5.051,0,86.598,8.247,0,5.155,0,85.859,10.101,0,4.040,0,231628288,20480,01-05 03:33:54
82,13,0,5,0,83.838,11.111,0,5.051,0,81,12,1,6,0,83.838,10.101,0,6.061,0,238732800,12288,01-05 03:33:55
82,10,0,8,0,83.168,8.911,0,7.921,0,84.158,7.921,0,7.921,0,79.208,12.871,0,7.921,0,230794752,53248,01-05 03:33:56
85,9,0,6,0,87,6,0,7,0,84.158,8.911,0,6.931,0,82.105,11.579,0,6.316,0,250719744,1163264,01-05 03:33:57
