"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node2.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","01 May 2025 03:19:05 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
21.666,2.161,73.868,2.305,0,22.576,2.246,72.677,2.502,0,21.603,2.073,73.775,2.549,0,23.823,2.244,71.291,2.642,0,82575579.457,124821206.143,01-05 03:19:05
0,0,100,0,0,2.970,0.990,96.040,0,0,2,1,97,0,0,1.010,0,98.990,0,0,0,4096,01-05 03:19:06
19,2,79,0,0,15.306,4.082,80.612,0,0,20,2,78,0,0,19.802,1.980,78.218,0,0,0,0,01-05 03:19:07
52.041,8.163,37.755,2.041,0,56.701,7.216,32.990,3.093,0,55.556,7.071,37.374,0,0,53.535,8.081,38.384,0,0,1792000,140181504,01-05 03:19:08
45.455,5.051,49.495,0,0,35.354,7.071,57.576,0,0,46,6,48,0,0,42.574,5.941,51.485,0,0,0,2002944,01-05 03:19:09
50.515,7.216,42.268,0,0,44.444,5.051,49.495,1.010,0,44.444,5.051,49.495,1.010,0,50,5.102,44.898,0,0,1792512,136450048,01-05 03:19:10
54,10,32,4,0,39.796,2.041,57.143,1.020,0,49.020,5.882,45.098,0,0,43.434,7.071,49.495,0,0,1793536,136429568,01-05 03:19:11
39.796,5.102,55.102,0,0,43.564,5.941,50.495,0,0,51.515,6.061,42.424,0,0,47,4,49,0,0,0,0,01-05 03:19:12
48.485,6.061,45.455,0,0,80,3,12,5,0,51.546,3.093,38.144,7.216,0,50.505,5.051,43.434,1.010,0,161118720,272863232,01-05 03:19:13
62,7,20,11,0,48,5,44,3,0,52.475,6.931,32.673,7.921,0,59.804,3.922,34.314,1.961,0,109649920,545656832,01-05 03:19:14
35.714,4.082,59.184,1.020,0,42.857,2.041,55.102,0,0,42.424,6.061,48.485,3.030,0,48.515,4.950,46.535,0,0,1791488,136429568,01-05 03:19:15
43.878,6.122,50,0,0,44,5,51,0,0,44,5,51,0,0,34.343,5.051,60.606,0,0,0,0,01-05 03:19:16
38.776,2.041,58.163,1.020,0,34.343,6.061,57.576,2.020,0,40,3,56,1,0,39.175,2.062,58.763,0,0,1793024,136433664,01-05 03:19:17
49.495,5.051,45.455,0,0,36.364,3.030,59.596,1.010,0,54.082,5.102,38.776,2.041,0,65,7,25,3,0,81457664,204640256,01-05 03:19:18
59.794,7.216,29.897,3.093,0,64.646,6.061,26.263,3.030,0,53.922,6.863,38.235,0.980,0,62.245,6.122,28.571,3.061,0,168474112,274522112,01-05 03:19:19
69.697,6.061,18.182,6.061,0,53.061,4.082,42.857,0,0,61,5,33,1,0,54.455,5.941,38.614,0.990,0,168775680,136646656,01-05 03:19:20
44.330,3.093,41.237,11.340,0,49.495,5.051,38.384,7.071,0,55.882,6.863,32.353,4.902,0,38.384,5.051,53.535,3.030,0,50095104,750247936,01-05 03:19:21
46.602,6.796,44.660,1.942,0,36,3,60,1,0,47.475,4.040,48.485,0,0,34.314,2.941,58.824,3.922,0,1792000,136425472,01-05 03:19:22
40.404,2.020,57.576,0,0,41,4,54,1,0,41.414,3.030,54.545,1.010,0,40.816,3.061,54.082,2.041,0,12278784,130637312,01-05 03:19:23
74.510,4.902,16.667,3.922,0,61.616,3.030,35.354,0,0,59.184,3.061,36.735,1.020,0,54.902,5.882,35.294,3.922,0,164577280,142213632,01-05 03:19:24
66.667,7.071,25.253,1.010,0,72.727,7.071,18.182,2.020,0,58.416,10.891,27.723,2.970,0,66.667,9.091,23.232,1.010,0,164294144,272891904,01-05 03:19:25
61.765,11.765,20.588,5.882,0,62,7,23,8,0,55,6,27,12,0,68,8,22,2,0,137993216,704814592,01-05 03:19:26
49.495,5.051,42.424,3.030,0,63,2,32,3,0,54.545,7.071,36.364,2.020,0,76.531,6.122,11.224,6.122,0,172662784,250053120,01-05 03:19:27
42.268,2.062,52.577,3.093,0,37.255,5.882,49.020,7.843,0,67,6,25,2,0,51.485,3.960,36.634,7.921,0,84259840,545505280,01-05 03:19:28
47.525,2.970,47.525,1.980,0,64.646,4.040,29.293,2.020,0,40,4,53,3,0,50,5.882,40.196,3.922,0,98227712,204668928,01-05 03:19:29
59.596,5.051,31.313,4.040,0,54,6,39,1,0,55.556,6.061,36.364,2.020,0,68.367,4.082,24.490,3.061,0,170566656,274829312,01-05 03:19:30
40,5,55,0,0,61.224,4.082,33.673,1.020,0,60,4,35,1,0,67.677,7.071,22.222,3.030,0,160387584,204607488,01-05 03:19:31
55.446,4.950,36.634,2.970,0,60.825,6.186,20.619,12.371,0,58,6,32,4,0,49,6,30,15,0,174970880,750092288,01-05 03:19:32
