"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node1.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","01 May 2025 02:40:06 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
0.043,0.793,99.164,0,0,0.002,0.080,99.918,0,0,0.012,0.048,99.939,0.001,0,0,0.044,99.956,0,0,384442.751,114375.586,01-05 02:40:06
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,991232,0,01-05 02:40:07
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,4096,0,01-05 02:40:08
36.364,8.081,55.556,0,0,39.796,7.143,53.061,0,0,44.554,3.960,51.485,0,0,40.404,5.051,54.545,0,0,94208,0,01-05 02:40:09
55,7,34,4,0,37,4,59,0,0,43,7,50,0,0,56.566,6.061,37.374,0,0,1968640,137269248,01-05 02:40:10
46.535,4.950,48.515,0,0,40.404,3.030,56.566,0,0,34.653,4.950,60.396,0,0,54,6,40,0,0,20480,19521536,01-05 02:40:11
21.429,3.061,74.490,1.020,0,35,3,61,1,0,42.424,4.040,52.525,1.010,0,51.961,3.922,44.118,0,0,1797120,118636544,01-05 02:40:12
40.594,5.941,49.505,3.960,0,32.353,3.922,63.725,0,0,44.660,3.883,51.456,0,0,37.374,3.030,57.576,2.020,0,1796608,136429568,01-05 02:40:13
63.918,4.124,30.928,1.031,0,51,9,36,4,0,36.735,4.082,58.163,1.020,0,45.455,1.010,53.535,0,0,52116480,136466432,01-05 02:40:14
56,4,37,3,0,68,2,29,1,0,63.366,4.950,30.693,0.990,0,69,4,23,4,0,159332864,204599296,01-05 02:40:15
15.306,6.122,75.510,3.061,0,50,4,43,3,0,49,3,44,4,0,56.566,5.051,30.303,8.081,0,59359232,477499392,01-05 02:40:16
37.374,4.040,57.576,1.010,0,38.384,1.010,60.606,0,0,35.714,2.041,60.204,2.041,0,43.434,2.020,51.515,3.030,0,2816000,137396224,01-05 02:40:17
48.485,4.040,44.444,3.030,0,39.604,0.990,59.406,0,0,22.772,3.960,72.277,0.990,0,37.624,2.970,56.436,2.970,0,1805312,136433664,01-05 02:40:18
45.545,1.980,52.475,0,0,38.614,0.990,60.396,0,0,33,2,65,0,0,23,3,74,0,0,0,0,01-05 02:40:19
45.455,5.051,49.495,0,0,60,6,29,5,0,57.143,3.061,36.735,3.061,0,62,4,32,2,0,135951872,204652544,01-05 02:40:20
55,5,37,3,0,77.228,5.941,13.861,2.970,0,59.184,4.082,32.653,4.082,0,63.918,6.186,29.897,0,0,153805312,341020672,01-05 02:40:21
70.408,4.082,18.367,7.143,0,54.639,7.216,38.144,0,0,65,9,21,5,0,56.863,5.882,37.255,0,0,152904704,272936960,01-05 02:40:22
37.374,4.040,54.545,4.040,0,42.157,8.824,41.176,7.843,0,43,4,47,6,0,41,7,51,1,0,26154496,545685504,01-05 02:40:23
45.918,2.041,50,2.041,0,28.283,5.051,66.667,0,0,52.041,2.041,45.918,0,0,47.959,5.102,43.878,3.061,0,1797120,136445952,01-05 02:40:24
53.535,6.061,38.384,2.020,0,52.525,5.051,41.414,1.010,0,55,7,35,3,0,51.515,5.051,41.414,2.020,0,66777600,136445952,01-05 02:40:25
59,4,36,1,0,69.697,7.071,21.212,2.020,0,61.458,3.125,35.417,0,0,62.626,5.051,31.313,1.010,0,154116608,272801792,01-05 02:40:26
54.455,3.960,40.594,0.990,0,46.465,6.061,42.424,5.051,0,63,3,30,4,0,72.449,6.122,18.367,3.061,0,152693760,204939264,01-05 02:40:27
61.856,6.186,30.928,1.031,0,51.515,6.061,35.354,7.071,0,71.429,9.184,11.224,8.163,0,52.525,9.091,30.303,8.081,0,151644672,751947264,01-05 02:40:28
45,8,44,3,0,50.505,3.030,43.434,3.030,0,64.356,8.911,20.792,5.941,0,48,7,43,2,0,70814720,407486976,01-05 02:40:29
44.330,4.124,51.546,0,0,49,5,46,0,0,44.554,4.950,50.495,0,0,44.554,6.931,48.515,0,0,3719680,45056,01-05 02:40:30
44,6,49,1,0,50.495,5.941,37.624,5.941,0,71.717,8.081,14.141,6.061,0,52.041,3.061,42.857,2.041,0,149615104,272850944,01-05 02:40:31
62.376,3.960,31.683,1.980,0,68.041,5.155,24.742,2.062,0,68.367,4.082,21.429,6.122,0,48,5,45,2,0,157991936,272826368,01-05 02:40:32
58.163,9.184,30.612,2.041,0,62,5,30,3,0,67,5,24,4,0,60,7,32,1,0,162192384,272859136,01-05 02:40:33
59,7,29,5,0,57.143,7.143,27.551,8.163,0,57,5,34,4,0,59.794,6.186,26.804,7.216,0,151011840,682323968,01-05 02:40:34
71.569,5.882,20.588,1.961,0,53,7,35,5,0,63.636,6.061,22.222,8.081,0,64.646,10.101,22.222,3.030,0,158602752,545218560,01-05 02:40:35
63.265,8.163,25.510,3.061,0,56.566,8.081,31.313,4.040,0,72.277,4.950,18.812,3.960,0,66.667,6.061,26.263,1.010,0,170112512,413462528,01-05 02:40:36
64.356,3.960,29.703,1.980,0,63.265,8.163,25.510,3.061,0,60.606,4.040,29.293,6.061,0,72.449,5.102,19.388,3.061,0,157793280,272891904,01-05 02:40:37
61,8,30,1,0,66.337,5.941,24.752,2.970,0,63,5,31,1,0,48,6,45,1,0,159177216,204632064,01-05 02:40:38
61.616,2.020,35.354,1.010,0,73.267,5.941,17.822,2.970,0,55.102,4.082,37.755,3.061,0,59.184,5.102,31.633,4.082,0,151716864,272867328,01-05 02:40:39
