"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node1.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","01 May 2025 03:07:50 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
9.774,1.255,88.280,0.692,0,9.216,0.989,88.922,0.872,0,8.864,0.947,89.295,0.893,0,9.765,1.004,88.062,1.169,0,60473922.677,144052744.954,01-05 03:07:50
1.961,0,98.039,0,0,0,0,100,0,0,1.980,0,98.020,0,0,0,0,100,0,0,65536,4096,01-05 03:07:51
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,01-05 03:07:52
54.639,5.155,22.680,17.526,0,53.535,7.071,21.212,18.182,0,51.087,5.435,23.913,19.565,0,51.064,5.319,23.404,20.213,0,174977536,94208,01-05 03:07:53
75.758,11.111,0,13.131,0,78,9,0,13,0,75.532,10.638,0,13.830,0,75,12,0,13,0,243899904,0,01-05 03:07:54
75.258,12.371,0,12.371,0,77.228,10.891,0,11.881,0,79.167,8.333,0,12.500,0,75.258,12.371,0,12.371,0,239244800,1839104,01-05 03:07:55
77.320,10.309,1.031,11.340,0,76,13,0,11,0,78,11,0,11,0,76.042,11.458,0,12.500,0,234974720,0,01-05 03:07:56
81.443,7.216,0,11.340,0,80.412,7.216,0,12.371,0,77.778,9.091,1.010,12.121,0,78,10,0,12,0,221664768,0,01-05 03:07:57
78.125,10.417,0,11.458,0,81.443,7.216,0,11.340,0,78,11,0,11,0,80.851,8.511,0,10.638,0,230884352,32768,01-05 03:07:58
79.592,10.204,0,10.204,0,71.717,16.162,1.010,11.111,0,81.443,8.247,0,10.309,0,77.419,11.828,0,10.753,0,227709952,0,01-05 03:07:59
78.351,11.340,0,10.309,0,82.828,7.071,0,10.101,0,82.474,7.216,0,10.309,0,81.915,7.447,0,10.638,0,227875328,0,01-05 03:08:00
80,9.474,0,10.526,0,81.818,8.081,0,10.101,0,80.808,9.091,0,10.101,0,78.218,11.881,0,9.901,0,226022912,28672,01-05 03:08:01
78.218,10.891,0.990,9.901,0,80,8.421,0,11.579,0,83,6,0,11,0,80.612,9.184,0,10.204,0,210130944,0,01-05 03:08:02
80.412,10.309,0,9.278,0,83.505,7.216,0,9.278,0,83.673,7.143,0,9.184,0,80.612,9.184,0,10.204,0,217916416,2445312,01-05 03:08:03
78.788,11.111,0,10.101,0,80,11,0,9,0,81,10,0,9,0,79.208,11.881,0,8.911,0,218441216,0,01-05 03:08:04
82,9,0,9,0,79.381,11.340,0,9.278,0,83,8,0,9,0,78.788,11.111,1.010,9.091,0,215363072,0,01-05 03:08:05
76.768,14.141,0,9.091,0,82.828,8.081,0,9.091,0,81,10,0,9,0,77,13,0,10,0,211614208,0,01-05 03:08:06
81.443,8.247,0,10.309,0,80,11,0,9,0,78.218,11.881,0.990,8.911,0,78.351,12.371,0,9.278,0,210060800,0,01-05 03:08:07
78.641,11.650,0,9.709,0,82.828,8.081,0,9.091,0,77.778,13.131,0,9.091,0,81,11,0,8,0,216147456,12288,01-05 03:08:08
80.392,11.765,0,7.843,0,78.571,12.245,0,9.184,0,80,11.579,0,8.421,0,81.818,9.091,0,9.091,0,207691776,57344,01-05 03:08:09
83.333,8.333,0,8.333,0,83.838,8.081,0,8.081,0,79,13,0,8,0,83,9,0,8,0,206335488,0,01-05 03:08:10
82.105,7.368,0,10.526,0,88.776,4.082,0,7.143,0,76.238,13.861,0,9.901,0,81.633,10.204,0,8.163,0,179674624,136441856,01-05 03:08:11
85.714,8.163,0,6.122,0,80.808,12.121,0,7.071,0,78.788,13.131,1.010,7.071,0,82.653,11.224,0,6.122,0,273425920,68202496,01-05 03:08:12
77,11,1,11,0,81.633,7.143,0,11.224,0,73.469,14.286,0,12.245,0,81.443,8.247,0,10.309,0,306597376,136409088,01-05 03:08:13
77.320,7.216,1.031,14.433,0,75.490,10.784,0,13.725,0,77.083,8.333,0,14.583,0,78.125,8.333,0,13.542,0,270941184,138293248,01-05 03:08:14
65.625,10.417,0,23.958,0,70.588,8.824,0.980,19.608,0,71.429,7.143,0,21.429,0,75,6,0,19,0,284065792,545792000,01-05 03:08:15
75.510,11.224,0,13.265,0,77.228,7.921,0,14.851,0,73.737,10.101,0,16.162,0,77.143,6.667,0.952,15.238,0,314345984,340963328,01-05 03:08:16
78.788,7.071,0,14.141,0,75.758,5.051,0,19.192,0,75.248,6.931,0,17.822,0,71.287,8.911,0,19.802,0,288157696,136601600,01-05 03:08:17
68.932,12.621,0,18.447,0,70.707,7.071,0,22.222,0,70.297,6.931,0,22.772,0,73.267,4.950,0,21.782,0,281451520,204636160,01-05 03:08:18
78,8,1,13,0,78.351,8.247,0,13.402,0,76.531,8.163,1.020,14.286,0,76.289,9.278,0,14.433,0,321148416,477331456,01-05 03:08:19
68,11,0,21,0,72,7,1,20,0,77.228,6.931,0,15.842,0,68.421,9.474,0,22.105,0,292615168,341078016,01-05 03:08:20
80.808,6.061,0,13.131,0,79.208,7.921,0,12.871,0,79.208,8.911,0,11.881,0,81,7,0,12,0,312885248,136450048,01-05 03:08:21
74.468,8.511,0,17.021,0,76.238,7.921,0,15.842,0,74.257,10.891,0,14.851,0,75.490,8.824,0.980,14.706,0,297289728,204611584,01-05 03:08:22
72,7,1,20,0,70.707,7.071,0,22.222,0,69.388,6.122,0,24.490,0,75,3.125,0,21.875,0,285354496,681877504,01-05 03:08:23
71.429,11.224,0,17.347,0,68.932,8.738,0.971,21.359,0,71.845,6.796,0.971,20.388,0,69.388,9.184,0,21.429,0,291882496,411521024,01-05 03:08:24
75.258,7.216,1.031,16.495,0,76.768,10.101,0,13.131,0,78.125,6.250,0,15.625,0,76.842,9.474,0,13.684,0,315332096,136425472,01-05 03:08:25
78.571,5.102,0,16.327,0,72.165,12.371,0,15.464,0,76.531,5.102,0,18.367,0,71.134,8.247,1.031,19.588,0,269103104,409210880,01-05 03:08:26
85.567,4.124,0,10.309,0,81.443,7.216,0,11.340,0,79.798,9.091,0,11.111,0,81.633,8.163,0,10.204,0,219677184,20480,01-05 03:08:27
80.208,7.292,0,12.500,0,80.808,7.071,0,12.121,0,83,6,0,11,0,81.053,6.316,0,12.632,0,210534400,0,01-05 03:08:28
81.188,7.921,0,10.891,0,83.871,4.301,0,11.828,0,82,7,0,11,0,79.798,9.091,0,11.111,0,216833536,4096,01-05 03:08:29
79,11,0,10,0,81.373,7.843,0,10.784,0,80.612,9.184,0,10.204,0,78.788,10.101,0,11.111,0,218480128,0,01-05 03:08:30
83.168,7.921,0,8.911,0,78.351,11.340,1.031,9.278,0,85.714,4.082,0,10.204,0,84.536,6.186,0,9.278,0,212600320,81920,01-05 03:08:31
80.583,10.680,0,8.738,0,84.158,6.931,0,8.911,0,79.592,10.204,1.020,9.184,0,82,9,0,9,0,208753664,12288,01-05 03:08:32
88,6,0,6,0,82.292,6.250,1.042,10.417,0,80,8.421,0,11.579,0,79.412,9.804,0,10.784,0,170334208,136646656,01-05 03:08:33
79,9,0,12,0,79,9,0,12,0,80.208,7.292,0,12.500,0,76.768,10.101,1.010,12.121,0,227116544,2015232,01-05 03:08:34
79.208,9.901,0,10.891,0,77.551,11.224,0,11.224,0,77.083,11.458,0,11.458,0,79.208,8.911,0,11.881,0,223532032,0,01-05 03:08:35
79.381,9.278,1.031,10.309,0,79.381,8.247,0,12.371,0,81.250,7.292,0,11.458,0,81.818,7.071,0,11.111,0,221599232,0,01-05 03:08:36
79.592,8.163,0,12.245,0,79.592,10.204,0,10.204,0,78.571,9.184,0,12.245,0,80.851,8.511,0,10.638,0,208810496,0,01-05 03:08:37
80.808,8.081,0,11.111,0,80.412,8.247,0,11.340,0,82.474,6.186,0,11.340,0,82.653,6.122,0,11.224,0,217447424,0,01-05 03:08:38
82.828,7.071,0,10.101,0,80,10,0,10,0,81.818,8.081,0,10.101,0,83.158,6.316,0,10.526,0,216643584,139264,01-05 03:08:39
80,9.474,0,10.526,0,81,8,1,10,0,80.208,9.375,0,10.417,0,82.653,7.143,0,10.204,0,216625664,0,01-05 03:08:40
78.788,10.101,0,11.111,0,83,7,0,10,0,81.250,8.333,0,10.417,0,81.443,7.216,0,11.340,0,210409472,0,01-05 03:08:41
83.673,6.122,0,10.204,0,78.351,10.309,0,11.340,0,79.381,10.309,0,10.309,0,81,8,0,11,0,206495744,0,01-05 03:08:42
81.250,8.333,0,10.417,0,81.188,8.911,0,9.901,0,81.250,8.333,0,10.417,0,82.653,7.143,0,10.204,0,212021760,0,01-05 03:08:43
82.292,8.333,0,9.375,0,80,10,0,10,0,81,9,0,10,0,81.818,8.081,0,10.101,0,210776064,53248,01-05 03:08:44
80,10,0,10,0,82,8,0,10,0,79.798,10.101,0,10.101,0,80,9,1,10,0,212434432,1904640,01-05 03:08:45
83.871,5.376,0,10.753,0,80.198,8.911,0,10.891,0,80.412,8.247,0,11.340,0,80.612,8.163,0,11.224,0,199995904,0,01-05 03:08:46
82,8,0,10,0,83.673,7.143,0,9.184,0,78.351,10.309,1.031,10.309,0,79.381,11.340,0,9.278,0,210667008,0,01-05 03:08:47
81.633,8.163,1.020,9.184,0,78.788,11.111,0,10.101,0,81.633,9.184,0,9.184,0,81.818,9.091,0,9.091,0,204578816,0,01-05 03:08:48
82.979,8.511,0,8.511,0,82.105,9.474,0,8.421,0,82.653,9.184,0,8.163,0,81.250,10.417,0,8.333,0,198531584,53248,01-05 03:08:49
