/usr/bin/java -Xmx64G -XX:MaxDirectMemorySize=64G -classpath /root/YCSB/conf:/root/YCSB/core/target/core-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/rocksdb-binding-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/dependency/HdrHistogram-2.1.4.jar:/root/YCSB/rocksdb/target/dependency/animal-sniffer-annotations-1.19.jar:/root/YCSB/rocksdb/target/dependency/annotations-4.1.1.4.jar:/root/YCSB/rocksdb/target/dependency/checker-compat-qual-2.5.5.jar:/root/YCSB/rocksdb/target/dependency/error_prone_annotations-2.4.0.jar:/root/YCSB/rocksdb/target/dependency/failureaccess-1.0.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-api-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-context-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-core-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-netty-shaded-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-lite-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-stub-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/gson-2.8.6.jar:/root/YCSB/rocksdb/target/dependency/guava-30.0-android.jar:/root/YCSB/rocksdb/target/dependency/htrace-core4-4.1.0-incubating.jar:/root/YCSB/rocksdb/target/dependency/j2objc-annotations-1.3.jar:/root/YCSB/rocksdb/target/dependency/jcip-annotations-1.0.jar:/root/YCSB/rocksdb/target/dependency/jsr305-3.0.2.jar:/root/YCSB/rocksdb/target/dependency/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar:/root/YCSB/rocksdb/target/dependency/perfmark-api-0.23.0.jar:/root/YCSB/rocksdb/target/dependency/proto-google-common-protos-2.0.1.jar:/root/YCSB/rocksdb/target/dependency/protobuf-java-3.12.0.jar:/root/YCSB/rocksdb/target/dependency/rocksdbjni-6.14.0.jar:/root/YCSB/rocksdb/target/dependency/slf4j-api-1.7.25.jar:/root/YCSB/rocksdb/target/dependency/slf4j-simple-1.7.25.jar site.ycsb.Client -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloada -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=2 -p status.interval=10000 -p target=120000 -threads 32
Command line: -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloada -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=2 -p status.interval=10000 -p target=120000 -threads 32
threadcount: 32
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
[Thread-2] INFO site.ycsb.db.rocksdb.RocksDBClient - RocksDB data dir: null
2025-08-18 00:53:24:108 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2025-08-18 00:53:34:084 10 sec: 135893 operations; 13589.3 current ops/sec; est completion in 2 hours 2 minutes [INSERT: Count=135909, Max=445439, Min=567, Avg=2254.67, 90=2821, 99=4111, 99.9=17023, 99.99=445183] 
2025-08-18 00:53:44:083 20 sec: 293689 operations; 15779.6 current ops/sec; est completion in 1 hour 53 minutes [INSERT: Count=157786, Max=10511, Min=536, Avg=2008.61, 90=2687, 99=3777, 99.9=6035, 99.99=9071] 
2025-08-18 00:53:54:087 30 sec: 452283 operations; 15859.4 current ops/sec; est completion in 1 hour 50 minutes [INSERT: Count=158617, Max=11719, Min=531, Avg=2009.2, 90=2679, 99=3779, 99.9=6339, 99.99=9031] 
2025-08-18 00:54:04:084 40 sec: 606820 operations; 15453.7 current ops/sec; est completion in 1 hour 49 minutes [INSERT: Count=154514, Max=12119, Min=524, Avg=2061.6, 90=2719, 99=3769, 99.9=6211, 99.99=8463] 
2025-08-18 00:54:14:083 50 sec: 763466 operations; 15664.6 current ops/sec; est completion in 1 hour 48 minutes [INSERT: Count=156644, Max=9119, Min=573, Avg=2036.47, 90=2707, 99=3781, 99.9=5807, 99.99=7579] 
2025-08-18 00:54:24:083 60 sec: 921084 operations; 15761.8 current ops/sec; est completion in 1 hour 47 minutes [INSERT: Count=157616, Max=9375, Min=559, Avg=2023.85, 90=2695, 99=3737, 99.9=5771, 99.99=7859] 
2025-08-18 00:54:34:084 70 sec: 1074196 operations; 15311.2 current ops/sec; est completion in 1 hour 47 minutes [INSERT: Count=153113, Max=9335, Min=536, Avg=2083.82, 90=2751, 99=3727, 99.9=5731, 99.99=8083] 
2025-08-18 00:54:44:083 80 sec: 1234132 operations; 15993.6 current ops/sec; est completion in 1 hour 46 minutes [INSERT: Count=159942, Max=8359, Min=563, Avg=1994.13, 90=2661, 99=3681, 99.9=4927, 99.99=6399] 
2025-08-18 00:54:54:083 90 sec: 1386620 operations; 15248.8 current ops/sec; est completion in 1 hour 46 minutes [INSERT: Count=152486, Max=7419, Min=551, Avg=2093.49, 90=2743, 99=3689, 99.9=4999, 99.99=6551] 
2025-08-18 00:55:04:083 100 sec: 1545967 operations; 15934.7 current ops/sec; est completion in 1 hour 46 minutes [INSERT: Count=159342, Max=9199, Min=544, Avg=2001.96, 90=2669, 99=3687, 99.9=5783, 99.99=8375] 
2025-08-18 00:55:14:083 110 sec: 1699694 operations; 15372.7 current ops/sec; est completion in 1 hour 46 minutes [INSERT: Count=153725, Max=9951, Min=501, Avg=2075.68, 90=2727, 99=3665, 99.9=4995, 99.99=7871] 
2025-08-18 00:55:24:083 120 sec: 1858030 operations; 15833.6 current ops/sec; est completion in 1 hour 45 minutes [INSERT: Count=158338, Max=9023, Min=518, Avg=2015.98, 90=2685, 99=3645, 99.9=5019, 99.99=7659] 
2025-08-18 00:55:34:083 130 sec: 2017692 operations; 15966.2 current ops/sec; est completion in 1 hour 45 minutes [INSERT: Count=159665, Max=9735, Min=534, Avg=1998.98, 90=2671, 99=3665, 99.9=5083, 99.99=7455] 
2025-08-18 00:55:44:083 140 sec: 2177643 operations; 15995.1 current ops/sec; est completion in 1 hour 44 minutes [INSERT: Count=159948, Max=11975, Min=512, Avg=1995.63, 90=2667, 99=3675, 99.9=5271, 99.99=7975] 
2025-08-18 00:55:54:083 150 sec: 2337106 operations; 15946.3 current ops/sec; est completion in 1 hour 44 minutes [INSERT: Count=159462, Max=7691, Min=499, Avg=2001.56, 90=2679, 99=3689, 99.9=5171, 99.99=6739] 
2025-08-18 00:56:04:083 160 sec: 2497400 operations; 16029.4 current ops/sec; est completion in 1 hour 44 minutes [INSERT: Count=160293, Max=8327, Min=555, Avg=1991.27, 90=2663, 99=3661, 99.9=5103, 99.99=6775] 
2025-08-18 00:56:14:083 170 sec: 2657904 operations; 16050.4 current ops/sec; est completion in 1 hour 43 minutes [INSERT: Count=160509, Max=8863, Min=504, Avg=1988.71, 90=2669, 99=3659, 99.9=5039, 99.99=7911] 
2025-08-18 00:56:24:083 180 sec: 2817903 operations; 15999.9 current ops/sec; est completion in 1 hour 43 minutes [INSERT: Count=159994, Max=16543, Min=539, Avg=1994.36, 90=2667, 99=3663, 99.9=5123, 99.99=7655] 
2025-08-18 00:56:34:083 190 sec: 2976287 operations; 15838.4 current ops/sec; est completion in 1 hour 43 minutes [INSERT: Count=158385, Max=11255, Min=548, Avg=2014.41, 90=2685, 99=3717, 99.9=5759, 99.99=8187] 
2025-08-18 00:56:44:083 200 sec: 3135375 operations; 15908.8 current ops/sec; est completion in 1 hour 42 minutes [INSERT: Count=159090, Max=10879, Min=512, Avg=2006.06, 90=2673, 99=3651, 99.9=5007, 99.99=7887] 
2025-08-18 00:56:54:083 210 sec: 3295272 operations; 15989.7 current ops/sec; est completion in 1 hour 42 minutes [INSERT: Count=159899, Max=9927, Min=488, Avg=1996.11, 90=2671, 99=3689, 99.9=5355, 99.99=7599] 
2025-08-18 00:57:04:083 220 sec: 3455204 operations; 15993.2 current ops/sec; est completion in 1 hour 42 minutes [INSERT: Count=159927, Max=9015, Min=457, Avg=1995.69, 90=2667, 99=3667, 99.9=5039, 99.99=6959] 
2025-08-18 00:57:14:083 230 sec: 3615298 operations; 16009.4 current ops/sec; est completion in 1 hour 42 minutes [INSERT: Count=160095, Max=9703, Min=534, Avg=1993.76, 90=2661, 99=3645, 99.9=5083, 99.99=7239] 
2025-08-18 00:57:24:083 240 sec: 3770255 operations; 15495.7 current ops/sec; est completion in 1 hour 42 minutes [INSERT: Count=154957, Max=9071, Min=555, Avg=2059.98, 90=2717, 99=3671, 99.9=5131, 99.99=7303] 
2025-08-18 00:57:34:083 250 sec: 3929624 operations; 15936.9 current ops/sec; est completion in 1 hour 41 minutes [INSERT: Count=159372, Max=8535, Min=526, Avg=2002.82, 90=2667, 99=3645, 99.9=4975, 99.99=7347] 
2025-08-18 00:57:44:083 260 sec: 4089829 operations; 16020.5 current ops/sec; est completion in 1 hour 41 minutes [INSERT: Count=160201, Max=9543, Min=523, Avg=1992.43, 90=2663, 99=3667, 99.9=5091, 99.99=7779] 
2025-08-18 00:57:54:083 270 sec: 4247941 operations; 15811.2 current ops/sec; est completion in 1 hour 41 minutes [INSERT: Count=158113, Max=13447, Min=512, Avg=2018.8, 90=2689, 99=3683, 99.9=5267, 99.99=10767] 
2025-08-18 00:58:04:083 280 sec: 4406559 operations; 15861.8 current ops/sec; est completion in 1 hour 41 minutes [INSERT: Count=158617, Max=7583, Min=543, Avg=2012.45, 90=2683, 99=3657, 99.9=4839, 99.99=6195] 
2025-08-18 00:58:14:083 290 sec: 4566236 operations; 15967.7 current ops/sec; est completion in 1 hour 41 minutes [INSERT: Count=159681, Max=11247, Min=531, Avg=1998.87, 90=2681, 99=3707, 99.9=5091, 99.99=7579] 
2025-08-18 00:58:24:083 300 sec: 4725605 operations; 15936.9 current ops/sec; est completion in 1 hour 40 minutes [INSERT: Count=159368, Max=11631, Min=513, Avg=2002.08, 90=2671, 99=3669, 99.9=5143, 99.99=9671] 
2025-08-18 00:58:34:083 310 sec: 4885205 operations; 15960 current ops/sec; est completion in 1 hour 40 minutes [INSERT: Count=159597, Max=8727, Min=539, Avg=1999.49, 90=2667, 99=3649, 99.9=4795, 99.99=6695] 
2025-08-18 00:58:44:083 320 sec: 5045314 operations; 16010.9 current ops/sec; est completion in 1 hour 40 minutes [INSERT: Count=160110, Max=8439, Min=466, Avg=1993.15, 90=2663, 99=3653, 99.9=5035, 99.99=7175] 
2025-08-18 00:58:54:083 330 sec: 5203583 operations; 15826.9 current ops/sec; est completion in 1 hour 40 minutes [INSERT: Count=158268, Max=8799, Min=547, Avg=2016.77, 90=2691, 99=3679, 99.9=5175, 99.99=8239] 
2025-08-18 00:59:04:083 340 sec: 5364062 operations; 16047.9 current ops/sec; est completion in 1 hour 39 minutes [INSERT: Count=160480, Max=8719, Min=542, Avg=1989.07, 90=2669, 99=3683, 99.9=5015, 99.99=7091] 
2025-08-18 00:59:14:083 350 sec: 5524265 operations; 16020.3 current ops/sec; est completion in 1 hour 39 minutes [INSERT: Count=160207, Max=12367, Min=538, Avg=1992.38, 90=2663, 99=3667, 99.9=4983, 99.99=10135] 
