/usr/bin/java -Xmx64G -XX:MaxDirectMemorySize=64G -classpath /root/YCSB/conf:/root/YCSB/core/target/core-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/rocksdb-binding-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/dependency/HdrHistogram-2.1.4.jar:/root/YCSB/rocksdb/target/dependency/animal-sniffer-annotations-1.19.jar:/root/YCSB/rocksdb/target/dependency/annotations-4.1.1.4.jar:/root/YCSB/rocksdb/target/dependency/checker-compat-qual-2.5.5.jar:/root/YCSB/rocksdb/target/dependency/error_prone_annotations-2.4.0.jar:/root/YCSB/rocksdb/target/dependency/failureaccess-1.0.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-api-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-context-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-core-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-netty-shaded-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-lite-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-stub-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/gson-2.8.6.jar:/root/YCSB/rocksdb/target/dependency/guava-30.0-android.jar:/root/YCSB/rocksdb/target/dependency/htrace-core4-4.1.0-incubating.jar:/root/YCSB/rocksdb/target/dependency/j2objc-annotations-1.3.jar:/root/YCSB/rocksdb/target/dependency/jcip-annotations-1.0.jar:/root/YCSB/rocksdb/target/dependency/jsr305-3.0.2.jar:/root/YCSB/rocksdb/target/dependency/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar:/root/YCSB/rocksdb/target/dependency/perfmark-api-0.23.0.jar:/root/YCSB/rocksdb/target/dependency/proto-google-common-protos-2.0.1.jar:/root/YCSB/rocksdb/target/dependency/protobuf-java-3.12.0.jar:/root/YCSB/rocksdb/target/dependency/rocksdbjni-6.14.0.jar:/root/YCSB/rocksdb/target/dependency/slf4j-api-1.7.25.jar:/root/YCSB/rocksdb/target/dependency/slf4j-simple-1.7.25.jar site.ycsb.Client -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadd -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=2 -p status.interval=10000 -p target=120000 -threads 32
Command line: -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadd -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=2 -p status.interval=10000 -p target=120000 -threads 32
threadcount: 32
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
 (might take a few minutes for large data sets)
Starting test.
[Thread-2] INFO site.ycsb.db.rocksdb.RocksDBClient - RocksDB data dir: null
2025-08-18 15:20:16:378 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2025-08-18 15:20:26:355 10 sec: 133988 operations; 13397.46 current ops/sec; est completion in 2 hours 4 minutes [INSERT: Count=134002, Max=481791, Min=619, Avg=2286.52, 90=2843, 99=4279, 99.9=17215, 99.99=481023] 
2025-08-18 15:20:36:355 20 sec: 290851 operations; 15687.87 current ops/sec; est completion in 1 hour 54 minutes [INSERT: Count=156852, Max=9095, Min=553, Avg=2023.13, 90=2695, 99=3815, 99.9=6183, 99.99=8439] 
2025-08-18 15:20:46:355 30 sec: 447317 operations; 15646.6 current ops/sec; est completion in 1 hour 51 minutes [INSERT: Count=156470, Max=9583, Min=555, Avg=2035.2, 90=2703, 99=3841, 99.9=6971, 99.99=8703] 
2025-08-18 15:20:56:355 40 sec: 600550 operations; 15323.3 current ops/sec; est completion in 1 hour 50 minutes [INSERT: Count=153231, Max=16719, Min=561, Avg=2081.25, 90=2735, 99=3797, 99.9=6091, 99.99=13511] 
2025-08-18 15:21:06:355 50 sec: 755813 operations; 15526.3 current ops/sec; est completion in 1 hour 49 minutes [INSERT: Count=155260, Max=9919, Min=496, Avg=2053.62, 90=2715, 99=3813, 99.9=6431, 99.99=8415] 
2025-08-18 15:21:16:355 60 sec: 912432 operations; 15661.9 current ops/sec; est completion in 1 hour 48 minutes [INSERT: Count=156623, Max=8823, Min=533, Avg=2037.32, 90=2711, 99=3839, 99.9=5895, 99.99=7443] 
2025-08-18 15:21:26:355 70 sec: 1063089 operations; 15064.19 current ops/sec; est completion in 1 hour 48 minutes [INSERT: Count=150657, Max=10127, Min=545, Avg=2117.27, 90=2779, 99=3739, 99.9=5423, 99.99=8919] 
2025-08-18 15:21:36:355 80 sec: 1221639 operations; 15856.59 current ops/sec; est completion in 1 hour 47 minutes [INSERT: Count=158547, Max=8743, Min=554, Avg=2012.94, 90=2685, 99=3727, 99.9=5395, 99.99=7323] 
2025-08-18 15:21:46:355 90 sec: 1372561 operations; 15092.2 current ops/sec; est completion in 1 hour 47 minutes [INSERT: Count=150920, Max=9703, Min=520, Avg=2115.03, 90=2767, 99=3723, 99.9=5219, 99.99=7719] 
2025-08-18 15:21:56:358 100 sec: 1529370 operations; 15679.33 current ops/sec; est completion in 1 hour 47 minutes [INSERT: Count=156838, Max=8263, Min=536, Avg=2034.21, 90=2699, 99=3723, 99.9=5019, 99.99=7143] 
2025-08-18 15:22:06:355 110 sec: 1682247 operations; 15289.23 current ops/sec; est completion in 1 hour 47 minutes [INSERT: Count=152852, Max=8415, Min=567, Avg=2087.25, 90=2745, 99=3733, 99.9=5115, 99.99=6931] 
2025-08-18 15:22:16:355 120 sec: 1839104 operations; 15685.7 current ops/sec; est completion in 1 hour 46 minutes [INSERT: Count=156853, Max=10183, Min=518, Avg=2034.94, 90=2703, 99=3709, 99.9=5163, 99.99=7755] 
2025-08-18 15:22:26:355 130 sec: 1996737 operations; 15761.72 current ops/sec; est completion in 1 hour 46 minutes [INSERT: Count=157638, Max=14855, Min=502, Avg=2023.35, 90=2695, 99=3693, 99.9=5503, 99.99=8319] 
2025-08-18 15:22:36:355 140 sec: 2154943 operations; 15822.18 current ops/sec; est completion in 1 hour 45 minutes [INSERT: Count=158202, Max=9799, Min=508, Avg=2017.25, 90=2687, 99=3699, 99.9=5147, 99.99=8327] 
