"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node2.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","30 Apr 2025 08:12:32 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
14.082,1.482,83.609,0.827,0,12.707,1.351,84.828,1.115,0,14.244,1.295,83.234,1.227,0,16.148,1.463,80.907,1.482,0,76092213.720,266429863.217,30-04 08:12:32
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,61440,4096,30-04 08:12:33
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,30-04 08:12:34
62.500,9.375,10.417,17.708,0,63.636,9.091,10.101,17.172,0,64.583,6.250,10.417,18.750,0,61.765,10.784,10.784,16.667,0,232152064,0,30-04 08:12:35
81.188,11.881,0,6.931,0,81.443,10.309,0,8.247,0,78.125,14.583,0,7.292,0,76.042,16.667,0,7.292,0,281879552,630784,30-04 08:12:36
77.551,14.286,0,8.163,0,82.292,9.375,0,8.333,0,84,8,0,8,0,80.412,11.340,0,8.247,0,272585728,53248,30-04 08:12:37
77.670,15.534,0,6.796,0,81.188,11.881,0,6.931,0,79.412,13.725,0,6.863,0,82.474,10.309,0,7.216,0,268271104,86016,30-04 08:12:38
82.828,13.131,0,4.040,0,83.333,12.745,0,3.922,0,82,14,0,4,0,81.633,14.286,0,4.082,0,268022784,0,30-04 08:12:39
80.198,13.861,0.990,4.950,0,83,12,0,5,0,78.218,15.842,0,5.941,0,82.653,11.224,0,6.122,0,263379456,0,30-04 08:12:40
82,12,0,6,0,79.412,14.706,0,5.882,0,80,15,0,5,0,86,9,0,5,0,262518784,0,30-04 08:12:41
85.567,10.309,0,4.124,0,79.592,16.327,0,4.082,0,79.381,15.464,0,5.155,0,83.168,11.881,0,4.950,0,249390592,958464,30-04 08:12:42
