"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node3.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","30 Apr 2025 07:52:10 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
0.032,1.302,98.652,0.014,0,0.008,0.339,99.653,0,0,0.048,0.135,99.813,0.004,0,0.012,0.090,99.898,0,0,456561.828,87032.187,30-04 07:52:10
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,917504,0,30-04 07:52:11
35.714,6.122,58.163,0,0,38.614,5.941,55.446,0,0,37.755,4.082,58.163,0,0,36,7,57,0,0,98304,491520,30-04 07:52:12
69.388,7.143,20.408,3.061,0,63,8,28,1,0,63.636,6.061,30.303,0,0,54.545,10.101,35.354,0,0,1211392,199204352,30-04 07:52:13
47.959,5.102,45.918,1.020,0,52.525,5.051,42.424,0,0,48.515,5.941,45.545,0,0,47.525,2.970,49.505,0,0,1792000,5870080,30-04 07:52:14
38.384,6.061,55.556,0,0,56.566,5.051,38.384,0,0,56,4,34,6,0,44,4,52,0,0,2713600,204664832,30-04 07:52:15
52.525,3.030,44.444,0,0,56,6,38,0,0,49.495,5.051,45.455,0,0,42.857,4.082,53.061,0,0,0,0,30-04 07:52:16
52.525,5.051,41.414,1.010,0,38.384,4.040,57.576,0,0,49.505,6.931,38.614,4.950,0,47.525,6.931,41.584,3.960,0,2698752,204627968,30-04 07:52:17
58.586,4.040,36.364,1.010,0,47.059,2.941,47.059,2.941,0,44.898,2.041,50,3.061,0,55.446,3.960,38.614,1.980,0,29064704,205570048,30-04 07:52:18
58,5,36,1,0,60.606,6.061,32.323,1.010,0,76,5,14,5,0,68.687,6.061,24.242,1.010,0,166514176,136437760,30-04 07:52:19
