"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node1.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","30 Apr 2025 09:19:46 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
9.684,1.018,88.539,0.759,0,10.052,1.065,88.035,0.848,0,11.169,1.069,86.720,1.041,0,10.053,1.019,88.022,0.906,0,37239568.796,81665882.386,30-04 09:19:46
0,2.041,97.959,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,3043328,30-04 09:19:47
1,1,98,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,1544192,30-04 09:19:48
0,0,100,0,0,0,0.990,99.010,0,0,0,0.990,99.010,0,0,0,0,100,0,0,0,57344,30-04 09:19:49
71.717,7.071,21.212,0,0,70.408,9.184,20.408,0,0,76.768,8.081,15.152,0,0,71.717,7.071,21.212,0,0,0,0,30-04 09:19:50
50,7,43,0,0,56,6,38,0,0,46.465,4.040,48.485,1.010,0,53.922,9.804,31.373,4.902,0,2688512,204996608,30-04 09:19:51
49.505,7.921,42.574,0,0,52.525,6.061,41.414,0,0,57,5,38,0,0,51.546,4.124,44.330,0,0,0,0,30-04 09:19:52
49,7,38,6,0,57.843,4.902,36.275,0.980,0,53,5,42,0,0,48.039,5.882,44.118,1.961,0,2689024,204623872,30-04 09:19:53
52.083,8.333,37.500,2.083,0,52.525,7.071,37.374,3.030,0,51,5,43,1,0,48.980,4.082,46.939,0,0,2689536,204632064,30-04 09:19:54
52.041,3.061,44.898,0,0,48.544,4.854,46.602,0,0,45.545,5.941,48.515,0,0,46.465,4.040,49.495,0,0,0,0,30-04 09:19:55
62.245,6.122,30.612,1.020,0,63.636,5.051,28.283,3.030,0,64.583,6.250,22.917,6.250,0,67.647,5.882,22.549,3.922,0,103315456,272871424,30-04 09:19:56
75,8,15,2,0,64,11,25,0,0,67.347,7.143,22.449,3.061,0,76.531,6.122,16.327,1.020,0,157224448,136400896,30-04 09:19:57
49.495,6.061,30.303,14.141,0,48.980,4.082,36.735,10.204,0,48.980,5.102,33.673,12.245,0,48.485,5.051,41.414,5.051,0,15638528,818352128,30-04 09:19:58
60.204,5.102,28.571,6.122,0,47.959,3.061,47.959,1.020,0,51,4,44,1,0,53,4,43,0,0,2690560,204623872,30-04 09:19:59
50.505,5.051,44.444,0,0,53.061,7.143,39.796,0,0,48.980,3.061,47.959,0,0,56.701,3.093,40.206,0,0,0,0,30-04 09:20:00
51.546,7.216,36.082,5.155,0,48.515,5.941,41.584,3.960,0,55.556,6.061,38.384,0,0,51.515,5.051,43.434,0,0,2688512,204632064,30-04 09:20:01
60.606,6.061,29.293,4.040,0,46.535,7.921,44.554,0.990,0,43.137,7.843,49.020,0,0,58.824,4.902,36.275,0,0,12278272,143265280,30-04 09:20:02
57.143,5.102,36.735,1.020,0,62,4,33,1,0,70.833,4.167,22.917,2.083,0,68,5,24,3,0,166487040,197825024,30-04 09:20:03
67.327,5.941,18.812,7.921,0,76,6,18,0,0,70,9,19,2,0,65.979,7.216,22.680,4.124,0,148407296,341032960,30-04 09:20:04
63.265,5.102,31.633,0,0,70,6,21,3,0,66.667,7.071,22.222,4.040,0,62.626,6.061,28.283,3.030,0,135288832,330669568,30-04 09:20:05
51,6,36,7,0,51.020,5.102,33.673,10.204,0,48.485,6.061,33.333,12.121,0,45.361,5.155,36.082,13.402,0,15358976,1033220608,30-04 09:20:06
