"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node3.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","30 Apr 2025 09:33:05 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
12.505,1.309,85.236,0.950,0,12.776,1.283,84.408,1.532,0,12.478,1.210,85.179,1.133,0,12.201,1.200,85.281,1.318,0,52602986.707,142108112.677,30-04 09:33:05
0,1,99,0,0,1.980,1.980,96.040,0,0,4,1,95,0,0,0,0,100,0,0,8192,4096,30-04 09:33:06
20.202,3.030,25.253,51.515,0,19,5,24,52,0,21.212,2.020,25.253,51.515,0,17.708,3.125,25,54.167,0,136413696,1667072,30-04 09:33:07
21.978,4.396,0,73.626,0,27.273,5.051,0,67.677,0,24.211,5.263,0,70.526,0,22.680,8.247,0,69.072,0,177349120,0,30-04 09:33:08
44.792,9.375,0,45.833,0,45.918,8.163,1.020,44.898,0,48.454,4.124,1.031,46.392,0,42.268,11.340,0,46.392,0,222475264,45056,30-04 09:33:09
29.592,5.102,6.122,59.184,0,33.663,5.941,0,60.396,0,31.250,5.208,2.083,61.458,0,31.250,4.167,4.167,60.417,0,156279808,0,30-04 09:33:10
48.485,9.091,0,42.424,0,46.535,9.901,0.990,42.574,0,47.525,9.901,0,42.574,0,46.392,9.278,0,44.330,0,212240384,1011712,30-04 09:33:11
26.374,4.396,0,69.231,0,29.474,5.263,0,65.263,0,26.316,7.368,0,66.316,0,27.835,7.216,0,64.948,0,165994496,0,30-04 09:33:12
52.381,6.667,0.952,40,0,50,5.208,0,44.792,0,44.565,8.696,0,46.739,0,48.454,8.247,0,43.299,0,206140928,225280,30-04 09:33:13
28.571,3.297,0,68.132,0,27.957,4.301,1.075,66.667,0,29.897,6.186,0,63.918,0,26.596,6.383,1.064,65.957,0,164172800,0,30-04 09:33:14
49.495,8.081,0,42.424,0,46.939,8.163,0,44.898,0,46.465,9.091,1.010,43.434,0,51.020,5.102,0,43.878,0,206770688,0,30-04 09:33:15
30.526,4.211,5.263,60,0,29.474,6.316,3.158,61.053,0,34.343,5.051,0,60.606,0,35,3,2,60,0,155341824,69632,30-04 09:33:16
50,8.824,0,41.176,0,46.316,8.421,1.053,44.211,0,52.525,5.051,0,42.424,0,48.515,9.901,0,41.584,0,205969408,0,30-04 09:33:17
28.421,4.211,6.316,61.053,0,32.990,4.124,0,62.887,0,32.323,6.061,2.020,59.596,0,29.787,4.255,4.255,61.702,0,155166720,0,30-04 09:33:18
50.526,6.316,0,43.158,0,49.495,8.081,0,42.424,0,48.454,8.247,0,43.299,0,50,8.163,0,41.837,0,207702016,20480,30-04 09:33:19
30.928,5.155,1.031,62.887,0,34.653,4.950,0,60.396,0,32.323,5.051,1.010,61.616,0,28.090,3.371,0,68.539,0,161262080,0,30-04 09:33:20
51.546,6.186,3.093,39.175,0,50.538,6.452,2.151,40.860,0,54,6,4,36,0,54.639,5.155,0,40.206,0,196419584,1916928,30-04 09:33:21
33.333,3.125,1.042,62.500,0,36.275,2.941,0.980,59.804,0,31.250,6.250,0,62.500,0,36.275,2.941,0.980,59.804,0,161240576,12288,30-04 09:33:22
52.632,5.263,0,42.105,0,54.808,6.731,0,38.462,0,53.608,4.124,0,42.268,0,48.913,7.609,0,43.478,0,203916288,0,30-04 09:33:23
32.653,5.102,5.102,57.143,0,34.694,5.102,2.041,58.163,0,33,5,5,57,0,37.755,2.041,2.041,58.163,0,154123264,0,30-04 09:33:24
51,8,0,41,0,49.495,8.081,0,42.424,0,48.387,7.527,0,44.086,0,51.515,7.071,1.010,40.404,0,204618752,4096,30-04 09:33:25
37,3,0,60,0,31.313,7.071,1.010,60.606,0,32.292,4.167,1.042,62.500,0,35.922,4.854,0,59.223,0,159756800,49152,30-04 09:33:26
53.535,4.040,1.010,41.414,0,50.505,7.071,1.010,41.414,0,49.485,7.216,2.062,41.237,0,49.462,6.452,1.075,43.011,0,199269888,0,30-04 09:33:27
34.375,3.125,1.042,61.458,0,32.979,3.191,0,63.830,0,32.653,5.102,1.020,61.224,0,33.673,4.082,0,62.245,0,162953728,12288,30-04 09:33:28
55.882,3.922,3.922,36.275,0,49.485,6.186,3.093,41.237,0,56.311,4.854,0,38.835,0,46.939,8.163,6.122,38.776,0,195335168,0,30-04 09:33:29
34.737,4.211,0,61.053,0,34.409,3.226,0,62.366,0,31.915,6.383,0,61.702,0,37.374,2.020,1.010,59.596,0,165615104,0,30-04 09:33:30
49.485,7.216,0,43.299,0,47.917,7.292,0,44.792,0,51.042,5.208,1.042,42.708,0,51.546,4.124,0,44.330,0,198848000,32768,30-04 09:33:31
34.343,6.061,4.040,55.556,0,36.364,5.051,2.020,56.566,0,31.579,5.263,6.316,56.842,0,33.333,5.376,0,61.290,0,157166592,1802240,30-04 09:33:32
50.526,5.263,0,44.211,0,51.020,6.122,1.020,41.837,0,48.421,6.316,0,45.263,0,50,5.208,1.042,43.750,0,200369152,0,30-04 09:33:33
33.684,4.211,1.053,61.053,0,34.694,4.082,0,61.224,0,35.644,5.941,0.990,57.426,0,36,4,0,60,0,163514880,12288,30-04 09:33:34
52.577,4.124,1.031,42.268,0,55.556,4.040,1.010,39.394,0,48.958,7.292,0,43.750,0,50,6,2,42,0,195217408,0,30-04 09:33:35
32.292,5.208,1.042,61.458,0,35.294,5.882,0.980,57.843,0,35.052,3.093,1.031,60.825,0,36.893,4.854,0.971,57.282,0,163151360,36864,30-04 09:33:36
54.255,3.191,2.128,40.426,0,47.368,8.421,4.211,40,0,50.505,7.071,3.030,39.394,0,50.515,7.216,1.031,41.237,0,192652288,4096,30-04 09:33:37
32.653,6.122,1.020,60.204,0,38,2,1,59,0,31.250,7.292,1.042,60.417,0,35.354,5.051,1.010,58.586,0,162063872,0,30-04 09:33:38
48.980,9.184,0,41.837,0,54.545,4.040,0,41.414,0,52.041,6.122,0,41.837,0,54.545,5.051,0,40.404,0,200096256,0,30-04 09:33:39
37.895,2.105,3.158,56.842,0,33.673,6.122,6.122,54.082,0,37,4,3,56,0,33.684,4.211,2.105,60,0,155348480,36864,30-04 09:33:40
52.475,6.931,0.990,39.604,0,51.961,5.882,0.980,41.176,0,50.515,6.186,0,43.299,0,51.042,5.208,0,43.750,0,198876160,28672,30-04 09:33:41
36.893,5.825,0.971,56.311,0,39.604,2.970,0.990,56.436,0,36.364,4.040,1.010,58.586,0,36.364,4.040,1.010,58.586,0,164601856,1843200,30-04 09:33:42
47.872,6.383,2.128,43.617,0,51.546,5.155,0,43.299,0,45.652,7.609,3.261,43.478,0,53.608,3.093,0,43.299,0,193428992,307200,30-04 09:33:43
39.604,2.970,0.990,56.436,0,36,6,1,57,0,36.364,4.040,1.010,58.586,0,37.755,2.041,1.020,59.184,0,165532160,0,30-04 09:33:44
51.579,3.158,3.158,42.105,0,44.565,6.522,6.522,42.391,0,49.485,5.155,1.031,44.330,0,53.398,3.883,1.942,40.777,0,189976064,0,30-04 09:33:45
39,5,1,55,0,36.082,6.186,0,57.732,0,39.175,3.093,0,57.732,0,38.384,6.061,1.010,54.545,0,168919040,49152,30-04 09:33:46
49.485,5.155,0,45.361,0,51,5,1,43,0,44.211,9.474,1.053,45.263,0,50.505,5.051,0,44.444,0,195390464,0,30-04 09:33:47
39,6,2,53,0,38.947,1.053,4.211,55.789,0,39.806,4.854,1.942,53.398,0,34.375,4.167,5.208,56.250,0,158053888,0,30-04 09:33:48
51.042,4.167,0,44.792,0,48.454,7.216,0,44.330,0,50.515,6.186,0,43.299,0,48.980,5.102,1.020,44.898,0,197902848,4096,30-04 09:33:49
37.113,4.124,1.031,57.732,0,39,3,1,57,0,38.776,3.061,1.020,57.143,0,36.458,5.208,0,58.333,0,168800768,0,30-04 09:33:50
