"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node1.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","30 Apr 2025 09:56:08 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
14.053,1.405,81.952,2.590,0,14.754,1.500,80.749,2.998,0,16.800,1.609,78.347,3.244,0,14.607,1.483,80.450,3.460,0,65315323.034,172989970.678,30-04 09:56:08
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,4096,30-04 09:56:09
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,30-04 09:56:10
6.186,1.031,71.134,21.649,0,9.091,0,69.697,21.212,0,8.081,0,69.697,22.222,0,8.911,1.980,68.317,20.792,0,56137728,65536,30-04 09:56:11
21.111,4.444,0,74.444,0,24.242,8.081,0,67.677,0,23.469,8.163,0,68.367,0,23.958,6.250,0,69.792,0,176099840,0,30-04 09:56:12
25.532,4.255,0,70.213,0,23.404,4.255,1.064,71.277,0,24.468,4.255,1.064,70.213,0,22.917,7.292,0,69.792,0,175448576,2007040,30-04 09:56:13
27.184,7.767,2.913,62.136,0,28.866,4.124,0,67.010,0,23.711,7.216,4.124,64.948,0,23.711,6.186,6.186,63.918,0,166169600,0,30-04 09:56:14
31.373,3.922,0,64.706,0,26.316,3.158,1.053,69.474,0,27.835,4.124,0,68.041,0,23.656,5.376,0,70.968,0,173955072,0,30-04 09:56:15
28,6,1,65,0,25.510,7.143,0,67.347,0,23.404,5.319,1.064,70.213,0,23.711,7.216,1.031,68.041,0,174066176,0,30-04 09:56:16
23.958,7.292,4.167,64.583,0,24.731,4.301,1.075,69.892,0,28.283,6.061,2.020,63.636,0,28,5,5,62,0,165575680,12288,30-04 09:56:17
26.531,7.143,0,66.327,0,29,5,0,66,0,30.769,5.769,0,63.462,0,24.468,5.319,1.064,69.149,0,172095488,974848,30-04 09:56:18
27.551,6.122,0,66.327,0,29,5,0,66,0,28.283,6.061,0,65.657,0,26.531,7.143,0,66.327,0,171532800,0,30-04 09:56:19
25.275,3.297,4.396,67.033,0,29.808,5.769,5.769,58.654,0,28.713,6.931,0.990,63.366,0,29.293,5.051,2.020,63.636,0,163947520,4096,30-04 09:56:20
29.412,4.902,0.980,64.706,0,23.913,4.348,0,71.739,0,30,5,0,65,0,25.532,4.255,1.064,69.149,0,171668480,0,30-04 09:56:21
24.731,6.452,0,68.817,0,24.731,4.301,1.075,69.892,0,26.804,6.186,0,67.010,0,29.703,4.950,0,65.347,0,171095552,0,30-04 09:56:22
