"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node2.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","30 Apr 2025 09:40:09 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
13.362,1.347,82.600,2.691,0,12.854,1.302,82.934,2.910,0,13.665,1.343,82.078,2.914,0,13.904,1.372,81.492,3.233,0,56233777.557,133114048.736,30-04 09:40:09
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,4096,30-04 09:40:10
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,1343488,30-04 09:40:11
47.917,6.250,45.833,0,0,48.980,7.143,43.878,0,0,48.454,6.186,45.361,0,0,49,5,46,0,0,0,2273280,30-04 09:40:12
69.388,9.184,19.388,2.041,0,55.670,7.216,32.990,4.124,0,60.204,8.163,31.633,0,0,62.626,6.061,30.303,1.010,0,2689024,204976128,30-04 09:40:13
48.485,4.040,47.475,0,0,49,8,43,0,0,45.918,7.143,46.939,0,0,54.545,8.081,37.374,0,0,0,0,30-04 09:40:14
42.424,7.071,50.505,0,0,54.545,7.071,34.343,4.040,0,49,7,40,4,0,47,8,45,0,0,2689024,204623872,30-04 09:40:15
52.041,2.041,45.918,0,0,49.505,4.950,45.545,0,0,60,5,33,2,0,55.556,5.051,39.394,0,0,896512,90775040,30-04 09:40:16
49.505,5.941,43.564,0.990,0,39.394,4.040,54.545,2.020,0,48.485,5.051,43.434,3.030,0,44.554,9.901,45.545,0,0,1794048,114835968,30-04 09:40:17
