"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node1.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","30 Apr 2025 22:12:11 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
8.223,0.798,89.142,1.837,0,8.688,0.827,88.443,2.041,0,8.554,0.809,88.577,2.060,0,9.028,0.839,87.947,2.186,0,35899284.104,93964148.632,30-04 22:12:11
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,12288,30-04 22:12:12
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,30-04 22:12:13
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,2334720,30-04 22:12:14
55.446,11.881,19.802,12.871,0,59.406,7.921,19.802,12.871,0,58.163,8.163,20.408,13.265,0,56,11,19,14,0,209176576,0,30-04 22:12:15
79,15,0,6,0,80.198,13.861,0,5.941,0,78.788,16.162,0,5.051,0,81.818,12.121,0,6.061,0,280544256,0,30-04 22:12:16
83.838,11.111,0,5.051,0,85.859,10.101,0,4.040,0,77.670,17.476,0,4.854,0,82.105,13.684,0,4.211,0,278405632,991232,30-04 22:12:17
80,16,0,4,0,82.178,12.871,0,4.950,0,78.788,16.162,0,5.051,0,83.838,11.111,0,5.051,0,269683712,0,30-04 22:12:18
83.673,11.224,1.020,4.082,0,81.188,12.871,0.990,4.950,0,82.828,13.131,0,4.040,0,80.198,13.861,0.990,4.950,0,254827008,12288,30-04 22:12:19
79.592,16.327,0,4.082,0,78.351,17.526,0,4.124,0,84.158,11.881,0,3.960,0,86.869,10.101,0,3.030,0,265538560,0,30-04 22:12:20
82.178,13.861,0,3.960,0,82.178,13.861,0,3.960,0,79.798,16.162,0,4.040,0,82.353,13.725,0,3.922,0,262892544,0,30-04 22:12:21
79.208,16.832,0,3.960,0,80,16,0,4,0,85,12,0,3,0,82,14,0,4,0,256691200,995328,30-04 22:12:22
83.673,13.265,0,3.061,0,85.859,10.101,0,4.040,0,83.673,12.245,0,4.082,0,87,10,0,3,0,248527360,0,30-04 22:12:23
84.848,12.121,0,3.030,0,81,16,0,3,0,76.238,19.802,0.990,2.970,0,81,16,0,3,0,256121856,32768,30-04 22:12:24
83.168,12.871,0,3.960,0,85.149,10.891,0,3.960,0,83,13,0,4,0,83,13,0,4,0,250849280,0,30-04 22:12:25
83.673,12.245,0,4.082,0,82.653,13.265,0,4.082,0,84.536,11.340,0,4.124,0,85.149,10.891,0,3.960,0,252402176,0,30-04 22:12:26
85.859,11.111,0,3.030,0,84.158,11.881,0,3.960,0,81,14,0,5,0,80.808,14.141,0,5.051,0,239771136,1138688,30-04 22:12:27
83.838,12.121,0,4.040,0,84.848,12.121,0,3.030,0,83.673,13.265,0,3.061,0,83.673,13.265,0,3.061,0,247073280,0,30-04 22:12:28
83.838,12.121,0,4.040,0,81.818,14.141,0,4.040,0,80,16,0,4,0,85.294,10.784,0,3.922,0,244254208,36864,30-04 22:12:29
