"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node2.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","30 Apr 2025 22:00:04 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
7.819,0.783,89.554,1.844,0,8.265,0.775,88.949,2.012,0,8.199,0.773,88.990,2.038,0,8.092,0.774,89.054,2.080,0,31778281.232,78443681.787,30-04 22:00:04
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,4096,30-04 22:00:05
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,4657152,30-04 22:00:06
25.253,4.040,70.707,0,0,25.510,4.082,70.408,0,0,22.772,7.921,69.307,0,0,29.592,1.020,69.388,0,0,0,0,30-04 22:00:07
64.646,9.091,26.263,0,0,68.367,5.102,26.531,0,0,63.542,10.417,26.042,0,0,67.327,8.911,23.762,0,0,0,0,30-04 22:00:08
53.535,7.071,35.354,4.040,0,53.061,3.061,43.878,0,0,50,7,41,2,0,38.384,9.091,50.505,2.020,0,2688000,204992512,30-04 22:00:09
56,6,34,4,0,58,7,35,0,0,54,6,38,2,0,53.061,7.143,37.755,2.041,0,2689024,204627968,30-04 22:00:10
57,6,37,0,0,54.545,7.071,38.384,0,0,52,7,41,0,0,50,11,39,0,0,0,49152,30-04 22:00:11
56.122,6.122,33.673,4.082,0,52,6,41,1,0,55,6,39,0,0,48,4,46,2,0,2690560,205537280,30-04 22:00:12
53.465,5.941,37.624,2.970,0,53,6,38,3,0,52.041,4.082,43.878,0,0,51.485,5.941,41.584,0.990,0,9284608,97791488,30-04 22:00:13
57,8,33,2,0,68.317,3.960,24.752,2.970,0,74.510,5.882,16.667,2.941,0,59,4,33,4,0,163210240,243282432,30-04 22:00:14
58,7,23,12,0,58,7,21,14,0,60.825,3.093,35.052,1.031,0,63,8,16,13,0,95553024,731201024,30-04 22:00:15
37.374,4.040,54.545,4.040,0,51.020,5.102,40.816,3.061,0,49.495,3.030,45.455,2.020,0,44.118,3.922,50.980,0.980,0,8132608,155582976,30-04 22:00:16
43.878,4.082,50,2.041,0,53,3,41,3,0,53,2,44,1,0,49,6,44,1,0,2690048,205557760,30-04 22:00:17
45.455,3.030,51.515,0,0,44,5,49,2,0,52.041,6.122,40.816,1.020,0,52.041,3.061,41.837,3.061,0,1792000,204640256,30-04 22:00:18
44.898,2.041,53.061,0,0,51.020,2.041,46.939,0,0,42.574,4.950,52.475,0,0,52.041,1.020,46.939,0,0,896000,45056,30-04 22:00:19
58,11,25,6,0,49.505,5.941,44.554,0,0,66.337,5.941,25.743,1.980,0,62.626,6.061,27.273,4.040,0,82353152,272830464,30-04 22:00:20
75.510,6.122,12.245,6.122,0,64.948,2.062,32.990,0,0,64.356,4.950,30.693,0,0,62.245,5.102,31.633,1.020,0,154102272,136445952,30-04 22:00:21
65.657,6.061,27.273,1.010,0,70,4,22,4,0,75.490,6.863,15.686,1.961,0,63,5,28,4,0,156791808,341041152,30-04 22:00:22
59.184,8.163,23.469,9.184,0,59.406,6.931,23.762,9.901,0,60.606,5.051,24.242,10.101,0,59.596,6.061,25.253,9.091,0,70110720,980315648,30-04 22:00:23
47,4,45,4,0,49.505,5.941,43.564,0.990,0,53.465,3.960,38.614,3.960,0,46.465,7.071,42.424,4.040,0,14464512,315453952,30-04 22:00:24
50.505,4.040,44.444,1.010,0,44.444,4.040,47.475,4.040,0,52,2,45,1,0,44.554,6.931,44.554,3.960,0,2688512,204632064,30-04 22:00:25
50.505,3.030,46.465,0,0,56.566,4.040,39.394,0,0,46,2,52,0,0,40.404,5.051,54.545,0,0,0,0,30-04 22:00:26
62,6,30,2,0,66.667,8.081,22.222,3.030,0,59.596,6.061,29.293,5.051,0,58.586,7.071,30.303,4.040,0,154703360,341082112,30-04 22:00:27
70.297,7.921,17.822,3.960,0,64.646,7.071,26.263,2.020,0,70.707,8.081,15.152,6.061,0,64,9,25,2,0,143138816,341065728,30-04 22:00:28
62.887,8.247,27.835,1.031,0,73.267,3.960,19.802,2.970,0,61,3,35,1,0,67.327,3.960,24.752,3.960,0,156165632,208449536,30-04 22:00:29
62.745,6.863,12.745,17.647,0,56.122,6.122,29.592,8.163,0,79.798,7.071,6.061,7.071,0,67.347,7.143,18.367,7.143,0,149193216,1307905536,30-04 22:00:30
55.556,6.061,32.323,6.061,0,49.495,5.051,44.444,1.010,0,54,8,38,0,0,59,7,33,1,0,896512,324829696,30-04 22:00:31
52.041,7.143,39.796,1.020,0,55.446,4.950,34.653,4.950,0,43.878,8.163,41.837,6.122,0,52.041,5.102,42.857,0,0,9231872,136507392,30-04 22:00:32
60.204,2.041,36.735,1.020,0,61.616,8.081,27.273,3.030,0,61,4,30,5,0,48,5,46,1,0,71864832,204664832,30-04 22:00:33
70,5,21,4,0,66.337,5.941,27.723,0,0,61.386,7.921,30.693,0,0,65.979,5.155,25.773,3.093,0,149908480,204644352,30-04 22:00:34
66.667,4.040,29.293,0,0,70.103,5.155,20.619,4.124,0,72.277,6.931,18.812,1.980,0,71,5,16,8,0,148408832,341086208,30-04 22:00:35
66.327,5.102,27.551,1.020,0,69.697,9.091,17.172,4.040,0,72.727,5.051,16.162,6.061,0,68.367,6.122,19.388,6.122,0,148836864,528162304,30-04 22:00:36
67.010,5.155,15.464,12.371,0,62.245,4.082,23.469,10.204,0,73.469,4.082,15.306,7.143,0,66.667,6.061,23.232,4.040,0,163045376,903868928,30-04 22:00:37
68.317,7.921,17.822,5.941,0,72,4,17,7,0,60.204,4.082,23.469,12.245,0,72,5,20,3,0,164371968,763764224,30-04 22:00:38
61.856,3.093,31.959,3.093,0,70.874,6.796,17.476,4.854,0,66.990,4.854,22.330,5.825,0,62.626,7.071,23.232,7.071,0,163181056,600171008,30-04 22:00:39
62,5,23,10,0,62.245,7.143,17.347,13.265,0,53.061,8.163,33.673,5.102,0,69.388,4.082,19.388,7.143,0,169468928,750497792,30-04 22:00:40
65.657,5.051,28.283,1.010,0,76.238,7.921,11.881,3.960,0,68,7,23,2,0,61.224,7.143,27.551,4.082,0,157780992,341049344,30-04 22:00:41
