"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node1.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","30 Apr 2025 21:52:43 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
7.220,0.705,90.845,1.230,0,7.762,0.740,90.076,1.422,0,7.531,0.711,90.356,1.402,0,7.662,0.719,90.126,1.492,0,30655389.269,80504870.198,30-04 21:52:43
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,4096,30-04 21:52:44
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,1683456,30-04 21:52:45
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,30-04 21:52:46
21.429,4.082,21.429,53.061,0,18.947,3.158,23.158,54.737,0,19.792,4.167,18.750,57.292,0,17.021,2.128,26.596,54.255,0,137473024,0,30-04 21:52:47
18.367,2.041,33.673,45.918,0,25,4.808,17.308,52.885,0,20.833,3.125,18.750,57.292,0,19.588,4.124,22.680,53.608,0,135533568,716800,30-04 21:52:48
25.532,5.319,22.340,46.809,0,29.293,5.051,18.182,47.475,0,29.592,4.082,20.408,45.918,0,27.835,5.155,19.588,47.423,0,152759296,90112,30-04 21:52:49
35.417,6.250,13.542,44.792,0,41.176,5.882,7.843,45.098,0,40.594,4.950,11.881,42.574,0,39.604,5.941,11.881,42.574,0,167196160,0,30-04 21:52:50
28.125,3.125,13.542,55.208,0,29,3,19,49,0,26.804,3.093,17.526,52.577,0,27.723,2.970,20.792,48.515,0,132173824,0,30-04 21:52:51
35.106,3.191,17.021,44.681,0,37.624,4.950,15.842,41.584,0,35.789,5.263,14.737,44.211,0,35.052,5.155,20.619,39.175,0,156175872,0,30-04 21:52:52
35.644,4.950,15.842,43.564,0,35.417,4.167,15.625,44.792,0,36.275,4.902,15.686,43.137,0,33.684,5.263,9.474,51.579,0,156994048,0,30-04 21:52:53
23.656,2.151,21.505,52.688,0,25.743,2.970,25.743,45.545,0,28.431,4.902,18.627,48.039,0,26.531,2.041,23.469,47.959,0,126263808,69632,30-04 21:52:54
36.735,4.082,14.286,44.898,0,33.333,7.071,19.192,40.404,0,36.735,4.082,16.327,42.857,0,33.333,7.292,15.625,43.750,0,155257344,0,30-04 21:52:55
37.113,3.093,11.340,48.454,0,38.384,3.030,10.101,48.485,0,26.042,4.167,37.500,32.292,0,32.292,4.167,16.667,46.875,0,147444224,724992,30-04 21:52:56
26.733,4.950,21.782,46.535,0,26.882,3.226,9.677,60.215,0,28.846,3.846,21.154,46.154,0,17.526,3.093,44.330,35.052,0,121714688,0,30-04 21:52:57
36.735,7.143,11.224,44.898,0,32.990,8.247,13.402,45.361,0,42.453,4.717,10.377,42.453,0,31.250,4.167,25,39.583,0,150290944,0,30-04 21:52:58
34.375,5.208,9.375,51.042,0,32.292,5.208,17.708,44.792,0,37.624,3.960,12.871,45.545,0,29.293,4.040,29.293,37.374,0,145339904,28672,30-04 21:52:59
