"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node3.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","30 Apr 2025 21:39:25 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
6.573,0.630,91.662,1.135,0,6.978,0.672,91.100,1.250,0,7.229,0.682,90.724,1.364,0,7.556,0.703,90.295,1.447,0,26286757.104,64068127.815,30-04 21:39:25
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,131072,30-04 21:39:26
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,3969024,30-04 21:39:27
73.469,9.184,17.347,0,0,72.449,10.204,17.347,0,0,74.257,11.881,13.861,0,0,76.471,8.824,14.706,0,0,0,0,30-04 21:39:28
56,8,31,5,0,61,7,32,0,0,54.455,8.911,35.644,0.990,0,50.515,8.247,41.237,0,0,2688512,204984320,30-04 21:39:29
56.863,7.843,35.294,0,0,56,10,31,3,0,43.878,9.184,46.939,0,0,57.143,4.082,37.755,1.020,0,896512,74268672,30-04 21:39:30
53.061,6.122,40.816,0,0,53.535,4.040,41.414,1.010,0,56.311,4.854,37.864,0.971,0,47.475,7.071,44.444,1.010,0,1792512,130420736,30-04 21:39:31
55,8,33,4,0,39.394,5.051,53.535,2.020,0,54,8,36,2,0,50.505,6.061,42.424,1.010,0,2690048,204623872,30-04 21:39:32
43.564,7.921,48.515,0,0,48.039,4.902,47.059,0,0,46.465,5.051,48.485,0,0,57.143,4.082,38.776,0,0,0,0,30-04 21:39:33
54,6,37,3,0,72.449,6.122,18.367,3.061,0,71.287,7.921,17.822,2.970,0,67,4,26,3,0,136857600,272859136,30-04 21:39:34
66.327,5.102,23.469,5.102,0,67.347,7.143,21.429,4.082,0,77.551,4.082,11.224,7.143,0,63.636,6.061,27.273,3.030,0,130293248,459013120,30-04 21:39:35
55.670,3.093,34.021,7.216,0,50,8,37,5,0,46.535,5.941,40.594,6.931,0,46.465,3.030,42.424,8.081,0,9028608,495768576,30-04 21:39:36
50,5,41,4,0,45,6,45,4,0,50,4.082,41.837,4.082,0,52,3,44,1,0,2690560,204627968,30-04 21:39:37
46.939,3.061,50,0,0,55.882,3.922,40.196,0,0,50,3,47,0,0,47.525,3.960,48.515,0,0,0,12288,30-04 21:39:38
53,5,42,0,0,50.505,2.020,47.475,0,0,43.299,4.124,48.454,4.124,0,48.980,4.082,41.837,5.102,0,2689024,204640256,30-04 21:39:39
50.505,4.040,43.434,2.020,0,53,6,39,2,0,48.544,7.767,40.777,2.913,0,58,7,32,3,0,46717440,204664832,30-04 21:39:40
63.636,5.051,30.303,1.010,0,67.010,3.093,28.866,1.031,0,73.196,4.124,21.649,1.031,0,64.286,5.102,29.592,1.020,0,153008640,136413184,30-04 21:39:41
68.687,4.040,25.253,2.020,0,59.184,4.082,31.633,5.102,0,65.306,5.102,27.551,2.041,0,74.490,7.143,12.245,6.122,0,150503936,342355456,30-04 21:39:42
59.184,4.082,29.592,7.143,0,63.636,5.051,27.273,4.040,0,61,6,25,8,0,62,5,32,1,0,112231936,612426240,30-04 21:39:43
46.465,4.040,38.384,11.111,0,45,4,43,8,0,50,3.061,38.776,8.163,0,47.959,6.122,34.694,11.224,0,15360000,750215168,30-04 21:39:44
50,6,41,3,0,50.495,5.941,41.584,1.980,0,37.624,2.970,56.436,2.970,0,51,4,44,1,0,2688512,204627968,30-04 21:39:45
56,0,44,0,0,52.041,1.020,46.939,0,0,11,4,85,0,0,56.122,2.041,41.837,0,0,0,16384,30-04 21:39:46
69.388,6.122,21.429,3.061,0,69.307,4.950,22.772,2.970,0,50.505,4.040,45.455,0,0,50.495,3.960,42.574,2.970,0,117970944,272842752,30-04 21:39:47
77,5,16,2,0,64.286,4.082,28.571,3.061,0,58,6,34,2,0,75.758,4.040,20.202,0,0,157300224,136433664,30-04 21:39:48
62.626,7.071,23.232,7.071,0,64.646,6.061,24.242,5.051,0,53.061,4.082,36.735,6.122,0,64.356,3.960,30.693,0.990,0,145224704,409243648,30-04 21:39:49
66.327,5.102,20.408,8.163,0,61.856,3.093,19.588,15.464,0,65.347,9.901,7.921,16.832,0,66,10,13,11,0,152505856,1282588160,30-04 21:39:50
62,3,34,1,0,75.248,4.950,16.832,2.970,0,62.626,5.051,29.293,3.030,0,59,3,36,2,0,157014016,149516800,30-04 21:39:51
44.898,6.122,35.714,13.265,0,57,4,33,6,0,43.564,5.941,42.574,7.921,0,56,4,34,6,0,19626496,818245632,30-04 21:39:52
50.505,6.061,42.424,1.010,0,47.423,5.155,43.299,4.124,0,53.061,6.122,40.816,0,0,56.566,5.051,35.354,3.030,0,29050368,204607488,30-04 21:39:53
63,6,30,1,0,66,5,27,2,0,64.646,4.040,30.303,1.010,0,75.258,2.062,20.619,2.062,0,158089216,136458240,30-04 21:39:54
62.626,6.061,28.283,3.030,0,62,8,28,2,0,62,9,25,4,0,72.727,4.040,19.192,4.040,0,152610304,341061632,30-04 21:39:55
68.687,4.040,27.273,0,0,66.337,5.941,24.752,2.970,0,67.327,5.941,23.762,2.970,0,69,4,26,1,0,157420032,341000192,30-04 21:39:56
58.586,5.051,15.152,21.212,0,64.646,5.051,12.121,18.182,0,62,8,20,10,0,69.307,5.941,18.812,5.941,0,147417088,1283694080,30-04 21:39:57
69.388,3.061,22.449,5.102,0,69.697,6.061,17.172,7.071,0,69,6,18,7,0,68,9,17,6,0,151097856,544796160,30-04 21:39:58
75.248,5.941,11.881,6.931,0,69.388,4.082,22.449,4.082,0,66.667,4.040,23.232,6.061,0,63.636,9.091,24.242,3.030,0,136111104,691692544,30-04 21:39:59
74.227,8.247,15.464,2.062,0,63.636,8.081,26.263,2.020,0,67.708,7.292,20.833,4.167,0,70.707,4.040,23.232,2.020,0,156883456,383589888,30-04 21:40:00
66.667,7.071,23.232,3.030,0,70,8,20,2,0,82.828,7.071,6.061,4.040,0,69.388,6.122,19.388,5.102,0,149212672,506376704,30-04 21:40:01
64.646,4.040,30.303,1.010,0,71.429,6.122,20.408,2.041,0,58.416,7.921,31.683,1.980,0,72.165,7.216,11.340,9.278,0,165178880,341069824,30-04 21:40:02
66.327,7.143,22.449,4.082,0,71.429,4.082,22.449,2.041,0,74.490,7.143,16.327,2.041,0,77.551,5.102,14.286,3.061,0,150508544,348913152,30-04 21:40:03
65.657,10.101,19.192,5.051,0,70.408,6.122,11.224,12.245,0,60.825,5.155,28.866,5.155,0,58,7,28,7,0,152095744,1156788736,30-04 21:40:04
62.500,4.167,27.083,6.250,0,64.706,5.882,25.490,3.922,0,69.307,5.941,16.832,7.921,0,77,9,9,5,0,171694592,750313472,30-04 21:40:05
66.667,7.071,21.212,5.051,0,55.446,6.931,34.653,2.970,0,76.238,7.921,9.901,5.941,0,67,4,27,2,0,153084928,660131328,30-04 21:40:06
74.257,6.931,9.901,8.911,0,53.061,4.082,41.837,1.020,0,65.306,4.082,25.510,5.102,0,53.535,7.071,38.384,1.010,0,148874240,226587136,30-04 21:40:07
73,9,11,7,0,70.707,5.051,22.222,2.020,0,62,9,26,3,0,71.717,3.030,16.162,9.091,0,165616128,750190592,30-04 21:40:08
66.667,7.071,22.222,4.040,0,65.306,5.102,27.551,2.041,0,70.526,5.263,24.211,0,0,72.277,5.941,20.792,0.990,0,150603264,183681024,30-04 21:40:09
66.667,6.061,26.263,1.010,0,60.204,6.122,32.653,1.020,0,71.429,6.122,14.286,8.163,0,74.490,4.082,19.388,2.041,0,162080256,362078208,30-04 21:40:10
75.510,4.082,18.367,2.041,0,70,6,14,10,0,57,9,26,8,0,69.307,5.941,20.792,3.960,0,145445376,783203840,30-04 21:40:11
69.072,6.186,17.526,7.216,0,65,4,22,9,0,59,5,31,5,0,60,6,27,7,0,154456064,785080832,30-04 21:40:12
73.267,9.901,12.871,3.960,0,73.196,5.155,18.557,3.093,0,65.263,3.158,27.368,4.211,0,60,8,27,5,0,151303680,778509824,30-04 21:40:13
66,5,28,1,0,77.320,5.155,14.433,3.093,0,70.297,6.931,14.851,7.921,0,68,6,17,9,0,150872064,522952704,30-04 21:40:14
65.657,5.051,26.263,3.030,0,67.677,9.091,17.172,6.061,0,68.317,7.921,17.822,5.941,0,64.646,5.051,27.273,3.030,0,163212288,539398144,30-04 21:40:15
