/usr/bin/java -Xmx64G -XX:MaxDirectMemorySize=64G -classpath /root/YCSB/conf:/root/YCSB/core/target/core-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/rocksdb-binding-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/dependency/HdrHistogram-2.1.4.jar:/root/YCSB/rocksdb/target/dependency/animal-sniffer-annotations-1.19.jar:/root/YCSB/rocksdb/target/dependency/annotations-4.1.1.4.jar:/root/YCSB/rocksdb/target/dependency/checker-compat-qual-2.5.5.jar:/root/YCSB/rocksdb/target/dependency/error_prone_annotations-2.4.0.jar:/root/YCSB/rocksdb/target/dependency/failureaccess-1.0.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-api-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-context-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-core-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-netty-shaded-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-lite-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-stub-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/gson-2.8.6.jar:/root/YCSB/rocksdb/target/dependency/guava-30.0-android.jar:/root/YCSB/rocksdb/target/dependency/htrace-core4-4.1.0-incubating.jar:/root/YCSB/rocksdb/target/dependency/j2objc-annotations-1.3.jar:/root/YCSB/rocksdb/target/dependency/jcip-annotations-1.0.jar:/root/YCSB/rocksdb/target/dependency/jsr305-3.0.2.jar:/root/YCSB/rocksdb/target/dependency/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar:/root/YCSB/rocksdb/target/dependency/perfmark-api-0.23.0.jar:/root/YCSB/rocksdb/target/dependency/proto-google-common-protos-2.0.1.jar:/root/YCSB/rocksdb/target/dependency/protobuf-java-3.12.0.jar:/root/YCSB/rocksdb/target/dependency/rocksdbjni-6.14.0.jar:/root/YCSB/rocksdb/target/dependency/slf4j-api-1.7.25.jar:/root/YCSB/rocksdb/target/dependency/slf4j-simple-1.7.25.jar site.ycsb.Client -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadb -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=3 -p status.interval=1000 -p target=100000 -threads 4
Command line: -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadb -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=3 -p status.interval=1000 -p target=100000 -threads 4
threadcount: 4
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
[Thread-5] INFO site.ycsb.db.rocksdb.RocksDBClient - RocksDB data dir: null
2025-04-30 21:46:12:388 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2025-04-30 21:46:13:365 1 sec: 12000 operations; 12000 current ops/sec; est completion in 41 minutes [INSERT: Count=19218, Max=528383, Min=421632, Avg=487944.03, 90=528383, 99=528383, 99.9=528383, 99.99=528383] 
2025-04-30 21:46:14:365 2 sec: 156000 operations; 144000 current ops/sec; est completion in 6 minutes [INSERT: Count=136782, Max=436735, Min=56128, Avg=135453.99, 90=324863, 99=431615, 99.9=436735, 99.99=436735] 
2025-04-30 21:46:15:365 3 sec: 252000 operations; 96000 current ops/sec; est completion in 5 minutes [INSERT: Count=96000, Max=93887, Min=50176, Avg=77195.67, 90=92287, 99=93887, 99.9=93887, 99.99=93887] 
2025-04-30 21:46:16:365 4 sec: 350000 operations; 98000 current ops/sec; est completion in 5 minutes [INSERT: Count=98000, Max=108159, Min=53728, Avg=81543.02, 90=94335, 99=108159, 99.9=108159, 99.99=108159] 
2025-04-30 21:46:17:365 5 sec: 456000 operations; 106000 current ops/sec; est completion in 5 minutes [INSERT: Count=106000, Max=100799, Min=52320, Avg=78591.4, 90=94655, 99=100543, 99.9=100799, 99.99=100799] 
2025-04-30 21:46:18:365 6 sec: 554000 operations; 98000 current ops/sec; est completion in 5 minutes [INSERT: Count=98000, Max=106111, Min=45728, Avg=73927.51, 90=96895, 99=106111, 99.9=106111, 99.99=106111] 
2025-04-30 21:46:19:365 7 sec: 650000 operations; 96000 current ops/sec; est completion in 5 minutes [INSERT: Count=96000, Max=107583, Min=51200, Avg=76870.83, 90=94079, 99=107583, 99.9=107583, 99.99=107583] 
2025-04-30 21:46:20:365 8 sec: 756000 operations; 106000 current ops/sec; est completion in 5 minutes [INSERT: Count=106000, Max=101055, Min=47072, Avg=72564.08, 90=94655, 99=100927, 99.9=101055, 99.99=101055] 
2025-04-30 21:46:21:365 9 sec: 854000 operations; 98000 current ops/sec; est completion in 5 minutes [INSERT: Count=98000, Max=106943, Min=48288, Avg=70511.35, 90=97855, 99=106943, 99.9=106943, 99.99=106943] 
2025-04-30 21:46:22:365 10 sec: 954000 operations; 100000 current ops/sec; est completion in 5 minutes [INSERT: Count=100000, Max=91455, Min=49920, Avg=66173.92, 90=83135, 99=90047, 99.9=91455, 99.99=91455] 
2025-04-30 21:46:23:365 11 sec: 1056000 operations; 102000 current ops/sec; est completion in 5 minutes [INSERT: Count=102000, Max=100223, Min=45472, Avg=69467.29, 90=91583, 99=100159, 99.9=100223, 99.99=100223] 
2025-04-30 21:46:24:365 12 sec: 1154000 operations; 98000 current ops/sec; est completion in 5 minutes [INSERT: Count=98000, Max=109375, Min=46976, Avg=71826.78, 90=92735, 99=109375, 99.9=109375, 99.99=109375] 
2025-04-30 21:46:25:365 13 sec: 1253000 operations; 99000 current ops/sec; est completion in 4 minutes [INSERT: Count=99000, Max=90623, Min=46496, Avg=71219.07, 90=88831, 99=90623, 99.9=90623, 99.99=90623] 
2025-04-30 21:46:26:365 14 sec: 1356000 operations; 103000 current ops/sec; est completion in 4 minutes [INSERT: Count=103000, Max=107135, Min=44352, Avg=70570.87, 90=90687, 99=105855, 99.9=107135, 99.99=107135] 
2025-04-30 21:46:27:365 15 sec: 1453000 operations; 97000 current ops/sec; est completion in 4 minutes [INSERT: Count=97000, Max=101247, Min=49408, Avg=68498.47, 90=87807, 99=101247, 99.9=101247, 99.99=101247] 
2025-04-30 21:46:28:365 16 sec: 1552000 operations; 99000 current ops/sec; est completion in 4 minutes [INSERT: Count=99000, Max=110527, Min=50016, Avg=78753.62, 90=97599, 99=110527, 99.9=110527, 99.99=110527] 
2025-04-30 21:46:29:365 17 sec: 1656000 operations; 104000 current ops/sec; est completion in 4 minutes [INSERT: Count=104000, Max=112895, Min=49696, Avg=79300, 90=96703, 99=104767, 99.9=112895, 99.99=112895] 
2025-04-30 21:46:30:365 18 sec: 1753000 operations; 97000 current ops/sec; est completion in 4 minutes [INSERT: Count=97000, Max=96511, Min=50912, Avg=70315.38, 90=88191, 99=96511, 99.9=96511, 99.99=96511] 
2025-04-30 21:46:31:365 19 sec: 1856000 operations; 103000 current ops/sec; est completion in 4 minutes [INSERT: Count=103000, Max=99327, Min=43360, Avg=63650.17, 90=83071, 99=99071, 99.9=99327, 99.99=99327] 
2025-04-30 21:46:32:365 20 sec: 1956000 operations; 100000 current ops/sec; est completion in 4 minutes [INSERT: Count=100000, Max=86079, Min=50400, Avg=63368.32, 90=80447, 99=85887, 99.9=86079, 99.99=86079] 
2025-04-30 21:46:33:365 21 sec: 2055000 operations; 99000 current ops/sec; est completion in 4 minutes [INSERT: Count=99000, Max=85439, Min=47424, Avg=63911.27, 90=80639, 99=85439, 99.9=85439, 99.99=85439] 
2025-04-30 21:46:34:365 22 sec: 2156000 operations; 101000 current ops/sec; est completion in 4 minutes [INSERT: Count=101000, Max=104191, Min=45088, Avg=64256.95, 90=82239, 99=103871, 99.9=104191, 99.99=104191] 
