"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node1.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","30 Apr 2025 16:01:20 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
26.962,2.636,68.158,2.244,0,27.567,2.627,67.037,2.770,0,28.297,2.637,66.410,2.655,0,28.664,2.666,65.326,3.344,0,97976889.791,232335857.699,30-04 16:01:20
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,4096,30-04 16:01:21
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,110592,30-04 16:01:22
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,1359872,30-04 16:01:23
47,5,48,0,0,50,5.102,44.898,0,0,46.939,6.122,46.939,0,0,52.525,3.030,44.444,0,0,0,0,30-04 16:01:24
61.616,6.061,30.303,2.020,0,56,11,30,3,0,49,6,41,4,0,53.922,10.784,35.294,0,0,2688000,204972032,30-04 16:01:25
40.206,6.186,53.608,0,0,46,5,49,0,0,54.902,7.843,37.255,0,0,47.959,4.082,47.959,0,0,0,0,30-04 16:01:26
43,4,50,3,0,52.041,3.061,43.878,1.020,0,48,2,48,2,0,51.485,7.921,37.624,2.970,0,2688512,204627968,30-04 16:01:27
46.939,2.041,51.020,0,0,55.556,3.030,41.414,0,0,48,6,46,0,0,55.446,3.960,40.594,0,0,0,53248,30-04 16:01:28
40.594,3.960,54.455,0.990,0,45,5,44,6,0,50,5,45,0,0,42,3,53,2,0,2689536,204627968,30-04 16:01:29
57.426,5.941,35.644,0.990,0,53.535,4.040,40.404,2.020,0,39,8,51,2,0,54.545,9.091,32.323,4.040,0,53004800,204640256,30-04 16:01:30
66,6,26,2,0,58,4,34,4,0,72,3,23,2,0,62.376,4.950,32.673,0,0,159321088,204615680,30-04 16:01:31
62.245,6.122,24.490,7.143,0,57.143,5.102,26.531,11.224,0,47.959,6.122,38.776,7.143,0,55,4,29,12,0,63853056,818335744,30-04 16:01:32
51,4,45,0,0,47.959,2.041,50,0,0,60.606,6.061,31.313,2.020,0,40.404,5.051,54.545,0,0,524800,68206592,30-04 16:01:33
50,6,42,2,0,36.458,3.125,59.375,1.042,0,48.515,3.960,45.545,1.980,0,47.423,4.124,47.423,1.031,0,2164736,136433664,30-04 16:01:34
41.837,3.061,51.020,4.082,0,41.584,4.950,53.465,0,0,53.061,6.122,39.796,1.020,0,47.475,3.030,47.475,2.020,0,2689536,204652544,30-04 16:01:35
47.959,2.041,50,0,0,47.423,4.124,48.454,0,0,43.434,2.020,54.545,0,0,46.465,5.051,48.485,0,0,0,0,30-04 16:01:36
61,6,30,3,0,58.416,6.931,32.673,1.980,0,63.366,5.941,27.723,2.970,0,67.347,7.143,22.449,3.061,0,117984768,272822272,30-04 16:01:37
64.286,5.102,28.571,2.041,0,60.606,9.091,29.293,1.010,0,65.979,6.186,26.804,1.031,0,80.392,6.863,9.804,2.941,0,155894272,244628992,30-04 16:01:38
60.417,2.083,36.458,1.042,0,71.717,7.071,18.182,3.030,0,65.347,3.960,29.703,0.990,0,65.657,6.061,25.253,3.030,0,165479936,301007360,30-04 16:01:39
48,5,29,18,0,59.804,3.922,31.373,4.902,0,49.505,5.941,33.663,10.891,0,61,8,13,18,0,38461440,1227505664,30-04 16:01:40
57.843,2.941,39.216,0,0,43.564,4.950,51.485,0,0,53.535,2.020,44.444,0,0,45.455,4.040,50.505,0,0,0,0,30-04 16:01:41
42.574,3.960,51.485,1.980,0,56.122,2.041,39.796,2.041,0,44.554,7.921,46.535,0.990,0,46.465,3.030,49.495,1.010,0,2688512,204640256,30-04 16:01:42
61.616,3.030,32.323,3.030,0,49,5,46,0,0,48.485,3.030,44.444,4.040,0,52.475,7.921,39.604,0,0,46708736,204644352,30-04 16:01:43
74.227,5.155,18.557,2.062,0,64.646,5.051,30.303,0,0,66,7,23,4,0,60.396,2.970,35.644,0.990,0,160379904,136429568,30-04 16:01:44
65.657,6.061,27.273,1.010,0,71.717,7.071,15.152,6.061,0,70.588,5.882,18.627,4.902,0,64.948,7.216,27.835,0,0,148434432,409210880,30-04 16:01:45
65.306,7.143,25.510,2.041,0,72.165,5.155,15.464,7.216,0,67.677,8.081,17.172,7.071,0,75,7,15,3,0,148767232,640556544,30-04 16:01:46
70.103,4.124,21.649,4.124,0,71.569,6.863,18.627,2.941,0,59.184,4.082,29.592,7.143,0,62.245,6.122,20.408,11.224,0,156472320,791499264,30-04 16:01:47
66.337,7.921,18.812,6.931,0,69.697,6.061,18.182,6.061,0,67.708,4.167,16.667,11.458,0,62.245,4.082,28.571,5.102,0,88876032,886423552,30-04 16:01:48
45.455,3.030,51.515,0,0,52.525,8.081,39.394,0,0,45.545,4.950,49.505,0,0,59.596,5.051,35.354,0,0,0,0,30-04 16:01:49
