"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node1.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","30 Apr 2025 21:27:51 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
6.341,0.610,92.533,0.516,0,6.559,0.627,92.149,0.665,0,6.608,0.620,92.045,0.726,0,6.718,0.623,91.878,0.781,0,25322710.272,66310271.316,30-04 21:27:51
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,4096,30-04 21:27:52
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,16384,30-04 21:27:53
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,30-04 21:27:54
20.619,4.124,17.526,57.732,0,22.772,4.950,13.861,58.416,0,19.192,5.051,24.242,51.515,0,21.429,2.041,19.388,57.143,0,145434624,0,30-04 21:27:55
19.388,5.102,21.429,54.082,0,18.085,3.191,22.340,56.383,0,20,3,26,51,0,15.957,3.191,29.787,51.064,0,134429696,69632,30-04 21:27:56
23.711,2.062,16.495,57.732,0,18.947,4.211,21.053,55.789,0,22.772,4.950,20.792,51.485,0,17.347,2.041,33.673,46.939,0,136047616,933888,30-04 21:27:57
21.505,3.226,12.903,62.366,0,20,6,21,53,0,22.222,4.040,17.172,56.566,0,17,5,35,43,0,137366528,0,30-04 21:27:58
13.978,5.376,30.108,50.538,0,22.549,6.863,17.647,52.941,0,21.569,2.941,27.451,48.039,0,16.129,4.301,25.806,53.763,0,131887616,0,30-04 21:27:59
18.812,5.941,29.703,45.545,0,18.750,4.167,21.875,55.208,0,17.204,2.151,29.032,51.613,0,15.789,5.263,23.158,55.789,0,131471872,0,30-04 21:28:00
24.242,2.020,20.202,53.535,0,19.149,4.255,18.085,58.511,0,11.828,4.301,38.710,45.161,0,21.212,5.051,19.192,54.545,0,134892544,0,30-04 21:28:01
18.947,3.158,29.474,48.421,0,18.182,5.051,29.293,47.475,0,17.526,3.093,29.897,49.485,0,25.263,3.158,13.684,57.895,0,128708096,909312,30-04 21:28:02
22.330,5.825,23.301,48.544,0,11.340,5.155,46.392,37.113,0,22.680,4.124,15.464,57.732,0,20.408,3.061,27.551,48.980,0,125498368,0,30-04 21:28:03
17.021,4.255,25.532,53.191,0,15.957,6.383,21.277,56.383,0,16.842,2.105,35.789,45.263,0,22.222,4.040,22.222,51.515,0,129588736,0,30-04 21:28:04
13.978,2.151,44.086,39.785,0,20,3.158,23.158,53.684,0,23.529,1.961,30.392,44.118,0,22.449,5.102,17.347,55.102,0,124955136,0,30-04 21:28:05
21.429,4.082,26.531,47.959,0,18.280,4.301,23.656,53.763,0,23.762,2.970,25.743,47.525,0,17.708,3.125,37.500,41.667,0,121618432,0,30-04 21:28:06
28.846,2.885,14.423,53.846,0,20.202,4.040,27.273,48.485,0,24.038,4.808,22.115,49.038,0,14.433,2.062,47.423,36.082,0,124684800,872448,30-04 21:28:07
17.582,3.297,19.780,59.341,0,22,3,31,44,0,17.526,3.093,37.113,42.268,0,17.172,4.040,36.364,42.424,0,120014848,12288,30-04 21:28:08
23.711,3.093,20.619,52.577,0,15,4,45,36,0,17.708,3.125,33.333,45.833,0,19.792,3.125,28.125,48.958,0,117383168,0,30-04 21:28:09
24.490,2.041,21.429,52.041,0,24.038,3.846,30.769,41.346,0,17.708,2.083,33.333,46.875,0,21.569,5.882,27.451,45.098,0,121742848,0,30-04 21:28:10
22.222,5.051,20.202,52.525,0,14.583,4.167,42.708,38.542,0,18.367,3.061,34.694,43.878,0,22.330,4.854,30.097,42.718,0,117559296,0,30-04 21:28:11
22.449,4.082,23.469,50,0,21.649,1.031,26.804,50.515,0,14.141,1.010,58.586,26.263,0,25,3.846,24.038,47.115,0,114155520,32768,30-04 21:28:12
