"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node3.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","30 Apr 2025 15:50:42 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
30.193,2.867,65.205,1.735,0,31.537,3.031,63.313,2.119,0,32.737,3.061,61.642,2.560,0,33.509,3.079,60.583,2.829,0,109152082.906,261291471.300,30-04 15:50:42
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,4096,30-04 15:50:43
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,30-04 15:50:44
9,0,77,14,0,6.931,1.980,77.228,13.861,0,5.941,2.970,76.238,14.851,0,8.824,0,80.392,10.784,0,35420672,0,30-04 15:50:45
15.686,2.941,58.824,22.549,0,11.224,2.041,64.286,22.449,0,8.421,2.105,68.421,21.053,0,13.592,0.971,67.961,17.476,0,54443520,1474560,30-04 15:50:46
9.901,2.970,72.277,14.851,0,11.340,2.062,64.948,21.649,0,17.308,1.923,59.615,21.154,0,15,0,65,20,0,51507712,0,30-04 15:50:47
14.141,1.010,73.737,11.111,0,24,2,56,18,0,22.222,2.020,57.576,18.182,0,18,4,62,16,0,41996800,901120,30-04 15:50:48
14.433,1.031,69.072,15.464,0,14.286,2.041,68.367,15.306,0,27.083,0,46.875,26.042,0,7.843,0,87.255,4.902,0,40993280,0,30-04 15:50:49
20.202,0,59.596,20.202,0,18.812,0.990,62.376,17.822,0,22.449,1.020,54.082,22.449,0,1.980,0.990,96.040,0.990,0,40040448,0,30-04 15:50:50
10.784,2.941,80.392,5.882,0,26.923,1.923,57.692,13.462,0,22,2,58,18,0,19.388,3.061,57.143,20.408,0,38726656,69632,30-04 15:50:51
0,0,100,0,0,11.224,1.020,73.469,14.286,0,15.842,0.990,66.337,16.832,0,24.742,0,49.485,25.773,0,37403648,0,30-04 15:50:52
4,0,94,2,0,13.265,1.020,70.408,15.306,0,12.245,1.020,71.429,15.306,0,22.222,2.020,53.535,22.222,0,35895296,856064,30-04 15:50:53
16,1,74,9,0,15.152,1.010,72.727,11.111,0,16.327,3.061,67.347,13.265,0,23.232,2.020,55.556,19.192,0,35058688,0,30-04 15:50:54
12.500,1.042,70.833,15.625,0,18.750,1.042,60.417,19.792,0,1,0,97,2,0,14.851,1.980,69.307,13.861,0,34064384,0,30-04 15:50:55
21,0,62,17,0,18.182,2.020,59.596,20.202,0,0,0,98.990,1.010,0,16,1,69,14,0,34547712,4096,30-04 15:50:56
15.842,1.980,72.277,9.901,0,22.772,0.990,62.376,13.861,0,15.152,1.010,69.697,14.141,0,19.588,1.031,67.010,12.371,0,33859584,0,30-04 15:50:57
2.020,1.010,93.939,3.030,0,13,2,71,14,0,10.526,0,75.789,13.684,0,24.762,1.905,52.381,20.952,0,33395712,49152,30-04 15:50:58
2.970,0,96.040,0.990,0,12.871,2.970,72.277,11.881,0,11.111,1.010,76.768,11.111,0,21.053,2.105,53.684,23.158,0,31389184,946176,30-04 15:50:59
9.184,0,83.673,7.143,0,16.162,2.020,72.727,9.091,0,23,2,61,14,0,23.232,3.030,56.566,17.172,0,31503872,0,30-04 15:51:00
15.686,0,71.569,12.745,0,23,2,55,20,0,1,1,98,0,0,16.505,1.942,67.961,13.592,0,31700480,0,30-04 15:51:01
13.265,2.041,71.429,13.265,0,22.222,3.030,52.525,22.222,0,1,0,98,1,0,12.245,1.020,74.490,12.245,0,31540736,0,30-04 15:51:02
20.588,1.961,66.667,10.784,0,18.367,2.041,68.367,11.224,0,13.131,2.020,75.758,9.091,0,15,2,70,13,0,29991424,200704,30-04 15:51:03
20.408,2.041,56.122,21.429,0,1.980,0,97.030,0.990,0,13.725,0.980,72.549,12.745,0,14.706,1.961,70.588,12.745,0,31365632,827392,30-04 15:51:04
24.510,1.961,50.980,22.549,0,4,1,91,4,0,8.163,0,82.653,9.184,0,11,0,78,11,0,30710784,0,30-04 15:51:05
12.121,1.010,79.798,7.071,0,19.608,2.941,64.706,12.745,0,20.792,0.990,64.356,13.861,0,18.627,1.961,68.627,10.784,0,30713344,0,30-04 15:51:06
17,1,68,14,0,13.131,2.020,73.737,11.111,0,9.901,0,84.158,5.941,0,12.245,2.041,73.469,12.245,0,29583872,0,30-04 15:51:07
8,0,86,6,0,16,0,72,12,0,11,1,78,10,0,20,2,62,16,0,28672000,36864,30-04 15:51:08
9.375,2.083,80.208,8.333,0,18.750,3.125,67.708,10.417,0,10.204,1.020,80.612,8.163,0,21.359,1.942,62.136,14.563,0,27713024,12288,30-04 15:51:09
9.901,0,83.168,6.931,0,13.725,0.980,74.510,10.784,0,19.388,1.020,62.245,17.347,0,7.071,1.010,84.848,7.071,0,27974656,823296,30-04 15:51:10
2,0,97,1,0,13.131,1.010,72.727,13.131,0,12.121,0,77.778,10.101,0,26.733,0.990,52.475,19.802,0,29660160,0,30-04 15:51:11
14.851,0.990,77.228,6.931,0,21,1,70,8,0,28,1,56,15,0,16,1,72,11,0,27134976,0,30-04 15:51:12
12.121,1.010,76.768,10.101,0,12,0,78,10,0,23.762,1.980,54.455,19.802,0,0,0,100,0,0,27137536,49152,30-04 15:51:13
10.309,2.062,77.320,10.309,0,15.686,0.980,73.529,9.804,0,24.490,0,53.061,22.449,0,0,1,99,0,0,28383744,0,30-04 15:51:14
17.822,0.990,69.307,11.881,0,15.152,1.010,74.747,9.091,0,22.549,4.902,57.843,14.706,0,11.224,0,82.653,6.122,0,27379712,1064960,30-04 15:51:15
0.990,0,99.010,0,0,16.162,1.010,71.717,11.111,0,15,0,74,11,0,23,2,57,18,0,26865664,8192,30-04 15:51:16
0,0,100,0,0,10.417,0,80.208,9.375,0,14.706,0.980,74.510,9.804,0,27.451,1.961,50.980,19.608,0,26518016,0,30-04 15:51:17
19.388,1.020,68.367,11.224,0,6,1,89,4,0,16.842,1.053,71.579,10.526,0,23.232,1.010,61.616,14.141,0,26518016,45056,30-04 15:51:18
28,1,50,21,0,0,0,100,0,0,12.371,1.031,76.289,10.309,0,11.111,1.010,77.778,10.101,0,27163136,0,30-04 15:51:19
16.162,3.030,67.677,13.131,0,6.931,1.980,87.129,3.960,0,8.163,0,84.694,7.143,0,14.433,1.031,71.134,13.402,0,25336832,0,30-04 15:51:20
25.243,1.942,57.282,15.534,0,22.772,1.980,61.386,13.861,0,9.901,0.990,85.149,3.960,0,15.842,0.990,78.218,4.950,0,25843200,847872,30-04 15:51:21
12.121,1.010,76.768,10.101,0,16.162,2.020,68.687,13.131,0,15,1,72,12,0,3.960,0,94.059,1.980,0,25507328,8192,30-04 15:51:22
15,1,73,11,0,14.141,0,75.758,10.101,0,20.408,3.061,57.143,19.388,0,1.010,0,98.990,0,0,26244608,40960,30-04 15:51:23
11.765,0,82.353,5.882,0,15,2,75,8,0,25.490,1.961,62.745,9.804,0,21.569,1.961,63.725,12.745,0,24660992,0,30-04 15:51:24
3.061,1.020,92.857,3.061,0,11.224,1.020,78.571,9.184,0,12.121,1.010,76.768,10.101,0,17.347,2.041,65.306,15.306,0,25114624,0,30-04 15:51:25
13.131,1.010,74.747,11.111,0,21.212,1.010,61.616,16.162,0,13.265,1.020,75.510,10.204,0,2,0,97,1,0,25805312,0,30-04 15:51:26
22.680,3.093,57.732,16.495,0,30.392,2.941,50.980,15.686,0,28,5,50,17,0,14.141,1.010,68.687,16.162,0,38069248,204656640,30-04 15:51:27
2.020,0,96.970,1.010,0,24.490,3.061,43.878,28.571,0,14.851,1.980,66.337,16.832,0,16.162,0,66.667,17.172,0,42635264,8192,30-04 15:51:28
2,0,96,2,0,13.861,1.980,69.307,14.851,0,14.141,1.010,70.707,14.141,0,23.529,3.922,50.980,21.569,0,35162624,0,30-04 15:51:29
11,1,83,5,0,20.619,0,60.825,18.557,0,20.792,1.980,56.436,20.792,0,20.408,1.020,54.082,24.490,0,32578560,0,30-04 15:51:30
21,2,56,21,0,4.950,0,90.099,4.950,0,21.212,2.020,58.586,18.182,0,8.081,1.010,83.838,7.071,0,35487744,122880,30-04 15:51:31
18.750,2.083,58.333,20.833,0,1,1,95,3,0,10.101,3.030,74.747,12.121,0,17.476,1.942,66.019,14.563,0,30391296,57344,30-04 15:51:32
18,2,63,17,0,8,2,83,7,0,18.182,1.010,69.697,11.111,0,22.222,2.020,63.636,12.121,0,27619840,98304,30-04 15:51:33
25.253,1.010,50.505,23.232,0,0,0,100,0,0,14.706,0.980,74.510,9.804,0,11.224,0,77.551,11.224,0,25027072,8192,30-04 15:51:34
22,1,59,18,0,0,0,98.990,1.010,0,19.192,0,61.616,19.192,0,15.686,2.941,68.627,12.745,0,31360000,118784,30-04 15:51:35
11.224,2.041,79.592,7.143,0,16.162,1.010,73.737,9.091,0,16,1,73,10,0,21,1,66,12,0,24769024,0,30-04 15:51:36
8.081,1.010,84.848,6.061,0,5,0,91,4,0,11,1,77,11,0,24.752,0.990,53.465,20.792,0,26591232,57344,30-04 15:51:37
21.212,2.020,58.586,18.182,0,0,0,100,0,0,10.891,1.980,78.218,8.911,0,8.247,2.062,81.443,8.247,0,23253504,8192,30-04 15:51:38
19.388,2.041,64.286,14.286,0,12.871,0.990,79.208,6.931,0,18.557,2.062,64.948,14.433,0,16.495,0,71.134,12.371,0,28352000,77824,30-04 15:51:39
3,0,95,2,0,12,2,75,11,0,15.152,0,71.717,13.131,0,14.286,0,68.367,17.347,0,25700352,65536,30-04 15:51:40
0,0,100,0,0,12,1,75,12,0,16.505,3.883,65.049,14.563,0,14.433,2.062,70.103,13.402,0,25225728,61440,30-04 15:51:41
9.901,2.970,84.158,2.970,0,14.286,0,76.531,9.184,0,22.680,0,67.010,10.309,0,12.500,2.083,72.917,12.500,0,23680000,0,30-04 15:51:42
1,0,99,0,0,15.842,1.980,72.277,9.901,0,10.204,0,81.633,8.163,0,19.792,2.083,63.542,14.583,0,21922304,0,30-04 15:51:43
6.061,0,88.889,5.051,0,4.040,0,91.919,4.040,0,18.812,1.980,66.337,12.871,0,17.172,2.020,67.677,13.131,0,22720512,0,30-04 15:51:44
19.588,2.062,63.918,14.433,0,16,0,76,8,0,17.822,0,76.238,5.941,0,10.101,0,84.848,5.051,0,21909504,28672,30-04 15:51:45
22.680,1.031,60.825,15.464,0,0,0.990,99.010,0,0,16,1,74,9,0,10.309,1.031,80.412,8.247,0,22152704,245760,30-04 15:51:46
24.510,2.941,58.824,13.725,0,2,0,97,1,0,14.286,1.020,76.531,8.163,0,13.265,1.020,77.551,8.163,0,20952576,4190208,30-04 15:51:47
12.121,0,80.808,7.071,0,19,1,73,7,0,14.141,1.010,76.768,8.081,0,19.192,2.020,67.677,11.111,0,21967872,0,30-04 15:51:48
0,0,98.990,1.010,0,11,1,79,9,0,9,2,84,5,0,24.490,1.020,56.122,18.367,0,21498880,0,30-04 15:51:49
2.970,0,97.030,0,0,15.842,0.990,73.267,9.901,0,12.871,0.990,77.228,8.911,0,20,2,65,13,0,21649920,0,30-04 15:51:50
15.842,2.970,72.277,8.911,0,9.184,2.041,82.653,6.122,0,16,0,80,4,0,21.429,1.020,63.265,14.286,0,21478912,69632,30-04 15:51:51
21.429,0,64.286,14.286,0,13.265,1.020,76.531,9.184,0,6.931,0.990,90.099,1.980,0,6,0,91,3,0,19819008,880640,30-04 15:51:52
15.152,1.010,73.737,10.101,0,8.333,0,83.333,8.333,0,16.327,1.020,69.388,13.265,0,0,0,100,0,0,20301824,0,30-04 15:51:53
13,0,86,1,0,15.306,2.041,71.429,11.224,0,22.680,1.031,62.887,13.402,0,11,0,84,5,0,20836352,0,30-04 15:51:54
15.842,0.990,73.267,9.901,0,3.960,0,93.069,2.970,0,13.861,0,78.218,7.921,0,18.812,0.990,69.307,10.891,0,20322304,0,30-04 15:51:55
19.792,1.042,63.542,15.625,0,0,0,100,0,0,13.131,1.010,76.768,9.091,0,11.765,1.961,80.392,5.882,0,20512256,0,30-04 15:51:56
22.222,2.020,64.646,11.111,0,3.030,0,94.949,2.020,0,21,1,67,11,0,12.500,1.042,79.167,7.292,0,21434368,61440,30-04 15:51:57
19.192,1.010,65.657,14.141,0,2.970,0.990,96.040,0,0,16,1,74,9,0,7.921,0.990,85.149,5.941,0,19084800,118784,30-04 15:51:58
25,2,58,15,0,0,0,100,0,0,13.265,0,78.571,8.163,0,13.592,0.971,76.699,8.738,0,21561344,0,30-04 15:51:59
22,3,64,11,0,2.020,0,97.980,0,0,20.588,2.941,65.686,10.784,0,15.842,1.980,74.257,7.921,0,19951616,0,30-04 15:52:00
24.752,0,62.376,12.871,0,10.891,0.990,82.178,5.941,0,10.204,1.020,82.653,6.122,0,7.216,1.031,86.598,5.155,0,20444672,0,30-04 15:52:01
13.265,1.020,77.551,8.163,0,13.131,1.010,77.778,8.081,0,18.557,1.031,68.041,12.371,0,1,1,97,1,0,19847168,16384,30-04 15:52:02
19.192,1.010,71.717,8.081,0,13.265,0,78.571,8.163,0,18,2,72,8,0,14.141,0,79.798,6.061,0,19457536,28672,30-04 15:52:03
22.222,1.010,63.636,13.131,0,0,0.990,99.010,0,0,9.901,0.990,86.139,2.970,0,22,1,63,14,0,20261888,24576,30-04 15:52:04
18.182,1.010,68.687,12.121,0,6,0,92,2,0,2.062,0,94.845,3.093,0,21.154,0.962,67.308,10.577,0,19025408,0,30-04 15:52:05
11.881,0.990,84.158,2.970,0,12.745,0.980,78.431,7.843,0,21.429,0,68.367,10.204,0,23.469,1.020,66.327,9.184,0,19710976,0,30-04 15:52:06
16.495,2.062,71.134,10.309,0,2.020,1.010,95.960,1.010,0,9.278,0,86.598,4.124,0,22.222,1.010,64.646,12.121,0,18730496,28672,30-04 15:52:07
14,3,76,7,0,21.429,0,64.286,14.286,0,1,1,97,1,0,10.101,1.010,82.828,6.061,0,18719232,0,30-04 15:52:08
25.743,1.980,55.446,16.832,0,30,3,53,14,0,41,6,34,19,0,27.551,2.041,52.041,18.367,0,110977024,204652544,30-04 15:52:09
39.583,3.125,38.542,18.750,0,66.316,3.158,16.842,13.684,0,18.812,1.980,65.347,13.861,0,18.182,4.040,61.616,16.162,0,199733760,204607488,30-04 15:52:10
20.202,2.020,64.646,13.131,0,34.343,4.040,40.404,21.212,0,68.367,5.102,16.327,10.204,0,22,0,60,18,0,188070912,204615680,30-04 15:52:11
55,9,2,34,0,25.510,2.041,56.122,16.327,0,40.816,5.102,25.510,28.571,0,25,4,44,27,0,185269248,1385037824,30-04 15:52:12
26.042,4.167,34.375,35.417,0,40.594,3.960,34.653,20.792,0,47.959,5.102,35.714,11.224,0,17.204,0,56.989,25.806,0,206834688,183177216,30-04 15:52:13
35.644,3.960,25.743,34.653,0,39,4,38,19,0,44.118,6.863,27.451,21.569,0,25,2,50,23,0,209239552,613728256,30-04 15:52:14
30.392,3.922,50.980,14.706,0,37.755,2.041,37.755,22.449,0,47.423,1.031,34.021,17.526,0,45.631,2.913,30.097,21.359,0,208015872,136540160,30-04 15:52:15
18.367,2.041,56.122,23.469,0,20.202,3.030,41.414,35.354,0,63.366,3.960,16.832,15.842,0,41.584,3.960,32.673,21.782,0,208060416,886308864,30-04 15:52:16
41.837,3.061,26.531,28.571,0,32.323,2.020,42.424,23.232,0,19,3,51,27,0,47.573,5.825,26.214,20.388,0,208797696,136552448,30-04 15:52:17
25.510,2.041,41.837,30.612,0,51.485,4.950,22.772,20.792,0,46.078,3.922,30.392,19.608,0,35.789,5.263,28.421,30.526,0,208462848,955035136,30-04 15:52:18
16.327,1.020,59.184,23.469,0,19.355,1.075,45.161,34.409,0,78.571,7.143,0,14.286,0,21.359,2.913,51.456,24.272,0,192782848,544989696,30-04 15:52:19
50.495,3.960,30.693,14.851,0,11.340,2.062,70.103,16.495,0,61,4,17,18,0,23.301,1.942,53.398,21.359,0,204423680,409100288,30-04 15:52:20
41.176,1.961,38.235,18.627,0,35.644,1.980,45.545,16.832,0,52.525,3.030,25.253,19.192,0,21,4,60,15,0,203427328,136486912,30-04 15:52:21
50.515,3.093,30.928,15.464,0,45,2,41,12,0,23.529,0,59.804,16.667,0,25,4,48,23,0,200610816,288890368,30-04 15:52:22
60,6,20,14,0,28.431,2.941,40.196,28.431,0,20,3,48,29,0,28.283,4.040,43.434,24.242,0,203258880,1284235776,30-04 15:52:23
24.242,1.010,62.626,12.121,0,38.235,2.941,44.118,14.706,0,50,5,28,17,0,35,3,52,10,0,193911296,251948544,30-04 15:52:24
18.750,0,65.625,15.625,0,7,2,78,13,0,15,1,71,13,0,13.542,2.083,65.625,18.750,0,32083456,361697792,30-04 15:52:25
15.464,1.031,71.134,12.371,0,6.122,0,89.796,4.082,0,20.202,1.010,62.626,16.162,0,18,2,67,13,0,31031296,0,30-04 15:52:26
14.141,1.010,74.747,10.101,0,22.449,2.041,58.163,17.347,0,7.071,1.010,86.869,5.051,0,19.802,0.990,66.337,12.871,0,29525504,8192,30-04 15:52:27
18.812,0,67.327,13.861,0,19.417,0,67.961,12.621,0,13.861,0.990,74.257,10.891,0,6.122,1.020,85.714,7.143,0,29725184,864256,30-04 15:52:28
8.247,0,84.536,7.216,0,14.286,1.020,73.469,11.224,0,16,1,72,11,0,15.152,1.010,70.707,13.131,0,28324352,0,30-04 15:52:29
21,1,65,13,0,16.832,0.990,72.277,9.901,0,17.172,0,73.737,9.091,0,17.172,2.020,67.677,13.131,0,30292480,73728,30-04 15:52:30
13.725,1.961,73.529,10.784,0,19,1,67,13,0,3.061,0,93.878,3.061,0,16,1,71,12,0,25487872,0,30-04 15:52:31
10.891,0.990,80.198,7.921,0,16.667,0.980,67.647,14.706,0,23.301,1.942,55.340,19.417,0,7,1,89,3,0,30591488,0,30-04 15:52:32
6,1,90,3,0,17.172,2.020,70.707,10.101,0,16.505,0.971,73.786,8.738,0,21.212,2.020,60.606,16.162,0,26428928,1806336,30-04 15:52:33
21.905,1.905,66.667,9.524,0,23,3,56,18,0,2.970,0.990,94.059,1.980,0,14,1,73,12,0,27753472,0,30-04 15:52:34
14,1,74,11,0,24.490,1.020,54.082,20.408,0,0,0,100,0,0,16,1,74,9,0,26844672,57344,30-04 15:52:35
