"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node2.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","30 Apr 2025 15:13:10 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
32.251,3.302,62.324,2.124,0,32.960,3.033,61.666,2.341,0,34.876,3.166,59.300,2.659,0,30.170,2.837,64.802,2.191,0,95529001.694,187931172.946,30-04 15:13:10
0.990,0.990,98.020,0,0,0,0,100,0,0,0,0,100,0,0,0,1,99,0,0,147456,131072,30-04 15:13:11
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0.990,0,99.010,0,0,28672,1409024,30-04 15:13:12
25.253,3.030,71.717,0,0,22,5,73,0,0,23.762,3.960,72.277,0,0,23,6,71,0,0,0,0,30-04 15:13:13
63.636,8.081,28.283,0,0,72.277,5.941,21.782,0,0,61.616,7.071,31.313,0,0,62.626,6.061,31.313,0,0,0,0,30-04 15:13:14
51.485,7.921,39.604,0.990,0,59.184,7.143,32.653,1.020,0,49.485,5.155,45.361,0,0,50,6,41,3,0,2688000,205041664,30-04 15:13:15
55.102,5.102,37.755,2.041,0,49,10,41,0,0,55.102,7.143,37.755,0,0,63.265,9.184,24.490,3.061,0,2688512,204640256,30-04 15:13:16
56,7,37,0,0,50.505,6.061,43.434,0,0,54,8,38,0,0,51.515,8.081,40.404,0,0,0,57344,30-04 15:13:17
54.082,4.082,41.837,0,0,64.286,8.163,25.510,2.041,0,43.434,8.081,46.465,2.020,0,47.525,6.931,40.594,4.950,0,2690560,204627968,30-04 15:13:18
55.102,6.122,38.776,0,0,56.863,4.902,37.255,0.980,0,60.204,6.122,31.633,2.041,0,43.878,4.082,52.041,0,0,9284608,87731712,30-04 15:13:19
65.657,11.111,21.212,2.020,0,62.245,6.122,25.510,6.122,0,71.429,5.102,22.449,1.020,0,59.184,5.102,32.653,3.061,0,169499136,253338112,30-04 15:13:20
65.979,7.216,22.680,4.124,0,61.224,8.163,11.224,19.388,0,63,7,21,9,0,58.586,7.071,31.313,3.030,0,90159616,886374400,30-04 15:13:21
42.424,5.051,50.505,2.020,0,52.525,9.091,38.384,0,0,54,5,41,0,0,55.882,5.882,38.235,0,0,7236096,180224,30-04 15:13:22
42,5,52,1,0,58,4,38,0,0,45.098,5.882,48.039,0.980,0,56,6,31,7,0,2689536,204652544,30-04 15:13:23
58,6,35,1,0,49.495,7.071,40.404,3.030,0,45.918,4.082,46.939,3.061,0,57,5,35,3,0,2689024,204623872,30-04 15:13:24
54.545,2.020,43.434,0,0,43.564,4.950,51.485,0,0,51.515,5.051,43.434,0,0,49.495,4.040,46.465,0,0,0,0,30-04 15:13:25
63.265,2.041,32.653,2.041,0,64.356,8.911,24.752,1.980,0,57,5,37,1,0,56.863,6.863,32.353,3.922,0,86544384,272834560,30-04 15:13:26
62.887,6.186,30.928,0,0,78.218,2.970,15.842,2.970,0,75.728,7.767,15.534,0.971,0,61.616,8.081,30.303,0,0,162487296,136441856,30-04 15:13:27
76.531,3.061,17.347,3.061,0,62.376,2.970,33.663,0.990,0,61.856,5.155,24.742,8.247,0,75.248,2.970,17.822,3.960,0,158887424,341028864,30-04 15:13:28
45.361,7.216,31.959,15.464,0,59.406,10.891,15.842,13.861,0,55.446,6.931,23.762,13.861,0,64.646,8.081,25.253,2.020,0,55438848,1241731072,30-04 15:13:29
50,6,44,0,0,41.667,4.167,50,4.167,0,43,5,51,1,0,55.882,3.922,38.235,1.961,0,14463488,53989376,30-04 15:13:30
51.546,1.031,47.423,0,0,50.495,3.960,41.584,3.960,0,51.515,6.061,36.364,6.061,0,51.020,5.102,43.878,0,0,2688512,204627968,30-04 15:13:31
50.515,5.155,44.330,0,0,47.959,3.061,48.980,0,0,49.505,6.931,43.564,0,0,56.566,5.051,38.384,0,0,0,0,30-04 15:13:32
62.376,5.941,28.713,2.970,0,64.646,4.040,28.283,3.030,0,74,7,9,10,0,60.606,5.051,34.343,0,0,165186560,341073920,30-04 15:13:33
75.758,6.061,15.152,3.030,0,64.646,7.071,23.232,5.051,0,78,9,9,4,0,60.784,5.882,31.373,1.961,0,155707392,341069824,30-04 15:13:34
71.717,6.061,16.162,6.061,0,63.366,4.950,28.713,2.970,0,68.627,5.882,21.569,3.922,0,55.446,3.960,35.644,4.950,0,156160512,478851072,30-04 15:13:35
64.646,6.061,21.212,8.081,0,62.626,8.081,18.182,11.111,0,70.707,6.061,14.141,9.091,0,64.356,7.921,16.832,10.891,0,126146048,1294077952,30-04 15:13:36
58,3,38,1,0,50,3,47,0,0,36.735,3.061,60.204,0,0,54,4,42,0,0,896512,68227072,30-04 15:13:37
48.980,3.061,47.959,0,0,44,6,48,2,0,39.604,5.941,51.485,2.970,0,56.566,3.030,37.374,3.030,0,9231872,136544256,30-04 15:13:38
68,4,25,3,0,56.122,4.082,35.714,4.082,0,57.426,5.941,35.644,0.990,0,55.102,3.061,41.837,0,0,76054528,206098432,30-04 15:13:39
70.707,6.061,18.182,5.051,0,63.725,5.882,29.412,0.980,0,62.626,4.040,30.303,3.030,0,68,4,27,1,0,156198912,204664832,30-04 15:13:40
64,6,27,3,0,80.412,5.155,10.309,4.124,0,71.287,6.931,17.822,3.960,0,58.416,5.941,34.653,0.990,0,152599552,341241856,30-04 15:13:41
74.257,5.941,16.832,2.970,0,67,8,20,5,0,65.306,5.102,22.449,7.143,0,73.469,5.102,16.327,5.102,0,153021952,725982720,30-04 15:13:42
68.367,5.102,21.429,5.102,0,59,5,15,21,0,62.376,5.941,23.762,7.921,0,60.606,4.040,29.293,6.061,0,160720896,983351808,30-04 15:13:43
62.376,5.941,29.703,1.980,0,60.606,6.061,28.283,5.051,0,70.707,3.030,21.212,5.051,0,77,6,13,4,0,152924672,425242112,30-04 15:13:44
60,8,25,7,0,73,3,22,2,0,68.041,5.155,19.588,7.216,0,62,5,32,1,0,146020864,529687040,30-04 15:13:45
74.227,3.093,19.588,3.093,0,70.408,8.163,14.286,7.143,0,65,9,20,6,0,62.626,7.071,22.222,8.081,0,151204352,750080000,30-04 15:13:46
67,9,17,7,0,64,4,29,3,0,69.307,5.941,19.802,4.950,0,71.287,5.941,19.802,2.970,0,156076544,341180416,30-04 15:13:47
65.979,4.124,28.866,1.031,0,78.788,5.051,13.131,3.030,0,60.606,4.040,34.343,1.010,0,65.657,3.030,30.303,1.010,0,163591168,136847360,30-04 15:13:48
67,6,25,2,0,64.948,7.216,24.742,3.093,0,68,5,24,3,0,70,10,13,7,0,144102400,521985536,30-04 15:13:49
61,7,21,11,0,61.616,5.051,22.222,11.111,0,60.606,5.051,18.182,16.162,0,77.228,7.921,4.950,9.901,0,162890752,1387201024,30-04 15:13:50
62.245,5.102,25.510,7.143,0,60.606,8.081,29.293,2.020,0,67.647,7.843,14.706,9.804,0,55.102,4.082,35.714,5.102,0,166700544,613883904,30-04 15:13:51
68.367,6.122,16.327,9.184,0,62.376,3.960,31.683,1.980,0,70.707,6.061,21.212,2.020,0,65,4,30,1,0,161371136,341209088,30-04 15:13:52
67,5,26,2,0,62,6,26,6,0,64.706,5.882,21.569,7.843,0,67.327,3.960,24.752,3.960,0,154470912,613683200,30-04 15:13:53
61.616,5.051,27.273,6.061,0,62.887,6.186,23.711,7.216,0,70,8,16,6,0,71.717,7.071,12.121,9.091,0,168675840,750125056,30-04 15:13:54
69.388,6.122,23.469,1.020,0,74.490,6.122,16.327,3.061,0,70.408,5.102,21.429,3.061,0,70.707,3.030,25.253,1.010,0,157115904,151424512,30-04 15:13:55
69.608,5.882,18.627,5.882,0,69.388,2.041,26.531,2.041,0,62.245,2.041,35.714,0,0,69.388,5.102,24.490,1.020,0,151703040,394252800,30-04 15:13:56
60.204,8.163,27.551,4.082,0,76.289,5.155,15.464,3.093,0,64.356,9.901,21.782,3.960,0,68.687,6.061,19.192,6.061,0,158828544,341217280,30-04 15:13:57
63.636,7.071,13.131,16.162,0,69,9,16,6,0,66.667,7.071,18.182,8.081,0,65.979,6.186,20.619,7.216,0,161229824,1540775936,30-04 15:13:58
70,6,19,5,0,73,7,15,5,0,57.576,6.061,28.283,8.081,0,72.277,3.960,21.782,1.980,0,158300672,497552896,30-04 15:13:59
72.727,7.071,17.172,3.030,0,69.608,3.922,20.588,5.882,0,64.356,4.950,27.723,2.970,0,76,7,12,5,0,162823168,547311616,30-04 15:14:00
70.297,8.911,13.861,6.931,0,64,5,26,5,0,67.347,5.102,23.469,4.082,0,65.347,5.941,22.772,5.941,0,156094976,619205120,30-04 15:14:01
69.388,6.122,16.327,8.163,0,72,8,14,6,0,70.408,8.163,17.347,4.082,0,74.490,8.163,14.286,3.061,0,145053696,750100480,30-04 15:14:02
79.592,5.102,12.245,3.061,0,58,3,39,0,0,63,7,27,3,0,69.307,2.970,26.733,0.990,0,160379904,204619776,30-04 15:14:03
62.376,4.950,30.693,1.980,0,62.245,7.143,28.571,2.041,0,68.750,2.083,27.083,2.083,0,71.717,5.051,14.141,9.091,0,165177344,341041152,30-04 15:14:04
65.306,2.041,30.612,2.041,0,64.356,5.941,24.752,4.950,0,72,3,23,2,0,66.337,5.941,21.782,5.941,0,136126976,340971520,30-04 15:14:05
63.636,5.051,26.263,5.051,0,56.122,3.061,38.776,2.041,0,66.667,5.051,27.273,1.010,0,64.356,4.950,24.752,5.941,0,170528768,136753152,30-04 15:14:06
64.286,10.204,14.286,11.224,0,69.388,7.143,13.265,10.204,0,62.500,6.250,11.458,19.792,0,68.367,6.122,16.327,9.184,0,167817728,1772609536,30-04 15:14:07
78.125,3.125,14.583,4.167,0,66.327,8.163,18.367,7.143,0,73.267,7.921,16.832,1.980,0,54.082,6.122,36.735,3.061,0,155201536,545550336,30-04 15:14:08
