"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node3.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","30 Apr 2025 15:28:09 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
27.672,2.635,68.109,1.585,0,29.871,2.861,65.077,2.192,0,31.358,2.833,63.423,2.387,0,32.736,2.912,61.638,2.714,0,101546110.982,255289881.573,30-04 15:28:09
0,0.990,99.010,0,0,0,2,98,0,0,3,0,97,0,0,0,0,100,0,0,0,4096,30-04 15:28:10
23.232,2.020,58.586,16.162,0,22.449,3.061,60.204,14.286,0,21.212,5.051,58.586,15.152,0,22.680,2.062,60.825,14.433,0,103441920,0,30-04 15:28:11
82.292,9.375,0,8.333,0,81.443,9.278,0,9.278,0,81.553,8.738,0,9.709,0,79.381,10.309,0,10.309,0,249571840,0,30-04 15:28:12
84.536,7.216,0,8.247,0,83,9,0,8,0,82.474,9.278,0,8.247,0,84,8,0,8,0,253171200,1359872,30-04 15:28:13
85.859,10.101,0,4.040,0,85.567,10.309,0,4.124,0,82.828,12.121,0,5.051,0,84.694,11.224,0,4.082,0,260962304,0,30-04 15:28:14
83,14,0,3,0,85,12,0,3,0,84.158,13.861,0,1.980,0,84.158,12.871,0,2.970,0,271286272,110592,30-04 15:28:15
84.848,12.121,0,3.030,0,85,12,0,3,0,81,16,0,3,0,86,11,0,3,0,268231168,0,30-04 15:28:16
82.178,14.851,0,2.970,0,78.641,17.476,0,3.883,0,85.149,11.881,0,2.970,0,81,15,0,4,0,250442752,0,30-04 15:28:17
79.798,18.182,0,2.020,0,85.859,12.121,0,2.020,0,84,13,0,3,0,83.838,14.141,0,2.020,0,261644288,12288,30-04 15:28:18
86,11,0,3,0,85.567,11.340,0,3.093,0,84.158,12.871,0,2.970,0,82,15,0,3,0,253670912,8192,30-04 15:28:19
84.848,11.111,0,4.040,0,87.255,8.824,0,3.922,0,81.188,14.851,0,3.960,0,82.828,13.131,0,4.040,0,241360896,32768,30-04 15:28:20
83.168,13.861,0,2.970,0,83.673,13.265,1.020,2.041,0,82.653,15.306,0,2.041,0,83,14,0,3,0,250583040,0,30-04 15:28:21
82.828,14.141,0,3.030,0,83.333,12.745,0,3.922,0,86.139,10.891,0,2.970,0,80.198,15.842,0.990,2.970,0,251483648,0,30-04 15:28:22
87.879,9.091,0,3.030,0,83.838,14.141,0,2.020,0,85.859,10.101,1.010,3.030,0,81,17,0,2,0,239289344,0,30-04 15:28:23
85,13,0,2,0,85,12,0,3,0,85.859,11.111,0,3.030,0,81.818,15.152,0,3.030,0,245735424,12288,30-04 15:28:24
85.859,11.111,0,3.030,0,83.673,12.245,0,4.082,0,86.139,9.901,0,3.960,0,88,10,0,2,0,237870592,36864,30-04 15:28:25
86.139,10.891,0,2.970,0,84.694,13.265,0,2.041,0,85,13,0,2,0,81.818,15.152,0,3.030,0,229313536,0,30-04 15:28:26
85.149,12.871,0,1.980,0,83.838,13.131,0,3.030,0,82,16,0,2,0,85.859,12.121,0,2.020,0,240574976,0,30-04 15:28:27
79.798,16.162,0,4.040,0,82,14,0,4,0,86,10,0,4,0,83,14,0,3,0,232615936,0,30-04 15:28:28
87,9,1,3,0,84,14,0,2,0,86,11,0,3,0,85.859,11.111,0,3.030,0,229989888,0,30-04 15:28:29
85.714,12.245,0,2.041,0,83.838,14.141,0,2.020,0,85.859,11.111,0,3.030,0,86,11,0,3,0,234539520,167936,30-04 15:28:30
83.673,12.245,0,4.082,0,86,10,0,4,0,86.869,9.091,0,4.040,0,87.879,9.091,0,3.030,0,222326784,8192,30-04 15:28:31
83.838,14.141,0,2.020,0,85.859,12.121,0,2.020,0,85,13,0,2,0,89,8,0,3,0,228249088,0,30-04 15:28:32
82.178,14.851,0,2.970,0,87,10,0,3,0,87.879,9.091,0,3.030,0,85.149,11.881,0,2.970,0,229057024,0,30-04 15:28:33
86.735,10.204,0,3.061,0,84.694,12.245,0,3.061,0,86.869,9.091,0,4.040,0,86.598,10.309,0,3.093,0,213001728,0,30-04 15:28:34
