"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node1.motivation-test.nof-rep-pg0.clemson.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -cdt -C 0,2,4,6 --output dstat.csv",,,,"Date:","30 Apr 2025 14:48:13 MDT"
"cpu0 usage",,,,,"cpu2 usage",,,,,"cpu4 usage",,,,,"cpu6 usage",,,,,"dsk/total",,"system"
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","read","writ","time"
0.040,1.146,98.813,0,0,0.045,0.189,99.763,0.003,0,0.012,0.077,99.911,0,0,0.007,0.116,99.877,0,0,387002.968,68351.467,30-04 14:48:13
0,0,100,0,0,1,2,97,0,0,0.990,3.960,95.050,0,0,0,1,99,0,0,917504,0,30-04 14:48:14
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,30-04 14:48:15
0,0,100,0,0,0.990,0.990,98.020,0,0,0,0,100,0,0,0,0,100,0,0,69632,479232,30-04 14:48:16
51.515,6.061,42.424,0,0,50,7.143,42.857,0,0,51.515,4.040,44.444,0,0,55.556,6.061,38.384,0,0,94208,1941504,30-04 14:48:17
54.455,10.891,33.663,0.990,0,66.667,9.091,24.242,0,0,58.763,7.216,34.021,0,0,58.163,6.122,34.694,1.020,0,3003904,205066240,30-04 14:48:18
53.465,7.921,38.614,0,0,48,9,43,0,0,61,8,31,0,0,56,7,37,0,0,0,0,30-04 14:48:19
47.423,7.216,40.206,5.155,0,54.545,6.061,39.394,0,0,56.566,3.030,40.404,0,0,58,7,35,0,0,2713600,204668928,30-04 14:48:20
58.163,7.143,33.673,1.020,0,58.824,6.863,33.333,0.980,0,56.122,6.122,37.755,0,0,66.667,6.061,27.273,0,0,900608,84623360,30-04 14:48:21
