/usr/bin/java -Xmx64G -XX:MaxDirectMemorySize=64G -classpath /root/YCSB/conf:/root/YCSB/core/target/core-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/rocksdb-binding-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/dependency/HdrHistogram-2.1.4.jar:/root/YCSB/rocksdb/target/dependency/animal-sniffer-annotations-1.19.jar:/root/YCSB/rocksdb/target/dependency/annotations-4.1.1.4.jar:/root/YCSB/rocksdb/target/dependency/checker-compat-qual-2.5.5.jar:/root/YCSB/rocksdb/target/dependency/error_prone_annotations-2.4.0.jar:/root/YCSB/rocksdb/target/dependency/failureaccess-1.0.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-api-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-context-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-core-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-netty-shaded-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-lite-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-stub-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/gson-2.8.6.jar:/root/YCSB/rocksdb/target/dependency/guava-30.0-android.jar:/root/YCSB/rocksdb/target/dependency/htrace-core4-4.1.0-incubating.jar:/root/YCSB/rocksdb/target/dependency/j2objc-annotations-1.3.jar:/root/YCSB/rocksdb/target/dependency/jcip-annotations-1.0.jar:/root/YCSB/rocksdb/target/dependency/jsr305-3.0.2.jar:/root/YCSB/rocksdb/target/dependency/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar:/root/YCSB/rocksdb/target/dependency/perfmark-api-0.23.0.jar:/root/YCSB/rocksdb/target/dependency/proto-google-common-protos-2.0.1.jar:/root/YCSB/rocksdb/target/dependency/protobuf-java-3.12.0.jar:/root/YCSB/rocksdb/target/dependency/rocksdbjni-6.14.0.jar:/root/YCSB/rocksdb/target/dependency/slf4j-api-1.7.25.jar:/root/YCSB/rocksdb/target/dependency/slf4j-simple-1.7.25.jar site.ycsb.Client -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadg -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=3 -p status.interval=1000 -p target=100000 -threads 4
Command line: -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadg -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=3 -p status.interval=1000 -p target=100000 -threads 4
threadcount: 4
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
[Thread-5] INFO site.ycsb.db.rocksdb.RocksDBClient - RocksDB data dir: null
2025-04-30 14:55:46:137 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2025-04-30 14:55:47:114 1 sec: 24000 operations; 24000 current ops/sec; est completion in 17 minutes [INSERT: Count=24000, Max=512767, Min=400384, Avg=458581.33, 90=507135, 99=512767, 99.9=512767, 99.99=512767] 
2025-04-30 14:55:48:114 2 sec: 156000 operations; 132000 current ops/sec; est completion in 5 minutes [INSERT: Count=132000, Max=332543, Min=54336, Avg=125583.88, 90=244991, 99=331263, 99.9=332543, 99.99=332543] 
2025-04-30 14:55:49:114 3 sec: 253000 operations; 97000 current ops/sec; est completion in 4 minutes [INSERT: Count=97000, Max=96127, Min=47840, Avg=71447.09, 90=86975, 99=96127, 99.9=96127, 99.99=96127] 
2025-04-30 14:55:50:114 4 sec: 353000 operations; 100000 current ops/sec; est completion in 4 minutes [INSERT: Count=100000, Max=107007, Min=48352, Avg=73294.88, 90=92159, 99=102527, 99.9=107007, 99.99=107007] 
2025-04-30 14:55:51:114 5 sec: 456000 operations; 103000 current ops/sec; est completion in 4 minutes [INSERT: Count=103000, Max=99711, Min=51104, Avg=77446.68, 90=93887, 99=97471, 99.9=99711, 99.99=99711] 
2025-04-30 14:55:52:114 6 sec: 554000 operations; 98000 current ops/sec; est completion in 4 minutes [INSERT: Count=98000, Max=107455, Min=45536, Avg=71841.31, 90=94847, 99=107455, 99.9=107455, 99.99=107455] 
2025-04-30 14:55:53:114 7 sec: 652000 operations; 98000 current ops/sec; est completion in 4 minutes [INSERT: Count=98000, Max=103295, Min=51808, Avg=66865.31, 90=86591, 99=103295, 99.9=103295, 99.99=103295] 
2025-04-30 14:55:54:114 8 sec: 756000 operations; 104000 current ops/sec; est completion in 4 minutes [INSERT: Count=104000, Max=88831, Min=46528, Avg=61897.54, 90=78911, 99=88831, 99.9=88831, 99.99=88831] 
2025-04-30 14:55:55:114 9 sec: 854000 operations; 98000 current ops/sec; est completion in 4 minutes [INSERT: Count=98000, Max=112191, Min=44416, Avg=64624.82, 90=88255, 99=112191, 99.9=112191, 99.99=112191] 
2025-04-30 14:55:56:114 10 sec: 951000 operations; 97000 current ops/sec; est completion in 4 minutes [INSERT: Count=97000, Max=90815, Min=50464, Avg=67733.61, 90=85503, 99=90815, 99.9=90815, 99.99=90815] 
2025-04-30 14:55:57:114 11 sec: 1056000 operations; 105000 current ops/sec; est completion in 4 minutes [INSERT: Count=105000, Max=103039, Min=45184, Avg=69729.07, 90=93695, 99=100671, 99.9=103039, 99.99=103039] 
2025-04-30 14:55:58:114 12 sec: 1154000 operations; 98000 current ops/sec; est completion in 4 minutes [INSERT: Count=98000, Max=107839, Min=48544, Avg=73766.86, 90=94527, 99=107839, 99.9=107839, 99.99=107839] 
2025-04-30 14:55:59:114 13 sec: 1254000 operations; 100000 current ops/sec; est completion in 4 minutes [INSERT: Count=100000, Max=93887, Min=45984, Avg=69015.04, 90=85119, 99=93695, 99.9=93887, 99.99=93887] 
2025-04-30 14:56:00:114 14 sec: 1356000 operations; 102000 current ops/sec; est completion in 4 minutes [INSERT: Count=102000, Max=106111, Min=46688, Avg=70450.67, 90=95167, 99=105471, 99.9=106111, 99.99=106111] 
