
/usr/bin/java -Xmx64G -XX:MaxDirectMemorySize=64G -classpath /root/YCSB/conf:/root/YCSB/core/target/core-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/rocksdb-binding-0.18.0-SNAPSHOT.jar:/root/YCSB/rocksdb/target/dependency/HdrHistogram-2.1.4.jar:/root/YCSB/rocksdb/target/dependency/animal-sniffer-annotations-1.19.jar:/root/YCSB/rocksdb/target/dependency/annotations-4.1.1.4.jar:/root/YCSB/rocksdb/target/dependency/checker-compat-qual-2.5.5.jar:/root/YCSB/rocksdb/target/dependency/error_prone_annotations-2.4.0.jar:/root/YCSB/rocksdb/target/dependency/failureaccess-1.0.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-api-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-context-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-core-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-netty-shaded-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-protobuf-lite-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/grpc-stub-1.37.1.jar:/root/YCSB/rocksdb/target/dependency/gson-2.8.6.jar:/root/YCSB/rocksdb/target/dependency/guava-30.0-android.jar:/root/YCSB/rocksdb/target/dependency/htrace-core4-4.1.0-incubating.jar:/root/YCSB/rocksdb/target/dependency/j2objc-annotations-1.3.jar:/root/YCSB/rocksdb/target/dependency/jcip-annotations-1.0.jar:/root/YCSB/rocksdb/target/dependency/jsr305-3.0.2.jar:/root/YCSB/rocksdb/target/dependency/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar:/root/YCSB/rocksdb/target/dependency/perfmark-api-0.23.0.jar:/root/YCSB/rocksdb/target/dependency/proto-google-common-protos-2.0.1.jar:/root/YCSB/rocksdb/target/dependency/protobuf-java-3.12.0.jar:/root/YCSB/rocksdb/target/dependency/rocksdbjni-6.14.0.jar:/root/YCSB/rocksdb/target/dependency/slf4j-api-1.7.25.jar:/root/YCSB/rocksdb/target/dependency/slf4j-simple-1.7.25.jar site.ycsb.Client -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadc -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=3 -p status.interval=1000 -p target=120000 -threads 1
Command line: -load -db site.ycsb.db.rocksdb.RocksDBClient -s -P workloads/workloadc -p rocksdb.dir=null -p replicator=localhost:50040 -p shard=3 -p status.interval=1000 -p target=120000 -threads 1
threadcount: 1
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
[Thread-2] INFO site.ycsb.db.rocksdb.RocksDBClient - RocksDB data dir: null
2025-08-10 22:00:11:039 0 sec: 0 operations; est completion in 0 second 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2025-08-10 22:00:12:016 1 sec: 269 operations; 269 current ops/sec; est completion in 3 hours 5 minutes [INSERT: Count=270, Max=255743, Min=1021, Avg=2457.82, 90=1935, 99=11327, 99.9=255743, 99.99=255743] 
2025-08-10 22:00:13:016 2 sec: 1286 operations; 1017 current ops/sec; est completion in 1 hour 17 minutes [INSERT: Count=1016, Max=1870, Min=762, Avg=966, 90=1040, 99=1194, 99.9=1670, 99.99=1870] 
2025-08-10 22:00:14:016 3 sec: 2384 operations; 1098 current ops/sec; est completion in 1 hour 2 minutes [INSERT: Count=1098, Max=1245, Min=742, Avg=900.45, 90=942, 99=984, 99.9=1074, 99.99=1245] 
2025-08-10 22:00:15:016 4 sec: 3495 operations; 1111 current ops/sec; est completion in 57 minutes [INSERT: Count=1111, Max=1233, Min=658, Avg=891.31, 90=933, 99=983, 99.9=1180, 99.99=1233] 
2025-08-10 22:00:16:016 5 sec: 4614 operations; 1119 current ops/sec; est completion in 54 minutes [INSERT: Count=1119, Max=2165, Min=733, Avg=886.65, 90=926, 99=968, 99.9=1954, 99.99=2165] 
2025-08-10 22:00:17:016 6 sec: 5731 operations; 1117 current ops/sec; est completion in 52 minutes [INSERT: Count=1118, Max=4563, Min=600, Avg=887.85, 90=921, 99=962, 99.9=1021, 99.99=4563] 
2025-08-10 22:00:18:016 7 sec: 6855 operations; 1124 current ops/sec; est completion in 50 minutes [INSERT: Count=1123, Max=1045, Min=581, Avg=884.29, 90=926, 99=965, 99.9=1034, 99.99=1045] 
2025-08-10 22:00:19:016 8 sec: 7983 operations; 1128 current ops/sec; est completion in 49 minutes [INSERT: Count=1128, Max=966, Min=751, Avg=881.81, 90=919, 99=950, 99.9=965, 99.99=966] 
2025-08-10 22:00:20:016 9 sec: 9112 operations; 1129 current ops/sec; est completion in 49 minutes [INSERT: Count=1129, Max=1028, Min=719, Avg=880.67, 90=922, 99=958, 99.9=999, 99.99=1028] 
2025-08-10 22:00:21:016 10 sec: 10230 operations; 1118 current ops/sec; est completion in 48 minutes [INSERT: Count=1118, Max=2509, Min=671, Avg=888.61, 90=926, 99=985, 99.9=2215, 99.99=2509] 
2025-08-10 22:00:22:016 11 sec: 11355 operations; 1125 current ops/sec; est completion in 48 minutes [INSERT: Count=1125, Max=1117, Min=738, Avg=883.63, 90=923, 99=961, 99.9=1093, 99.99=1117] 
2025-08-10 22:00:23:016 12 sec: 12484 operations; 1129 current ops/sec; est completion in 47 minutes [INSERT: Count=1129, Max=2265, Min=762, Avg=880.15, 90=918, 99=948, 99.9=1079, 99.99=2265] 
2025-08-10 22:00:24:016 13 sec: 13612 operations; 1128 current ops/sec; est completion in 47 minutes [INSERT: Count=1128, Max=1043, Min=638, Avg=879.91, 90=917, 99=947, 99.9=1035, 99.99=1043] 
2025-08-10 22:00:25:016 14 sec: 14741 operations; 1129 current ops/sec; est completion in 47 minutes [INSERT: Count=1129, Max=989, Min=719, Avg=878.93, 90=919, 99=948, 99.9=989, 99.99=989] 
2025-08-10 22:00:26:016 15 sec: 15882 operations; 1141 current ops/sec; est completion in 46 minutes [INSERT: Count=1141, Max=1026, Min=648, Avg=869.57, 90=910, 99=950, 99.9=985, 99.99=1026] 
